DCA|YXH,|YXH|YYC|ORD|DCA|
DCA|YWK,|YWK|YZV|YUL|DCA|
DCA|ANU,|ANU|EWR|DCA|
DCA|AUA,|AUA|EWR|DCA|
DCA|AUH,|AUH|FRA|EWR|DCA|
DCA|BCN,|BCN|EWR|DCA|
DCA|BDA,|BDA|EWR|DCA|
DCA|BGI,|BGI|YYZ|DCA|
DCA|BNA,|BNA|CLE|DCA|
DCA|BOG,|BOG|EWR|DCA|
DCA|BWI,|BWI|EWR|DCA|
DCA|CLE,|CLE|DCA|
DCA|CLT,|CLT|EWR|DCA|
DCA|CMH,|CMH|CLE|DCA|
DCA|CVG,|CVG|EWR|DCA|
DCA|DFW,|DFW|CLE|DCA|
DCA|DTW,|DTW|YYZ|DCA|
DCA|DUB,|DUB|EWR|DCA|
DCA|FCO,|FCO|EWR|DCA|
DCA|GCM,|GCM|EWR|DCA|
DCA|GGT,|GGT|FLL|ATL|DCA|
DCA|GND,|GND|YYZ|DCA|
DCA|GRU,|GRU|EWR|DCA|
DCA|HAV,|HAV|YYZ|DCA|
DCA|IND,|IND|CLE|DCA|
DCA|JFK,|JFK|IAD|EWR|DCA|
DCA|KIN,|KIN|YYZ|DCA|
DCA|LIM,|LIM|EWR|DCA|
DCA|LIR,|LIR|EWR|DCA|
DCA|MCI,|MCI|DCA|
DCA|MDT,|MDT|IAD|EWR|DCA|
DCA|MIA,|MIA|EWR|DCA|
DCA|MKE,|MKE|DCA|
DCA|MSP,|MSP|MKE|DCA|
DCA|NAS,|NAS|ATL|DCA|
DCA|PHL,|PHL|IAD|EWR|DCA|
DCA|PHX,|PHX|STL|DCA|
DCA|PIT,|PIT|EWR|DCA|
DCA|PLS,|PLS|EWR|DCA|
DCA|POP,|POP|EWR|DCA|
DCA|RDU,|RDU|EWR|DCA|
DCA|ROC,|ROC|EWR|DCA|
DCA|RSW,|RSW|DCA|
DCA|SAN,|SAN|STL|DCA|
DCA|SJO,|SJO|EWR|DCA|
DCA|STL,|STL|DCA|
DCA|SYR,|SYR|EWR|DCA|
DCA|TLV,|TLV|EWR|DCA|
DCA|TPA,|TPA|ATL|DCA|
DCA|UVF,|UVF|EWR|DCA|
DCA|VIE,|VIE|YYZ|DCA|
DCA|YAM,|YAM|YYZ|DCA|
DCA|YGK,|YGK|YYZ|DCA|
DCA|YQG,|YQG|YYZ|DCA|
DCA|YSB,|YSB|YYZ|DCA|
DCA|YTS,|YTS|YYZ|DCA|
DCA|YYB,|YYB|YYZ|DCA|
DCA|YZR,|YZR|YYZ|DCA|
DCA|CAN,|CAN|PEK|YYZ|DCA|
DCA|URC,|URC|TSE|FRA|EWR|DCA|
DCA|CTU,|CTU|PEK|YYZ|DCA|
DCA|HGH,|HGH|PEK|YYZ|DCA|
DCA|XMN,|XMN|PEK|YYZ|DCA|
DCA|CGO,|CGO|PEK|YYZ|DCA|
DCA|CSX,|CSX|PEK|YYZ|DCA|
DCA|SHE,|SHE|PEK|YYZ|DCA|
DCA|SJW,|SJW|DLC|PEK|YYZ|DCA|
DCA|WUH,|WUH|PEK|YYZ|DCA|
