ELP|PVG,|PVG|SFO|LAS|ELP|
ELP|PVR,|PVR|IAH|ELP|
ELP|SEA,|SEA|LAS|ELP|
ELP|SYD,|SYD|LAX|ELP|
ELP|YBL,|YBL|YVR|LAS|ELP|
ELP|YCD,|YCD|YVR|LAS|ELP|
ELP|YCG,|YCG|YYC|DEN|ELP|
ELP|YKA,|YKA|YVR|LAS|ELP|
ELP|YPR,|YPR|YVR|LAS|ELP|
ELP|YQZ,|YQZ|YVR|LAS|ELP|
ELP|YXC,|YXC|YYC|DEN|ELP|
ELP|YXJ,|YXJ|YYC|DEN|ELP|
ELP|YXS,|YXS|YYC|DEN|ELP|
ELP|YXT,|YXT|YVR|LAS|ELP|
ELP|YXY,|YXY|YVR|LAS|ELP|
ELP|YYD,|YYD|YVR|LAS|ELP|
ELP|YYF,|YYF|YVR|LAS|ELP|
ELP|YZP,|YZP|YVR|LAS|ELP|
ELP|YQT,|YQT|YWG|DEN|ELP|
ELP|SJD,|SJD|LAX|ELP|
ELP|YQF,|YQF|YYC|DEN|ELP|
ELP|YQL,|YQL|YYC|DEN|ELP|
ELP|YXH,|YXH|YYC|DEN|ELP|
ELP|YWK,|YWK|YZV|YQB|YYZ|STL|DAL|ELP|
ELP|ANU,|ANU|EWR|BWI|LIT|DAL|ELP|
ELP|AUA,|AUA|ATL|AUS|ELP|
ELP|AUH,|AUH|FRA|DEN|ELP|
ELP|BCN,|BCN|YYZ|STL|DAL|ELP|
ELP|BDA,|BDA|EWR|BWI|LIT|DAL|ELP|
ELP|BGI,|BGI|YYZ|STL|DAL|ELP|
ELP|BNA,|BNA|AUS|ELP|
ELP|BOG,|BOG|IAH|ELP|
ELP|BWI,|BWI|LIT|DAL|ELP|
ELP|CLE,|CLE|STL|DAL|ELP|
ELP|CLT,|CLT|IAH|ELP|
ELP|CMH,|CMH|STL|DAL|ELP|
ELP|CVG,|CVG|IAH|ELP|
ELP|DFW,|DFW|IAH|ELP|
ELP|DTW,|DTW|STL|DAL|ELP|
ELP|DUB,|DUB|ORD|STL|DAL|ELP|
ELP|FCO,|FCO|YYZ|STL|DAL|ELP|
ELP|GCM,|GCM|IAH|ELP|
ELP|GGT,|GGT|FLL|IAH|ELP|
ELP|GND,|GND|YYZ|STL|DAL|ELP|
ELP|GRU,|GRU|IAH|ELP|
ELP|HAV,|HAV|YYZ|STL|DAL|ELP|
ELP|IND,|IND|MCI|DAL|ELP|
ELP|JFK,|JFK|IAD|STL|DAL|ELP|
ELP|KIN,|KIN|YYZ|STL|DAL|ELP|
ELP|LIM,|LIM|IAH|ELP|
ELP|LIR,|LIR|IAH|ELP|
ELP|MCI,|MCI|DAL|ELP|
ELP|MDT,|MDT|IAD|STL|DAL|ELP|
ELP|MIA,|MIA|IAH|ELP|
ELP|MKE,|MKE|STL|DAL|ELP|
ELP|MSP,|MSP|DEN|ELP|
ELP|NAS,|NAS|IAH|ELP|
ELP|PHL,|PHL|STL|DAL|ELP|
ELP|PHX,|PHX|ELP|
ELP|PIT,|PIT|BNA|AUS|ELP|
ELP|PLS,|PLS|EWR|BWI|LIT|DAL|ELP|
ELP|POP,|POP|EWR|BWI|LIT|DAL|ELP|
ELP|RDU,|RDU|ATL|AUS|ELP|
ELP|ROC,|ROC|CLE|STL|DAL|ELP|
ELP|RSW,|RSW|IAH|ELP|
ELP|SAN,|SAN|PHX|ELP|
ELP|SJO,|SJO|IAH|ELP|
ELP|STL,|STL|DAL|ELP|
ELP|SYR,|SYR|CLE|STL|DAL|ELP|
ELP|TLV,|TLV|IST|FRA|DEN|ELP|
ELP|TPA,|TPA|IAH|ELP|
ELP|UVF,|UVF|EWR|BWI|LIT|DAL|ELP|
ELP|VIE,|VIE|ORD|STL|DAL|ELP|
ELP|YAM,|YAM|YYZ|STL|DAL|ELP|
ELP|YGK,|YGK|YYZ|STL|DAL|ELP|
ELP|YQG,|YQG|YYZ|STL|DAL|ELP|
ELP|YSB,|YSB|YYZ|STL|DAL|ELP|
ELP|YTS,|YTS|YYZ|STL|DAL|ELP|
ELP|YYB,|YYB|YYZ|STL|DAL|ELP|
ELP|YZR,|YZR|YYZ|STL|DAL|ELP|
ELP|CAN,|CAN|PVG|SFO|LAS|ELP|
ELP|URC,|URC|PEK|SEA|LAS|ELP|
ELP|CTU,|CTU|PEK|SEA|LAS|ELP|
ELP|HGH,|HGH|DLC|ICN|SFO|LAS|ELP|
ELP|XMN,|XMN|PEK|SEA|LAS|ELP|
ELP|CGO,|CGO|PEK|SEA|LAS|ELP|
ELP|CSX,|CSX|ICN|SFO|LAS|ELP|
ELP|SHE,|SHE|ICN|SFO|LAS|ELP|
ELP|SJW,|SJW|DLC|ICN|SFO|LAS|ELP|
ELP|WUH,|WUH|ICN|SFO|LAS|ELP|
ELP|SZX,|SZX|PVG|SFO|LAS|ELP|
ELP|CKG,|CKG|PEK|SEA|LAS|ELP|
ELP|KMG,|KMG|PEK|SEA|LAS|ELP|
ELP|FOC,|FOC|HGH|DLC|ICN|SFO|LAS|ELP|
ELP|NNG,|NNG|CSX|ICN|SFO|LAS|ELP|
ELP|SWA,|SWA|PEK|SEA|LAS|ELP|
ELP|ACX,|ACX|CAN|PVG|SFO|LAS|ELP|
ELP|AQG,|AQG|CAN|PVG|SFO|LAS|ELP|
ELP|AVA,|AVA|CAN|PVG|SFO|LAS|ELP|
