YWG|BCN,|BCN|YYZ|YWG|
YWG|BDA,|BDA|YYZ|YWG|
YWG|BGI,|BGI|YYZ|YWG|
YWG|BNA,|BNA|ORD|YWG|
YWG|BOG,|BOG|MIA|ORD|YWG|
YWG|BWI,|BWI|YYZ|YWG|
YWG|CLE,|CLE|ORD|YWG|
YWG|CLT,|CLT|ORD|YWG|
YWG|CMH,|CMH|ORD|YWG|
YWG|CVG,|CVG|ORD|YWG|
YWG|DFW,|DFW|DEN|YWG|
YWG|DTW,|DTW|ORD|YWG|
YWG|DUB,|DUB|YYZ|YWG|
YWG|FCO,|FCO|YYZ|YWG|
YWG|GCM,|GCM|YYZ|YWG|
YWG|GGT,|GGT|FLL|ORD|YWG|
YWG|GND,|GND|YYZ|YWG|
YWG|GRU,|GRU|ORD|YWG|
YWG|HAV,|HAV|YYZ|YWG|
YWG|IND,|IND|ORD|YWG|
YWG|JFK,|JFK|YYZ|YWG|
YWG|KIN,|KIN|YYZ|YWG|
YWG|LIM,|LIM|MIA|ORD|YWG|
YWG|LIR,|LIR|IAH|ORD|YWG|
YWG|MCI,|MCI|ORD|YWG|
YWG|MDT,|MDT|YYZ|YWG|
YWG|MIA,|MIA|ORD|YWG|
YWG|MKE,|MKE|ORD|YWG|
YWG|MSP,|MSP|ORD|YWG|
YWG|NAS,|NAS|ORD|YWG|
YWG|PHL,|PHL|YYZ|YWG|
YWG|PHX,|PHX|DEN|YWG|
YWG|PIT,|PIT|ORD|YWG|
YWG|PLS,|PLS|YYZ|YWG|
YWG|POP,|POP|YYZ|YWG|
YWG|RDU,|RDU|ORD|YWG|
YWG|ROC,|ROC|YYZ|YWG|
YWG|RSW,|RSW|ORD|YWG|
YWG|SAN,|SAN|LAS|YWG|
YWG|SJO,|SJO|ORD|YWG|
YWG|STL,|STL|ORD|YWG|
YWG|SYR,|SYR|YYZ|YWG|
YWG|TLV,|TLV|IST|FRA|YUL|YWG|
YWG|TPA,|TPA|ORD|YWG|
YWG|UVF,|UVF|YYZ|YWG|
YWG|VIE,|VIE|YYZ|YWG|
YWG|YAM,|YAM|YYZ|YWG|
YWG|YGK,|YGK|YYZ|YWG|
YWG|YQG,|YQG|YYZ|YWG|
YWG|YSB,|YSB|YYZ|YWG|
YWG|YTS,|YTS|YYZ|YWG|
YWG|YYB,|YYB|YYZ|YWG|
YWG|YZR,|YZR|YYZ|YWG|
YWG|CAN,|CAN|YVR|YWG|
YWG|URC,|URC|PEK|YVR|YWG|
YWG|CTU,|CTU|PEK|YVR|YWG|
YWG|HGH,|HGH|DLC|ICN|YVR|YWG|
YWG|XMN,|XMN|PEK|YVR|YWG|
YWG|CGO,|CGO|PEK|YVR|YWG|
YWG|CSX,|CSX|ICN|YVR|YWG|
YWG|SHE,|SHE|ICN|YVR|YWG|
YWG|SJW,|SJW|DLC|ICN|YVR|YWG|
YWG|WUH,|WUH|ICN|YVR|YWG|
YWG|SZX,|SZX|PVG|YVR|YWG|
YWG|CKG,|CKG|PEK|YVR|YWG|
YWG|KMG,|KMG|PEK|YVR|YWG|
YWG|FOC,|FOC|PEK|YVR|YWG|
YWG|NNG,|NNG|PEK|YVR|YWG|
YWG|SWA,|SWA|PEK|YVR|YWG|
YWG|ACX,|ACX|CAN|YVR|YWG|
YWG|AQG,|AQG|CAN|YVR|YWG|
YWG|AVA,|AVA|CAN|YVR|YWG|
YWG|BFJ,|BFJ|CAN|YVR|YWG|
YWG|BHY,|BHY|CSX|ICN|YVR|YWG|
YWG|BNE,|BNE|CAN|YVR|YWG|
YWG|CGD,|CGD|PEK|YVR|YWG|
YWG|CGK,|CGK|SIN|NRT|YYC|YWG|
YWG|CGQ,|CGQ|NRT|YYC|YWG|
YWG|CIH,|CIH|PEK|YVR|YWG|
YWG|CNX,|CNX|CAN|YVR|YWG|
YWG|CZX,|CZX|SHE|ICN|YVR|YWG|
YWG|DAC,|DAC|CAN|YVR|YWG|
YWG|DAD,|DAD|CAN|YVR|YWG|
YWG|DEL,|DEL|EWR|YYZ|YWG|
YWG|DIG,|DIG|KMG|PEK|YVR|YWG|
YWG|DLC,|DLC|ICN|YVR|YWG|
YWG|DPS,|DPS|SZX|PVG|YVR|YWG|
YWG|DXB,|DXB|IST|FRA|YUL|YWG|
YWG|DYG,|DYG|PEK|YVR|YWG|
YWG|FUG,|FUG|CAN|YVR|YWG|
YWG|FUK,|FUK|ICN|YVR|YWG|
YWG|HAK,|HAK|CAN|YVR|YWG|
YWG|HAN,|HAN|PEK|YVR|YWG|
YWG|HDG,|HDG|CAN|YVR|YWG|
YWG|HET,|HET|DLC|ICN|YVR|YWG|
YWG|HFE,|HFE|TYN|DLC|ICN|YVR|YWG|
YWG|HJJ,|HJJ|CSX|ICN|YVR|YWG|
YWG|HKT,|HKT|KWE|PEK|YVR|YWG|
YWG|HRB,|HRB|ICN|YVR|YWG|
YWG|HZH,|HZH|CAN|YVR|YWG|
YWG|JIU,|JIU|CAN|YVR|YWG|
YWG|JJN,|JJN|PEK|YVR|YWG|
YWG|JNG,|JNG|CAN|YVR|YWG|
YWG|KHN,|KHN|DLC|ICN|YVR|YWG|
YWG|KIX,|KIX|SFO|LAS|YWG|
YWG|KOW,|KOW|PEK|YVR|YWG|
YWG|KTM,|KTM|IST|FRA|YUL|YWG|
YWG|KUL,|KUL|PVG|YVR|YWG|
YWG|KWE,|KWE|PEK|YVR|YWG|
YWG|KWL,|KWL|PEK|YVR|YWG|
YWG|LHW,|LHW|CGO|PEK|YVR|YWG|
YWG|LYA,|LYA|KHN|DLC|ICN|YVR|YWG|
YWG|LYG,|LYG|HSN|PEK|YVR|YWG|
YWG|LZH,|LZH|CAN|YVR|YWG|
YWG|MEL,|MEL|SYD|YVR|YWG|
YWG|MIG,|MIG|CSX|ICN|YVR|YWG|
YWG|MLE,|MLE|IST|FRA|YUL|YWG|
YWG|MNL,|MNL|XMN|PEK|YVR|YWG|
YWG|MXZ,|MXZ|CAN|YVR|YWG|
YWG|NAO,|NAO|PEK|YVR|YWG|
YWG|NGB,|NGB|DLC|ICN|YVR|YWG|
YWG|NKG,|NKG|DLC|ICN|YVR|YWG|
YWG|NNY,|NNY|CGO|PEK|YVR|YWG|
YWG|PEN,|PEN|CAN|YVR|YWG|
YWG|PER,|PER|CAN|YVR|YWG|
YWG|PNH,|PNH|CAN|YVR|YWG|
YWG|REP,|REP|ICN|YVR|YWG|
YWG|RGN,|RGN|CAN|YVR|YWG|
YWG|SGN,|SGN|HKG|YVR|YWG|
YWG|SHA,|SHA|PEK|YVR|YWG|
YWG|SIN,|SIN|NRT|YYC|YWG|
YWG|SVO,|SVO|URC|PEK|YVR|YWG|
YWG|SYX,|SYX|CAN|YVR|YWG|
YWG|TAO,|TAO|DLC|ICN|YVR|YWG|
YWG|TEN,|TEN|PEK|YVR|YWG|
YWG|TNA,|TNA|DLC|ICN|YVR|YWG|
YWG|TPE,|TPE|PVG|YVR|YWG|
YWG|TSN,|TSN|DLC|ICN|YVR|YWG|
YWG|TXN,|TXN|DLC|ICN|YVR|YWG|
YWG|TYN,|TYN|DLC|ICN|YVR|YWG|
YWG|WNZ,|WNZ|CGO|PEK|YVR|YWG|
YWG|WUX,|WUX|CAN|YVR|YWG|
YWG|XFN,|XFN|CAN|YVR|YWG|
YWG|XIY,|XIY|PEK|YVR|YWG|
YWG|XUZ,|XUZ|LYG|HSN|PEK|YVR|YWG|
YWG|YIH,|YIH|CKG|PEK|YVR|YWG|
YWG|YIW,|YIW|PEK|YVR|YWG|
YWG|YNT,|YNT|SHE|ICN|YVR|YWG|
YWG|YNZ,|YNZ|DLC|ICN|YVR|YWG|
YWG|YTY,|YTY|DLC|ICN|YVR|YWG|
YWG|ZHA,|ZHA|CAN|YVR|YWG|
YWG|ZYI,|ZYI|PEK|YVR|YWG|
YWG|BAV,|BAV|SJW|DLC|ICN|YVR|YWG|
YWG|CJU,|CJU|DLC|ICN|YVR|YWG|
YWG|DSN,|DSN|CGO|PEK|YVR|YWG|
YWG|HMI,|HMI|CGO|PEK|YVR|YWG|
YWG|INC,|INC|PEK|YVR|YWG|
YWG|KHH,|KHH|CGO|PEK|YVR|YWG|
YWG|UYN,|UYN|CGO|PEK|YVR|YWG|
YWG|XNN,|XNN|PEK|YVR|YWG|
YWG|ZUH,|ZUH|PVG|YVR|YWG|
YWG|YNJ,|YNJ|ICN|YVR|YWG|
YWG|DAT,|DAT|CIH|PEK|YVR|YWG|
YWG|JHG,|JHG|CKG|PEK|YVR|YWG|
YWG|LJG,|LJG|CKG|PEK|YVR|YWG|
YWG|LXA,|LXA|XIY|PEK|YVR|YWG|
YWG|YCU,|YCU|CSX|ICN|YVR|YWG|
YWG|LZO,|LZO|CSX|ICN|YVR|YWG|
YWG|MDG,|MDG|ICN|YVR|YWG|
YWG|NGO,|NGO|ICN|YVR|YWG|
YWG|TOY,|TOY|DLC|ICN|YVR|YWG|
YWG|MFM,|MFM|XMN|PEK|YVR|YWG|
YWG|TGO,|TGO|HET|DLC|ICN|YVR|YWG|
YWG|XIL,|XIL|HET|DLC|ICN|YVR|YWG|
YWG|HEK,|HEK|HRB|ICN|YVR|YWG|
YWG|KIJ,|KIJ|HRB|ICN|YVR|YWG|
YWG|LDS,|LDS|HRB|ICN|YVR|YWG|
YWG|OHE,|OHE|HRB|ICN|YVR|YWG|
YWG|HSN,|HSN|PEK|YVR|YWG|
YWG|DLU,|DLU|KMG|PEK|YVR|YWG|
YWG|SYM,|SYM|KMG|PEK|YVR|YWG|
YWG|ZAT,|ZAT|KMG|PEK|YVR|YWG|
YWG|LUN,|LUN|NBO|ZRH|YUL|YWG|
YWG|AOG,|AOG|PEK|YVR|YWG|
YWG|GMP,|GMP|PEK|YVR|YWG|
YWG|ISB,|ISB|IST|FRA|YUL|YWG|
YWG|TAS,|TAS|IST|FRA|YUL|YWG|
YWG|WUS,|WUS|PEK|YVR|YWG|
YWG|JMU,|JMU|PVG|YVR|YWG|
YWG|NDG,|NDG|PVG|YVR|YWG|
YWG|JXA,|JXA|SHE|ICN|YVR|YWG|
YWG|PUS,|PUS|SHE|ICN|YVR|YWG|
YWG|BKI,|BKI|SZX|PVG|YVR|YWG|
YWG|AKU,|AKU|URC|PEK|YVR|YWG|
YWG|ALA,|ALA|TSE|FRA|YUL|YWG|
YWG|ASB,|ASB|GYD|FRA|YUL|YWG|
YWG|DNH,|DNH|XIY|PEK|YVR|YWG|
YWG|DYU,|DYU|IST|FRA|YUL|YWG|
YWG|FRU,|FRU|IST|FRA|YUL|YWG|
YWG|GYD,|GYD|FRA|YUL|YWG|
YWG|HTN,|HTN|URC|PEK|YVR|YWG|
YWG|IKA,|IKA|SAW|FRA|YUL|YWG|
YWG|KCA,|KCA|URC|PEK|YVR|YWG|
YWG|KHG,|KHG|URC|PEK|YVR|YWG|
YWG|KRL,|KRL|URC|PEK|YVR|YWG|
YWG|KRY,|KRY|URC|PEK|YVR|YWG|
YWG|LBD,|LBD|URC|PEK|YVR|YWG|
YWG|NLT,|NLT|URC|PEK|YVR|YWG|
YWG|OSS,|OSS|IST|FRA|YUL|YWG|
YWG|OVB,|OVB|IST|FRA|YUL|YWG|
YWG|TBS,|TBS|SAW|FRA|YUL|YWG|
YWG|TCG,|TCG|URC|PEK|YVR|YWG|
YWG|TSE,|TSE|FRA|YUL|YWG|
YWG|YIN,|YIN|URC|PEK|YVR|YWG|
