YHZ|SFO,|SFO|YUL|YHZ|
YHZ|YQU,|YQU|YEG|YUL|YHZ|
YHZ|YZF,|YZF|YEG|YUL|YHZ|
YHZ|YGR,|YGR|YGP|YQB|YUL|YHZ|
YHZ|YGP,|YGP|YQB|YUL|YHZ|
YHZ|BOS,|BOS|YHZ|
YHZ|YDF,|YDF|YHZ|
YHZ|YFC,|YFC|YHZ|
YHZ|YQM,|YQM|YHZ|
YHZ|YQX,|YQX|YHZ|
YHZ|YQY,|YQY|YHZ|
YHZ|YSJ,|YSJ|YHZ|
YHZ|YYG,|YYG|YHZ|
YHZ|LAX,|LAX|YUL|YHZ|
YHZ|DCA,|DCA|EWR|YHZ|
YHZ|LGA,|LGA|YHZ|
YHZ|YZV,|YZV|YUL|YHZ|
YHZ|YWL,|YWL|YVR|YYC|YHZ|
YHZ|AZS,|AZS|YUL|YHZ|
YHZ|BDL,|BDL|YUL|YHZ|
YHZ|CCC,|CCC|YUL|YHZ|
YHZ|CDG,|CDG|YUL|YHZ|
YHZ|CUN,|CUN|YHZ|
YHZ|CZM,|CZM|YUL|YHZ|
YHZ|FDF,|FDF|YUL|YHZ|
YHZ|FLL,|FLL|MCO|YHZ|
YHZ|GVA,|GVA|YUL|YHZ|
YHZ|HOG,|HOG|YUL|YHZ|
YHZ|LAS,|LAS|YUL|YHZ|
YHZ|MBJ,|MBJ|YHZ|
YHZ|MCO,|MCO|YHZ|
YHZ|MUC,|MUC|BOS|YHZ|
YHZ|PAP,|PAP|YUL|YHZ|
YHZ|PTP,|PTP|YUL|YHZ|
YHZ|PUJ,|PUJ|YHZ|
YHZ|SNU,|SNU|YUL|YHZ|
YHZ|VRA,|VRA|YUL|YHZ|
YHZ|YBC,|YBC|YUL|YHZ|
YHZ|YBG,|YBG|YUL|YHZ|
YHZ|YTZ,|YTZ|YUL|YHZ|
YHZ|YUY,|YUY|YUL|YHZ|
YHZ|YVO,|YVO|YUL|YHZ|
YHZ|ZBF,|ZBF|YUL|YHZ|
YHZ|ZRH,|ZRH|BOS|YHZ|
YHZ|ZSA,|ZSA|YUL|YHZ|
YHZ|AKL,|AKL|LAX|YUL|YHZ|
YHZ|HKG,|HKG|YYZ|YHZ|
YHZ|HND,|HND|YVR|YYC|YHZ|
YHZ|HNL,|HNL|SFO|YUL|YHZ|
YHZ|MEX,|MEX|EWR|YHZ|
YHZ|OGG,|OGG|SFO|YUL|YHZ|
YHZ|PDX,|PDX|YYC|YHZ|
YHZ|PEK,|PEK|YYZ|YHZ|
YHZ|PVG,|PVG|YYZ|YHZ|
YHZ|PVR,|PVR|EWR|YHZ|
YHZ|SEA,|SEA|YYZ|YHZ|
YHZ|SYD,|SYD|SFO|YUL|YHZ|
YHZ|YBL,|YBL|YVR|YYC|YHZ|
YHZ|YCD,|YCD|YYC|YHZ|
YHZ|YCG,|YCG|YYC|YHZ|
YHZ|YKA,|YKA|YYC|YHZ|
YHZ|YPR,|YPR|YVR|YYC|YHZ|
YHZ|YQZ,|YQZ|YVR|YYC|YHZ|
YHZ|YXC,|YXC|YYC|YHZ|
YHZ|YXJ,|YXJ|YYC|YHZ|
YHZ|YXS,|YXS|YYC|YHZ|
YHZ|YXT,|YXT|YVR|YYC|YHZ|
YHZ|YXY,|YXY|YVR|YYC|YHZ|
YHZ|YYD,|YYD|YVR|YYC|YHZ|
YHZ|YYF,|YYF|YVR|YYC|YHZ|
YHZ|YZP,|YZP|YVR|YYC|YHZ|
YHZ|YQT,|YQT|YYZ|YHZ|
YHZ|SJD,|SJD|EWR|YHZ|
YHZ|YQF,|YQF|YYC|YHZ|
YHZ|YQL,|YQL|YYC|YHZ|
YHZ|YXH,|YXH|YYC|YHZ|
YHZ|YWK,|YWK|YYR|YHZ|
YHZ|ANU,|ANU|EWR|YHZ|
YHZ|AUA,|AUA|EWR|YHZ|
YHZ|AUH,|AUH|IST|LHR|YHZ|
YHZ|BCN,|BCN|EWR|YHZ|
YHZ|BDA,|BDA|EWR|YHZ|
YHZ|BGI,|BGI|YYZ|YHZ|
YHZ|BNA,|BNA|BOS|YHZ|
YHZ|BOG,|BOG|EWR|YHZ|
YHZ|BWI,|BWI|EWR|YHZ|
YHZ|CLE,|CLE|BOS|YHZ|
YHZ|CLT,|CLT|EWR|YHZ|
YHZ|CMH,|CMH|EWR|YHZ|
YHZ|CVG,|CVG|EWR|YHZ|
YHZ|DFW,|DFW|EWR|YHZ|
YHZ|DTW,|DTW|YYZ|YHZ|
YHZ|DUB,|DUB|BOS|YHZ|
YHZ|FCO,|FCO|EWR|YHZ|
YHZ|GCM,|GCM|EWR|YHZ|
YHZ|GGT,|GGT|FLL|MCO|YHZ|
YHZ|GND,|GND|YYZ|YHZ|
YHZ|GRU,|GRU|EWR|YHZ|
YHZ|HAV,|HAV|YYZ|YHZ|
YHZ|IND,|IND|CLE|BOS|YHZ|
YHZ|JFK,|JFK|YUL|YHZ|
YHZ|KIN,|KIN|YYZ|YHZ|
YHZ|LIM,|LIM|EWR|YHZ|
YHZ|LIR,|LIR|EWR|YHZ|
YHZ|MCI,|MCI|YYZ|YHZ|
YHZ|MDT,|MDT|IAD|LGA|YHZ|
YHZ|MIA,|MIA|EWR|YHZ|
YHZ|MKE,|MKE|YYZ|YHZ|
YHZ|MSP,|MSP|YUL|YHZ|
YHZ|NAS,|NAS|EWR|YHZ|
YHZ|PHL,|PHL|IAD|LGA|YHZ|
YHZ|PHX,|PHX|YYZ|YHZ|
YHZ|PIT,|PIT|EWR|YHZ|
YHZ|PLS,|PLS|EWR|YHZ|
YHZ|POP,|POP|EWR|YHZ|
YHZ|RDU,|RDU|EWR|YHZ|
YHZ|ROC,|ROC|EWR|YHZ|
YHZ|RSW,|RSW|MCO|YHZ|
YHZ|SAN,|SAN|YYZ|YHZ|
YHZ|SJO,|SJO|EWR|YHZ|
YHZ|STL,|STL|YYZ|YHZ|
YHZ|SYR,|SYR|EWR|YHZ|
YHZ|TLV,|TLV|IST|LHR|YHZ|
YHZ|TPA,|TPA|EWR|YHZ|
YHZ|UVF,|UVF|EWR|YHZ|
YHZ|VIE,|VIE|JFK|YUL|YHZ|
YHZ|YAM,|YAM|YYZ|YHZ|
YHZ|YGK,|YGK|YYZ|YHZ|
YHZ|YQG,|YQG|YYZ|YHZ|
YHZ|YSB,|YSB|YYZ|YHZ|
YHZ|YTS,|YTS|YYZ|YHZ|
YHZ|YYB,|YYB|YYZ|YHZ|
YHZ|YZR,|YZR|YYZ|YHZ|
YHZ|CAN,|CAN|PEK|YYZ|YHZ|
YHZ|URC,|URC|IST|LHR|YHZ|
YHZ|CTU,|CTU|PEK|YYZ|YHZ|
YHZ|HGH,|HGH|PEK|YYZ|YHZ|
YHZ|XMN,|XMN|PEK|YYZ|YHZ|
YHZ|CGO,|CGO|PEK|YYZ|YHZ|
YHZ|CSX,|CSX|PEK|YYZ|YHZ|
YHZ|SHE,|SHE|PEK|YYZ|YHZ|
YHZ|SJW,|SJW|DLC|PEK|YYZ|YHZ|
YHZ|WUH,|WUH|PEK|YYZ|YHZ|
YHZ|SZX,|SZX|PEK|YYZ|YHZ|
YHZ|CKG,|CKG|PEK|YYZ|YHZ|
YHZ|KMG,|KMG|PEK|YYZ|YHZ|
YHZ|FOC,|FOC|PEK|YYZ|YHZ|
YHZ|NNG,|NNG|PEK|YYZ|YHZ|
YHZ|SWA,|SWA|PEK|YYZ|YHZ|
YHZ|ACX,|ACX|CAN|PEK|YYZ|YHZ|
YHZ|AQG,|AQG|CAN|PEK|YYZ|YHZ|
YHZ|AVA,|AVA|CAN|PEK|YYZ|YHZ|
YHZ|BFJ,|BFJ|CAN|PEK|YYZ|YHZ|
YHZ|BHY,|BHY|CGO|PEK|YYZ|YHZ|
YHZ|BNE,|BNE|CAN|PEK|YYZ|YHZ|
YHZ|CGD,|CGD|PEK|YYZ|YHZ|
YHZ|CGK,|CGK|SIN|IST|LHR|YHZ|
YHZ|CGQ,|CGQ|PEK|YYZ|YHZ|
YHZ|CIH,|CIH|PEK|YYZ|YHZ|
YHZ|CNX,|CNX|CAN|PEK|YYZ|YHZ|
YHZ|CZX,|CZX|SHE|PEK|YYZ|YHZ|
YHZ|DAC,|DAC|IST|LHR|YHZ|
YHZ|DAD,|DAD|CAN|PEK|YYZ|YHZ|
YHZ|DEL,|DEL|IST|LHR|YHZ|
YHZ|DIG,|DIG|KMG|PEK|YYZ|YHZ|
YHZ|DLC,|DLC|PEK|YYZ|YHZ|
YHZ|DPS,|DPS|SZX|PEK|YYZ|YHZ|
YHZ|DXB,|DXB|IST|LHR|YHZ|
YHZ|DYG,|DYG|PEK|YYZ|YHZ|
YHZ|FUG,|FUG|CAN|PEK|YYZ|YHZ|
YHZ|FUK,|FUK|ICN|JFK|YUL|YHZ|
YHZ|HAK,|HAK|PEK|YYZ|YHZ|
YHZ|HAN,|HAN|PEK|YYZ|YHZ|
YHZ|HDG,|HDG|CAN|PEK|YYZ|YHZ|
YHZ|HET,|HET|DLC|PEK|YYZ|YHZ|
