DOK|YQZ,|YQZ|YVR|MUC|IST|DOK|
DOK|YXC,|YXC|YYC|FRA|IST|DOK|
DOK|YXJ,|YXJ|YYC|FRA|IST|DOK|
DOK|YXS,|YXS|YYC|FRA|IST|DOK|
DOK|YXT,|YXT|YVR|MUC|IST|DOK|
DOK|YXY,|YXY|YVR|MUC|IST|DOK|
DOK|YYD,|YYD|YVR|MUC|IST|DOK|
DOK|YYF,|YYF|YVR|MUC|IST|DOK|
DOK|YZP,|YZP|YVR|MUC|IST|DOK|
DOK|YQT,|YQT|YYZ|IST|DOK|
DOK|SJD,|SJD|ORD|IST|DOK|
DOK|YQF,|YQF|YYC|FRA|IST|DOK|
DOK|YQL,|YQL|YYC|FRA|IST|DOK|
DOK|YXH,|YXH|YYC|FRA|IST|DOK|
DOK|YWK,|YWK|YYR|YYT|LHR|IST|DOK|
DOK|ANU,|ANU|EWR|BHX|IST|DOK|
DOK|AUA,|AUA|EWR|BHX|IST|DOK|
DOK|AUH,|AUH|IST|DOK|
DOK|BCN,|BCN|IST|DOK|
DOK|BDA,|BDA|EWR|BHX|IST|DOK|
DOK|BGI,|BGI|YYZ|IST|DOK|
DOK|BNA,|BNA|YYZ|IST|DOK|
DOK|BOG,|BOG|MIA|ZRH|IST|DOK|
DOK|BWI,|BWI|EWR|BHX|IST|DOK|
DOK|CLE,|CLE|YYZ|IST|DOK|
DOK|CLT,|CLT|EWR|BHX|IST|DOK|
DOK|CMH,|CMH|YYZ|IST|DOK|
DOK|CVG,|CVG|YYZ|IST|DOK|
DOK|DFW,|DFW|ORD|IST|DOK|
DOK|DTW,|DTW|FRA|IST|DOK|
DOK|DUB,|DUB|IST|DOK|
DOK|FCO,|FCO|IST|DOK|
DOK|GCM,|GCM|EWR|BHX|IST|DOK|
DOK|GGT,|GGT|FLL|MCO|FRA|IST|DOK|
DOK|GND,|GND|YYZ|IST|DOK|
DOK|GRU,|GRU|IST|DOK|
DOK|HAV,|HAV|YYZ|IST|DOK|
DOK|IND,|IND|YYZ|IST|DOK|
DOK|JFK,|JFK|IST|DOK|
DOK|KIN,|KIN|YYZ|IST|DOK|
DOK|LIM,|LIM|MIA|ZRH|IST|DOK|
DOK|LIR,|LIR|EWR|BHX|IST|DOK|
DOK|MCI,|MCI|ORD|IST|DOK|
DOK|MDT,|MDT|IAD|IST|DOK|
DOK|MIA,|MIA|ZRH|IST|DOK|
DOK|MKE,|MKE|YYZ|IST|DOK|
DOK|MSP,|MSP|YUL|FRA|IST|DOK|
DOK|NAS,|NAS|EWR|BHX|IST|DOK|
DOK|PHL,|PHL|IAD|IST|DOK|
DOK|PHX,|PHX|DEN|FRA|IST|DOK|
DOK|PIT,|PIT|YYZ|IST|DOK|
DOK|PLS,|PLS|EWR|BHX|IST|DOK|
DOK|POP,|POP|EWR|BHX|IST|DOK|
DOK|RDU,|RDU|EWR|BHX|IST|DOK|
DOK|ROC,|ROC|YYZ|IST|DOK|
