JED|AUH,|AUH|IST|JED|
JED|BCN,|BCN|IST|JED|
JED|BDA,|BDA|EWR|FRA|JED|
JED|BGI,|BGI|YYZ|FRA|JED|
JED|BNA,|BNA|YYZ|FRA|JED|
JED|BOG,|BOG|JFK|FRA|JED|
JED|BWI,|BWI|EWR|FRA|JED|
JED|CLE,|CLE|YYZ|FRA|JED|
JED|CLT,|CLT|EWR|FRA|JED|
JED|CMH,|CMH|YYZ|FRA|JED|
JED|CVG,|CVG|YYZ|FRA|JED|
JED|DFW,|DFW|FRA|JED|
JED|DTW,|DTW|FRA|JED|
JED|DUB,|DUB|IST|JED|
JED|FCO,|FCO|IST|JED|
JED|GCM,|GCM|EWR|FRA|JED|
JED|GGT,|GGT|FLL|MCO|FRA|JED|
JED|GND,|GND|YYZ|FRA|JED|
JED|GRU,|GRU|IST|JED|
JED|HAV,|HAV|YYZ|FRA|JED|
JED|IND,|IND|YYZ|FRA|JED|
JED|JFK,|JFK|FRA|JED|
JED|KIN,|KIN|YYZ|FRA|JED|
JED|LIM,|LIM|MIA|FRA|JED|
JED|LIR,|LIR|EWR|FRA|JED|
JED|MCI,|MCI|ORD|FRA|JED|
JED|MDT,|MDT|IAD|FRA|JED|
JED|MIA,|MIA|FRA|JED|
JED|MKE,|MKE|YYZ|FRA|JED|
JED|MSP,|MSP|YUL|FRA|JED|
JED|NAS,|NAS|EWR|FRA|JED|
JED|PHL,|PHL|IAD|FRA|JED|
JED|PHX,|PHX|DEN|FRA|JED|
JED|PIT,|PIT|YYZ|FRA|JED|
JED|PLS,|PLS|EWR|FRA|JED|
JED|POP,|POP|EWR|FRA|JED|
JED|RDU,|RDU|EWR|FRA|JED|
JED|ROC,|ROC|YYZ|FRA|JED|
JED|RSW,|RSW|MCO|FRA|JED|
JED|SAN,|SAN|LAX|IST|JED|
JED|SJO,|SJO|EWR|FRA|JED|
JED|STL,|STL|DTW|FRA|JED|
JED|SYR,|SYR|EWR|FRA|JED|
JED|TLV,|TLV|IST|JED|
JED|TPA,|TPA|EWR|FRA|JED|
JED|UVF,|UVF|EWR|FRA|JED|
JED|VIE,|VIE|IST|JED|
JED|YAM,|YAM|YYZ|FRA|JED|
JED|YGK,|YGK|YYZ|FRA|JED|
JED|YQG,|YQG|YYZ|FRA|JED|
JED|YSB,|YSB|YYZ|FRA|JED|
JED|YTS,|YTS|YYZ|FRA|JED|
JED|YYB,|YYB|YYZ|FRA|JED|
JED|YZR,|YZR|YYZ|FRA|JED|
JED|CAN,|CAN|IST|JED|
JED|URC,|URC|IST|JED|
JED|CTU,|CTU|URC|IST|JED|
JED|HGH,|HGH|URC|IST|JED|
JED|XMN,|XMN|CSX|URC|IST|JED|
JED|CGO,|CGO|URC|IST|JED|
JED|CSX,|CSX|URC|IST|JED|
JED|SHE,|SHE|PEK|IST|JED|
JED|SJW,|SJW|URC|IST|JED|
JED|WUH,|WUH|URC|IST|JED|
JED|SZX,|SZX|CKG|URC|IST|JED|
JED|CKG,|CKG|URC|IST|JED|
JED|KMG,|KMG|CTU|URC|IST|JED|
JED|FOC,|FOC|XIY|URC|IST|JED|
JED|NNG,|NNG|KWE|URC|IST|JED|
JED|SWA,|SWA|CAN|IST|JED|
JED|ACX,|ACX|CAN|IST|JED|
JED|AQG,|AQG|CAN|IST|JED|
JED|AVA,|AVA|CAN|IST|JED|
JED|BFJ,|BFJ|CAN|IST|JED|
JED|BHY,|BHY|CKG|URC|IST|JED|
JED|BNE,|BNE|BKK|IST|JED|
JED|CGD,|CGD|PEK|IST|JED|
JED|CGK,|CGK|SIN|IST|JED|
JED|CGQ,|CGQ|HET|URC|IST|JED|
JED|CIH,|CIH|PEK|IST|JED|
JED|CNX,|CNX|CAN|IST|JED|
JED|CZX,|CZX|TYN|URC|IST|JED|
JED|DAC,|DAC|IST|JED|
JED|DAD,|DAD|CAN|IST|JED|
JED|DEL,|DEL|IST|JED|
JED|DIG,|DIG|KMG|CTU|URC|IST|JED|
JED|DLC,|DLC|PEK|IST|JED|
JED|DPS,|DPS|CAN|IST|JED|
JED|DXB,|DXB|IST|JED|
JED|DYG,|DYG|CSX|URC|IST|JED|
JED|FUG,|FUG|CAN|IST|JED|
JED|FUK,|FUK|ICN|IST|JED|
JED|HAK,|HAK|CTU|URC|IST|JED|
JED|HAN,|HAN|CAN|IST|JED|
JED|HDG,|HDG|CAN|IST|JED|
JED|HET,|HET|URC|IST|JED|
JED|HFE,|HFE|XIY|URC|IST|JED|
JED|HJJ,|HJJ|CSX|URC|IST|JED|
JED|HKT,|HKT|KWE|URC|IST|JED|
JED|HRB,|HRB|PEK|IST|JED|
JED|HZH,|HZH|CAN|IST|JED|
JED|JIU,|JIU|CAN|IST|JED|
JED|JJN,|JJN|CSX|URC|IST|JED|
JED|JNG,|JNG|CAN|IST|JED|
JED|KHN,|KHN|XIY|URC|IST|JED|
JED|KIX,|KIX|IST|JED|
JED|KOW,|KOW|CAN|IST|JED|
JED|KTM,|KTM|IST|JED|
JED|KUL,|KUL|IST|JED|
JED|KWE,|KWE|URC|IST|JED|
JED|KWL,|KWL|CKG|URC|IST|JED|
JED|LHW,|LHW|URC|IST|JED|
JED|LYA,|LYA|KHN|XIY|URC|IST|JED|
JED|LYG,|LYG|XUZ|INC|URC|IST|JED|
JED|LZH,|LZH|CAN|IST|JED|
JED|MEL,|MEL|BKK|IST|JED|
JED|MIG,|MIG|CSX|URC|IST|JED|
JED|MLE,|MLE|IST|JED|
JED|MNL,|MNL|CAN|IST|JED|
JED|MXZ,|MXZ|CAN|IST|JED|
JED|NAO,|NAO|PEK|IST|JED|
JED|NGB,|NGB|WUH|URC|IST|JED|
JED|NKG,|NKG|URC|IST|JED|
JED|NNY,|NNY|CGO|URC|IST|JED|
JED|PEN,|PEN|CAN|IST|JED|
JED|PER,|PER|BKK|IST|JED|
JED|PNH,|PNH|CAN|IST|JED|
JED|REP,|REP|CAN|IST|JED|
JED|RGN,|RGN|CAN|IST|JED|
JED|SGN,|SGN|BKK|IST|JED|
JED|SHA,|SHA|URC|IST|JED|
JED|SIN,|SIN|IST|JED|
JED|SVO,|SVO|URC|IST|JED|
