BFL|LAX,|LAX|BFL|
BFL|DCA,|DCA|DEN|BFL|
BFL|LGA,|LGA|DEN|BFL|
BFL|YZV,|YZV|YUL|DEN|BFL|
BFL|YWL,|YWL|YVR|SFO|BFL|
BFL|AZS,|AZS|YYZ|DEN|BFL|
BFL|BDL,|BDL|DEN|BFL|
BFL|CCC,|CCC|YYZ|DEN|BFL|
BFL|CDG,|CDG|SFO|BFL|
BFL|CUN,|CUN|LAX|BFL|
BFL|CZM,|CZM|IAH|BFL|
BFL|FDF,|FDF|YUL|DEN|BFL|
BFL|FLL,|FLL|IAH|BFL|
BFL|GVA,|GVA|YUL|DEN|BFL|
BFL|HOG,|HOG|YYZ|DEN|BFL|
BFL|LAS,|LAS|LAX|BFL|
BFL|MBJ,|MBJ|IAH|BFL|
BFL|MCO,|MCO|IAH|BFL|
BFL|MUC,|MUC|LAX|BFL|
BFL|PAP,|PAP|YUL|DEN|BFL|
BFL|PTP,|PTP|YUL|DEN|BFL|
BFL|PUJ,|PUJ|ATL|DEN|BFL|
BFL|SNU,|SNU|YYZ|DEN|BFL|
BFL|VRA,|VRA|YYZ|DEN|BFL|
BFL|YBC,|YBC|YUL|DEN|BFL|
BFL|YBG,|YBG|YUL|DEN|BFL|
BFL|YTZ,|YTZ|YUL|DEN|BFL|
BFL|YUY,|YUY|YUL|DEN|BFL|
BFL|YVO,|YVO|YUL|DEN|BFL|
BFL|ZBF,|ZBF|YUL|DEN|BFL|
BFL|ZRH,|ZRH|LAX|BFL|
BFL|ZSA,|ZSA|YUL|DEN|BFL|
BFL|AKL,|AKL|LAX|BFL|
BFL|HKG,|HKG|SFO|BFL|
BFL|HND,|HND|LAX|BFL|
BFL|HNL,|HNL|SFO|BFL|
BFL|MEX,|MEX|LAX|BFL|
BFL|OGG,|OGG|SFO|BFL|
BFL|PDX,|PDX|SFO|BFL|
BFL|PEK,|PEK|SFO|BFL|
BFL|PVG,|PVG|SFO|BFL|
BFL|PVR,|PVR|LAX|BFL|
BFL|SEA,|SEA|SFO|BFL|
BFL|SYD,|SYD|LAX|BFL|
BFL|YBL,|YBL|YVR|SFO|BFL|
BFL|YCD,|YCD|YVR|SFO|BFL|
BFL|YCG,|YCG|YVR|SFO|BFL|
BFL|YKA,|YKA|YVR|SFO|BFL|
BFL|YPR,|YPR|YVR|SFO|BFL|
BFL|YQZ,|YQZ|YVR|SFO|BFL|
BFL|YXC,|YXC|YVR|SFO|BFL|
BFL|YXJ,|YXJ|YVR|SFO|BFL|
BFL|YXS,|YXS|YVR|SFO|BFL|
BFL|YXT,|YXT|YVR|SFO|BFL|
BFL|YXY,|YXY|YVR|SFO|BFL|
BFL|YYD,|YYD|YVR|SFO|BFL|
BFL|YYF,|YYF|YVR|SFO|BFL|
BFL|YZP,|YZP|YVR|SFO|BFL|
BFL|YQT,|YQT|YWG|DEN|BFL|
BFL|SJD,|SJD|LAX|BFL|
BFL|YQF,|YQF|YYC|SFO|BFL|
BFL|YQL,|YQL|YYC|SFO|BFL|
BFL|YXH,|YXH|YYC|SFO|BFL|
BFL|YWK,|YWK|YZV|YUL|DEN|BFL|
BFL|ANU,|ANU|EWR|DEN|BFL|
BFL|AUA,|AUA|ATL|DEN|BFL|
BFL|AUH,|AUH|IST|LAX|BFL|
BFL|BCN,|BCN|YYZ|DEN|BFL|
BFL|BDA,|BDA|EWR|DEN|BFL|
BFL|BGI,|BGI|YYZ|DEN|BFL|
BFL|BNA,|BNA|DEN|BFL|
BFL|BOG,|BOG|IAH|BFL|
BFL|BWI,|BWI|DEN|BFL|
BFL|CLE,|CLE|DEN|BFL|
BFL|CLT,|CLT|MDW|DEN|BFL|
BFL|CMH,|CMH|DEN|BFL|
BFL|CVG,|CVG|DEN|BFL|
BFL|DFW,|DFW|LAX|BFL|
BFL|DTW,|DTW|DEN|BFL|
BFL|DUB,|DUB|ORD|DEN|BFL|
BFL|FCO,|FCO|YYZ|DEN|BFL|
BFL|GCM,|GCM|IAH|BFL|
BFL|GGT,|GGT|FLL|IAH|BFL|
BFL|GND,|GND|YYZ|DEN|BFL|
BFL|GRU,|GRU|IAH|BFL|
BFL|HAV,|HAV|YYZ|DEN|BFL|
BFL|IND,|IND|DEN|BFL|
BFL|JFK,|JFK|IAD|DEN|BFL|
BFL|KIN,|KIN|YYZ|DEN|BFL|
BFL|LIM,|LIM|IAH|BFL|
BFL|LIR,|LIR|IAH|BFL|
BFL|MCI,|MCI|DEN|BFL|
BFL|MDT,|MDT|ORD|DEN|BFL|
BFL|MIA,|MIA|IAH|BFL|
BFL|MKE,|MKE|DEN|BFL|
BFL|MSP,|MSP|DEN|BFL|
BFL|NAS,|NAS|IAH|BFL|
BFL|PHL,|PHL|DEN|BFL|
BFL|PHX,|PHX|LAX|BFL|
BFL|PIT,|PIT|DEN|BFL|
BFL|PLS,|PLS|YYZ|DEN|BFL|
BFL|POP,|POP|YYZ|DEN|BFL|
BFL|RDU,|RDU|DEN|BFL|
BFL|ROC,|ROC|ORD|DEN|BFL|
BFL|RSW,|RSW|IAH|BFL|
BFL|SAN,|SAN|LAX|BFL|
BFL|SJO,|SJO|IAH|BFL|
BFL|STL,|STL|DEN|BFL|
BFL|SYR,|SYR|ORD|DEN|BFL|
BFL|TLV,|TLV|IST|LAX|BFL|
BFL|TPA,|TPA|IAH|BFL|
BFL|UVF,|UVF|EWR|DEN|BFL|
BFL|VIE,|VIE|ORD|DEN|BFL|
BFL|YAM,|YAM|YYZ|DEN|BFL|
BFL|YGK,|YGK|YYZ|DEN|BFL|
BFL|YQG,|YQG|YYZ|DEN|BFL|
BFL|YSB,|YSB|YYZ|DEN|BFL|
BFL|YTS,|YTS|YYZ|DEN|BFL|
BFL|YYB,|YYB|YYZ|DEN|BFL|
BFL|YZR,|YZR|YYZ|DEN|BFL|
BFL|CAN,|CAN|PVG|SFO|BFL|
BFL|URC,|URC|PEK|SFO|BFL|
BFL|CTU,|CTU|PEK|SFO|BFL|
