KRL|MEX,|MEX|YVR|PEK|URC|KRL|
KRL|OGG,|OGG|HNL|PEK|URC|KRL|
KRL|PDX,|PDX|SEA|PEK|URC|KRL|
KRL|PEK,|PEK|URC|KRL|
KRL|PVG,|PVG|URC|KRL|
KRL|PVR,|PVR|SFO|PEK|URC|KRL|
KRL|SEA,|SEA|PEK|URC|KRL|
KRL|SYD,|SYD|CAN|URC|KRL|
KRL|YBL,|YBL|YVR|PEK|URC|KRL|
KRL|YCD,|YCD|YVR|PEK|URC|KRL|
KRL|YCG,|YCG|YVR|PEK|URC|KRL|
KRL|YKA,|YKA|YVR|PEK|URC|KRL|
KRL|YPR,|YPR|YVR|PEK|URC|KRL|
KRL|YQZ,|YQZ|YVR|PEK|URC|KRL|
KRL|YXC,|YXC|YVR|PEK|URC|KRL|
KRL|YXJ,|YXJ|YVR|PEK|URC|KRL|
KRL|YXS,|YXS|YVR|PEK|URC|KRL|
KRL|YXT,|YXT|YVR|PEK|URC|KRL|
KRL|YXY,|YXY|YVR|PEK|URC|KRL|
KRL|YYD,|YYD|YVR|PEK|URC|KRL|
KRL|YYF,|YYF|YVR|PEK|URC|KRL|
KRL|YZP,|YZP|YVR|PEK|URC|KRL|
KRL|YQT,|YQT|YYZ|FRA|TSE|URC|KRL|
KRL|SJD,|SJD|SFO|PEK|URC|KRL|
KRL|YQF,|YQF|YYC|YVR|PEK|URC|KRL|
KRL|YQL,|YQL|YYC|YVR|PEK|URC|KRL|
KRL|YXH,|YXH|YYC|YVR|PEK|URC|KRL|
KRL|YWK,|YWK|YYR|YYT|LHR|IST|URC|KRL|
KRL|ANU,|ANU|EWR|FRA|TSE|URC|KRL|
KRL|AUA,|AUA|EWR|FRA|TSE|URC|KRL|
KRL|AUH,|AUH|IST|URC|KRL|
KRL|BCN,|BCN|IST|URC|KRL|
KRL|BDA,|BDA|EWR|FRA|TSE|URC|KRL|
KRL|BGI,|BGI|YYZ|FRA|TSE|URC|KRL|
KRL|BNA,|BNA|YYZ|FRA|TSE|URC|KRL|
KRL|BOG,|BOG|JFK|FRA|TSE|URC|KRL|
KRL|BWI,|BWI|EWR|FRA|TSE|URC|KRL|
KRL|CLE,|CLE|YYZ|FRA|TSE|URC|KRL|
KRL|CLT,|CLT|EWR|FRA|TSE|URC|KRL|
KRL|CMH,|CMH|YYZ|FRA|TSE|URC|KRL|
KRL|CVG,|CVG|YYZ|FRA|TSE|URC|KRL|
KRL|DFW,|DFW|YVR|PEK|URC|KRL|
