FAT|YXT,|YXT|YVR|SFO|FAT|
FAT|YXY,|YXY|YVR|SFO|FAT|
FAT|YYD,|YYD|YVR|SFO|FAT|
FAT|YYF,|YYF|YVR|SFO|FAT|
FAT|YZP,|YZP|YVR|SFO|FAT|
FAT|YQT,|YQT|YWG|LAS|FAT|
FAT|SJD,|SJD|LAX|FAT|
FAT|YQF,|YQF|YYC|SFO|FAT|
FAT|YQL,|YQL|YYC|SFO|FAT|
FAT|YXH,|YXH|YYC|SFO|FAT|
FAT|YWK,|YWK|YZV|YUL|DEN|FAT|
FAT|ANU,|ANU|EWR|DEN|FAT|
FAT|AUA,|AUA|ATL|LAS|FAT|
FAT|AUH,|AUH|FRA|SFO|FAT|
FAT|BCN,|BCN|YYZ|DEN|FAT|
FAT|BDA,|BDA|EWR|DEN|FAT|
FAT|BGI,|BGI|YYZ|DEN|FAT|
FAT|BNA,|BNA|LAS|FAT|
FAT|BOG,|BOG|IAH|LAS|FAT|
FAT|BWI,|BWI|DEN|FAT|
FAT|CLE,|CLE|DEN|FAT|
FAT|CLT,|CLT|MDW|DEN|FAT|
FAT|CMH,|CMH|DEN|FAT|
FAT|CVG,|CVG|DEN|FAT|
FAT|DFW,|DFW|LAX|FAT|
FAT|DTW,|DTW|DEN|FAT|
FAT|DUB,|DUB|ORD|DEN|FAT|
FAT|FCO,|FCO|YYZ|DEN|FAT|
FAT|GCM,|GCM|IAH|LAS|FAT|
FAT|GGT,|GGT|FLL|LAS|FAT|
FAT|GND,|GND|YYZ|DEN|FAT|
FAT|GRU,|GRU|IAH|LAS|FAT|
FAT|HAV,|HAV|YYZ|DEN|FAT|
FAT|IND,|IND|DEN|FAT|
FAT|JFK,|JFK|IAD|DEN|FAT|
FAT|KIN,|KIN|YYZ|DEN|FAT|
FAT|LIM,|LIM|IAH|LAS|FAT|
FAT|LIR,|LIR|IAH|LAS|FAT|
FAT|MCI,|MCI|DEN|FAT|
FAT|MDT,|MDT|ORD|DEN|FAT|
FAT|MIA,|MIA|MSY|LAS|FAT|
FAT|MKE,|MKE|DEN|FAT|
FAT|MSP,|MSP|DEN|FAT|
FAT|NAS,|NAS|IAH|LAS|FAT|
FAT|PHL,|PHL|DEN|FAT|
FAT|PHX,|PHX|LAS|FAT|
FAT|PIT,|PIT|DEN|FAT|
FAT|PLS,|PLS|YYZ|DEN|FAT|
FAT|POP,|POP|YYZ|DEN|FAT|
FAT|RDU,|RDU|DEN|FAT|
FAT|ROC,|ROC|ORD|DEN|FAT|
FAT|RSW,|RSW|IAH|LAS|FAT|
FAT|SAN,|SAN|LAX|FAT|
FAT|SJO,|SJO|IAH|LAS|FAT|
FAT|STL,|STL|DEN|FAT|
FAT|SYR,|SYR|ORD|DEN|FAT|
