SPN|SFO,|SFO|HNL|GUM|SPN|
SPN|YQU,|YQU|YYC|NRT|GUM|SPN|
SPN|YZF,|YZF|YYC|NRT|GUM|SPN|
SPN|YGR,|YGR|YGP|YQB|YYZ|NRT|GUM|SPN|
SPN|YGP,|YGP|YQB|YYZ|NRT|GUM|SPN|
SPN|BOS,|BOS|YYZ|NRT|GUM|SPN|
SPN|YDF,|YDF|YYZ|NRT|GUM|SPN|
SPN|YFC,|YFC|YYZ|NRT|GUM|SPN|
SPN|YQM,|YQM|YYZ|NRT|GUM|SPN|
SPN|YQX,|YQX|YHZ|YYZ|NRT|GUM|SPN|
SPN|YQY,|YQY|YYZ|NRT|GUM|SPN|
SPN|YSJ,|YSJ|YYZ|NRT|GUM|SPN|
SPN|YYG,|YYG|YYZ|NRT|GUM|SPN|
SPN|LAX,|LAX|HNL|GUM|SPN|
SPN|DCA,|DCA|YYZ|NRT|GUM|SPN|
SPN|LGA,|LGA|YYZ|NRT|GUM|SPN|
SPN|YZV,|YZV|YQB|YYZ|NRT|GUM|SPN|
SPN|YWL,|YWL|YVR|NRT|GUM|SPN|
SPN|AZS,|AZS|YYZ|NRT|GUM|SPN|
SPN|BDL,|BDL|YYZ|NRT|GUM|SPN|
SPN|CCC,|CCC|YYZ|NRT|GUM|SPN|
SPN|CDG,|CDG|CAN|HKG|GUM|SPN|
SPN|CUN,|CUN|LAX|HNL|GUM|SPN|
SPN|CZM,|CZM|IAH|HNL|GUM|SPN|
SPN|FDF,|FDF|YUL|YYZ|NRT|GUM|SPN|
SPN|FLL,|FLL|IAH|HNL|GUM|SPN|
SPN|GVA,|GVA|IST|ICN|FUK|GUM|SPN|
SPN|HOG,|HOG|YYZ|NRT|GUM|SPN|
SPN|LAS,|LAS|LAX|HNL|GUM|SPN|
SPN|MBJ,|MBJ|IAH|HNL|GUM|SPN|
SPN|MCO,|MCO|IAH|HNL|GUM|SPN|
SPN|MUC,|MUC|IST|ICN|FUK|GUM|SPN|
SPN|PAP,|PAP|YUL|YYZ|NRT|GUM|SPN|
SPN|PTP,|PTP|YUL|YYZ|NRT|GUM|SPN|
SPN|PUJ,|PUJ|ATL|LAX|HNL|GUM|SPN|
SPN|SNU,|SNU|YYZ|NRT|GUM|SPN|
SPN|VRA,|VRA|YYC|NRT|GUM|SPN|
SPN|YBC,|YBC|YUL|YYZ|NRT|GUM|SPN|
SPN|YBG,|YBG|YUL|YYZ|NRT|GUM|SPN|
SPN|YTZ,|YTZ|YUL|YYZ|NRT|GUM|SPN|
SPN|YUY,|YUY|YUL|YYZ|NRT|GUM|SPN|
SPN|YVO,|YVO|YUL|YYZ|NRT|GUM|SPN|
SPN|ZBF,|ZBF|YUL|YYZ|NRT|GUM|SPN|
SPN|ZRH,|ZRH|IST|ICN|FUK|GUM|SPN|
SPN|ZSA,|ZSA|YUL|YYZ|NRT|GUM|SPN|
SPN|AKL,|AKL|CAN|HKG|GUM|SPN|
SPN|HKG,|HKG|GUM|SPN|
SPN|HND,|HND|HNL|GUM|SPN|
SPN|HNL,|HNL|GUM|SPN|
SPN|MEX,|MEX|LAX|HNL|GUM|SPN|
SPN|OGG,|OGG|HNL|GUM|SPN|
SPN|PDX,|PDX|SEA|NRT|GUM|SPN|
SPN|PEK,|PEK|ICN|FUK|GUM|SPN|
SPN|PVG,|PVG|NGO|GUM|SPN|
SPN|PVR,|PVR|LAX|HNL|GUM|SPN|
SPN|SEA,|SEA|NRT|GUM|SPN|
SPN|SYD,|SYD|CAN|HKG|GUM|SPN|
SPN|YBL,|YBL|YVR|NRT|GUM|SPN|
SPN|YCD,|YCD|YVR|NRT|GUM|SPN|
SPN|YCG,|YCG|YVR|NRT|GUM|SPN|
SPN|YKA,|YKA|YVR|NRT|GUM|SPN|
SPN|YPR,|YPR|YVR|NRT|GUM|SPN|
SPN|YQZ,|YQZ|YVR|NRT|GUM|SPN|
SPN|YXC,|YXC|YVR|NRT|GUM|SPN|
SPN|YXJ,|YXJ|YVR|NRT|GUM|SPN|
SPN|YXS,|YXS|YVR|NRT|GUM|SPN|
SPN|YXT,|YXT|YVR|NRT|GUM|SPN|
SPN|YXY,|YXY|YVR|NRT|GUM|SPN|
SPN|YYD,|YYD|YVR|NRT|GUM|SPN|
SPN|YYF,|YYF|YVR|NRT|GUM|SPN|
SPN|YZP,|YZP|YVR|NRT|GUM|SPN|
SPN|YQT,|YQT|YWG|YYC|NRT|GUM|SPN|
SPN|SJD,|SJD|LAX|HNL|GUM|SPN|
SPN|YQF,|YQF|YYC|NRT|GUM|SPN|
SPN|YQL,|YQL|YYC|NRT|GUM|SPN|
SPN|YXH,|YXH|YYC|NRT|GUM|SPN|
SPN|YWK,|YWK|YZV|YQB|YYZ|NRT|GUM|SPN|
SPN|ANU,|ANU|EWR|NRT|GUM|SPN|
SPN|AUA,|AUA|ATL|LAX|HNL|GUM|SPN|
SPN|AUH,|AUH|IST|ICN|FUK|GUM|SPN|
SPN|BCN,|BCN|IST|ICN|FUK|GUM|SPN|
SPN|BDA,|BDA|EWR|NRT|GUM|SPN|
SPN|BGI,|BGI|YYZ|NRT|GUM|SPN|
SPN|BNA,|BNA|LAX|HNL|GUM|SPN|
SPN|BOG,|BOG|IAH|HNL|GUM|SPN|
SPN|BWI,|BWI|YYZ|NRT|GUM|SPN|
SPN|CLE,|CLE|ORD|NRT|GUM|SPN|
SPN|CLT,|CLT|ORD|NRT|GUM|SPN|
SPN|CMH,|CMH|ORD|NRT|GUM|SPN|
SPN|CVG,|CVG|ORD|NRT|GUM|SPN|
SPN|DFW,|DFW|LAX|HNL|GUM|SPN|
SPN|DTW,|DTW|ORD|NRT|GUM|SPN|
SPN|DUB,|DUB|IST|ICN|FUK|GUM|SPN|
SPN|FCO,|FCO|IST|ICN|FUK|GUM|SPN|
SPN|GCM,|GCM|IAH|HNL|GUM|SPN|
SPN|GGT,|GGT|FLL|IAH|HNL|GUM|SPN|
SPN|GND,|GND|YYZ|NRT|GUM|SPN|
SPN|GRU,|GRU|IAH|HNL|GUM|SPN|
SPN|HAV,|HAV|YYZ|NRT|GUM|SPN|
SPN|IND,|IND|ORD|NRT|GUM|SPN|
SPN|JFK,|JFK|NRT|GUM|SPN|
SPN|KIN,|KIN|YYZ|NRT|GUM|SPN|
SPN|LIM,|LIM|IAH|HNL|GUM|SPN|
SPN|LIR,|LIR|IAH|HNL|GUM|SPN|
SPN|MCI,|MCI|SFO|HNL|GUM|SPN|
SPN|MDT,|MDT|YYZ|NRT|GUM|SPN|
SPN|MIA,|MIA|IAH|HNL|GUM|SPN|
SPN|MKE,|MKE|ORD|NRT|GUM|SPN|
SPN|MSP,|MSP|SFO|HNL|GUM|SPN|
SPN|NAS,|NAS|IAH|HNL|GUM|SPN|
SPN|PHL,|PHL|YYZ|NRT|GUM|SPN|
SPN|PHX,|PHX|LAX|HNL|GUM|SPN|
SPN|PIT,|PIT|YYZ|NRT|GUM|SPN|
SPN|PLS,|PLS|YYZ|NRT|GUM|SPN|
SPN|POP,|POP|YYZ|NRT|GUM|SPN|
SPN|RDU,|RDU|ORD|NRT|GUM|SPN|
SPN|ROC,|ROC|YYZ|NRT|GUM|SPN|
SPN|RSW,|RSW|IAH|HNL|GUM|SPN|
SPN|SAN,|SAN|LAX|HNL|GUM|SPN|
SPN|SJO,|SJO|IAH|HNL|GUM|SPN|
SPN|STL,|STL|SFO|HNL|GUM|SPN|
SPN|SYR,|SYR|YYZ|NRT|GUM|SPN|
SPN|TLV,|TLV|IST|ICN|FUK|GUM|SPN|
SPN|TPA,|TPA|IAH|HNL|GUM|SPN|
SPN|UVF,|UVF|EWR|NRT|GUM|SPN|
SPN|VIE,|VIE|IST|ICN|FUK|GUM|SPN|
SPN|YAM,|YAM|YYZ|NRT|GUM|SPN|
SPN|YGK,|YGK|YYZ|NRT|GUM|SPN|
SPN|YQG,|YQG|YYC|NRT|GUM|SPN|
SPN|YSB,|YSB|YYZ|NRT|GUM|SPN|
SPN|YTS,|YTS|YYZ|NRT|GUM|SPN|
SPN|YYB,|YYB|YYZ|NRT|GUM|SPN|
SPN|YZR,|YZR|YYZ|NRT|GUM|SPN|
SPN|CAN,|CAN|HKG|GUM|SPN|
SPN|URC,|URC|PEK|ICN|FUK|GUM|SPN|
SPN|CTU,|CTU|CAN|HKG|GUM|SPN|
SPN|HGH,|HGH|XMN|MNL|GUM|SPN|
SPN|XMN,|XMN|MNL|GUM|SPN|
SPN|CGO,|CGO|ICN|FUK|GUM|SPN|
SPN|CSX,|CSX|CAN|HKG|GUM|SPN|
SPN|SHE,|SHE|FUK|GUM|SPN|
SPN|SJW,|SJW|DLC|ICN|FUK|GUM|SPN|
SPN|WUH,|WUH|HKG|GUM|SPN|
SPN|SZX,|SZX|MXZ|HKG|GUM|SPN|
SPN|CKG,|CKG|CAN|HKG|GUM|SPN|
SPN|KMG,|KMG|CAN|HKG|GUM|SPN|
SPN|FOC,|FOC|CAN|HKG|GUM|SPN|
SPN|NNG,|NNG|CAN|HKG|GUM|SPN|
SPN|SWA,|SWA|HKG|GUM|SPN|
SPN|ACX,|ACX|CAN|HKG|GUM|SPN|
SPN|AQG,|AQG|CAN|HKG|GUM|SPN|
SPN|AVA,|AVA|CAN|HKG|GUM|SPN|
SPN|BFJ,|BFJ|CAN|HKG|GUM|SPN|
SPN|BHY,|BHY|CAN|HKG|GUM|SPN|
SPN|BNE,|BNE|CAN|HKG|GUM|SPN|
SPN|CGD,|CGD|CAN|HKG|GUM|SPN|
SPN|CGK,|CGK|SIN|HKG|GUM|SPN|
SPN|CGQ,|CGQ|ICN|FUK|GUM|SPN|
SPN|CIH,|CIH|PEK|ICN|FUK|GUM|SPN|
SPN|CNX,|CNX|CAN|HKG|GUM|SPN|
SPN|CZX,|CZX|CAN|HKG|GUM|SPN|
SPN|DAC,|DAC|CAN|HKG|GUM|SPN|
SPN|DAD,|DAD|CAN|HKG|GUM|SPN|
SPN|DEL,|DEL|CAN|HKG|GUM|SPN|
SPN|DIG,|DIG|CAN|HKG|GUM|SPN|
SPN|DLC,|DLC|ICN|FUK|GUM|SPN|
SPN|DPS,|DPS|CAN|HKG|GUM|SPN|
SPN|DXB,|DXB|CAN|HKG|GUM|SPN|
SPN|DYG,|DYG|CAN|HKG|GUM|SPN|
SPN|FUG,|FUG|CAN|HKG|GUM|SPN|
SPN|FUK,|FUK|GUM|SPN|
SPN|HAK,|HAK|CAN|HKG|GUM|SPN|
SPN|HAN,|HAN|CAN|HKG|GUM|SPN|
SPN|HDG,|HDG|CAN|HKG|GUM|SPN|
SPN|HET,|HET|DLC|ICN|FUK|GUM|SPN|
SPN|HFE,|HFE|XMN|MNL|GUM|SPN|
SPN|HJJ,|HJJ|CAN|HKG|GUM|SPN|
SPN|HKT,|HKT|CAN|HKG|GUM|SPN|
SPN|HRB,|HRB|KIX|GUM|SPN|
SPN|HZH,|HZH|CAN|HKG|GUM|SPN|
SPN|JIU,|JIU|CAN|HKG|GUM|SPN|
SPN|JJN,|JJN|CAN|HKG|GUM|SPN|
SPN|JNG,|JNG|CAN|HKG|GUM|SPN|
SPN|KHN,|KHN|CAN|HKG|GUM|SPN|
SPN|KIX,|KIX|GUM|SPN|
SPN|KOW,|KOW|CAN|HKG|GUM|SPN|
SPN|KTM,|KTM|CAN|HKG|GUM|SPN|
SPN|KUL,|KUL|CAN|HKG|GUM|SPN|
SPN|KWE,|KWE|CAN|HKG|GUM|SPN|
SPN|KWL,|KWL|CAN|HKG|GUM|SPN|
SPN|LHW,|LHW|CAN|HKG|GUM|SPN|
SPN|LYA,|LYA|CAN|HKG|GUM|SPN|
SPN|LYG,|LYG|CAN|HKG|GUM|SPN|
SPN|LZH,|LZH|CAN|HKG|GUM|SPN|
SPN|MEL,|MEL|CAN|HKG|GUM|SPN|
SPN|MIG,|MIG|CAN|HKG|GUM|SPN|
SPN|MLE,|MLE|CAN|HKG|GUM|SPN|
SPN|MNL,|MNL|GUM|SPN|
SPN|MXZ,|MXZ|HKG|GUM|SPN|
SPN|NAO,|NAO|CAN|HKG|GUM|SPN|
SPN|NGB,|NGB|XMN|MNL|GUM|SPN|
SPN|NKG,|NKG|XMN|MNL|GUM|SPN|
SPN|NNY,|NNY|CAN|HKG|GUM|SPN|
SPN|PEN,|PEN|CAN|HKG|GUM|SPN|
SPN|PER,|PER|CAN|HKG|GUM|SPN|
SPN|PNH,|PNH|CAN|HKG|GUM|SPN|
SPN|REP,|REP|CAN|HKG|GUM|SPN|
SPN|RGN,|RGN|CAN|HKG|GUM|SPN|
SPN|SGN,|SGN|HKG|GUM|SPN|
SPN|SHA,|SHA|XMN|MNL|GUM|SPN|
SPN|SIN,|SIN|HKG|GUM|SPN|
SPN|SVO,|SVO|URC|PEK|ICN|FUK|GUM|SPN|
SPN|SYX,|SYX|CAN|HKG|GUM|SPN|
SPN|TAO,|TAO|DLC|ICN|FUK|GUM|SPN|
SPN|TEN,|TEN|CAN|HKG|GUM|SPN|
SPN|TNA,|TNA|DLC|ICN|FUK|GUM|SPN|
SPN|TPE,|TPE|CAN|HKG|GUM|SPN|
SPN|TSN,|TSN|DLC|ICN|FUK|GUM|SPN|
SPN|TXN,|TXN|XMN|MNL|GUM|SPN|
SPN|TYN,|TYN|DLC|ICN|FUK|GUM|SPN|
SPN|WNZ,|WNZ|CAN|HKG|GUM|SPN|
SPN|WUX,|WUX|CAN|HKG|GUM|SPN|
SPN|XFN,|XFN|CAN|HKG|GUM|SPN|
SPN|XIY,|XIY|CAN|HKG|GUM|SPN|
SPN|XUZ,|XUZ|CAN|HKG|GUM|SPN|
SPN|YIH,|YIH|CAN|HKG|GUM|SPN|
SPN|YIW,|YIW|XMN|MNL|GUM|SPN|
SPN|YNT,|YNT|SHE|FUK|GUM|SPN|
SPN|YNZ,|YNZ|DLC|ICN|FUK|GUM|SPN|
SPN|YTY,|YTY|DLC|ICN|FUK|GUM|SPN|
SPN|ZHA,|ZHA|CAN|HKG|GUM|SPN|
SPN|ZYI,|ZYI|CAN|HKG|GUM|SPN|
SPN|BAV,|BAV|SJW|DLC|ICN|FUK|GUM|SPN|
SPN|CJU,|CJU|DLC|ICN|FUK|GUM|SPN|
SPN|DSN,|DSN|CGO|ICN|FUK|GUM|SPN|
SPN|HMI,|HMI|CGO|ICN|FUK|GUM|SPN|
SPN|INC,|INC|PEK|ICN|FUK|GUM|SPN|
SPN|KHH,|KHH|WUH|HKG|GUM|SPN|
SPN|UYN,|UYN|CGO|ICN|FUK|GUM|SPN|
SPN|XNN,|XNN|CKG|CAN|HKG|GUM|SPN|
SPN|ZUH,|ZUH|SWA|HKG|GUM|SPN|
SPN|YNJ,|YNJ|ICN|FUK|GUM|SPN|
SPN|DAT,|DAT|TYN|DLC|ICN|FUK|GUM|SPN|
SPN|JHG,|JHG|KMG|CAN|HKG|GUM|SPN|
SPN|LJG,|LJG|KMG|CAN|HKG|GUM|SPN|
SPN|LXA,|LXA|CKG|CAN|HKG|GUM|SPN|
SPN|YCU,|YCU|CSX|CAN|HKG|GUM|SPN|
SPN|LZO,|LZO|CSX|CAN|HKG|GUM|SPN|
SPN|MDG,|MDG|ICN|FUK|GUM|SPN|
SPN|NGO,|NGO|GUM|SPN|
SPN|TOY,|TOY|DLC|ICN|FUK|GUM|SPN|
SPN|MFM,|MFM|XMN|MNL|GUM|SPN|
SPN|TGO,|TGO|HET|DLC|ICN|FUK|GUM|SPN|
SPN|XIL,|XIL|HET|DLC|ICN|FUK|GUM|SPN|
SPN|HEK,|HEK|HRB|KIX|GUM|SPN|
SPN|KIJ,|KIJ|HRB|KIX|GUM|SPN|
SPN|LDS,|LDS|HRB|KIX|GUM|SPN|
SPN|OHE,|OHE|HRB|KIX|GUM|SPN|
SPN|HSN,|HSN|XMN|MNL|GUM|SPN|
SPN|DLU,|DLU|KMG|CAN|HKG|GUM|SPN|
SPN|SYM,|SYM|KMG|CAN|HKG|GUM|SPN|
SPN|ZAT,|ZAT|KMG|CAN|HKG|GUM|SPN|
SPN|LUN,|LUN|NBO|CAN|HKG|GUM|SPN|
SPN|AOG,|AOG|PEK|ICN|FUK|GUM|SPN|
SPN|GMP,|GMP|PEK|ICN|FUK|GUM|SPN|
