PKB|YCG,|YCG|YYC|ORD|CLE|PKB|
PKB|YKA,|YKA|YYC|ORD|CLE|PKB|
PKB|YPR,|YPR|YVR|ORD|CLE|PKB|
PKB|YQZ,|YQZ|YVR|ORD|CLE|PKB|
PKB|YXC,|YXC|YYC|ORD|CLE|PKB|
PKB|YXJ,|YXJ|YYC|ORD|CLE|PKB|
PKB|YXS,|YXS|YYC|ORD|CLE|PKB|
PKB|YXT,|YXT|YVR|ORD|CLE|PKB|
PKB|YXY,|YXY|YVR|ORD|CLE|PKB|
PKB|YYD,|YYD|YVR|ORD|CLE|PKB|
PKB|YYF,|YYF|YVR|ORD|CLE|PKB|
PKB|YZP,|YZP|YVR|ORD|CLE|PKB|
PKB|YQT,|YQT|YYZ|CLE|PKB|
PKB|SJD,|SJD|IAH|CLE|PKB|
PKB|YQF,|YQF|YYC|ORD|CLE|PKB|
PKB|YQL,|YQL|YYC|ORD|CLE|PKB|
PKB|YXH,|YXH|YYC|ORD|CLE|PKB|
PKB|YWK,|YWK|YZV|YQB|YYZ|CLE|PKB|
PKB|ANU,|ANU|EWR|CLE|PKB|
PKB|AUA,|AUA|IAD|CLE|PKB|
PKB|AUH,|AUH|YYZ|CLE|PKB|
PKB|BCN,|BCN|YYZ|CLE|PKB|
PKB|BDA,|BDA|EWR|CLE|PKB|
PKB|BGI,|BGI|YYZ|CLE|PKB|
PKB|BNA,|BNA|CLE|PKB|
PKB|BOG,|BOG|IAD|CLE|PKB|
PKB|BWI,|BWI|CLE|PKB|
PKB|CLE,|CLE|PKB|
PKB|CLT,|CLT|CLE|PKB|
PKB|CMH,|CMH|CLE|PKB|
PKB|CVG,|CVG|ORD|CLE|PKB|
PKB|DFW,|DFW|CLE|PKB|
PKB|DTW,|DTW|YYZ|CLE|PKB|
PKB|DUB,|DUB|YYZ|CLE|PKB|
PKB|FCO,|FCO|YYZ|CLE|PKB|
PKB|GCM,|GCM|IAD|CLE|PKB|
PKB|GGT,|GGT|FLL|CLE|PKB|
PKB|GND,|GND|YYZ|CLE|PKB|
PKB|GRU,|GRU|IAD|CLE|PKB|
PKB|HAV,|HAV|YYZ|CLE|PKB|
PKB|IND,|IND|CLE|PKB|
PKB|JFK,|JFK|IAD|CLE|PKB|
PKB|KIN,|KIN|YYZ|CLE|PKB|
