MLE|YXC,|YXC|YVR|CAN|MLE|
MLE|YXJ,|YXJ|YVR|CAN|MLE|
MLE|YXS,|YXS|YVR|CAN|MLE|
MLE|YXT,|YXT|YVR|CAN|MLE|
MLE|YXY,|YXY|YVR|CAN|MLE|
MLE|YYD,|YYD|YVR|CAN|MLE|
MLE|YYF,|YYF|YVR|CAN|MLE|
MLE|YZP,|YZP|YVR|CAN|MLE|
MLE|YQT,|YQT|YYZ|IST|MLE|
MLE|SJD,|SJD|ORD|IST|MLE|
MLE|YQF,|YQF|YYC|FRA|IST|MLE|
MLE|YQL,|YQL|YYC|FRA|IST|MLE|
MLE|YXH,|YXH|YYC|FRA|IST|MLE|
MLE|YWK,|YWK|YYR|YYT|LHR|IST|MLE|
MLE|ANU,|ANU|EWR|BHX|IST|MLE|
MLE|AUA,|AUA|EWR|BHX|IST|MLE|
MLE|AUH,|AUH|IST|MLE|
MLE|BCN,|BCN|IST|MLE|
MLE|BDA,|BDA|EWR|BHX|IST|MLE|
MLE|BGI,|BGI|YYZ|IST|MLE|
MLE|BNA,|BNA|YYZ|IST|MLE|
MLE|BOG,|BOG|MIA|ZRH|IST|MLE|
MLE|BWI,|BWI|EWR|BHX|IST|MLE|
MLE|CLE,|CLE|YYZ|IST|MLE|
MLE|CLT,|CLT|EWR|BHX|IST|MLE|
MLE|CMH,|CMH|YYZ|IST|MLE|
MLE|CVG,|CVG|YYZ|IST|MLE|
MLE|DFW,|DFW|ORD|IST|MLE|
MLE|DTW,|DTW|FRA|IST|MLE|
MLE|DUB,|DUB|IST|MLE|
MLE|FCO,|FCO|IST|MLE|
MLE|GCM,|GCM|EWR|BHX|IST|MLE|
MLE|GGT,|GGT|FLL|MCO|FRA|IST|MLE|
MLE|GND,|GND|YYZ|IST|MLE|
MLE|GRU,|GRU|IST|MLE|
MLE|HAV,|HAV|YYZ|IST|MLE|
MLE|IND,|IND|YYZ|IST|MLE|
MLE|JFK,|JFK|IST|MLE|
MLE|KIN,|KIN|YYZ|IST|MLE|
MLE|LIM,|LIM|MIA|ZRH|IST|MLE|
MLE|LIR,|LIR|EWR|BHX|IST|MLE|
MLE|MCI,|MCI|ORD|IST|MLE|
MLE|MDT,|MDT|IAD|IST|MLE|
MLE|MIA,|MIA|ZRH|IST|MLE|
MLE|MKE,|MKE|YYZ|IST|MLE|
MLE|MSP,|MSP|YUL|FRA|IST|MLE|
MLE|NAS,|NAS|EWR|BHX|IST|MLE|
MLE|PHL,|PHL|IAD|IST|MLE|
MLE|PHX,|PHX|SFO|PVG|CAN|MLE|
MLE|PIT,|PIT|YYZ|IST|MLE|
MLE|PLS,|PLS|EWR|BHX|IST|MLE|
MLE|POP,|POP|EWR|BHX|IST|MLE|
MLE|RDU,|RDU|EWR|BHX|IST|MLE|
MLE|ROC,|ROC|YYZ|IST|MLE|
MLE|RSW,|RSW|MCO|FRA|IST|MLE|
MLE|SAN,|SAN|LAX|CAN|MLE|
MLE|SJO,|SJO|EWR|BHX|IST|MLE|
MLE|STL,|STL|ORD|IST|MLE|
MLE|SYR,|SYR|EWR|BHX|IST|MLE|
MLE|TLV,|TLV|IST|MLE|
MLE|TPA,|TPA|EWR|BHX|IST|MLE|
MLE|UVF,|UVF|EWR|BHX|IST|MLE|
MLE|VIE,|VIE|IST|MLE|
MLE|YAM,|YAM|YYZ|IST|MLE|
MLE|YGK,|YGK|YYZ|IST|MLE|
MLE|YQG,|YQG|YYZ|IST|MLE|
MLE|YSB,|YSB|YYZ|IST|MLE|
MLE|YTS,|YTS|YYZ|IST|MLE|
MLE|YYB,|YYB|YYZ|IST|MLE|
MLE|YZR,|YZR|YYZ|IST|MLE|
MLE|CAN,|CAN|MLE|
MLE|URC,|URC|CAN|MLE|
MLE|CTU,|CTU|CAN|MLE|
MLE|HGH,|HGH|CAN|MLE|
MLE|XMN,|XMN|CAN|MLE|
MLE|CGO,|CGO|CAN|MLE|
MLE|CSX,|CSX|CAN|MLE|
MLE|SHE,|SHE|CAN|MLE|
MLE|SJW,|SJW|CAN|MLE|
MLE|WUH,|WUH|CAN|MLE|
MLE|SZX,|SZX|MXZ|CAN|MLE|
MLE|CKG,|CKG|CAN|MLE|
MLE|KMG,|KMG|CAN|MLE|
MLE|FOC,|FOC|CAN|MLE|
MLE|NNG,|NNG|CAN|MLE|
MLE|SWA,|SWA|CAN|MLE|
MLE|ACX,|ACX|CAN|MLE|
MLE|AQG,|AQG|CAN|MLE|
MLE|AVA,|AVA|CAN|MLE|
MLE|BFJ,|BFJ|CAN|MLE|
MLE|BHY,|BHY|CAN|MLE|
MLE|BNE,|BNE|CAN|MLE|
MLE|CGD,|CGD|CAN|MLE|
MLE|CGK,|CGK|CAN|MLE|
MLE|CGQ,|CGQ|CAN|MLE|
MLE|CIH,|CIH|CAN|MLE|
MLE|CNX,|CNX|CAN|MLE|
MLE|CZX,|CZX|CAN|MLE|
MLE|DAC,|DAC|CAN|MLE|
MLE|DAD,|DAD|CAN|MLE|
MLE|DEL,|DEL|CAN|MLE|
MLE|DIG,|DIG|CAN|MLE|
MLE|DLC,|DLC|CAN|MLE|
MLE|DPS,|DPS|CAN|MLE|
MLE|DXB,|DXB|IST|MLE|
MLE|DYG,|DYG|CAN|MLE|
MLE|FUG,|FUG|CAN|MLE|
MLE|FUK,|FUK|CAN|MLE|
MLE|HAK,|HAK|CAN|MLE|
MLE|HAN,|HAN|CAN|MLE|
MLE|HDG,|HDG|CAN|MLE|
MLE|HET,|HET|CAN|MLE|
MLE|HFE,|HFE|CAN|MLE|
MLE|HJJ,|HJJ|CAN|MLE|
MLE|HKT,|HKT|CAN|MLE|
MLE|HRB,|HRB|CAN|MLE|
MLE|HZH,|HZH|CAN|MLE|
MLE|JIU,|JIU|CAN|MLE|
MLE|JJN,|JJN|CAN|MLE|
MLE|JNG,|JNG|CAN|MLE|
MLE|KHN,|KHN|CAN|MLE|
MLE|KIX,|KIX|CAN|MLE|
MLE|KOW,|KOW|CAN|MLE|
MLE|KTM,|KTM|CAN|MLE|
MLE|KUL,|KUL|CAN|MLE|
MLE|KWE,|KWE|CAN|MLE|
MLE|KWL,|KWL|CAN|MLE|
MLE|LHW,|LHW|CAN|MLE|
MLE|LYA,|LYA|CAN|MLE|
MLE|LYG,|LYG|CAN|MLE|
MLE|LZH,|LZH|CAN|MLE|
MLE|MEL,|MEL|CAN|MLE|
MLE|MIG,|MIG|CAN|MLE|
MLE|MNL,|MNL|CAN|MLE|
MLE|MXZ,|MXZ|CAN|MLE|
MLE|NAO,|NAO|CAN|MLE|
MLE|NGB,|NGB|CAN|MLE|
MLE|NKG,|NKG|CAN|MLE|
MLE|NNY,|NNY|CAN|MLE|
MLE|PEN,|PEN|CAN|MLE|
MLE|PER,|PER|CAN|MLE|
MLE|PNH,|PNH|CAN|MLE|
MLE|REP,|REP|CAN|MLE|
MLE|RGN,|RGN|CAN|MLE|
MLE|SGN,|SGN|CAN|MLE|
MLE|SHA,|SHA|CAN|MLE|
MLE|SIN,|SIN|CAN|MLE|
MLE|SVO,|SVO|CAN|MLE|
MLE|SYX,|SYX|CAN|MLE|
MLE|TAO,|TAO|CAN|MLE|
MLE|TEN,|TEN|CAN|MLE|
MLE|TNA,|TNA|CAN|MLE|
MLE|TPE,|TPE|CAN|MLE|
MLE|TSN,|TSN|CAN|MLE|
MLE|TXN,|TXN|CAN|MLE|
MLE|TYN,|TYN|CAN|MLE|
MLE|WNZ,|WNZ|CAN|MLE|
MLE|WUX,|WUX|CAN|MLE|
MLE|XFN,|XFN|CAN|MLE|
MLE|XIY,|XIY|CAN|MLE|
MLE|XUZ,|XUZ|CAN|MLE|
MLE|YIH,|YIH|CAN|MLE|
MLE|YIW,|YIW|CAN|MLE|
MLE|YNT,|YNT|CAN|MLE|
MLE|YNZ,|YNZ|CAN|MLE|
MLE|YTY,|YTY|CAN|MLE|
MLE|ZHA,|ZHA|CAN|MLE|
MLE|ZYI,|ZYI|CAN|MLE|
MLE|BAV,|BAV|CSX|CAN|MLE|
MLE|CJU,|CJU|CSX|CAN|MLE|
MLE|DSN,|DSN|CGO|CAN|MLE|
MLE|HMI,|HMI|CGO|CAN|MLE|
MLE|INC,|INC|XIY|CAN|MLE|
MLE|KHH,|KHH|WUH|CAN|MLE|
MLE|UYN,|UYN|XIY|CAN|MLE|
MLE|XNN,|XNN|CKG|CAN|MLE|
MLE|ZUH,|ZUH|MXZ|CAN|MLE|
MLE|YNJ,|YNJ|ICN|CAN|MLE|
MLE|DAT,|DAT|CIH|CAN|MLE|
MLE|JHG,|JHG|KMG|CAN|MLE|
MLE|LJG,|LJG|KMG|CAN|MLE|
MLE|LXA,|LXA|CKG|CAN|MLE|
MLE|YCU,|YCU|CSX|CAN|MLE|
MLE|LZO,|LZO|CSX|CAN|MLE|
MLE|MDG,|MDG|DLC|CAN|MLE|
MLE|NGO,|NGO|PVG|CAN|MLE|
MLE|TOY,|TOY|DLC|CAN|MLE|
MLE|MFM,|MFM|XMN|CAN|MLE|
MLE|TGO,|TGO|HET|CAN|MLE|
MLE|XIL,|XIL|HET|CAN|MLE|
MLE|HEK,|HEK|HRB|CAN|MLE|
MLE|KIJ,|KIJ|HRB|CAN|MLE|
MLE|LDS,|LDS|HRB|CAN|MLE|
MLE|OHE,|OHE|HRB|CAN|MLE|
MLE|HSN,|HSN|XMN|CAN|MLE|
MLE|DLU,|DLU|KMG|CAN|MLE|
MLE|SYM,|SYM|KMG|CAN|MLE|
MLE|ZAT,|ZAT|KMG|CAN|MLE|
MLE|LUN,|LUN|NBO|IST|MLE|
MLE|AOG,|AOG|PEK|CAN|MLE|
MLE|GMP,|GMP|PEK|CAN|MLE|
MLE|ISB,|ISB|URC|CAN|MLE|
MLE|TAS,|TAS|IST|MLE|
MLE|WUS,|WUS|PEK|CAN|MLE|
MLE|JMU,|JMU|PVG|CAN|MLE|
MLE|NDG,|NDG|PVG|CAN|MLE|
MLE|JXA,|JXA|SHE|CAN|MLE|
MLE|PUS,|PUS|SHE|CAN|MLE|
MLE|BKI,|BKI|SZX|MXZ|CAN|MLE|
MLE|AKU,|AKU|URC|CAN|MLE|
MLE|ALA,|ALA|URC|CAN|MLE|
MLE|ASB,|ASB|IST|MLE|
MLE|DNH,|DNH|XIY|CAN|MLE|
MLE|DYU,|DYU|IST|MLE|
MLE|FRU,|FRU|URC|CAN|MLE|
MLE|GYD,|GYD|IST|MLE|
MLE|HTN,|HTN|URC|CAN|MLE|
MLE|IKA,|IKA|IST|MLE|
MLE|KCA,|KCA|URC|CAN|MLE|
MLE|KHG,|KHG|URC|CAN|MLE|
MLE|KRL,|KRL|URC|CAN|MLE|
MLE|KRY,|KRY|URC|CAN|MLE|
MLE|LBD,|LBD|URC|CAN|MLE|
MLE|NLT,|NLT|URC|CAN|MLE|
MLE|OSS,|OSS|URC|CAN|MLE|
MLE|OVB,|OVB|URC|CAN|MLE|
MLE|TBS,|TBS|IST|MLE|
MLE|TCG,|TCG|URC|CAN|MLE|
MLE|TSE,|TSE|IST|MLE|
MLE|YIN,|YIN|URC|CAN|MLE|
MLE|ENH,|ENH|WUH|CAN|MLE|
MLE|ENY,|ENY|XIY|CAN|MLE|
MLE|WXN,|WXN|XMN|CAN|MLE|
MLE|BLL,|BLL|IST|MLE|
MLE|ESB,|ESB|IST|MLE|
MLE|SAW,|SAW|ADB|IST|MLE|
MLE|HAM,|HAM|IST|MLE|
MLE|HRE,|HRE|ADD|IST|MLE|
MLE|JUB,|JUB|CAI|IST|MLE|
MLE|SSG,|SSG|DLA|IST|MLE|
MLE|BGW,|BGW|IST|MLE|
MLE|EBL,|EBL|IST|MLE|
MLE|VKO,|VKO|IST|MLE|
MLE|MCT,|MCT|IST|MLE|
