INC|YZP,|YZP|YVR|PEK|INC|
INC|YQT,|YQT|YWG|YVR|PEK|INC|
INC|SJD,|SJD|SFO|PEK|INC|
INC|YQF,|YQF|YYC|YVR|PEK|INC|
INC|YQL,|YQL|YYC|YVR|PEK|INC|
INC|YXH,|YXH|YYC|YVR|PEK|INC|
INC|YWK,|YWK|YZV|YQB|YYZ|PEK|INC|
INC|ANU,|ANU|EWR|PEK|INC|
INC|AUA,|AUA|EWR|PEK|INC|
INC|AUH,|AUH|IST|URC|INC|
INC|BCN,|BCN|IST|URC|INC|
INC|BDA,|BDA|EWR|PEK|INC|
INC|BGI,|BGI|YYZ|PEK|INC|
INC|BNA,|BNA|ORD|PEK|INC|
INC|BOG,|BOG|MIA|ORD|PEK|INC|
INC|BWI,|BWI|YYZ|PEK|INC|
INC|CLE,|CLE|YYZ|PEK|INC|
INC|CLT,|CLT|YYZ|PEK|INC|
INC|CMH,|CMH|ORD|PEK|INC|
INC|CVG,|CVG|ORD|PEK|INC|
INC|DFW,|DFW|YVR|PEK|INC|
INC|DTW,|DTW|PEK|INC|
INC|DUB,|DUB|IST|URC|INC|
INC|FCO,|FCO|IST|URC|INC|
INC|GCM,|GCM|YYZ|PEK|INC|
INC|GGT,|GGT|YYZ|PEK|INC|
INC|GND,|GND|YYZ|PEK|INC|
INC|GRU,|GRU|IST|URC|INC|
INC|HAV,|HAV|YYZ|PEK|INC|
INC|IND,|IND|ORD|PEK|INC|
INC|JFK,|JFK|PEK|INC|
INC|KIN,|KIN|YYZ|PEK|INC|
INC|LIM,|LIM|IAH|PEK|INC|
INC|LIR,|LIR|IAH|PEK|INC|
INC|MCI,|MCI|DEN|YVR|PEK|INC|
INC|MDT,|MDT|YYZ|PEK|INC|
INC|MIA,|MIA|ORD|PEK|INC|
INC|MKE,|MKE|ORD|PEK|INC|
INC|MSP,|MSP|ORD|PEK|INC|
INC|NAS,|NAS|YYZ|PEK|INC|
INC|PHL,|PHL|YYZ|PEK|INC|
INC|PHX,|PHX|SEA|PEK|INC|
INC|PIT,|PIT|YYZ|PEK|INC|
INC|PLS,|PLS|EWR|PEK|INC|
INC|POP,|POP|EWR|PEK|INC|
INC|RDU,|RDU|YYZ|PEK|INC|
INC|ROC,|ROC|YYZ|PEK|INC|
INC|RSW,|RSW|ORD|PEK|INC|
INC|SAN,|SAN|LAX|PEK|INC|
INC|SJO,|SJO|IAH|PEK|INC|
INC|STL,|STL|ORD|PEK|INC|
INC|SYR,|SYR|YYZ|PEK|INC|
INC|TLV,|TLV|SAW|TBS|URC|INC|
INC|TPA,|TPA|ORD|PEK|INC|
INC|UVF,|UVF|EWR|PEK|INC|
INC|VIE,|VIE|IST|URC|INC|
INC|YAM,|YAM|YYZ|PEK|INC|
INC|YGK,|YGK|YYZ|PEK|INC|
INC|YQG,|YQG|YYZ|PEK|INC|
INC|YSB,|YSB|YYZ|PEK|INC|
INC|YTS,|YTS|YYZ|PEK|INC|
INC|YYB,|YYB|YYZ|PEK|INC|
INC|YZR,|YZR|YYZ|PEK|INC|
INC|CAN,|CAN|XIY|INC|
INC|URC,|URC|INC|
INC|CTU,|CTU|XIY|INC|
INC|HGH,|HGH|CGO|INC|
INC|XMN,|XMN|WUH|INC|
INC|CGO,|CGO|INC|
INC|CSX,|CSX|INC|
