RDD|YXS,|YXS|YVR|SFO|RDD|
RDD|YXT,|YXT|YVR|SFO|RDD|
RDD|YXY,|YXY|YVR|SFO|RDD|
RDD|YYD,|YYD|YVR|SFO|RDD|
RDD|YYF,|YYF|YVR|SFO|RDD|
RDD|YZP,|YZP|YVR|SFO|RDD|
RDD|YQT,|YQT|YWG|LAS|SFO|RDD|
RDD|SJD,|SJD|SFO|RDD|
RDD|YQF,|YQF|YYC|SFO|RDD|
RDD|YQL,|YQL|YYC|SFO|RDD|
RDD|YXH,|YXH|YYC|SFO|RDD|
RDD|YWK,|YWK|YZV|YUL|SFO|RDD|
RDD|ANU,|ANU|EWR|SFO|RDD|
RDD|AUA,|AUA|ATL|SFO|RDD|
RDD|AUH,|AUH|FRA|SFO|RDD|
RDD|BCN,|BCN|YYZ|SFO|RDD|
RDD|BDA,|BDA|EWR|SFO|RDD|
RDD|BGI,|BGI|YYZ|SFO|RDD|
RDD|BNA,|BNA|DEN|SFO|RDD|
RDD|BOG,|BOG|IAH|SFO|RDD|
RDD|BWI,|BWI|SFO|RDD|
RDD|CLE,|CLE|SFO|RDD|
RDD|CLT,|CLT|MDW|SFO|RDD|
RDD|CMH,|CMH|DEN|SFO|RDD|
RDD|CVG,|CVG|DEN|SFO|RDD|
RDD|DFW,|DFW|SFO|RDD|
RDD|DTW,|DTW|ORD|SFO|RDD|
RDD|DUB,|DUB|ORD|SFO|RDD|
RDD|FCO,|FCO|YYZ|SFO|RDD|
RDD|GCM,|GCM|IAH|SFO|RDD|
RDD|GGT,|GGT|FLL|SFO|RDD|
RDD|GND,|GND|YYZ|SFO|RDD|
RDD|GRU,|GRU|IAH|SFO|RDD|
RDD|HAV,|HAV|YYZ|SFO|RDD|
RDD|IND,|IND|SFO|RDD|
RDD|JFK,|JFK|SFO|RDD|
RDD|KIN,|KIN|YYZ|SFO|RDD|
RDD|LIM,|LIM|IAH|SFO|RDD|
RDD|LIR,|LIR|IAH|SFO|RDD|
RDD|MCI,|MCI|SFO|RDD|
RDD|MDT,|MDT|ORD|SFO|RDD|
RDD|MIA,|MIA|MSY|SFO|RDD|
RDD|MKE,|MKE|SFO|RDD|
RDD|MSP,|MSP|SFO|RDD|
RDD|NAS,|NAS|IAH|SFO|RDD|
RDD|PHL,|PHL|SFO|RDD|
RDD|PHX,|PHX|SFO|RDD|
RDD|PIT,|PIT|SFO|RDD|
RDD|PLS,|PLS|YYZ|SFO|RDD|
RDD|POP,|POP|YYZ|SFO|RDD|
RDD|RDU,|RDU|SFO|RDD|
RDD|ROC,|ROC|YYZ|SFO|RDD|
RDD|RSW,|RSW|DFW|SFO|RDD|
RDD|SAN,|SAN|SFO|RDD|
RDD|SJO,|SJO|IAH|SFO|RDD|
RDD|STL,|STL|SFO|RDD|
RDD|SYR,|SYR|YYZ|SFO|RDD|
RDD|TLV,|TLV|IST|MUC|SFO|RDD|
RDD|TPA,|TPA|LAS|SFO|RDD|
RDD|UVF,|UVF|EWR|SFO|RDD|
RDD|VIE,|VIE|ORD|SFO|RDD|
RDD|YAM,|YAM|YYZ|SFO|RDD|
RDD|YGK,|YGK|YYZ|SFO|RDD|
RDD|YQG,|YQG|YYZ|SFO|RDD|
RDD|YSB,|YSB|YYZ|SFO|RDD|
RDD|YTS,|YTS|YYZ|SFO|RDD|
RDD|YYB,|YYB|YYZ|SFO|RDD|
RDD|YZR,|YZR|YYZ|SFO|RDD|
RDD|CAN,|CAN|PVG|SFO|RDD|
RDD|URC,|URC|PEK|SFO|RDD|
RDD|CTU,|CTU|PEK|SFO|RDD|
RDD|HGH,|HGH|DLC|ICN|SFO|RDD|
RDD|XMN,|XMN|YNZ|DLC|ICN|SFO|RDD|
RDD|CGO,|CGO|PEK|SFO|RDD|
RDD|CSX,|CSX|ICN|SFO|RDD|
RDD|SHE,|SHE|ICN|SFO|RDD|
RDD|SJW,|SJW|DLC|ICN|SFO|RDD|
RDD|WUH,|WUH|ICN|SFO|RDD|
RDD|SZX,|SZX|PVG|SFO|RDD|
RDD|CKG,|CKG|PEK|SFO|RDD|
RDD|KMG,|KMG|PEK|SFO|RDD|
RDD|FOC,|FOC|HGH|DLC|ICN|SFO|RDD|
RDD|NNG,|NNG|CSX|ICN|SFO|RDD|
RDD|SWA,|SWA|WUH|ICN|SFO|RDD|
RDD|ACX,|ACX|CAN|PVG|SFO|RDD|
RDD|AQG,|AQG|CAN|PVG|SFO|RDD|
RDD|AVA,|AVA|CAN|PVG|SFO|RDD|
RDD|BFJ,|BFJ|CAN|PVG|SFO|RDD|
RDD|BHY,|BHY|CSX|ICN|SFO|RDD|
RDD|BNE,|BNE|CAN|PVG|SFO|RDD|
RDD|CGD,|CGD|PEK|SFO|RDD|
RDD|CGK,|CGK|CAN|PVG|SFO|RDD|
RDD|CGQ,|CGQ|NRT|SFO|RDD|
RDD|CIH,|CIH|PEK|SFO|RDD|
RDD|CNX,|CNX|CAN|PVG|SFO|RDD|
RDD|CZX,|CZX|SHE|ICN|SFO|RDD|
RDD|DAC,|DAC|CAN|PVG|SFO|RDD|
RDD|DAD,|DAD|CAN|PVG|SFO|RDD|
RDD|DEL,|DEL|CAN|PVG|SFO|RDD|
RDD|DIG,|DIG|KMG|PEK|SFO|RDD|
RDD|DLC,|DLC|ICN|SFO|RDD|
RDD|DPS,|DPS|SZX|PVG|SFO|RDD|
RDD|DXB,|DXB|IST|MUC|SFO|RDD|
RDD|DYG,|DYG|PEK|SFO|RDD|
RDD|FUG,|FUG|CAN|PVG|SFO|RDD|
RDD|FUK,|FUK|ICN|SFO|RDD|
RDD|HAK,|HAK|PVG|SFO|RDD|
RDD|HAN,|HAN|PEK|SFO|RDD|
RDD|HDG,|HDG|CAN|PVG|SFO|RDD|
RDD|HET,|HET|DLC|ICN|SFO|RDD|
RDD|HFE,|HFE|TYN|DLC|ICN|SFO|RDD|
RDD|HJJ,|HJJ|CSX|ICN|SFO|RDD|
RDD|HKT,|HKT|CAN|PVG|SFO|RDD|
RDD|HRB,|HRB|ICN|SFO|RDD|
RDD|HZH,|HZH|CAN|PVG|SFO|RDD|
RDD|JIU,|JIU|CAN|PVG|SFO|RDD|
RDD|JJN,|JJN|HGH|DLC|ICN|SFO|RDD|
RDD|JNG,|JNG|CAN|PVG|SFO|RDD|
RDD|KHN,|KHN|DLC|ICN|SFO|RDD|
RDD|KIX,|KIX|SFO|RDD|
RDD|KOW,|KOW|PEK|SFO|RDD|
RDD|KTM,|KTM|CAN|PVG|SFO|RDD|
RDD|KUL,|KUL|PVG|SFO|RDD|
RDD|KWE,|KWE|PEK|SFO|RDD|
RDD|KWL,|KWL|WUH|ICN|SFO|RDD|
RDD|LHW,|LHW|CGO|PEK|SFO|RDD|
RDD|LYA,|LYA|KHN|DLC|ICN|SFO|RDD|
RDD|LYG,|LYG|HSN|PEK|SFO|RDD|
RDD|LZH,|LZH|CAN|PVG|SFO|RDD|
RDD|MEL,|MEL|SYD|SFO|RDD|
RDD|MIG,|MIG|CSX|ICN|SFO|RDD|
RDD|MLE,|MLE|CAN|PVG|SFO|RDD|
RDD|MNL,|MNL|XMN|YNZ|DLC|ICN|SFO|RDD|
RDD|MXZ,|MXZ|CAN|PVG|SFO|RDD|
RDD|NAO,|NAO|PEK|SFO|RDD|
RDD|NGB,|NGB|DLC|ICN|SFO|RDD|
RDD|NKG,|NKG|DLC|ICN|SFO|RDD|
RDD|NNY,|NNY|CGO|PEK|SFO|RDD|
RDD|PEN,|PEN|CAN|PVG|SFO|RDD|
RDD|PER,|PER|CAN|PVG|SFO|RDD|
RDD|PNH,|PNH|CAN|PVG|SFO|RDD|
RDD|REP,|REP|CAN|PVG|SFO|RDD|
RDD|RGN,|RGN|CAN|PVG|SFO|RDD|
RDD|SGN,|SGN|HKG|SFO|RDD|
RDD|SHA,|SHA|PEK|SFO|RDD|
RDD|SIN,|SIN|NRT|SFO|RDD|
RDD|SVO,|SVO|URC|PEK|SFO|RDD|
RDD|SYX,|SYX|PVG|SFO|RDD|
