NCE|YQZ,|YQZ|YVR|MUC|IST|NCE|
NCE|YXC,|YXC|YYC|FRA|IST|NCE|
NCE|YXJ,|YXJ|YYC|FRA|IST|NCE|
NCE|YXS,|YXS|YYC|FRA|IST|NCE|
NCE|YXT,|YXT|YVR|MUC|IST|NCE|
NCE|YXY,|YXY|YVR|MUC|IST|NCE|
NCE|YYD,|YYD|YVR|MUC|IST|NCE|
NCE|YYF,|YYF|YVR|MUC|IST|NCE|
NCE|YZP,|YZP|YVR|MUC|IST|NCE|
NCE|YQT,|YQT|YYZ|IST|NCE|
NCE|SJD,|SJD|ORD|IST|NCE|
NCE|YQF,|YQF|YYC|FRA|IST|NCE|
NCE|YQL,|YQL|YYC|FRA|IST|NCE|
NCE|YXH,|YXH|YYC|FRA|IST|NCE|
NCE|YWK,|YWK|YYR|YYT|LHR|IST|NCE|
NCE|ANU,|ANU|EWR|BHX|IST|NCE|
NCE|AUA,|AUA|EWR|BHX|IST|NCE|
NCE|AUH,|AUH|IST|NCE|
NCE|BCN,|BCN|IST|NCE|
NCE|BDA,|BDA|EWR|BHX|IST|NCE|
NCE|BGI,|BGI|YYZ|IST|NCE|
NCE|BNA,|BNA|YYZ|IST|NCE|
NCE|BOG,|BOG|MIA|ZRH|IST|NCE|
NCE|BWI,|BWI|EWR|BHX|IST|NCE|
NCE|CLE,|CLE|YYZ|IST|NCE|
NCE|CLT,|CLT|EWR|BHX|IST|NCE|
NCE|CMH,|CMH|YYZ|IST|NCE|
NCE|CVG,|CVG|YYZ|IST|NCE|
NCE|DFW,|DFW|ORD|IST|NCE|
NCE|DTW,|DTW|FRA|IST|NCE|
NCE|DUB,|DUB|IST|NCE|
NCE|FCO,|FCO|IST|NCE|
NCE|GCM,|GCM|EWR|BHX|IST|NCE|
NCE|GGT,|GGT|FLL|MCO|FRA|IST|NCE|
NCE|GND,|GND|YYZ|IST|NCE|
NCE|GRU,|GRU|IST|NCE|
NCE|HAV,|HAV|YYZ|IST|NCE|
NCE|IND,|IND|YYZ|IST|NCE|
NCE|JFK,|JFK|IST|NCE|
NCE|KIN,|KIN|YYZ|IST|NCE|
NCE|LIM,|LIM|MIA|ZRH|IST|NCE|
NCE|LIR,|LIR|EWR|BHX|IST|NCE|
NCE|MCI,|MCI|ORD|IST|NCE|
NCE|MDT,|MDT|IAD|IST|NCE|
NCE|MIA,|MIA|ZRH|IST|NCE|
NCE|MKE,|MKE|YYZ|IST|NCE|
NCE|MSP,|MSP|YUL|FRA|IST|NCE|
NCE|NAS,|NAS|EWR|BHX|IST|NCE|
NCE|PHL,|PHL|IAD|IST|NCE|
NCE|PHX,|PHX|DEN|FRA|IST|NCE|
NCE|PIT,|PIT|YYZ|IST|NCE|
NCE|PLS,|PLS|EWR|BHX|IST|NCE|
NCE|POP,|POP|EWR|BHX|IST|NCE|
NCE|RDU,|RDU|EWR|BHX|IST|NCE|
NCE|ROC,|ROC|YYZ|IST|NCE|
NCE|RSW,|RSW|MCO|FRA|IST|NCE|
NCE|SAN,|SAN|LAX|IST|NCE|
NCE|SJO,|SJO|EWR|BHX|IST|NCE|
NCE|STL,|STL|ORD|IST|NCE|
NCE|SYR,|SYR|EWR|BHX|IST|NCE|
NCE|TLV,|TLV|IST|NCE|
NCE|TPA,|TPA|EWR|BHX|IST|NCE|
NCE|UVF,|UVF|EWR|BHX|IST|NCE|
NCE|VIE,|VIE|IST|NCE|
NCE|YAM,|YAM|YYZ|IST|NCE|
NCE|YGK,|YGK|YYZ|IST|NCE|
NCE|YQG,|YQG|YYZ|IST|NCE|
NCE|YSB,|YSB|YYZ|IST|NCE|
NCE|YTS,|YTS|YYZ|IST|NCE|
NCE|YYB,|YYB|YYZ|IST|NCE|
NCE|YZR,|YZR|YYZ|IST|NCE|
NCE|CAN,|CAN|IST|NCE|
NCE|URC,|URC|IST|NCE|
NCE|CTU,|CTU|URC|IST|NCE|
NCE|HGH,|HGH|URC|IST|NCE|
NCE|XMN,|XMN|CSX|URC|IST|NCE|
NCE|CGO,|CGO|URC|IST|NCE|
NCE|CSX,|CSX|URC|IST|NCE|
NCE|SHE,|SHE|PEK|IST|NCE|
NCE|SJW,|SJW|URC|IST|NCE|
NCE|WUH,|WUH|URC|IST|NCE|
NCE|SZX,|SZX|CKG|URC|IST|NCE|
NCE|CKG,|CKG|URC|IST|NCE|
NCE|KMG,|KMG|CTU|URC|IST|NCE|
NCE|FOC,|FOC|XIY|URC|IST|NCE|
NCE|NNG,|NNG|KWE|URC|IST|NCE|
NCE|SWA,|SWA|CAN|IST|NCE|
NCE|ACX,|ACX|CAN|IST|NCE|
NCE|AQG,|AQG|CAN|IST|NCE|
NCE|AVA,|AVA|CAN|IST|NCE|
NCE|BFJ,|BFJ|CAN|IST|NCE|
NCE|BHY,|BHY|CKG|URC|IST|NCE|
NCE|BNE,|BNE|BKK|IST|NCE|
NCE|CGD,|CGD|PEK|IST|NCE|
NCE|CGK,|CGK|SIN|IST|NCE|
NCE|CGQ,|CGQ|HET|URC|IST|NCE|
NCE|CIH,|CIH|PEK|IST|NCE|
NCE|CNX,|CNX|CAN|IST|NCE|
NCE|CZX,|CZX|TYN|URC|IST|NCE|
NCE|DAC,|DAC|IST|NCE|
NCE|DAD,|DAD|CAN|IST|NCE|
NCE|DEL,|DEL|IST|NCE|
NCE|DIG,|DIG|KMG|CTU|URC|IST|NCE|
NCE|DLC,|DLC|PEK|IST|NCE|
NCE|DPS,|DPS|CAN|IST|NCE|
NCE|DXB,|DXB|IST|NCE|
NCE|DYG,|DYG|CSX|URC|IST|NCE|
NCE|FUG,|FUG|CAN|IST|NCE|
NCE|FUK,|FUK|ICN|IST|NCE|
NCE|HAK,|HAK|CTU|URC|IST|NCE|
NCE|HAN,|HAN|CAN|IST|NCE|
NCE|HDG,|HDG|CAN|IST|NCE|
NCE|HET,|HET|URC|IST|NCE|
NCE|HFE,|HFE|XIY|URC|IST|NCE|
NCE|HJJ,|HJJ|CSX|URC|IST|NCE|
NCE|HKT,|HKT|KWE|URC|IST|NCE|
NCE|HRB,|HRB|PEK|IST|NCE|
NCE|HZH,|HZH|CAN|IST|NCE|
NCE|JIU,|JIU|CAN|IST|NCE|
NCE|JJN,|JJN|CSX|URC|IST|NCE|
NCE|JNG,|JNG|CAN|IST|NCE|
NCE|KHN,|KHN|XIY|URC|IST|NCE|
NCE|KIX,|KIX|IST|NCE|
NCE|KOW,|KOW|CAN|IST|NCE|
NCE|KTM,|KTM|IST|NCE|
NCE|KUL,|KUL|IST|NCE|
NCE|KWE,|KWE|URC|IST|NCE|
NCE|KWL,|KWL|CKG|URC|IST|NCE|
NCE|LHW,|LHW|URC|IST|NCE|
NCE|LYA,|LYA|KHN|XIY|URC|IST|NCE|
NCE|LYG,|LYG|XUZ|INC|URC|IST|NCE|
NCE|LZH,|LZH|CAN|IST|NCE|
NCE|MEL,|MEL|BKK|IST|NCE|
NCE|MIG,|MIG|CSX|URC|IST|NCE|
NCE|MLE,|MLE|IST|NCE|
NCE|MNL,|MNL|CAN|IST|NCE|
NCE|MXZ,|MXZ|CAN|IST|NCE|
NCE|NAO,|NAO|PEK|IST|NCE|
NCE|NGB,|NGB|WUH|URC|IST|NCE|
NCE|NKG,|NKG|URC|IST|NCE|
NCE|NNY,|NNY|CGO|URC|IST|NCE|
NCE|PEN,|PEN|CAN|IST|NCE|
NCE|PER,|PER|BKK|IST|NCE|
NCE|PNH,|PNH|CAN|IST|NCE|
NCE|REP,|REP|CAN|IST|NCE|
NCE|RGN,|RGN|CAN|IST|NCE|
NCE|SGN,|SGN|BKK|IST|NCE|
NCE|SHA,|SHA|URC|IST|NCE|
NCE|SIN,|SIN|IST|NCE|
NCE|SVO,|SVO|URC|IST|NCE|
NCE|SYX,|SYX|CKG|URC|IST|NCE|
NCE|TAO,|TAO|TYN|URC|IST|NCE|
NCE|TEN,|TEN|CAN|IST|NCE|
NCE|TNA,|TNA|URC|IST|NCE|
NCE|TPE,|TPE|URC|IST|NCE|
