KSY|YCD,|YCD|YVR|MUC|SAW|KSY|
KSY|YCG,|YCG|YYC|FRA|ESB|KSY|
KSY|YKA,|YKA|YYC|FRA|ESB|KSY|
KSY|YPR,|YPR|YVR|MUC|SAW|KSY|
KSY|YQZ,|YQZ|YVR|MUC|SAW|KSY|
KSY|YXC,|YXC|YYC|FRA|ESB|KSY|
KSY|YXJ,|YXJ|YYC|FRA|ESB|KSY|
KSY|YXS,|YXS|YYC|FRA|ESB|KSY|
KSY|YXT,|YXT|YVR|MUC|SAW|KSY|
KSY|YXY,|YXY|YVR|MUC|SAW|KSY|
KSY|YYD,|YYD|YVR|MUC|SAW|KSY|
KSY|YYF,|YYF|YVR|MUC|SAW|KSY|
KSY|YZP,|YZP|YVR|MUC|SAW|KSY|
KSY|YQT,|YQT|YYZ|VIE|ESB|KSY|
KSY|SJD,|SJD|ORD|VIE|ESB|KSY|
KSY|YQF,|YQF|YYC|FRA|ESB|KSY|
KSY|YQL,|YQL|YYC|FRA|ESB|KSY|
KSY|YXH,|YXH|YYC|FRA|ESB|KSY|
KSY|YWK,|YWK|YYR|YYT|LHR|IST|KSY|
KSY|ANU,|ANU|EWR|FRA|ESB|KSY|
KSY|AUA,|AUA|EWR|FRA|ESB|KSY|
KSY|AUH,|AUH|IST|KSY|
KSY|BCN,|BCN|IST|KSY|
KSY|BDA,|BDA|EWR|FRA|ESB|KSY|
KSY|BGI,|BGI|YYZ|VIE|ESB|KSY|
KSY|BNA,|BNA|YYZ|VIE|ESB|KSY|
KSY|BOG,|BOG|JFK|VIE|ESB|KSY|
KSY|BWI,|BWI|EWR|FRA|ESB|KSY|
KSY|CLE,|CLE|YYZ|VIE|ESB|KSY|
KSY|CLT,|CLT|EWR|FRA|ESB|KSY|
KSY|CMH,|CMH|YYZ|VIE|ESB|KSY|
KSY|CVG,|CVG|YYZ|VIE|ESB|KSY|
KSY|DFW,|DFW|ORD|VIE|ESB|KSY|
KSY|DTW,|DTW|YYZ|VIE|ESB|KSY|
KSY|DUB,|DUB|IST|KSY|
KSY|FCO,|FCO|IST|KSY|
KSY|GCM,|GCM|EWR|FRA|ESB|KSY|
KSY|GGT,|GGT|FLL|MCO|FRA|ESB|KSY|
KSY|GND,|GND|YYZ|VIE|ESB|KSY|
KSY|GRU,|GRU|IST|KSY|
KSY|HAV,|HAV|YYZ|VIE|ESB|KSY|
KSY|IND,|IND|YYZ|VIE|ESB|KSY|
KSY|JFK,|JFK|VIE|ESB|KSY|
KSY|KIN,|KIN|YYZ|VIE|ESB|KSY|
KSY|LIM,|LIM|MIA|ZRH|IST|KSY|
KSY|LIR,|LIR|EWR|FRA|ESB|KSY|
KSY|MCI,|MCI|ORD|VIE|ESB|KSY|
KSY|MDT,|MDT|IAD|VIE|ESB|KSY|
KSY|MIA,|MIA|ZRH|IST|KSY|
KSY|MKE,|MKE|YYZ|VIE|ESB|KSY|
KSY|MSP,|MSP|YUL|FRA|ESB|KSY|
KSY|NAS,|NAS|EWR|FRA|ESB|KSY|
KSY|PHL,|PHL|IAD|VIE|ESB|KSY|
KSY|PHX,|PHX|DEN|FRA|ESB|KSY|
KSY|PIT,|PIT|YYZ|VIE|ESB|KSY|
KSY|PLS,|PLS|EWR|FRA|ESB|KSY|
KSY|POP,|POP|EWR|FRA|ESB|KSY|
KSY|RDU,|RDU|EWR|FRA|ESB|KSY|
KSY|ROC,|ROC|YYZ|VIE|ESB|KSY|
KSY|RSW,|RSW|MCO|FRA|ESB|KSY|
KSY|SAN,|SAN|LAX|IST|KSY|
KSY|SJO,|SJO|EWR|FRA|ESB|KSY|
KSY|STL,|STL|ORD|VIE|ESB|KSY|
KSY|SYR,|SYR|EWR|FRA|ESB|KSY|
KSY|TLV,|TLV|SAW|KSY|
KSY|TPA,|TPA|EWR|FRA|ESB|KSY|
KSY|UVF,|UVF|EWR|FRA|ESB|KSY|
KSY|VIE,|VIE|ESB|KSY|
KSY|YAM,|YAM|YYZ|VIE|ESB|KSY|
KSY|YGK,|YGK|YYZ|VIE|ESB|KSY|
KSY|YQG,|YQG|YYZ|VIE|ESB|KSY|
KSY|YSB,|YSB|YYZ|VIE|ESB|KSY|
KSY|YTS,|YTS|YYZ|VIE|ESB|KSY|
KSY|YYB,|YYB|YYZ|VIE|ESB|KSY|
KSY|YZR,|YZR|YYZ|VIE|ESB|KSY|
KSY|CAN,|CAN|IST|KSY|
KSY|URC,|URC|TBS|SAW|KSY|
KSY|CTU,|CTU|URC|TBS|SAW|KSY|
KSY|HGH,|HGH|URC|TBS|SAW|KSY|
KSY|XMN,|XMN|CSX|URC|TBS|SAW|KSY|
KSY|CGO,|CGO|URC|TBS|SAW|KSY|
KSY|CSX,|CSX|URC|TBS|SAW|KSY|
KSY|SHE,|SHE|PEK|IST|KSY|
KSY|SJW,|SJW|URC|TBS|SAW|KSY|
KSY|WUH,|WUH|URC|TBS|SAW|KSY|
KSY|SZX,|SZX|CKG|URC|TBS|SAW|KSY|
KSY|CKG,|CKG|URC|TBS|SAW|KSY|
KSY|KMG,|KMG|CTU|URC|TBS|SAW|KSY|
KSY|FOC,|FOC|XIY|URC|TBS|SAW|KSY|
KSY|NNG,|NNG|KWE|URC|TBS|SAW|KSY|
KSY|SWA,|SWA|CSX|URC|TBS|SAW|KSY|
KSY|ACX,|ACX|CAN|IST|KSY|
KSY|AQG,|AQG|CAN|IST|KSY|
KSY|AVA,|AVA|CAN|IST|KSY|
KSY|BFJ,|BFJ|CAN|IST|KSY|
KSY|BHY,|BHY|CKG|URC|TBS|SAW|KSY|
KSY|BNE,|BNE|BKK|IST|KSY|
KSY|CGD,|CGD|PEK|IST|KSY|
KSY|CGK,|CGK|SIN|IST|KSY|
KSY|CGQ,|CGQ|HET|URC|TBS|SAW|KSY|
KSY|CIH,|CIH|PEK|IST|KSY|
KSY|CNX,|CNX|CAN|IST|KSY|
KSY|CZX,|CZX|TYN|URC|TBS|SAW|KSY|
KSY|DAC,|DAC|IST|KSY|
KSY|DAD,|DAD|CAN|IST|KSY|
KSY|DEL,|DEL|IST|KSY|
KSY|DIG,|DIG|KMG|CTU|URC|TBS|SAW|KSY|
KSY|DLC,|DLC|PEK|IST|KSY|
KSY|DPS,|DPS|CAN|IST|KSY|
KSY|DXB,|DXB|IST|KSY|
KSY|DYG,|DYG|CSX|URC|TBS|SAW|KSY|
KSY|FUG,|FUG|CAN|IST|KSY|
KSY|FUK,|FUK|ICN|IST|KSY|
KSY|HAK,|HAK|CTU|URC|TBS|SAW|KSY|
KSY|HAN,|HAN|CAN|IST|KSY|
KSY|HDG,|HDG|CAN|IST|KSY|
KSY|HET,|HET|URC|TBS|SAW|KSY|
KSY|HFE,|HFE|XIY|URC|TBS|SAW|KSY|
KSY|HJJ,|HJJ|CSX|URC|TBS|SAW|KSY|
KSY|HKT,|HKT|KWE|URC|TBS|SAW|KSY|
KSY|HRB,|HRB|PEK|IST|KSY|
KSY|HZH,|HZH|CAN|IST|KSY|
KSY|JIU,|JIU|CAN|IST|KSY|
KSY|JJN,|JJN|CSX|URC|TBS|SAW|KSY|
KSY|JNG,|JNG|CAN|IST|KSY|
KSY|KHN,|KHN|XIY|URC|TBS|SAW|KSY|
KSY|KIX,|KIX|IST|KSY|
KSY|KOW,|KOW|CAN|IST|KSY|
KSY|KTM,|KTM|IST|KSY|
KSY|KUL,|KUL|IST|KSY|
KSY|KWE,|KWE|URC|TBS|SAW|KSY|
KSY|KWL,|KWL|CKG|URC|TBS|SAW|KSY|
KSY|LHW,|LHW|URC|TBS|SAW|KSY|
KSY|LYA,|LYA|KHN|XIY|URC|TBS|SAW|KSY|
KSY|LYG,|LYG|XUZ|INC|URC|TBS|SAW|KSY|
KSY|LZH,|LZH|CAN|IST|KSY|
KSY|MEL,|MEL|BKK|IST|KSY|
KSY|MIG,|MIG|CSX|URC|TBS|SAW|KSY|
KSY|MLE,|MLE|IST|KSY|
KSY|MNL,|MNL|CAN|IST|KSY|
KSY|MXZ,|MXZ|CAN|IST|KSY|
KSY|NAO,|NAO|PEK|IST|KSY|
KSY|NGB,|NGB|WUH|URC|TBS|SAW|KSY|
KSY|NKG,|NKG|URC|TBS|SAW|KSY|
KSY|NNY,|NNY|CGO|URC|TBS|SAW|KSY|
KSY|PEN,|PEN|CAN|IST|KSY|
KSY|PER,|PER|BKK|IST|KSY|
KSY|PNH,|PNH|CAN|IST|KSY|
KSY|REP,|REP|CAN|IST|KSY|
KSY|RGN,|RGN|CAN|IST|KSY|
KSY|SGN,|SGN|BKK|IST|KSY|
KSY|SHA,|SHA|URC|TBS|SAW|KSY|
KSY|SIN,|SIN|IST|KSY|
KSY|SVO,|SVO|URC|TBS|SAW|KSY|
KSY|SYX,|SYX|CKG|URC|TBS|SAW|KSY|
KSY|TAO,|TAO|TYN|URC|TBS|SAW|KSY|
KSY|TEN,|TEN|CAN|IST|KSY|
KSY|TNA,|TNA|URC|TBS|SAW|KSY|
KSY|TPE,|TPE|URC|TBS|SAW|KSY|
KSY|TSN,|TSN|HET|URC|TBS|SAW|KSY|
KSY|TXN,|TXN|TYN|URC|TBS|SAW|KSY|
KSY|TYN,|TYN|URC|TBS|SAW|KSY|
KSY|WNZ,|WNZ|XIY|URC|TBS|SAW|KSY|
KSY|WUX,|WUX|CAN|IST|KSY|
KSY|XFN,|XFN|CAN|IST|KSY|
KSY|XIY,|XIY|URC|TBS|SAW|KSY|
KSY|XUZ,|XUZ|INC|URC|TBS|SAW|KSY|
KSY|YIH,|YIH|CKG|URC|TBS|SAW|KSY|
KSY|YIW,|YIW|URC|TBS|SAW|KSY|
KSY|YNT,|YNT|SHE|PEK|IST|KSY|
KSY|YNZ,|YNZ|WUH|URC|TBS|SAW|KSY|
KSY|YTY,|YTY|CGO|URC|TBS|SAW|KSY|
KSY|ZHA,|ZHA|CAN|IST|KSY|
KSY|ZYI,|ZYI|CAN|IST|KSY|
KSY|BAV,|BAV|URC|TBS|SAW|KSY|
KSY|CJU,|CJU|DLC|PEK|IST|KSY|
KSY|DSN,|DSN|CGO|URC|TBS|SAW|KSY|
KSY|HMI,|HMI|URC|TBS|SAW|KSY|
KSY|INC,|INC|URC|TBS|SAW|KSY|
KSY|KHH,|KHH|WUH|URC|TBS|SAW|KSY|
KSY|UYN,|UYN|XIY|URC|TBS|SAW|KSY|
KSY|XNN,|XNN|URC|TBS|SAW|KSY|
KSY|ZUH,|ZUH|KWE|URC|TBS|SAW|KSY|
KSY|YNJ,|YNJ|PEK|IST|KSY|
KSY|DAT,|DAT|TYN|URC|TBS|SAW|KSY|
KSY|JHG,|JHG|KMG|CTU|URC|TBS|SAW|KSY|
KSY|LJG,|LJG|KMG|CTU|URC|TBS|SAW|KSY|
KSY|LXA,|LXA|CKG|URC|TBS|SAW|KSY|
KSY|YCU,|YCU|CKG|URC|TBS|SAW|KSY|
KSY|LZO,|LZO|CSX|URC|TBS|SAW|KSY|
KSY|MDG,|MDG|DLC|PEK|IST|KSY|
KSY|NGO,|NGO|ICN|IST|KSY|
KSY|TOY,|TOY|DLC|PEK|IST|KSY|
KSY|MFM,|MFM|XMN|CSX|URC|TBS|SAW|KSY|
KSY|TGO,|TGO|HET|URC|TBS|SAW|KSY|
KSY|XIL,|XIL|HET|URC|TBS|SAW|KSY|
KSY|HEK,|HEK|HRB|PEK|IST|KSY|
KSY|KIJ,|KIJ|HRB|PEK|IST|KSY|
KSY|LDS,|LDS|HRB|PEK|IST|KSY|
KSY|OHE,|OHE|HRB|PEK|IST|KSY|
KSY|HSN,|HSN|LYG|XUZ|INC|URC|TBS|SAW|KSY|
KSY|DLU,|DLU|KMG|CTU|URC|TBS|SAW|KSY|
KSY|SYM,|SYM|KMG|CTU|URC|TBS|SAW|KSY|
KSY|ZAT,|ZAT|KMG|CTU|URC|TBS|SAW|KSY|
KSY|LUN,|LUN|NBO|IST|KSY|
KSY|AOG,|AOG|PEK|IST|KSY|
KSY|GMP,|GMP|PEK|IST|KSY|
KSY|ISB,|ISB|IST|KSY|
KSY|TAS,|TAS|IST|KSY|
KSY|WUS,|WUS|PEK|IST|KSY|
KSY|JMU,|JMU|PVG|URC|TBS|SAW|KSY|
KSY|NDG,|NDG|PVG|URC|TBS|SAW|KSY|
KSY|JXA,|JXA|SHE|PEK|IST|KSY|
KSY|PUS,|PUS|SHE|PEK|IST|KSY|
KSY|BKI,|BKI|SZX|CKG|URC|TBS|SAW|KSY|
KSY|AKU,|AKU|URC|TBS|SAW|KSY|
KSY|ALA,|ALA|IST|KSY|
KSY|ASB,|ASB|IST|KSY|
KSY|DNH,|DNH|URC|TBS|SAW|KSY|
KSY|DYU,|DYU|IST|KSY|
KSY|FRU,|FRU|IST|KSY|
KSY|GYD,|GYD|IST|KSY|
KSY|HTN,|HTN|URC|TBS|SAW|KSY|
KSY|IKA,|IKA|SAW|KSY|
KSY|KCA,|KCA|URC|TBS|SAW|KSY|
KSY|KHG,|KHG|URC|TBS|SAW|KSY|
