CSX|FRA,|FRA|TSE|URC|CSX|
CSX|IST,|IST|URC|CSX|
CSX|EBB,|EBB|KGL|IST|URC|CSX|
CSX|YLW,|YLW|YVR|ICN|CSX|
CSX|YYT,|YYT|LHR|CAN|CSX|
CSX|GUA,|GUA|IAH|PEK|CSX|
CSX|EWR,|EWR|PEK|CSX|
CSX|IAD,|IAD|PEK|CSX|
CSX|IAH,|IAH|PEK|CSX|
CSX|ORD,|ORD|PEK|CSX|
CSX|SOF,|SOF|IST|URC|CSX|
CSX|YQB,|YQB|YYZ|PEK|CSX|
CSX|YXU,|YXU|YYZ|PEK|CSX|
CSX|EZE,|EZE|GRU|IST|URC|CSX|
CSX|YYJ,|YYJ|YVR|ICN|CSX|
CSX|YYY,|YYY|YUL|YYZ|PEK|CSX|
CSX|YQQ,|YQQ|YBL|YVR|ICN|CSX|
CSX|YYR,|YYR|YWK|YZV|YQB|YYZ|PEK|CSX|
CSX|LHR,|LHR|CAN|CSX|
CSX|SFO,|SFO|ICN|CSX|
CSX|YQU,|YQU|YEG|YVR|ICN|CSX|
CSX|YZF,|YZF|YEG|YVR|ICN|CSX|
CSX|YGR,|YGR|YGP|YQB|YYZ|PEK|CSX|
CSX|YGP,|YGP|YQB|YYZ|PEK|CSX|
CSX|BOS,|BOS|YYZ|PEK|CSX|
CSX|YDF,|YDF|YYZ|PEK|CSX|
CSX|YFC,|YFC|YYZ|PEK|CSX|
CSX|YQM,|YQM|YYZ|PEK|CSX|
CSX|YQX,|YQX|YYT|LHR|CAN|CSX|
CSX|YQY,|YQY|YYZ|PEK|CSX|
CSX|YSJ,|YSJ|YYZ|PEK|CSX|
CSX|YYG,|YYG|YYZ|PEK|CSX|
CSX|LAX,|LAX|ICN|CSX|
CSX|DCA,|DCA|YYZ|PEK|CSX|
CSX|LGA,|LGA|YYZ|PEK|CSX|
CSX|YZV,|YZV|YQB|YYZ|PEK|CSX|
CSX|YWL,|YWL|YVR|ICN|CSX|
CSX|AZS,|AZS|YYZ|PEK|CSX|
CSX|BDL,|BDL|YYZ|PEK|CSX|
CSX|CCC,|CCC|YYZ|PEK|CSX|
CSX|CDG,|CDG|IST|URC|CSX|
CSX|CUN,|CUN|IAH|PEK|CSX|
CSX|CZM,|CZM|IAH|PEK|CSX|
CSX|FDF,|FDF|YUL|YYZ|PEK|CSX|
CSX|FLL,|FLL|ORD|PEK|CSX|
CSX|GVA,|GVA|IST|URC|CSX|
CSX|HOG,|HOG|YYZ|PEK|CSX|
CSX|LAS,|LAS|SFO|ICN|CSX|
CSX|MBJ,|MBJ|ATL|ORD|PEK|CSX|
CSX|MCO,|MCO|ORD|PEK|CSX|
CSX|MUC,|MUC|IST|URC|CSX|
CSX|PAP,|PAP|YUL|YYZ|PEK|CSX|
CSX|PTP,|PTP|YUL|YYZ|PEK|CSX|
CSX|PUJ,|PUJ|EWR|PEK|CSX|
CSX|SNU,|SNU|YYZ|PEK|CSX|
CSX|VRA,|VRA|YYZ|PEK|CSX|
CSX|YBC,|YBC|YUL|YYZ|PEK|CSX|
CSX|YBG,|YBG|YUL|YYZ|PEK|CSX|
CSX|YTZ,|YTZ|YUL|YYZ|PEK|CSX|
CSX|YUY,|YUY|YUL|YYZ|PEK|CSX|
CSX|YVO,|YVO|YUL|YYZ|PEK|CSX|
CSX|ZBF,|ZBF|YUL|YYZ|PEK|CSX|
CSX|ZRH,|ZRH|IST|URC|CSX|
CSX|ZSA,|ZSA|YUL|YYZ|PEK|CSX|
CSX|AKL,|AKL|CAN|CSX|
CSX|HKG,|HKG|CAN|CSX|
CSX|HND,|HND|HNL|NRT|ICN|CSX|
CSX|HNL,|HNL|NRT|ICN|CSX|
CSX|MEX,|MEX|SFO|ICN|CSX|
CSX|OGG,|OGG|HNL|NRT|ICN|CSX|
