VVO|POP,|POP|EWR|IAD|JFK|ICN|VVO|
VVO|RDU,|RDU|IAD|JFK|ICN|VVO|
VVO|ROC,|ROC|YYZ|PEK|ICN|VVO|
VVO|RSW,|RSW|DEN|YVR|ICN|VVO|
VVO|SAN,|SAN|LAX|ICN|VVO|
VVO|SJO,|SJO|IAH|YVR|ICN|VVO|
VVO|STL,|STL|DEN|YVR|ICN|VVO|
VVO|SYR,|SYR|YYZ|PEK|ICN|VVO|
VVO|TLV,|TLV|IST|ICN|VVO|
VVO|TPA,|TPA|DEN|YVR|ICN|VVO|
VVO|UVF,|UVF|EWR|IAD|JFK|ICN|VVO|
VVO|VIE,|VIE|IST|ICN|VVO|
VVO|YAM,|YAM|YYZ|PEK|ICN|VVO|
VVO|YGK,|YGK|YYZ|PEK|ICN|VVO|
VVO|YQG,|YQG|YYC|YVR|ICN|VVO|
VVO|YSB,|YSB|YYZ|PEK|ICN|VVO|
VVO|YTS,|YTS|YYZ|PEK|ICN|VVO|
VVO|YYB,|YYB|YYZ|PEK|ICN|VVO|
VVO|YZR,|YZR|YYZ|PEK|ICN|VVO|
VVO|CAN,|CAN|ICN|VVO|
VVO|URC,|URC|PEK|ICN|VVO|
VVO|CTU,|CTU|CGO|ICN|VVO|
VVO|HGH,|HGH|DLC|ICN|VVO|
VVO|XMN,|XMN|YNZ|DLC|ICN|VVO|
VVO|CGO,|CGO|ICN|VVO|
VVO|CSX,|CSX|ICN|VVO|
VVO|SHE,|SHE|ICN|VVO|
VVO|SJW,|SJW|DLC|ICN|VVO|
VVO|WUH,|WUH|ICN|VVO|
VVO|SZX,|SZX|PVG|ICN|VVO|
VVO|CKG,|CKG|CGO|ICN|VVO|
VVO|KMG,|KMG|WUH|ICN|VVO|
VVO|FOC,|FOC|HGH|DLC|ICN|VVO|
VVO|NNG,|NNG|CSX|ICN|VVO|
VVO|SWA,|SWA|WUH|ICN|VVO|
VVO|ACX,|ACX|CAN|ICN|VVO|
VVO|AQG,|AQG|CAN|ICN|VVO|
VVO|AVA,|AVA|CAN|ICN|VVO|
VVO|BFJ,|BFJ|CAN|ICN|VVO|
VVO|BHY,|BHY|CSX|ICN|VVO|
VVO|BNE,|BNE|CAN|ICN|VVO|
VVO|CGD,|CGD|PEK|ICN|VVO|
VVO|CGK,|CGK|CAN|ICN|VVO|
VVO|CGQ,|CGQ|ICN|VVO|
VVO|CIH,|CIH|PEK|ICN|VVO|
VVO|CNX,|CNX|CAN|ICN|VVO|
VVO|CZX,|CZX|SHE|ICN|VVO|
VVO|DAC,|DAC|CAN|ICN|VVO|
VVO|DAD,|DAD|CAN|ICN|VVO|
VVO|DEL,|DEL|CAN|ICN|VVO|
VVO|DIG,|DIG|KMG|WUH|ICN|VVO|
VVO|DLC,|DLC|ICN|VVO|
VVO|DPS,|DPS|SZX|PVG|ICN|VVO|
VVO|DXB,|DXB|CAN|ICN|VVO|
VVO|DYG,|DYG|CSX|ICN|VVO|
VVO|FUG,|FUG|CAN|ICN|VVO|
VVO|FUK,|FUK|ICN|VVO|
VVO|HAK,|HAK|CAN|ICN|VVO|
VVO|HAN,|HAN|CAN|ICN|VVO|
VVO|HDG,|HDG|CAN|ICN|VVO|
VVO|HET,|HET|DLC|ICN|VVO|
VVO|HFE,|HFE|TYN|DLC|ICN|VVO|
VVO|HJJ,|HJJ|CSX|ICN|VVO|
VVO|HKT,|HKT|CAN|ICN|VVO|
VVO|HRB,|HRB|ICN|VVO|
VVO|HZH,|HZH|CAN|ICN|VVO|
VVO|JIU,|JIU|CAN|ICN|VVO|
VVO|JJN,|JJN|HGH|DLC|ICN|VVO|
VVO|JNG,|JNG|CAN|ICN|VVO|
VVO|KHN,|KHN|DLC|ICN|VVO|
VVO|KIX,|KIX|DLC|ICN|VVO|
VVO|KOW,|KOW|CAN|ICN|VVO|
VVO|KTM,|KTM|CAN|ICN|VVO|
VVO|KUL,|KUL|CAN|ICN|VVO|
VVO|KWE,|KWE|WUH|ICN|VVO|
VVO|KWL,|KWL|WUH|ICN|VVO|
VVO|LHW,|LHW|TNA|DLC|ICN|VVO|
VVO|LYA,|LYA|KHN|DLC|ICN|VVO|
