ACY|YYF,|YYF|YVR|ORD|ACY|
ACY|YZP,|YZP|YVR|ORD|ACY|
ACY|YQT,|YQT|YYZ|ORD|ACY|
ACY|SJD,|SJD|IAH|ACY|
ACY|YQF,|YQF|YYC|ORD|ACY|
ACY|YQL,|YQL|YYC|ORD|ACY|
ACY|YXH,|YXH|YYC|ORD|ACY|
ACY|YWK,|YWK|YZV|YQB|ORD|ACY|
ACY|ANU,|ANU|EWR|ORD|ACY|
ACY|AUA,|AUA|ATL|ORD|ACY|
ACY|AUH,|AUH|YYZ|ORD|ACY|
ACY|BCN,|BCN|YYZ|ORD|ACY|
ACY|BDA,|BDA|EWR|ORD|ACY|
ACY|BGI,|BGI|YYZ|ORD|ACY|
ACY|BNA,|BNA|ORD|ACY|
ACY|BOG,|BOG|MIA|ORD|ACY|
ACY|BWI,|BWI|ORD|ACY|
ACY|CLE,|CLE|ORD|ACY|
ACY|CLT,|CLT|ORD|ACY|
ACY|CMH,|CMH|ORD|ACY|
ACY|CVG,|CVG|ORD|ACY|
ACY|DFW,|DFW|ORD|ACY|
ACY|DTW,|DTW|ORD|ACY|
ACY|DUB,|DUB|ORD|ACY|
ACY|FCO,|FCO|YYZ|ORD|ACY|
ACY|GCM,|GCM|IAH|ACY|
ACY|GGT,|GGT|FLL|ORD|ACY|
ACY|GND,|GND|YYZ|ORD|ACY|
ACY|GRU,|GRU|ORD|ACY|
ACY|HAV,|HAV|YYZ|ORD|ACY|
ACY|IND,|IND|ORD|ACY|
ACY|JFK,|JFK|YYZ|ORD|ACY|
ACY|KIN,|KIN|YYZ|ORD|ACY|
ACY|LIM,|LIM|IAH|ACY|
ACY|LIR,|LIR|IAH|ACY|
ACY|MCI,|MCI|ORD|ACY|
ACY|MDT,|MDT|ORD|ACY|
ACY|MIA,|MIA|ORD|ACY|
ACY|MKE,|MKE|ORD|ACY|
ACY|MSP,|MSP|ORD|ACY|
ACY|NAS,|NAS|ORD|ACY|
ACY|PHL,|PHL|ORD|ACY|
ACY|PHX,|PHX|ORD|ACY|
ACY|PIT,|PIT|ORD|ACY|
ACY|PLS,|PLS|YYZ|ORD|ACY|
ACY|POP,|POP|YYZ|ORD|ACY|
ACY|RDU,|RDU|ORD|ACY|
ACY|ROC,|ROC|ORD|ACY|
ACY|RSW,|RSW|ORD|ACY|
ACY|SAN,|SAN|ORD|ACY|
ACY|SJO,|SJO|IAH|ACY|
ACY|STL,|STL|ORD|ACY|
ACY|SYR,|SYR|ORD|ACY|
ACY|TLV,|TLV|IST|ORD|ACY|
ACY|TPA,|TPA|ORD|ACY|
ACY|UVF,|UVF|EWR|ORD|ACY|
ACY|VIE,|VIE|ORD|ACY|
ACY|YAM,|YAM|YYZ|ORD|ACY|
ACY|YGK,|YGK|YYZ|ORD|ACY|
ACY|YQG,|YQG|YYZ|ORD|ACY|
ACY|YSB,|YSB|YYZ|ORD|ACY|
ACY|YTS,|YTS|YYZ|ORD|ACY|
ACY|YYB,|YYB|YYZ|ORD|ACY|
ACY|YZR,|YZR|YYZ|ORD|ACY|
ACY|CAN,|CAN|PEK|ORD|ACY|
ACY|URC,|URC|TSE|FRA|ORD|ACY|
ACY|CTU,|CTU|PEK|ORD|ACY|
ACY|HGH,|HGH|PEK|ORD|ACY|
ACY|XMN,|XMN|PEK|ORD|ACY|
ACY|CGO,|CGO|PEK|ORD|ACY|
ACY|CSX,|CSX|PEK|ORD|ACY|
ACY|SHE,|SHE|PEK|ORD|ACY|
ACY|SJW,|SJW|DLC|PEK|ORD|ACY|
ACY|WUH,|WUH|PEK|ORD|ACY|
ACY|SZX,|SZX|PEK|ORD|ACY|
ACY|CKG,|CKG|PEK|ORD|ACY|
ACY|KMG,|KMG|PEK|ORD|ACY|
ACY|FOC,|FOC|PEK|ORD|ACY|
ACY|NNG,|NNG|PEK|ORD|ACY|
ACY|SWA,|SWA|PEK|ORD|ACY|
ACY|ACX,|ACX|CAN|PEK|ORD|ACY|
ACY|AQG,|AQG|CAN|PEK|ORD|ACY|
ACY|AVA,|AVA|CAN|PEK|ORD|ACY|
ACY|BFJ,|BFJ|CAN|PEK|ORD|ACY|
ACY|BHY,|BHY|CGO|PEK|ORD|ACY|
ACY|BNE,|BNE|CAN|PEK|ORD|ACY|
ACY|CGD,|CGD|PEK|ORD|ACY|
ACY|CGK,|CGK|CAN|PEK|ORD|ACY|
ACY|CGQ,|CGQ|PEK|ORD|ACY|
ACY|CIH,|CIH|PEK|ORD|ACY|
ACY|CNX,|CNX|CAN|PEK|ORD|ACY|
ACY|CZX,|CZX|SHE|PEK|ORD|ACY|
ACY|DAC,|DAC|IST|ORD|ACY|
ACY|DAD,|DAD|CAN|PEK|ORD|ACY|
ACY|DEL,|DEL|EWR|ORD|ACY|
ACY|DIG,|DIG|KMG|PEK|ORD|ACY|
ACY|DLC,|DLC|PEK|ORD|ACY|
ACY|DPS,|DPS|SZX|PEK|ORD|ACY|
ACY|DXB,|DXB|IST|ORD|ACY|
ACY|DYG,|DYG|PEK|ORD|ACY|
ACY|FUG,|FUG|CAN|PEK|ORD|ACY|
ACY|FUK,|FUK|ICN|YVR|ORD|ACY|
ACY|HAK,|HAK|PEK|ORD|ACY|
ACY|HAN,|HAN|PEK|ORD|ACY|
ACY|HDG,|HDG|CAN|PEK|ORD|ACY|
ACY|HET,|HET|DLC|PEK|ORD|ACY|
ACY|HFE,|HFE|XIY|PEK|ORD|ACY|
ACY|HJJ,|HJJ|CSX|PEK|ORD|ACY|
ACY|HKT,|HKT|KWE|PEK|ORD|ACY|
ACY|HRB,|HRB|PEK|ORD|ACY|
ACY|HZH,|HZH|CAN|PEK|ORD|ACY|
ACY|JIU,|JIU|CAN|PEK|ORD|ACY|
ACY|JJN,|JJN|PEK|ORD|ACY|
ACY|JNG,|JNG|CAN|PEK|ORD|ACY|
ACY|KHN,|KHN|DLC|PEK|ORD|ACY|
ACY|KIX,|KIX|SFO|ORD|ACY|
ACY|KOW,|KOW|PEK|ORD|ACY|
ACY|KTM,|KTM|IST|ORD|ACY|
ACY|KUL,|KUL|CAN|PEK|ORD|ACY|
ACY|KWE,|KWE|PEK|ORD|ACY|
ACY|KWL,|KWL|PEK|ORD|ACY|
ACY|LHW,|LHW|CGO|PEK|ORD|ACY|
ACY|LYA,|LYA|KHN|DLC|PEK|ORD|ACY|
ACY|LYG,|LYG|HSN|PEK|ORD|ACY|
ACY|LZH,|LZH|CAN|PEK|ORD|ACY|
ACY|MEL,|MEL|SYD|LAX|ORD|ACY|
ACY|MIG,|MIG|CSX|PEK|ORD|ACY|
ACY|MLE,|MLE|IST|ORD|ACY|
ACY|MNL,|MNL|XMN|PEK|ORD|ACY|
ACY|MXZ,|MXZ|CAN|PEK|ORD|ACY|
ACY|NAO,|NAO|PEK|ORD|ACY|
ACY|NGB,|NGB|PEK|ORD|ACY|
ACY|NKG,|NKG|DLC|PEK|ORD|ACY|
ACY|NNY,|NNY|CGO|PEK|ORD|ACY|
ACY|PEN,|PEN|CAN|PEK|ORD|ACY|
ACY|PER,|PER|CAN|PEK|ORD|ACY|
ACY|PNH,|PNH|CAN|PEK|ORD|ACY|
ACY|REP,|REP|CAN|PEK|ORD|ACY|
ACY|RGN,|RGN|CAN|PEK|ORD|ACY|
ACY|SGN,|SGN|CAN|PEK|ORD|ACY|
ACY|SHA,|SHA|PEK|ORD|ACY|
ACY|SIN,|SIN|HKG|ORD|ACY|
ACY|SVO,|SVO|URC|TSE|FRA|ORD|ACY|
ACY|SYX,|SYX|PEK|ORD|ACY|
ACY|TAO,|TAO|DLC|PEK|ORD|ACY|
ACY|TEN,|TEN|PEK|ORD|ACY|
ACY|TNA,|TNA|DLC|PEK|ORD|ACY|
ACY|TPE,|TPE|PVG|ORD|ACY|
ACY|TSN,|TSN|DLC|PEK|ORD|ACY|
ACY|TXN,|TXN|DLC|PEK|ORD|ACY|
ACY|TYN,|TYN|DAT|CIH|PEK|ORD|ACY|
ACY|WNZ,|WNZ|CGO|PEK|ORD|ACY|
ACY|WUX,|WUX|CAN|PEK|ORD|ACY|
ACY|XFN,|XFN|XMN|PEK|ORD|ACY|
ACY|XIY,|XIY|PEK|ORD|ACY|
ACY|XUZ,|XUZ|LYG|HSN|PEK|ORD|ACY|
ACY|YIH,|YIH|CKG|PEK|ORD|ACY|
ACY|YIW,|YIW|PEK|ORD|ACY|
ACY|YNT,|YNT|SHE|PEK|ORD|ACY|
ACY|YNZ,|YNZ|DLC|PEK|ORD|ACY|
ACY|YTY,|YTY|DLC|PEK|ORD|ACY|
ACY|ZHA,|ZHA|CAN|PEK|ORD|ACY|
ACY|ZYI,|ZYI|PEK|ORD|ACY|
ACY|BAV,|BAV|CGO|PEK|ORD|ACY|
ACY|CJU,|CJU|DLC|PEK|ORD|ACY|
ACY|DSN,|DSN|CGO|PEK|ORD|ACY|
ACY|HMI,|HMI|CGO|PEK|ORD|ACY|
ACY|INC,|INC|PEK|ORD|ACY|
ACY|KHH,|KHH|CGO|PEK|ORD|ACY|
ACY|UYN,|UYN|CGO|PEK|ORD|ACY|
ACY|XNN,|XNN|PEK|ORD|ACY|
ACY|ZUH,|ZUH|PEK|ORD|ACY|
ACY|YNJ,|YNJ|PEK|ORD|ACY|
ACY|DAT,|DAT|CIH|PEK|ORD|ACY|
ACY|JHG,|JHG|CKG|PEK|ORD|ACY|
ACY|LJG,|LJG|CKG|PEK|ORD|ACY|
ACY|LXA,|LXA|XIY|PEK|ORD|ACY|
ACY|YCU,|YCU|CSX|PEK|ORD|ACY|
ACY|LZO,|LZO|CSX|PEK|ORD|ACY|
ACY|MDG,|MDG|ICN|YVR|ORD|ACY|
ACY|NGO,|NGO|ICN|YVR|ORD|ACY|
ACY|TOY,|TOY|DLC|PEK|ORD|ACY|
ACY|MFM,|MFM|XMN|PEK|ORD|ACY|
ACY|TGO,|TGO|HET|DLC|PEK|ORD|ACY|
