UVF|YYF,|YYF|YVR|YYZ|UVF|
UVF|YZP,|YZP|YVR|YYZ|UVF|
UVF|YQT,|YQT|YYZ|UVF|
UVF|SJD,|SJD|EWR|UVF|
UVF|YQF,|YQF|YYC|YYZ|UVF|
UVF|YQL,|YQL|YYC|YYZ|UVF|
UVF|YXH,|YXH|YYC|YYZ|UVF|
UVF|YWK,|YWK|YZV|YQB|EWR|UVF|
UVF|ANU,|ANU|EWR|UVF|
UVF|AUA,|AUA|EWR|UVF|
UVF|AUH,|AUH|FRA|EWR|UVF|
UVF|BCN,|BCN|EWR|UVF|
UVF|BDA,|BDA|EWR|UVF|
UVF|BGI,|BGI|YYZ|UVF|
UVF|BNA,|BNA|EWR|UVF|
UVF|BOG,|BOG|EWR|UVF|
UVF|BWI,|BWI|EWR|UVF|
UVF|CLE,|CLE|EWR|UVF|
UVF|CLT,|CLT|EWR|UVF|
UVF|CMH,|CMH|EWR|UVF|
UVF|CVG,|CVG|EWR|UVF|
UVF|DFW,|DFW|EWR|UVF|
UVF|DTW,|DTW|EWR|UVF|
UVF|DUB,|DUB|EWR|UVF|
UVF|FCO,|FCO|EWR|UVF|
UVF|GCM,|GCM|EWR|UVF|
UVF|GGT,|GGT|FLL|EWR|UVF|
UVF|GND,|GND|YYZ|UVF|
UVF|GRU,|GRU|EWR|UVF|
UVF|HAV,|HAV|YYZ|UVF|
UVF|IND,|IND|EWR|UVF|
UVF|JFK,|JFK|IAD|EWR|UVF|
UVF|KIN,|KIN|YYZ|UVF|
UVF|LIM,|LIM|EWR|UVF|
UVF|LIR,|LIR|EWR|UVF|
UVF|MCI,|MCI|EWR|UVF|
UVF|MDT,|MDT|IAD|EWR|UVF|
UVF|MIA,|MIA|EWR|UVF|
UVF|MKE,|MKE|EWR|UVF|
UVF|MSP,|MSP|YYZ|UVF|
UVF|NAS,|NAS|EWR|UVF|
UVF|PHL,|PHL|IAD|EWR|UVF|
UVF|PHX,|PHX|EWR|UVF|
UVF|PIT,|PIT|EWR|UVF|
UVF|PLS,|PLS|EWR|UVF|
UVF|POP,|POP|EWR|UVF|
UVF|RDU,|RDU|EWR|UVF|
UVF|ROC,|ROC|EWR|UVF|
UVF|RSW,|RSW|EWR|UVF|
UVF|SAN,|SAN|EWR|UVF|
UVF|SJO,|SJO|EWR|UVF|
UVF|STL,|STL|EWR|UVF|
UVF|SYR,|SYR|EWR|UVF|
UVF|TLV,|TLV|EWR|UVF|
UVF|TPA,|TPA|EWR|UVF|
UVF|VIE,|VIE|YYZ|UVF|
UVF|YAM,|YAM|YYZ|UVF|
UVF|YGK,|YGK|YYZ|UVF|
UVF|YQG,|YQG|YYZ|UVF|
UVF|YSB,|YSB|YYZ|UVF|
UVF|YTS,|YTS|YYZ|UVF|
UVF|YYB,|YYB|YYZ|UVF|
UVF|YZR,|YZR|YYZ|UVF|
UVF|CAN,|CAN|PEK|EWR|UVF|
UVF|URC,|URC|TSE|FRA|EWR|UVF|
UVF|CTU,|CTU|PEK|EWR|UVF|
UVF|HGH,|HGH|PEK|EWR|UVF|
UVF|XMN,|XMN|PEK|EWR|UVF|
UVF|CGO,|CGO|PEK|EWR|UVF|
UVF|CSX,|CSX|PEK|EWR|UVF|
UVF|SHE,|SHE|PEK|EWR|UVF|
UVF|SJW,|SJW|DLC|PEK|EWR|UVF|
UVF|WUH,|WUH|PEK|EWR|UVF|
UVF|SZX,|SZX|PEK|EWR|UVF|
UVF|CKG,|CKG|PEK|EWR|UVF|
UVF|KMG,|KMG|PEK|EWR|UVF|
UVF|FOC,|FOC|PEK|EWR|UVF|
UVF|NNG,|NNG|PEK|EWR|UVF|
UVF|SWA,|SWA|PEK|EWR|UVF|
UVF|ACX,|ACX|CAN|PEK|EWR|UVF|
UVF|AQG,|AQG|CAN|PEK|EWR|UVF|
UVF|AVA,|AVA|CAN|PEK|EWR|UVF|
UVF|BFJ,|BFJ|CAN|PEK|EWR|UVF|
UVF|BHY,|BHY|CGO|PEK|EWR|UVF|
UVF|BNE,|BNE|CAN|PEK|EWR|UVF|
UVF|CGD,|CGD|PEK|EWR|UVF|
UVF|CGK,|CGK|CAN|PEK|EWR|UVF|
UVF|CGQ,|CGQ|PEK|EWR|UVF|
UVF|CIH,|CIH|PEK|EWR|UVF|
UVF|CNX,|CNX|CAN|PEK|EWR|UVF|
UVF|CZX,|CZX|SHE|PEK|EWR|UVF|
UVF|DAC,|DAC|IST|BHX|EWR|UVF|
UVF|DAD,|DAD|CAN|PEK|EWR|UVF|
UVF|DEL,|DEL|EWR|UVF|
UVF|DIG,|DIG|KMG|PEK|EWR|UVF|
UVF|DLC,|DLC|PEK|EWR|UVF|
UVF|DPS,|DPS|SZX|PEK|EWR|UVF|
UVF|DXB,|DXB|IST|BHX|EWR|UVF|
UVF|DYG,|DYG|PEK|EWR|UVF|
UVF|FUG,|FUG|CAN|PEK|EWR|UVF|
UVF|FUK,|FUK|ICN|JFK|IAD|EWR|UVF|
UVF|HAK,|HAK|PEK|EWR|UVF|
UVF|HAN,|HAN|PEK|EWR|UVF|
UVF|HDG,|HDG|CAN|PEK|EWR|UVF|
UVF|HET,|HET|DLC|PEK|EWR|UVF|
UVF|HFE,|HFE|XIY|PEK|EWR|UVF|
UVF|HJJ,|HJJ|CSX|PEK|EWR|UVF|
UVF|HKT,|HKT|KWE|PEK|EWR|UVF|
UVF|HRB,|HRB|PEK|EWR|UVF|
UVF|HZH,|HZH|CAN|PEK|EWR|UVF|
UVF|JIU,|JIU|CAN|PEK|EWR|UVF|
UVF|JJN,|JJN|PEK|EWR|UVF|
UVF|JNG,|JNG|CAN|PEK|EWR|UVF|
UVF|KHN,|KHN|DLC|PEK|EWR|UVF|
UVF|KIX,|KIX|DLC|PEK|EWR|UVF|
UVF|KOW,|KOW|PEK|EWR|UVF|
UVF|KTM,|KTM|IST|BHX|EWR|UVF|
UVF|KUL,|KUL|CAN|PEK|EWR|UVF|
UVF|KWE,|KWE|PEK|EWR|UVF|
UVF|KWL,|KWL|PEK|EWR|UVF|
UVF|LHW,|LHW|CGO|PEK|EWR|UVF|
UVF|LYA,|LYA|KHN|DLC|PEK|EWR|UVF|
UVF|LYG,|LYG|HSN|PEK|EWR|UVF|
UVF|LZH,|LZH|CAN|PEK|EWR|UVF|
UVF|MEL,|MEL|SYD|LAX|EWR|UVF|
UVF|MIG,|MIG|CSX|PEK|EWR|UVF|
UVF|MLE,|MLE|IST|BHX|EWR|UVF|
UVF|MNL,|MNL|XMN|PEK|EWR|UVF|
UVF|MXZ,|MXZ|CAN|PEK|EWR|UVF|
UVF|NAO,|NAO|PEK|EWR|UVF|
UVF|NGB,|NGB|PEK|EWR|UVF|
UVF|NKG,|NKG|DLC|PEK|EWR|UVF|
UVF|NNY,|NNY|CGO|PEK|EWR|UVF|
UVF|PEN,|PEN|CAN|PEK|EWR|UVF|
UVF|PER,|PER|CAN|PEK|EWR|UVF|
UVF|PNH,|PNH|CAN|PEK|EWR|UVF|
UVF|REP,|REP|CAN|PEK|EWR|UVF|
UVF|RGN,|RGN|CAN|PEK|EWR|UVF|
UVF|SGN,|SGN|CAN|PEK|EWR|UVF|
UVF|SHA,|SHA|PEK|EWR|UVF|
UVF|SIN,|SIN|CAN|PEK|EWR|UVF|
UVF|SVO,|SVO|URC|TSE|FRA|EWR|UVF|
