DSM|YZP,|YZP|YVR|DEN|DSM|
DSM|YQT,|YQT|YYZ|ORD|DSM|
DSM|SJD,|SJD|DEN|DSM|
DSM|YQF,|YQF|YYC|DEN|DSM|
DSM|YQL,|YQL|YYC|DEN|DSM|
DSM|YXH,|YXH|YYC|DEN|DSM|
DSM|YWK,|YWK|YZV|YQB|ORD|DSM|
DSM|ANU,|ANU|EWR|DSM|
DSM|AUA,|AUA|ATL|MDW|DSM|
DSM|AUH,|AUH|YYZ|ORD|DSM|
DSM|BCN,|BCN|YYZ|ORD|DSM|
DSM|BDA,|BDA|EWR|DSM|
DSM|BGI,|BGI|YYZ|ORD|DSM|
DSM|BNA,|BNA|MDW|DSM|
DSM|BOG,|BOG|MIA|ORD|DSM|
DSM|BWI,|BWI|MDW|DSM|
DSM|CLE,|CLE|MDW|DSM|
DSM|CLT,|CLT|MDW|DSM|
DSM|CMH,|CMH|MDW|DSM|
DSM|CVG,|CVG|ORD|DSM|
DSM|DFW,|DFW|IAH|DSM|
DSM|DTW,|DTW|ORD|DSM|
DSM|DUB,|DUB|ORD|DSM|
DSM|FCO,|FCO|YYZ|ORD|DSM|
DSM|GCM,|GCM|IAH|DSM|
DSM|GGT,|GGT|FLL|MDW|DSM|
DSM|GND,|GND|YYZ|ORD|DSM|
DSM|GRU,|GRU|ORD|DSM|
DSM|HAV,|HAV|YYZ|ORD|DSM|
DSM|IND,|IND|ORD|DSM|
DSM|JFK,|JFK|YYZ|ORD|DSM|
DSM|KIN,|KIN|YYZ|ORD|DSM|
DSM|LIM,|LIM|IAH|DSM|
DSM|LIR,|LIR|IAH|DSM|
DSM|MCI,|MCI|ORD|DSM|
DSM|MDT,|MDT|ORD|DSM|
DSM|MIA,|MIA|ORD|DSM|
DSM|MKE,|MKE|ORD|DSM|
DSM|MSP,|MSP|ORD|DSM|
DSM|NAS,|NAS|ORD|DSM|
DSM|PHL,|PHL|MDW|DSM|
DSM|PHX,|PHX|DEN|DSM|
DSM|PIT,|PIT|MDW|DSM|
DSM|PLS,|PLS|YYZ|ORD|DSM|
DSM|POP,|POP|YYZ|ORD|DSM|
DSM|RDU,|RDU|MDW|DSM|
DSM|ROC,|ROC|ORD|DSM|
DSM|RSW,|RSW|MDW|DSM|
DSM|SAN,|SAN|DEN|DSM|
DSM|SJO,|SJO|IAH|DSM|
DSM|STL,|STL|ORD|DSM|
DSM|SYR,|SYR|ORD|DSM|
DSM|TLV,|TLV|IST|ORD|DSM|
DSM|TPA,|TPA|MDW|DSM|
DSM|UVF,|UVF|EWR|DSM|
DSM|VIE,|VIE|ORD|DSM|
DSM|YAM,|YAM|YYZ|ORD|DSM|
DSM|YGK,|YGK|YYZ|ORD|DSM|
DSM|YQG,|YQG|YYZ|ORD|DSM|
DSM|YSB,|YSB|YYZ|ORD|DSM|
DSM|YTS,|YTS|YYZ|ORD|DSM|
DSM|YYB,|YYB|YYZ|ORD|DSM|
DSM|YZR,|YZR|YYZ|ORD|DSM|
DSM|CAN,|CAN|PEK|ORD|DSM|
DSM|URC,|URC|TSE|FRA|ORD|DSM|
DSM|CTU,|CTU|PEK|ORD|DSM|
DSM|HGH,|HGH|PEK|ORD|DSM|
DSM|XMN,|XMN|PEK|ORD|DSM|
