AJI|YCD,|YCD|YVR|FRA|ESB|AJI|
AJI|YCG,|YCG|YYC|FRA|ESB|AJI|
AJI|YKA,|YKA|YYC|FRA|ESB|AJI|
AJI|YPR,|YPR|YVR|FRA|ESB|AJI|
AJI|YQZ,|YQZ|YVR|FRA|ESB|AJI|
AJI|YXC,|YXC|YYC|FRA|ESB|AJI|
AJI|YXJ,|YXJ|YYC|FRA|ESB|AJI|
AJI|YXS,|YXS|YYC|FRA|ESB|AJI|
AJI|YXT,|YXT|YVR|FRA|ESB|AJI|
AJI|YXY,|YXY|YVR|FRA|ESB|AJI|
AJI|YYD,|YYD|YVR|FRA|ESB|AJI|
AJI|YYF,|YYF|YVR|FRA|ESB|AJI|
AJI|YZP,|YZP|YVR|FRA|ESB|AJI|
AJI|YQT,|YQT|YYZ|VIE|ESB|AJI|
AJI|SJD,|SJD|ORD|VIE|ESB|AJI|
AJI|YQF,|YQF|YYC|FRA|ESB|AJI|
AJI|YQL,|YQL|YYC|FRA|ESB|AJI|
AJI|YXH,|YXH|YYC|FRA|ESB|AJI|
AJI|YWK,|YWK|YYR|YYT|LHR|IST|AJI|
AJI|ANU,|ANU|EWR|FRA|ESB|AJI|
AJI|AUA,|AUA|EWR|FRA|ESB|AJI|
AJI|AUH,|AUH|IST|AJI|
AJI|BCN,|BCN|IST|AJI|
AJI|BDA,|BDA|EWR|FRA|ESB|AJI|
AJI|BGI,|BGI|YYZ|VIE|ESB|AJI|
AJI|BNA,|BNA|YYZ|VIE|ESB|AJI|
AJI|BOG,|BOG|JFK|VIE|ESB|AJI|
AJI|BWI,|BWI|EWR|FRA|ESB|AJI|
AJI|CLE,|CLE|YYZ|VIE|ESB|AJI|
AJI|CLT,|CLT|EWR|FRA|ESB|AJI|
AJI|CMH,|CMH|YYZ|VIE|ESB|AJI|
AJI|CVG,|CVG|YYZ|VIE|ESB|AJI|
AJI|DFW,|DFW|ORD|VIE|ESB|AJI|
AJI|DTW,|DTW|YYZ|VIE|ESB|AJI|
AJI|DUB,|DUB|IST|AJI|
AJI|FCO,|FCO|IST|AJI|
AJI|GCM,|GCM|EWR|FRA|ESB|AJI|
AJI|GGT,|GGT|FLL|MCO|FRA|ESB|AJI|
AJI|GND,|GND|YYZ|VIE|ESB|AJI|
AJI|GRU,|GRU|IST|AJI|
AJI|HAV,|HAV|YYZ|VIE|ESB|AJI|
AJI|IND,|IND|YYZ|VIE|ESB|AJI|
AJI|JFK,|JFK|VIE|ESB|AJI|
AJI|KIN,|KIN|YYZ|VIE|ESB|AJI|
AJI|LIM,|LIM|MIA|FRA|ESB|AJI|
AJI|LIR,|LIR|EWR|FRA|ESB|AJI|
AJI|MCI,|MCI|ORD|VIE|ESB|AJI|
AJI|MDT,|MDT|IAD|VIE|ESB|AJI|
AJI|MIA,|MIA|FRA|ESB|AJI|
AJI|MKE,|MKE|YYZ|VIE|ESB|AJI|
AJI|MSP,|MSP|YUL|FRA|ESB|AJI|
AJI|NAS,|NAS|EWR|FRA|ESB|AJI|
AJI|PHL,|PHL|IAD|VIE|ESB|AJI|
AJI|PHX,|PHX|DEN|FRA|ESB|AJI|
AJI|PIT,|PIT|YYZ|VIE|ESB|AJI|
AJI|PLS,|PLS|EWR|FRA|ESB|AJI|
AJI|POP,|POP|EWR|FRA|ESB|AJI|
AJI|RDU,|RDU|EWR|FRA|ESB|AJI|
AJI|ROC,|ROC|YYZ|VIE|ESB|AJI|
AJI|RSW,|RSW|MCO|FRA|ESB|AJI|
AJI|SAN,|SAN|LAX|IST|AJI|
AJI|SJO,|SJO|EWR|FRA|ESB|AJI|
AJI|STL,|STL|ORD|VIE|ESB|AJI|
AJI|SYR,|SYR|EWR|FRA|ESB|AJI|
AJI|TLV,|TLV|SAW|ESB|AJI|
AJI|TPA,|TPA|EWR|FRA|ESB|AJI|
AJI|UVF,|UVF|EWR|FRA|ESB|AJI|
AJI|VIE,|VIE|ESB|AJI|
AJI|YAM,|YAM|YYZ|VIE|ESB|AJI|
AJI|YGK,|YGK|YYZ|VIE|ESB|AJI|
AJI|YQG,|YQG|YYZ|VIE|ESB|AJI|
AJI|YSB,|YSB|YYZ|VIE|ESB|AJI|
AJI|YTS,|YTS|YYZ|VIE|ESB|AJI|
AJI|YYB,|YYB|YYZ|VIE|ESB|AJI|
AJI|YZR,|YZR|YYZ|VIE|ESB|AJI|
AJI|CAN,|CAN|IST|AJI|
AJI|URC,|URC|TBS|SAW|ESB|AJI|
AJI|CTU,|CTU|URC|TBS|SAW|ESB|AJI|
AJI|HGH,|HGH|URC|TBS|SAW|ESB|AJI|
AJI|XMN,|XMN|CSX|URC|TBS|SAW|ESB|AJI|
AJI|CGO,|CGO|URC|TBS|SAW|ESB|AJI|
AJI|CSX,|CSX|URC|TBS|SAW|ESB|AJI|
AJI|SHE,|SHE|PEK|IST|AJI|
AJI|SJW,|SJW|URC|TBS|SAW|ESB|AJI|
AJI|WUH,|WUH|URC|TBS|SAW|ESB|AJI|
AJI|SZX,|SZX|CKG|URC|TBS|SAW|ESB|AJI|
AJI|CKG,|CKG|URC|TBS|SAW|ESB|AJI|
AJI|KMG,|KMG|CTU|URC|TBS|SAW|ESB|AJI|
AJI|FOC,|FOC|XIY|URC|TBS|SAW|ESB|AJI|
AJI|NNG,|NNG|KWE|URC|TBS|SAW|ESB|AJI|
AJI|SWA,|SWA|CSX|URC|TBS|SAW|ESB|AJI|
AJI|ACX,|ACX|CAN|IST|AJI|
AJI|AQG,|AQG|CAN|IST|AJI|
AJI|AVA,|AVA|CAN|IST|AJI|
AJI|BFJ,|BFJ|CAN|IST|AJI|
AJI|BHY,|BHY|CKG|URC|TBS|SAW|ESB|AJI|
AJI|BNE,|BNE|BKK|IST|AJI|
AJI|CGD,|CGD|PEK|IST|AJI|
AJI|CGK,|CGK|SIN|IST|AJI|
AJI|CGQ,|CGQ|HET|URC|TBS|SAW|ESB|AJI|
AJI|CIH,|CIH|PEK|IST|AJI|
AJI|CNX,|CNX|CAN|IST|AJI|
AJI|CZX,|CZX|TYN|URC|TBS|SAW|ESB|AJI|
AJI|DAC,|DAC|IST|AJI|
AJI|DAD,|DAD|CAN|IST|AJI|
AJI|DEL,|DEL|IST|AJI|
AJI|DIG,|DIG|KMG|CTU|URC|TBS|SAW|ESB|AJI|
AJI|DLC,|DLC|PEK|IST|AJI|
AJI|DPS,|DPS|CAN|IST|AJI|
AJI|DXB,|DXB|IST|AJI|
AJI|DYG,|DYG|CSX|URC|TBS|SAW|ESB|AJI|
AJI|FUG,|FUG|CAN|IST|AJI|
AJI|FUK,|FUK|ICN|IST|AJI|
AJI|HAK,|HAK|CTU|URC|TBS|SAW|ESB|AJI|
AJI|HAN,|HAN|CAN|IST|AJI|
AJI|HDG,|HDG|CAN|IST|AJI|
AJI|HET,|HET|URC|TBS|SAW|ESB|AJI|
AJI|HFE,|HFE|XIY|URC|TBS|SAW|ESB|AJI|
AJI|HJJ,|HJJ|CSX|URC|TBS|SAW|ESB|AJI|
AJI|HKT,|HKT|KWE|URC|TBS|SAW|ESB|AJI|
AJI|HRB,|HRB|PEK|IST|AJI|
AJI|HZH,|HZH|CAN|IST|AJI|
AJI|JIU,|JIU|CAN|IST|AJI|
AJI|JJN,|JJN|CSX|URC|TBS|SAW|ESB|AJI|
AJI|JNG,|JNG|CAN|IST|AJI|
AJI|KHN,|KHN|XIY|URC|TBS|SAW|ESB|AJI|
AJI|KIX,|KIX|IST|AJI|
AJI|KOW,|KOW|CAN|IST|AJI|
AJI|KTM,|KTM|IST|AJI|
AJI|KUL,|KUL|IST|AJI|
AJI|KWE,|KWE|URC|TBS|SAW|ESB|AJI|
AJI|KWL,|KWL|CKG|URC|TBS|SAW|ESB|AJI|
AJI|LHW,|LHW|URC|TBS|SAW|ESB|AJI|
AJI|LYA,|LYA|KHN|XIY|URC|TBS|SAW|ESB|AJI|
AJI|LYG,|LYG|XUZ|INC|URC|TBS|SAW|ESB|AJI|
AJI|LZH,|LZH|CAN|IST|AJI|
AJI|MEL,|MEL|BKK|IST|AJI|
AJI|MIG,|MIG|CSX|URC|TBS|SAW|ESB|AJI|
AJI|MLE,|MLE|IST|AJI|
AJI|MNL,|MNL|CAN|IST|AJI|
AJI|MXZ,|MXZ|CAN|IST|AJI|
AJI|NAO,|NAO|PEK|IST|AJI|
AJI|NGB,|NGB|WUH|URC|TBS|SAW|ESB|AJI|
AJI|NKG,|NKG|URC|TBS|SAW|ESB|AJI|
AJI|NNY,|NNY|CGO|URC|TBS|SAW|ESB|AJI|
AJI|PEN,|PEN|CAN|IST|AJI|
AJI|PER,|PER|BKK|IST|AJI|
AJI|PNH,|PNH|CAN|IST|AJI|
AJI|REP,|REP|CAN|IST|AJI|
AJI|RGN,|RGN|CAN|IST|AJI|
AJI|SGN,|SGN|BKK|IST|AJI|
AJI|SHA,|SHA|URC|TBS|SAW|ESB|AJI|
AJI|SIN,|SIN|IST|AJI|
AJI|SVO,|SVO|URC|TBS|SAW|ESB|AJI|
AJI|SYX,|SYX|CKG|URC|TBS|SAW|ESB|AJI|
AJI|TAO,|TAO|TYN|URC|TBS|SAW|ESB|AJI|
AJI|TEN,|TEN|CAN|IST|AJI|
AJI|TNA,|TNA|URC|TBS|SAW|ESB|AJI|
AJI|TPE,|TPE|URC|TBS|SAW|ESB|AJI|
AJI|TSN,|TSN|HET|URC|TBS|SAW|ESB|AJI|
AJI|TXN,|TXN|TYN|URC|TBS|SAW|ESB|AJI|
AJI|TYN,|TYN|URC|TBS|SAW|ESB|AJI|
AJI|WNZ,|WNZ|XIY|URC|TBS|SAW|ESB|AJI|
AJI|WUX,|WUX|CAN|IST|AJI|
AJI|XFN,|XFN|CAN|IST|AJI|
AJI|XIY,|XIY|URC|TBS|SAW|ESB|AJI|
AJI|XUZ,|XUZ|INC|URC|TBS|SAW|ESB|AJI|
AJI|YIH,|YIH|CKG|URC|TBS|SAW|ESB|AJI|
AJI|YIW,|YIW|URC|TBS|SAW|ESB|AJI|
AJI|YNT,|YNT|SHE|PEK|IST|AJI|
AJI|YNZ,|YNZ|WUH|URC|TBS|SAW|ESB|AJI|
AJI|YTY,|YTY|CGO|URC|TBS|SAW|ESB|AJI|
AJI|ZHA,|ZHA|CAN|IST|AJI|
AJI|ZYI,|ZYI|CAN|IST|AJI|
