HKG|YWK,|YWK|YZV|YQB|YYZ|HKG|
HKG|ANU,|ANU|EWR|HKG|
HKG|AUA,|AUA|EWR|HKG|
HKG|AUH,|AUH|IST|HKG|
HKG|BCN,|BCN|IST|HKG|
HKG|BDA,|BDA|EWR|HKG|
HKG|BGI,|BGI|YYZ|HKG|
HKG|BNA,|BNA|ORD|HKG|
HKG|BOG,|BOG|MIA|ORD|HKG|
HKG|BWI,|BWI|YYZ|HKG|
HKG|CLE,|CLE|YYZ|HKG|
HKG|CLT,|CLT|ORD|HKG|
HKG|CMH,|CMH|ORD|HKG|
HKG|CVG,|CVG|ORD|HKG|
HKG|DFW,|DFW|YVR|HKG|
HKG|DTW,|DTW|PEK|HKG|
HKG|DUB,|DUB|IST|HKG|
HKG|FCO,|FCO|IST|HKG|
HKG|GCM,|GCM|YYZ|HKG|
HKG|GGT,|GGT|YYZ|HKG|
HKG|GND,|GND|YYZ|HKG|
HKG|GRU,|GRU|IST|HKG|
HKG|HAV,|HAV|YYZ|HKG|
HKG|IND,|IND|ORD|HKG|
HKG|JFK,|JFK|PEK|HKG|
HKG|KIN,|KIN|YYZ|HKG|
HKG|LIM,|LIM|IAH|YVR|HKG|
HKG|LIR,|LIR|IAH|YVR|HKG|
HKG|MCI,|MCI|DEN|YVR|HKG|
HKG|MDT,|MDT|YYZ|HKG|
HKG|MIA,|MIA|ORD|HKG|
HKG|MKE,|MKE|ORD|HKG|
HKG|MSP,|MSP|ORD|HKG|
HKG|NAS,|NAS|YYZ|HKG|
HKG|PHL,|PHL|YYZ|HKG|
HKG|PHX,|PHX|SFO|HKG|
HKG|PIT,|PIT|YYZ|HKG|
HKG|PLS,|PLS|EWR|HKG|
HKG|POP,|POP|EWR|HKG|
HKG|RDU,|RDU|YYZ|HKG|
HKG|ROC,|ROC|YYZ|HKG|
HKG|RSW,|RSW|ORD|HKG|
HKG|SAN,|SAN|SFO|HKG|
HKG|SJO,|SJO|IAH|YVR|HKG|
HKG|STL,|STL|ORD|HKG|
HKG|SYR,|SYR|YYZ|HKG|
HKG|TLV,|TLV|IST|HKG|
HKG|TPA,|TPA|ORD|HKG|
HKG|UVF,|UVF|EWR|HKG|
HKG|VIE,|VIE|IST|HKG|
HKG|YAM,|YAM|YYZ|HKG|
HKG|YGK,|YGK|YYZ|HKG|
HKG|YQG,|YQG|YYZ|HKG|
HKG|YSB,|YSB|YYZ|HKG|
