BSR|YQQ,|YQQ|YBL|YVR|MUC|IST|BSR|
BSR|YYR,|YYR|YYT|LHR|IST|BSR|
BSR|LHR,|LHR|IST|BSR|
BSR|SFO,|SFO|MUC|IST|BSR|
BSR|YQU,|YQU|YEG|LHR|IST|BSR|
BSR|YZF,|YZF|YEG|LHR|IST|BSR|
BSR|YGR,|YGR|YGP|YQB|YUL|FRA|IST|BSR|
BSR|YGP,|YGP|YQB|YUL|FRA|IST|BSR|
BSR|BOS,|BOS|FRA|IST|BSR|
BSR|YDF,|YDF|YYT|LHR|IST|BSR|
BSR|YFC,|YFC|YHZ|LHR|IST|BSR|
BSR|YQM,|YQM|YHZ|LHR|IST|BSR|
BSR|YQX,|YQX|YYT|LHR|IST|BSR|
BSR|YQY,|YQY|YHZ|LHR|IST|BSR|
BSR|YSJ,|YSJ|YHZ|LHR|IST|BSR|
BSR|YYG,|YYG|YHZ|LHR|IST|BSR|
BSR|LAX,|LAX|IST|BSR|
BSR|DCA,|DCA|EWR|BHX|IST|BSR|
BSR|LGA,|LGA|YHZ|LHR|IST|BSR|
BSR|YZV,|YZV|YWK|YYR|YYT|LHR|IST|BSR|
BSR|YWL,|YWL|YVR|MUC|IST|BSR|
BSR|AZS,|AZS|YUL|FRA|IST|BSR|
BSR|BDL,|BDL|YUL|FRA|IST|BSR|
BSR|CCC,|CCC|YUL|FRA|IST|BSR|
BSR|CDG,|CDG|IST|BSR|
BSR|CUN,|CUN|YHZ|LHR|IST|BSR|
BSR|CZM,|CZM|YUL|FRA|IST|BSR|
BSR|FDF,|FDF|YUL|FRA|IST|BSR|
BSR|FLL,|FLL|MCO|FRA|IST|BSR|
BSR|GVA,|GVA|IST|BSR|
BSR|HOG,|HOG|YUL|FRA|IST|BSR|
BSR|LAS,|LAS|DEN|FRA|IST|BSR|
BSR|MBJ,|MBJ|YHZ|LHR|IST|BSR|
BSR|MCO,|MCO|FRA|IST|BSR|
BSR|MUC,|MUC|IST|BSR|
BSR|PAP,|PAP|YUL|FRA|IST|BSR|
BSR|PTP,|PTP|YUL|FRA|IST|BSR|
BSR|PUJ,|PUJ|YHZ|LHR|IST|BSR|
BSR|SNU,|SNU|YUL|FRA|IST|BSR|
BSR|VRA,|VRA|YUL|FRA|IST|BSR|
BSR|YBC,|YBC|YUL|FRA|IST|BSR|
BSR|YBG,|YBG|YUL|FRA|IST|BSR|
BSR|YTZ,|YTZ|YUL|FRA|IST|BSR|
BSR|YUY,|YUY|YUL|FRA|IST|BSR|
BSR|YVO,|YVO|YUL|FRA|IST|BSR|
BSR|ZBF,|ZBF|YUL|FRA|IST|BSR|
BSR|ZRH,|ZRH|IST|BSR|
BSR|ZSA,|ZSA|YUL|FRA|IST|BSR|
BSR|AKL,|AKL|BKK|IST|BSR|
BSR|HKG,|HKG|IST|BSR|
BSR|HND,|HND|YVR|MUC|IST|BSR|
BSR|HNL,|HNL|YVR|MUC|IST|BSR|
BSR|MEX,|MEX|IAD|IST|BSR|
BSR|OGG,|OGG|YVR|MUC|IST|BSR|
BSR|PDX,|PDX|SEA|FRA|IST|BSR|
BSR|PEK,|PEK|IST|BSR|
BSR|PVG,|PVG|IST|BSR|
BSR|PVR,|PVR|ORD|IST|BSR|
BSR|SEA,|SEA|FRA|IST|BSR|
BSR|SYD,|SYD|BKK|IST|BSR|
BSR|YBL,|YBL|YVR|MUC|IST|BSR|
BSR|YCD,|YCD|YVR|MUC|IST|BSR|
BSR|YCG,|YCG|YYC|FRA|IST|BSR|
BSR|YKA,|YKA|YYC|FRA|IST|BSR|
BSR|YPR,|YPR|YVR|MUC|IST|BSR|
BSR|YQZ,|YQZ|YVR|MUC|IST|BSR|
BSR|YXC,|YXC|YYC|FRA|IST|BSR|
BSR|YXJ,|YXJ|YYC|FRA|IST|BSR|
BSR|YXS,|YXS|YYC|FRA|IST|BSR|
BSR|YXT,|YXT|YVR|MUC|IST|BSR|
BSR|YXY,|YXY|YVR|MUC|IST|BSR|
BSR|YYD,|YYD|YVR|MUC|IST|BSR|
BSR|YYF,|YYF|YVR|MUC|IST|BSR|
BSR|YZP,|YZP|YVR|MUC|IST|BSR|
BSR|YQT,|YQT|YYZ|IST|BSR|
BSR|SJD,|SJD|ORD|IST|BSR|
BSR|YQF,|YQF|YYC|FRA|IST|BSR|
BSR|YQL,|YQL|YYC|FRA|IST|BSR|
BSR|YXH,|YXH|YYC|FRA|IST|BSR|
BSR|YWK,|YWK|YYR|YYT|LHR|IST|BSR|
BSR|ANU,|ANU|EWR|BHX|IST|BSR|
BSR|AUA,|AUA|EWR|BHX|IST|BSR|
BSR|AUH,|AUH|IST|BSR|
BSR|BCN,|BCN|IST|BSR|
BSR|BDA,|BDA|EWR|BHX|IST|BSR|
BSR|BGI,|BGI|YYZ|IST|BSR|
BSR|BNA,|BNA|YYZ|IST|BSR|
BSR|BOG,|BOG|MIA|ZRH|IST|BSR|
BSR|BWI,|BWI|EWR|BHX|IST|BSR|
BSR|CLE,|CLE|YYZ|IST|BSR|
BSR|CLT,|CLT|EWR|BHX|IST|BSR|
BSR|CMH,|CMH|YYZ|IST|BSR|
BSR|CVG,|CVG|YYZ|IST|BSR|
BSR|DFW,|DFW|ORD|IST|BSR|
BSR|DTW,|DTW|FRA|IST|BSR|
BSR|DUB,|DUB|IST|BSR|
BSR|FCO,|FCO|IST|BSR|
BSR|GCM,|GCM|EWR|BHX|IST|BSR|
