MCI|YQL,|YQL|YYC|DEN|MCI|
MCI|YXH,|YXH|YYC|DEN|MCI|
MCI|YWK,|YWK|YZV|YQB|ORD|MCI|
MCI|ANU,|ANU|EWR|MCI|
MCI|AUA,|AUA|ATL|MCI|
MCI|AUH,|AUH|YYZ|MCI|
MCI|BCN,|BCN|YYZ|MCI|
MCI|BDA,|BDA|EWR|MCI|
MCI|BGI,|BGI|YYZ|MCI|
MCI|BNA,|BNA|MCI|
MCI|BOG,|BOG|IAH|MCI|
MCI|BWI,|BWI|MCI|
MCI|CLE,|CLE|MCI|
MCI|CLT,|CLT|MDW|MCI|
MCI|CMH,|CMH|STL|MCI|
MCI|CVG,|CVG|ORD|MCI|
MCI|DFW,|DFW|IAH|MCI|
MCI|DTW,|DTW|MDW|MCI|
MCI|DUB,|DUB|ORD|MCI|
MCI|FCO,|FCO|YYZ|MCI|
MCI|GCM,|GCM|IAH|MCI|
MCI|GGT,|GGT|FLL|MCI|
MCI|GND,|GND|YYZ|MCI|
MCI|GRU,|GRU|IAH|MCI|
MCI|HAV,|HAV|YYZ|MCI|
MCI|IND,|IND|MCI|
MCI|JFK,|JFK|IAD|MCI|
MCI|KIN,|KIN|YYZ|MCI|
MCI|LIM,|LIM|IAH|MCI|
MCI|LIR,|LIR|IAH|MCI|
MCI|MDT,|MDT|ORD|MCI|
MCI|MIA,|MIA|MSY|MCI|
MCI|MKE,|MKE|MCI|
MCI|MSP,|MSP|MCI|
MCI|NAS,|NAS|ATL|MCI|
MCI|PHL,|PHL|STL|MCI|
MCI|PHX,|PHX|MCI|
MCI|PIT,|PIT|MDW|MCI|
MCI|PLS,|PLS|EWR|MCI|
MCI|POP,|POP|EWR|MCI|
MCI|RDU,|RDU|STL|MCI|
MCI|ROC,|ROC|MDW|MCI|
MCI|RSW,|RSW|MCO|MCI|
MCI|SAN,|SAN|MCI|
MCI|SJO,|SJO|IAH|MCI|
MCI|STL,|STL|MCI|
MCI|SYR,|SYR|ORD|MCI|
MCI|TLV,|TLV|IST|ORD|MCI|
MCI|TPA,|TPA|MCI|
MCI|UVF,|UVF|EWR|MCI|
MCI|VIE,|VIE|ORD|MCI|
MCI|YAM,|YAM|YYZ|MCI|
MCI|YGK,|YGK|YYZ|MCI|
MCI|YQG,|YQG|YYZ|MCI|
MCI|YSB,|YSB|YYZ|MCI|
MCI|YTS,|YTS|YYZ|MCI|
MCI|YYB,|YYB|YYZ|MCI|
MCI|YZR,|YZR|YYZ|MCI|
MCI|CAN,|CAN|YVR|DEN|MCI|
MCI|URC,|URC|TSE|FRA|ORD|MCI|
MCI|CTU,|CTU|PEK|YVR|DEN|MCI|
MCI|HGH,|HGH|DLC|ICN|YVR|DEN|MCI|
MCI|XMN,|XMN|PEK|YVR|DEN|MCI|
MCI|CGO,|CGO|PEK|YVR|DEN|MCI|
MCI|CSX,|CSX|ICN|YVR|DEN|MCI|
MCI|SHE,|SHE|ICN|YVR|DEN|MCI|
MCI|SJW,|SJW|DLC|ICN|YVR|DEN|MCI|
MCI|WUH,|WUH|ICN|YVR|DEN|MCI|
MCI|SZX,|SZX|PVG|YVR|DEN|MCI|
MCI|CKG,|CKG|PEK|YVR|DEN|MCI|
MCI|KMG,|KMG|PEK|YVR|DEN|MCI|
MCI|FOC,|FOC|PEK|YVR|DEN|MCI|
MCI|NNG,|NNG|PEK|YVR|DEN|MCI|
MCI|SWA,|SWA|PEK|YVR|DEN|MCI|
MCI|ACX,|ACX|CAN|YVR|DEN|MCI|
MCI|AQG,|AQG|CAN|YVR|DEN|MCI|
MCI|AVA,|AVA|CAN|YVR|DEN|MCI|
MCI|BFJ,|BFJ|CAN|YVR|DEN|MCI|
MCI|BHY,|BHY|CSX|ICN|YVR|DEN|MCI|
MCI|BNE,|BNE|CAN|YVR|DEN|MCI|
MCI|CGD,|CGD|PEK|YVR|DEN|MCI|
MCI|CGK,|CGK|CAN|YVR|DEN|MCI|
MCI|CGQ,|CGQ|ICN|YVR|DEN|MCI|
MCI|CIH,|CIH|PEK|YVR|DEN|MCI|
MCI|CNX,|CNX|CAN|YVR|DEN|MCI|
MCI|CZX,|CZX|SHE|ICN|YVR|DEN|MCI|
