DKR|YZP,|YZP|YVR|ORD|IAD|DKR|
DKR|YQT,|YQT|YYZ|IAD|DKR|
DKR|SJD,|SJD|IAH|IAD|DKR|
DKR|YQF,|YQF|YYC|ORD|IAD|DKR|
DKR|YQL,|YQL|YYC|ORD|IAD|DKR|
DKR|YXH,|YXH|YYC|ORD|IAD|DKR|
DKR|YWK,|YWK|YZV|YUL|IAD|DKR|
DKR|ANU,|ANU|EWR|IAD|DKR|
DKR|AUA,|AUA|IAD|DKR|
DKR|AUH,|AUH|IST|DKR|
DKR|BCN,|BCN|IST|DKR|
DKR|BDA,|BDA|EWR|IAD|DKR|
DKR|BGI,|BGI|YYZ|IAD|DKR|
DKR|BNA,|BNA|IAD|DKR|
DKR|BOG,|BOG|IAD|DKR|
DKR|BWI,|BWI|ORF|IAD|DKR|
DKR|CLE,|CLE|IAD|DKR|
DKR|CLT,|CLT|IAD|DKR|
DKR|CMH,|CMH|IAD|DKR|
DKR|CVG,|CVG|IAD|DKR|
DKR|DFW,|DFW|IAD|DKR|
DKR|DTW,|DTW|IAD|DKR|
DKR|DUB,|DUB|IST|DKR|
DKR|FCO,|FCO|IST|DKR|
DKR|GCM,|GCM|IAD|DKR|
DKR|GGT,|GGT|FLL|IAD|DKR|
DKR|GND,|GND|YYZ|IAD|DKR|
DKR|GRU,|GRU|IAD|DKR|
DKR|HAV,|HAV|YYZ|IAD|DKR|
DKR|IND,|IND|IAD|DKR|
DKR|JFK,|JFK|IAD|DKR|
DKR|KIN,|KIN|YYZ|IAD|DKR|
DKR|LIM,|LIM|MIA|IAD|DKR|
DKR|LIR,|LIR|EWR|IAD|DKR|
DKR|MCI,|MCI|IAD|DKR|
DKR|MDT,|MDT|IAD|DKR|
DKR|MIA,|MIA|IAD|DKR|
DKR|MKE,|MKE|CLE|IAD|DKR|
DKR|MSP,|MSP|IAD|DKR|
DKR|NAS,|NAS|ATL|IAD|DKR|
DKR|PHL,|PHL|IAD|DKR|
DKR|PHX,|PHX|IAD|DKR|
DKR|PIT,|PIT|IAD|DKR|
DKR|PLS,|PLS|EWR|IAD|DKR|
DKR|POP,|POP|EWR|IAD|DKR|
DKR|RDU,|RDU|IAD|DKR|
DKR|ROC,|ROC|IAD|DKR|
DKR|RSW,|RSW|MCO|IAD|DKR|
DKR|SAN,|SAN|IAD|DKR|
DKR|SJO,|SJO|IAD|DKR|
DKR|STL,|STL|IAD|DKR|
DKR|SYR,|SYR|IAD|DKR|
DKR|TLV,|TLV|IST|DKR|
DKR|TPA,|TPA|IAD|DKR|
DKR|UVF,|UVF|EWR|IAD|DKR|
DKR|VIE,|VIE|IST|DKR|
DKR|YAM,|YAM|YYZ|IAD|DKR|
DKR|YGK,|YGK|YYZ|IAD|DKR|
DKR|YQG,|YQG|YYZ|IAD|DKR|
DKR|YSB,|YSB|YYZ|IAD|DKR|
DKR|YTS,|YTS|YYZ|IAD|DKR|
DKR|YYB,|YYB|YYZ|IAD|DKR|
DKR|YZR,|YZR|YYZ|IAD|DKR|
DKR|CAN,|CAN|IST|DKR|
DKR|URC,|URC|IST|DKR|
DKR|CTU,|CTU|URC|IST|DKR|
DKR|HGH,|HGH|URC|IST|DKR|
DKR|XMN,|XMN|CSX|URC|IST|DKR|
DKR|CGO,|CGO|URC|IST|DKR|
DKR|CSX,|CSX|URC|IST|DKR|
DKR|SHE,|SHE|PEK|IST|DKR|
DKR|SJW,|SJW|URC|IST|DKR|
DKR|WUH,|WUH|URC|IST|DKR|
DKR|SZX,|SZX|CKG|URC|IST|DKR|
DKR|CKG,|CKG|URC|IST|DKR|
DKR|KMG,|KMG|CTU|URC|IST|DKR|
DKR|FOC,|FOC|XIY|URC|IST|DKR|
DKR|NNG,|NNG|KWE|URC|IST|DKR|
DKR|SWA,|SWA|CAN|IST|DKR|
DKR|ACX,|ACX|CAN|IST|DKR|
DKR|AQG,|AQG|CAN|IST|DKR|
DKR|AVA,|AVA|CAN|IST|DKR|
DKR|BFJ,|BFJ|CAN|IST|DKR|
DKR|BHY,|BHY|CKG|URC|IST|DKR|
DKR|BNE,|BNE|BKK|IST|DKR|
DKR|CGD,|CGD|PEK|IST|DKR|
DKR|CGK,|CGK|SIN|IST|DKR|
DKR|CGQ,|CGQ|HET|URC|IST|DKR|
DKR|CIH,|CIH|PEK|IST|DKR|
DKR|CNX,|CNX|CAN|IST|DKR|
DKR|CZX,|CZX|TYN|URC|IST|DKR|
DKR|DAC,|DAC|IST|DKR|
DKR|DAD,|DAD|CAN|IST|DKR|
DKR|DEL,|DEL|IST|DKR|
DKR|DIG,|DIG|KMG|CTU|URC|IST|DKR|
DKR|DLC,|DLC|PEK|IST|DKR|
DKR|DPS,|DPS|CAN|IST|DKR|
DKR|DXB,|DXB|IST|DKR|
DKR|DYG,|DYG|CSX|URC|IST|DKR|
DKR|FUG,|FUG|CAN|IST|DKR|
DKR|FUK,|FUK|ICN|IST|DKR|
DKR|HAK,|HAK|CTU|URC|IST|DKR|
DKR|HAN,|HAN|CAN|IST|DKR|
DKR|HDG,|HDG|CAN|IST|DKR|
DKR|HET,|HET|URC|IST|DKR|
DKR|HFE,|HFE|XIY|URC|IST|DKR|
DKR|HJJ,|HJJ|CSX|URC|IST|DKR|
DKR|HKT,|HKT|KWE|URC|IST|DKR|
DKR|HRB,|HRB|PEK|IST|DKR|
DKR|HZH,|HZH|CAN|IST|DKR|
DKR|JIU,|JIU|CAN|IST|DKR|
DKR|JJN,|JJN|CSX|URC|IST|DKR|
DKR|JNG,|JNG|CAN|IST|DKR|
DKR|KHN,|KHN|XIY|URC|IST|DKR|
DKR|KIX,|KIX|IST|DKR|
DKR|KOW,|KOW|CAN|IST|DKR|
DKR|KTM,|KTM|IST|DKR|
DKR|KUL,|KUL|IST|DKR|
DKR|KWE,|KWE|URC|IST|DKR|
DKR|KWL,|KWL|CKG|URC|IST|DKR|
DKR|LHW,|LHW|URC|IST|DKR|
DKR|LYA,|LYA|KHN|XIY|URC|IST|DKR|
DKR|LYG,|LYG|XUZ|INC|URC|IST|DKR|
DKR|LZH,|LZH|CAN|IST|DKR|
DKR|MEL,|MEL|BKK|IST|DKR|
DKR|MIG,|MIG|CSX|URC|IST|DKR|
DKR|MLE,|MLE|IST|DKR|
DKR|MNL,|MNL|CAN|IST|DKR|
DKR|MXZ,|MXZ|CAN|IST|DKR|
DKR|NAO,|NAO|PEK|IST|DKR|
DKR|NGB,|NGB|WUH|URC|IST|DKR|
DKR|NKG,|NKG|URC|IST|DKR|
DKR|NNY,|NNY|CGO|URC|IST|DKR|
DKR|PEN,|PEN|CAN|IST|DKR|
DKR|PER,|PER|BKK|IST|DKR|
DKR|PNH,|PNH|CAN|IST|DKR|
DKR|REP,|REP|CAN|IST|DKR|
DKR|RGN,|RGN|CAN|IST|DKR|
DKR|SGN,|SGN|BKK|IST|DKR|
DKR|SHA,|SHA|URC|IST|DKR|
DKR|SIN,|SIN|IST|DKR|
