PDX|YQL,|YQL|YYC|PDX|
PDX|YXH,|YXH|YYC|PDX|
PDX|YWK,|YWK|YZV|YUL|YYC|PDX|
PDX|ANU,|ANU|EWR|PDX|
PDX|AUA,|AUA|ATL|MCI|PDX|
PDX|AUH,|AUH|FRA|SEA|PDX|
PDX|BCN,|BCN|YYZ|ORD|PDX|
PDX|BDA,|BDA|EWR|PDX|
PDX|BGI,|BGI|YYZ|ORD|PDX|
PDX|BNA,|BNA|MCI|PDX|
PDX|BOG,|BOG|IAH|PDX|
PDX|BWI,|BWI|ORD|PDX|
PDX|CLE,|CLE|ORD|PDX|
PDX|CLT,|CLT|MDW|PDX|
PDX|CMH,|CMH|MDW|PDX|
PDX|CVG,|CVG|ORD|PDX|
PDX|DFW,|DFW|DEN|PDX|
PDX|DTW,|DTW|ORD|PDX|
PDX|DUB,|DUB|ORD|PDX|
PDX|FCO,|FCO|YYZ|ORD|PDX|
PDX|GCM,|GCM|IAH|PDX|
PDX|GGT,|GGT|FLL|DEN|PDX|
PDX|GND,|GND|YYZ|ORD|PDX|
PDX|GRU,|GRU|IAH|PDX|
PDX|HAV,|HAV|YYZ|ORD|PDX|
PDX|IND,|IND|ORD|PDX|
PDX|JFK,|JFK|YYZ|ORD|PDX|
PDX|KIN,|KIN|YYZ|ORD|PDX|
PDX|LIM,|LIM|IAH|PDX|
PDX|LIR,|LIR|IAH|PDX|
PDX|MCI,|MCI|PDX|
PDX|MDT,|MDT|ORD|PDX|
PDX|MIA,|MIA|DEN|PDX|
PDX|MKE,|MKE|ORD|PDX|
PDX|MSP,|MSP|DEN|PDX|
PDX|NAS,|NAS|ATL|MCI|PDX|
PDX|PHL,|PHL|ORD|PDX|
PDX|PHX,|PHX|PDX|
PDX|PIT,|PIT|ORD|PDX|
PDX|PLS,|PLS|EWR|PDX|
PDX|POP,|POP|EWR|PDX|
PDX|RDU,|RDU|MDW|PDX|
PDX|ROC,|ROC|ORD|PDX|
PDX|RSW,|RSW|DEN|PDX|
PDX|SAN,|SAN|RNO|PDX|
PDX|SJO,|SJO|IAH|PDX|
PDX|STL,|STL|MCI|PDX|
PDX|SYR,|SYR|ORD|PDX|
PDX|TLV,|TLV|IST|FRA|SEA|PDX|
PDX|TPA,|TPA|DEN|PDX|
PDX|UVF,|UVF|EWR|PDX|
PDX|VIE,|VIE|ORD|PDX|
PDX|YAM,|YAM|YYZ|ORD|PDX|
PDX|YGK,|YGK|YYZ|ORD|PDX|
PDX|YQG,|YQG|YYC|PDX|
PDX|YSB,|YSB|YYZ|ORD|PDX|
PDX|YTS,|YTS|YYZ|ORD|PDX|
PDX|YYB,|YYB|YYZ|ORD|PDX|
PDX|YZR,|YZR|YYZ|ORD|PDX|
PDX|CAN,|CAN|ICN|SEA|PDX|
PDX|URC,|URC|PEK|SEA|PDX|
PDX|CTU,|CTU|PEK|SEA|PDX|
PDX|HGH,|HGH|DLC|ICN|SEA|PDX|
PDX|XMN,|XMN|PEK|SEA|PDX|
PDX|CGO,|CGO|PEK|SEA|PDX|
PDX|CSX,|CSX|ICN|SEA|PDX|
PDX|SHE,|SHE|ICN|SEA|PDX|
PDX|SJW,|SJW|DLC|ICN|SEA|PDX|
PDX|WUH,|WUH|ICN|SEA|PDX|
PDX|SZX,|SZX|PVG|ICN|SEA|PDX|
PDX|CKG,|CKG|PEK|SEA|PDX|
PDX|KMG,|KMG|PEK|SEA|PDX|
PDX|FOC,|FOC|PEK|SEA|PDX|
PDX|NNG,|NNG|PEK|SEA|PDX|
PDX|SWA,|SWA|PEK|SEA|PDX|
PDX|ACX,|ACX|CAN|ICN|SEA|PDX|
PDX|AQG,|AQG|CAN|ICN|SEA|PDX|
