NKG|SFO,|SFO|ICN|DLC|NKG|
NKG|YQU,|YQU|YEG|YVR|ICN|DLC|NKG|
NKG|YZF,|YZF|YEG|YVR|ICN|DLC|NKG|
NKG|YGR,|YGR|YGP|YQB|YYZ|PEK|DLC|NKG|
NKG|YGP,|YGP|YQB|YYZ|PEK|DLC|NKG|
NKG|BOS,|BOS|YYZ|PEK|DLC|NKG|
NKG|YDF,|YDF|YYZ|PEK|DLC|NKG|
NKG|YFC,|YFC|YYZ|PEK|DLC|NKG|
NKG|YQM,|YQM|YYZ|PEK|DLC|NKG|
NKG|YQX,|YQX|YHZ|YYZ|PEK|DLC|NKG|
NKG|YQY,|YQY|YYZ|PEK|DLC|NKG|
NKG|YSJ,|YSJ|YYZ|PEK|DLC|NKG|
NKG|YYG,|YYG|YYZ|PEK|DLC|NKG|
NKG|LAX,|LAX|ICN|DLC|NKG|
NKG|DCA,|DCA|YYZ|PEK|DLC|NKG|
NKG|LGA,|LGA|YYZ|PEK|DLC|NKG|
NKG|YZV,|YZV|YQB|YYZ|PEK|DLC|NKG|
NKG|YWL,|YWL|YVR|ICN|DLC|NKG|
NKG|AZS,|AZS|YYZ|PEK|DLC|NKG|
NKG|BDL,|BDL|YYZ|PEK|DLC|NKG|
NKG|CCC,|CCC|YYZ|PEK|DLC|NKG|
NKG|CDG,|CDG|IST|URC|NKG|
NKG|CUN,|CUN|YVR|ICN|DLC|NKG|
NKG|CZM,|CZM|IAH|YVR|ICN|DLC|NKG|
NKG|FDF,|FDF|YUL|YYZ|PEK|DLC|NKG|
NKG|FLL,|FLL|ORD|PEK|DLC|NKG|
NKG|GVA,|GVA|IST|URC|NKG|
NKG|HOG,|HOG|YYZ|PEK|DLC|NKG|
NKG|LAS,|LAS|SFO|ICN|DLC|NKG|
NKG|MBJ,|MBJ|ATL|ORD|PEK|DLC|NKG|
NKG|MCO,|MCO|ORD|PEK|DLC|NKG|
NKG|MUC,|MUC|IST|URC|NKG|
NKG|PAP,|PAP|YUL|YYZ|PEK|DLC|NKG|
NKG|PTP,|PTP|YUL|YYZ|PEK|DLC|NKG|
NKG|PUJ,|PUJ|EWR|PEK|DLC|NKG|
NKG|SNU,|SNU|YYZ|PEK|DLC|NKG|
NKG|VRA,|VRA|YYZ|PEK|DLC|NKG|
NKG|YBC,|YBC|YUL|YYZ|PEK|DLC|NKG|
NKG|YBG,|YBG|YUL|YYZ|PEK|DLC|NKG|
NKG|YTZ,|YTZ|YUL|YYZ|PEK|DLC|NKG|
NKG|YUY,|YUY|YUL|YYZ|PEK|DLC|NKG|
NKG|YVO,|YVO|YUL|YYZ|PEK|DLC|NKG|
NKG|ZBF,|ZBF|YUL|YYZ|PEK|DLC|NKG|
NKG|ZRH,|ZRH|IST|URC|NKG|
NKG|ZSA,|ZSA|YUL|YYZ|PEK|DLC|NKG|
NKG|AKL,|AKL|CAN|NKG|
NKG|HKG,|HKG|CAN|NKG|
NKG|HND,|HND|HNL|NRT|DLC|NKG|
NKG|HNL,|HNL|NRT|DLC|NKG|
NKG|MEX,|MEX|SFO|ICN|DLC|NKG|
NKG|OGG,|OGG|HNL|NRT|DLC|NKG|
NKG|PDX,|PDX|SEA|ICN|DLC|NKG|
NKG|PEK,|PEK|DLC|NKG|
NKG|PVG,|PVG|CSX|NKG|
NKG|PVR,|PVR|LAX|ICN|DLC|NKG|
NKG|SEA,|SEA|ICN|DLC|NKG|
NKG|SYD,|SYD|CAN|NKG|
NKG|YBL,|YBL|YVR|ICN|DLC|NKG|
NKG|YCD,|YCD|YVR|ICN|DLC|NKG|
NKG|YCG,|YCG|YVR|ICN|DLC|NKG|
NKG|YKA,|YKA|YVR|ICN|DLC|NKG|
NKG|YPR,|YPR|YVR|ICN|DLC|NKG|
NKG|YQZ,|YQZ|YVR|ICN|DLC|NKG|
NKG|YXC,|YXC|YVR|ICN|DLC|NKG|
NKG|YXJ,|YXJ|YVR|ICN|DLC|NKG|
NKG|YXS,|YXS|YVR|ICN|DLC|NKG|
NKG|YXT,|YXT|YVR|ICN|DLC|NKG|
NKG|YXY,|YXY|YVR|ICN|DLC|NKG|
NKG|YYD,|YYD|YVR|ICN|DLC|NKG|
NKG|YYF,|YYF|YVR|ICN|DLC|NKG|
NKG|YZP,|YZP|YVR|ICN|DLC|NKG|
NKG|YQT,|YQT|YWG|YVR|ICN|DLC|NKG|
NKG|SJD,|SJD|LAX|ICN|DLC|NKG|
NKG|YQF,|YQF|YYC|YVR|ICN|DLC|NKG|
NKG|YQL,|YQL|YYC|YVR|ICN|DLC|NKG|
NKG|YXH,|YXH|YYC|YVR|ICN|DLC|NKG|
NKG|YWK,|YWK|YZV|YQB|YYZ|PEK|DLC|NKG|
NKG|ANU,|ANU|EWR|PEK|DLC|NKG|
NKG|AUA,|AUA|EWR|PEK|DLC|NKG|
NKG|AUH,|AUH|IST|URC|NKG|
NKG|BCN,|BCN|IST|URC|NKG|
NKG|BDA,|BDA|EWR|PEK|DLC|NKG|
NKG|BGI,|BGI|YYZ|PEK|DLC|NKG|
NKG|BNA,|BNA|ORD|PEK|DLC|NKG|
NKG|BOG,|BOG|MIA|ORD|PEK|DLC|NKG|
NKG|BWI,|BWI|YYZ|PEK|DLC|NKG|
NKG|CLE,|CLE|YYZ|PEK|DLC|NKG|
NKG|CLT,|CLT|YYZ|PEK|DLC|NKG|
NKG|CMH,|CMH|ORD|PEK|DLC|NKG|
NKG|CVG,|CVG|ORD|PEK|DLC|NKG|
NKG|DFW,|DFW|YVR|ICN|DLC|NKG|
NKG|DTW,|DTW|PEK|DLC|NKG|
NKG|DUB,|DUB|IST|URC|NKG|
NKG|FCO,|FCO|IST|URC|NKG|
NKG|GCM,|GCM|IAH|YVR|ICN|DLC|NKG|
NKG|GGT,|GGT|YYZ|PEK|DLC|NKG|
NKG|GND,|GND|YYZ|PEK|DLC|NKG|
NKG|GRU,|GRU|IST|URC|NKG|
NKG|HAV,|HAV|YYZ|PEK|DLC|NKG|
NKG|IND,|IND|ORD|PEK|DLC|NKG|
NKG|JFK,|JFK|PEK|DLC|NKG|
NKG|KIN,|KIN|YYZ|PEK|DLC|NKG|
NKG|LIM,|LIM|IAH|YVR|ICN|DLC|NKG|
NKG|LIR,|LIR|IAH|YVR|ICN|DLC|NKG|
NKG|MCI,|MCI|DEN|YVR|ICN|DLC|NKG|
NKG|MDT,|MDT|YYZ|PEK|DLC|NKG|
NKG|MIA,|MIA|ORD|PEK|DLC|NKG|
NKG|MKE,|MKE|ORD|PEK|DLC|NKG|
NKG|MSP,|MSP|DEN|YVR|ICN|DLC|NKG|
NKG|NAS,|NAS|YYZ|PEK|DLC|NKG|
NKG|PHL,|PHL|YYZ|PEK|DLC|NKG|
NKG|PHX,|PHX|SFO|ICN|DLC|NKG|
NKG|PIT,|PIT|YYZ|PEK|DLC|NKG|
NKG|PLS,|PLS|EWR|PEK|DLC|NKG|
NKG|POP,|POP|EWR|PEK|DLC|NKG|
NKG|RDU,|RDU|YYZ|PEK|DLC|NKG|
NKG|ROC,|ROC|YYZ|PEK|DLC|NKG|
NKG|RSW,|RSW|ORD|PEK|DLC|NKG|
NKG|SAN,|SAN|LAX|ICN|DLC|NKG|
NKG|SJO,|SJO|IAH|YVR|ICN|DLC|NKG|
NKG|STL,|STL|ORD|PEK|DLC|NKG|
NKG|SYR,|SYR|YYZ|PEK|DLC|NKG|
NKG|TLV,|TLV|SAW|TBS|URC|NKG|
NKG|TPA,|TPA|ORD|PEK|DLC|NKG|
NKG|UVF,|UVF|EWR|PEK|DLC|NKG|
NKG|VIE,|VIE|IST|URC|NKG|
NKG|YAM,|YAM|YYZ|PEK|DLC|NKG|
NKG|YGK,|YGK|YYZ|PEK|DLC|NKG|
NKG|YQG,|YQG|YYZ|PEK|DLC|NKG|
NKG|YSB,|YSB|YYZ|PEK|DLC|NKG|
NKG|YTS,|YTS|YYZ|PEK|DLC|NKG|
NKG|YYB,|YYB|YYZ|PEK|DLC|NKG|
NKG|YZR,|YZR|YYZ|PEK|DLC|NKG|
NKG|CAN,|CAN|NKG|
NKG|URC,|URC|NKG|
NKG|CTU,|CTU|CSX|NKG|
NKG|HGH,|HGH|FOC|NKG|
NKG|XMN,|XMN|NKG|
NKG|CGO,|CGO|DLC|NKG|
NKG|CSX,|CSX|NKG|
NKG|SHE,|SHE|NKG|
NKG|SJW,|SJW|DLC|NKG|
NKG|WUH,|WUH|FOC|NKG|
NKG|SZX,|SZX|NKG|
NKG|CKG,|CKG|KHN|NKG|
NKG|KMG,|KMG|NKG|
NKG|FOC,|FOC|NKG|
NKG|NNG,|NNG|KHN|NKG|
NKG|SWA,|SWA|NKG|
NKG|ACX,|ACX|CAN|NKG|
NKG|AQG,|AQG|CAN|NKG|
NKG|AVA,|AVA|CAN|NKG|
NKG|BFJ,|BFJ|CAN|NKG|
NKG|BHY,|BHY|CSX|NKG|
NKG|BNE,|BNE|CAN|NKG|
NKG|CGD,|CGD|CAN|NKG|
NKG|CGK,|CGK|XMN|NKG|
NKG|CGQ,|CGQ|NKG|
NKG|CIH,|CIH|PEK|DLC|NKG|
NKG|CNX,|CNX|CAN|NKG|
NKG|CZX,|CZX|FOC|NKG|
NKG|DAC,|DAC|CAN|NKG|
NKG|DAD,|DAD|CAN|NKG|
NKG|DEL,|DEL|CAN|NKG|
NKG|DIG,|DIG|KMG|NKG|
NKG|DLC,|DLC|NKG|
NKG|DPS,|DPS|SZX|NKG|
NKG|DXB,|DXB|CAN|NKG|
NKG|DYG,|DYG|CSX|NKG|
NKG|FUG,|FUG|CAN|NKG|
NKG|FUK,|FUK|ICN|DLC|NKG|
NKG|HAK,|HAK|NKG|
NKG|HAN,|HAN|CAN|NKG|
NKG|HDG,|HDG|CAN|NKG|
NKG|HET,|HET|NKG|
NKG|HFE,|HFE|CSX|NKG|
NKG|HJJ,|HJJ|CSX|NKG|
NKG|HKT,|HKT|CAN|NKG|
NKG|HRB,|HRB|NKG|
NKG|HZH,|HZH|CAN|NKG|
NKG|JIU,|JIU|CAN|NKG|
NKG|JJN,|JJN|NKG|
NKG|JNG,|JNG|CAN|NKG|
NKG|KHN,|KHN|NKG|
NKG|KIX,|KIX|DLC|NKG|
NKG|KOW,|KOW|CAN|NKG|
NKG|KTM,|KTM|CAN|NKG|
NKG|KUL,|KUL|CAN|NKG|
NKG|KWE,|KWE|NKG|
NKG|KWL,|KWL|NKG|
NKG|LHW,|LHW|CSX|NKG|
NKG|LYA,|LYA|KHN|NKG|
NKG|LYG,|LYG|HSN|JJN|NKG|
NKG|LZH,|LZH|CAN|NKG|
NKG|MEL,|MEL|CAN|NKG|
NKG|MIG,|MIG|CSX|NKG|
NKG|MLE,|MLE|CAN|NKG|
NKG|MNL,|MNL|XMN|NKG|
NKG|MXZ,|MXZ|CAN|NKG|
NKG|NAO,|NAO|CAN|NKG|
NKG|NGB,|NGB|XMN|NKG|
NKG|NNY,|NNY|CGO|DLC|NKG|
NKG|PEN,|PEN|CAN|NKG|
NKG|PER,|PER|CAN|NKG|
NKG|PNH,|PNH|CAN|NKG|
NKG|REP,|REP|CAN|NKG|
NKG|RGN,|RGN|CAN|NKG|
NKG|SGN,|SGN|CAN|NKG|
NKG|SHA,|SHA|FOC|NKG|
NKG|SIN,|SIN|CAN|NKG|
NKG|SVO,|SVO|URC|NKG|
NKG|SYX,|SYX|CAN|NKG|
NKG|TAO,|TAO|DLC|NKG|
NKG|TEN,|TEN|CAN|NKG|
NKG|TNA,|TNA|DLC|NKG|
NKG|TPE,|TPE|CSX|NKG|
NKG|TSN,|TSN|DLC|NKG|
NKG|TXN,|TXN|CSX|NKG|
NKG|TYN,|TYN|KHN|NKG|
NKG|WNZ,|WNZ|CSX|NKG|
NKG|WUX,|WUX|CAN|NKG|
NKG|XFN,|XFN|XMN|NKG|
NKG|XIY,|XIY|NKG|
NKG|XUZ,|XUZ|LYG|HSN|JJN|NKG|
NKG|YIH,|YIH|XMN|NKG|
NKG|YIW,|YIW|XMN|NKG|
NKG|YNT,|YNT|SHE|NKG|
NKG|YNZ,|YNZ|DLC|NKG|
NKG|YTY,|YTY|CSX|NKG|
NKG|ZHA,|ZHA|CAN|NKG|
NKG|ZYI,|ZYI|CAN|NKG|
NKG|BAV,|BAV|SJW|DLC|NKG|
NKG|CJU,|CJU|DLC|NKG|
NKG|DSN,|DSN|CGO|DLC|NKG|
NKG|HMI,|HMI|URC|NKG|
NKG|INC,|INC|NKG|
NKG|KHH,|KHH|WUH|FOC|NKG|
NKG|UYN,|UYN|XIY|NKG|
NKG|XNN,|XNN|XIY|NKG|
NKG|ZUH,|ZUH|KHN|NKG|
NKG|YNJ,|YNJ|DLC|NKG|
NKG|DAT,|DAT|TYN|KHN|NKG|
NKG|JHG,|JHG|KMG|NKG|
NKG|LJG,|LJG|KWE|NKG|
NKG|LXA,|LXA|XIY|NKG|
NKG|YCU,|YCU|CSX|NKG|
NKG|LZO,|LZO|CSX|NKG|
NKG|MDG,|MDG|DLC|NKG|
NKG|NGO,|NGO|DLC|NKG|
NKG|TOY,|TOY|DLC|NKG|
NKG|MFM,|MFM|XMN|NKG|
NKG|TGO,|TGO|HET|NKG|
NKG|XIL,|XIL|HET|NKG|
NKG|HEK,|HEK|HRB|NKG|
NKG|KIJ,|KIJ|HRB|NKG|
NKG|LDS,|LDS|HRB|NKG|
NKG|OHE,|OHE|HRB|NKG|
NKG|HSN,|HSN|JJN|NKG|
NKG|DLU,|DLU|KWE|NKG|
NKG|SYM,|SYM|KMG|NKG|
NKG|ZAT,|ZAT|KMG|NKG|
NKG|LUN,|LUN|NBO|CAN|NKG|
NKG|AOG,|AOG|PEK|DLC|NKG|
NKG|GMP,|GMP|PEK|DLC|NKG|
NKG|ISB,|ISB|URC|NKG|
