PHX|YWK,|YWK|YZV|YQB|ORD|PHX|
PHX|ANU,|ANU|EWR|PHX|
PHX|AUA,|AUA|ATL|PHX|
PHX|AUH,|AUH|FRA|DEN|PHX|
PHX|BCN,|BCN|YYZ|PHX|
PHX|BDA,|BDA|EWR|PHX|
PHX|BGI,|BGI|YYZ|PHX|
PHX|BNA,|BNA|PHX|
PHX|BOG,|BOG|IAH|PHX|
PHX|BWI,|BWI|PHX|
PHX|CLE,|CLE|PHX|
PHX|CLT,|CLT|IAH|PHX|
PHX|CMH,|CMH|PHX|
PHX|CVG,|CVG|DEN|PHX|
PHX|DFW,|DFW|IAH|PHX|
PHX|DTW,|DTW|PHX|
PHX|DUB,|DUB|ORD|PHX|
PHX|FCO,|FCO|YYZ|PHX|
PHX|GCM,|GCM|IAH|PHX|
PHX|GGT,|GGT|FLL|PHX|
PHX|GND,|GND|YYZ|PHX|
PHX|GRU,|GRU|IAH|PHX|
PHX|HAV,|HAV|YYZ|PHX|
PHX|IND,|IND|PHX|
PHX|JFK,|JFK|IAD|PHX|
PHX|KIN,|KIN|YYZ|PHX|
PHX|LIM,|LIM|IAH|PHX|
PHX|LIR,|LIR|IAH|PHX|
PHX|MCI,|MCI|PHX|
PHX|MDT,|MDT|ORD|PHX|
PHX|MIA,|MIA|IAH|PHX|
PHX|MKE,|MKE|PHX|
PHX|MSP,|MSP|PHX|
PHX|NAS,|NAS|IAH|PHX|
PHX|PHL,|PHL|STL|PHX|
PHX|PIT,|PIT|PHX|
PHX|PLS,|PLS|EWR|PHX|
PHX|POP,|POP|EWR|PHX|
PHX|RDU,|RDU|PHX|
PHX|ROC,|ROC|MDW|PHX|
PHX|RSW,|RSW|IAH|PHX|
PHX|SAN,|SAN|PHX|
PHX|SJO,|SJO|IAH|PHX|
PHX|STL,|STL|PHX|
PHX|SYR,|SYR|ORD|PHX|
PHX|TLV,|TLV|IST|FRA|DEN|PHX|
PHX|TPA,|TPA|PHX|
PHX|UVF,|UVF|EWR|PHX|
PHX|VIE,|VIE|ORD|PHX|
PHX|YAM,|YAM|YYZ|PHX|
PHX|YGK,|YGK|YYZ|PHX|
PHX|YQG,|YQG|YYZ|PHX|
PHX|YSB,|YSB|YYZ|PHX|
PHX|YTS,|YTS|YYZ|PHX|
PHX|YYB,|YYB|YYZ|PHX|
PHX|YZR,|YZR|YYZ|PHX|
PHX|CAN,|CAN|PVG|SFO|PHX|
PHX|URC,|URC|PEK|SEA|PHX|
PHX|CTU,|CTU|PEK|SEA|PHX|
PHX|HGH,|HGH|DLC|ICN|SFO|PHX|
PHX|XMN,|XMN|PEK|SEA|PHX|
PHX|CGO,|CGO|PEK|SEA|PHX|
PHX|CSX,|CSX|ICN|SFO|PHX|
PHX|SHE,|SHE|ICN|SFO|PHX|
PHX|SJW,|SJW|DLC|ICN|SFO|PHX|
PHX|WUH,|WUH|ICN|SFO|PHX|
PHX|SZX,|SZX|PVG|SFO|PHX|
PHX|CKG,|CKG|PEK|SEA|PHX|
PHX|KMG,|KMG|PEK|SEA|PHX|
PHX|FOC,|FOC|HGH|DLC|ICN|SFO|PHX|
PHX|NNG,|NNG|CSX|ICN|SFO|PHX|
PHX|SWA,|SWA|PEK|SEA|PHX|
PHX|ACX,|ACX|CAN|PVG|SFO|PHX|
PHX|AQG,|AQG|CAN|PVG|SFO|PHX|
PHX|AVA,|AVA|CAN|PVG|SFO|PHX|
PHX|BFJ,|BFJ|CAN|PVG|SFO|PHX|
PHX|BHY,|BHY|CSX|ICN|SFO|PHX|
PHX|BNE,|BNE|CAN|PVG|SFO|PHX|
PHX|CGD,|CGD|PEK|SEA|PHX|
PHX|CGK,|CGK|CAN|PVG|SFO|PHX|
PHX|CGQ,|CGQ|NRT|SFO|PHX|
PHX|CIH,|CIH|PEK|SEA|PHX|
PHX|CNX,|CNX|CAN|PVG|SFO|PHX|
PHX|CZX,|CZX|SHE|ICN|SFO|PHX|
PHX|DAC,|DAC|CAN|PVG|SFO|PHX|
PHX|DAD,|DAD|CAN|PVG|SFO|PHX|
PHX|DEL,|DEL|EWR|PHX|
PHX|DIG,|DIG|KMG|PEK|SEA|PHX|
PHX|DLC,|DLC|ICN|SFO|PHX|
PHX|DPS,|DPS|SZX|PVG|SFO|PHX|
PHX|DXB,|DXB|IST|FRA|DEN|PHX|
PHX|DYG,|DYG|PEK|SEA|PHX|
PHX|FUG,|FUG|CAN|PVG|SFO|PHX|
PHX|FUK,|FUK|ICN|SFO|PHX|
PHX|HAK,|HAK|PVG|SFO|PHX|
PHX|HAN,|HAN|PEK|SEA|PHX|
PHX|HDG,|HDG|CAN|PVG|SFO|PHX|
PHX|HET,|HET|DLC|ICN|SFO|PHX|
PHX|HFE,|HFE|TYN|DLC|ICN|SFO|PHX|
PHX|HJJ,|HJJ|CSX|ICN|SFO|PHX|
PHX|HKT,|HKT|KWE|PEK|SEA|PHX|
PHX|HRB,|HRB|ICN|SFO|PHX|
PHX|HZH,|HZH|CAN|PVG|SFO|PHX|
PHX|JIU,|JIU|CAN|PVG|SFO|PHX|
PHX|JJN,|JJN|PEK|SEA|PHX|
PHX|JNG,|JNG|CAN|PVG|SFO|PHX|
PHX|KHN,|KHN|DLC|ICN|SFO|PHX|
PHX|KIX,|KIX|SFO|PHX|
PHX|KOW,|KOW|PEK|SEA|PHX|
PHX|KTM,|KTM|CAN|PVG|SFO|PHX|
PHX|KUL,|KUL|PVG|SFO|PHX|
PHX|KWE,|KWE|PEK|SEA|PHX|
PHX|KWL,|KWL|WUH|ICN|SFO|PHX|
PHX|LHW,|LHW|CGO|PEK|SEA|PHX|
PHX|LYA,|LYA|KHN|DLC|ICN|SFO|PHX|
PHX|LYG,|LYG|HSN|PEK|SEA|PHX|
PHX|LZH,|LZH|CAN|PVG|SFO|PHX|
PHX|MEL,|MEL|SYD|LAX|PHX|
PHX|MIG,|MIG|CSX|ICN|SFO|PHX|
PHX|MLE,|MLE|CAN|PVG|SFO|PHX|
PHX|MNL,|MNL|XMN|PEK|SEA|PHX|
PHX|MXZ,|MXZ|CAN|PVG|SFO|PHX|
PHX|NAO,|NAO|PEK|SEA|PHX|
PHX|NGB,|NGB|DLC|ICN|SFO|PHX|
PHX|NKG,|NKG|DLC|ICN|SFO|PHX|
PHX|NNY,|NNY|CGO|PEK|SEA|PHX|
PHX|PEN,|PEN|CAN|PVG|SFO|PHX|
PHX|PER,|PER|CAN|PVG|SFO|PHX|
PHX|PNH,|PNH|CAN|PVG|SFO|PHX|
PHX|REP,|REP|CAN|PVG|SFO|PHX|
PHX|RGN,|RGN|CAN|PVG|SFO|PHX|
PHX|SGN,|SGN|HKG|SFO|PHX|
PHX|SHA,|SHA|PEK|SEA|PHX|
PHX|SIN,|SIN|NRT|SFO|PHX|
PHX|SVO,|SVO|URC|PEK|SEA|PHX|
PHX|SYX,|SYX|PVG|SFO|PHX|
