YXX|YQB,|YQB|YUL|YYC|YXX|
YXX|YXU,|YXU|YYC|YXX|
YXX|EZE,|EZE|IAH|YYC|YXX|
YXX|YYJ,|YYJ|YYC|YXX|
YXX|YYY,|YYY|YUL|YYC|YXX|
YXX|YQQ,|YQQ|YYC|YXX|
YXX|YYR,|YYR|YWK|YZV|YUL|YYC|YXX|
YXX|LHR,|LHR|YEG|YXX|
YXX|SFO,|SFO|YYC|YXX|
YXX|YQU,|YQU|YEG|YXX|
YXX|YZF,|YZF|YEG|YXX|
YXX|YGR,|YGR|YGP|YQB|YUL|YYC|YXX|
YXX|YGP,|YGP|YQB|YUL|YYC|YXX|
YXX|BOS,|BOS|YOW|YYC|YXX|
YXX|YDF,|YDF|YHZ|YYC|YXX|
YXX|YFC,|YFC|YUL|YYC|YXX|
YXX|YQM,|YQM|YUL|YYC|YXX|
YXX|YQX,|YQX|YHZ|YYC|YXX|
YXX|YQY,|YQY|YHZ|YYC|YXX|
YXX|YSJ,|YSJ|YUL|YYC|YXX|
YXX|YYG,|YYG|YUL|YYC|YXX|
YXX|LAX,|LAX|YYC|YXX|
YXX|DCA,|DCA|ORD|YYC|YXX|
YXX|LGA,|LGA|YYZ|YYC|YXX|
YXX|YZV,|YZV|YUL|YYC|YXX|
YXX|YWL,|YWL|YVR|YYC|YXX|
YXX|AZS,|AZS|YYZ|YYC|YXX|
YXX|BDL,|BDL|YYZ|YYC|YXX|
YXX|CCC,|CCC|YYZ|YYC|YXX|
YXX|CDG,|CDG|YUL|YYC|YXX|
YXX|CUN,|CUN|YYC|YXX|
YXX|CZM,|CZM|IAH|YYC|YXX|
YXX|FDF,|FDF|YUL|YYC|YXX|
YXX|FLL,|FLL|MCO|YYC|YXX|
YXX|GVA,|GVA|YUL|YYC|YXX|
YXX|HOG,|HOG|YYZ|YYC|YXX|
YXX|LAS,|LAS|YYC|YXX|
YXX|MBJ,|MBJ|IAH|YYC|YXX|
YXX|MCO,|MCO|YYC|YXX|
YXX|MUC,|MUC|YVR|YYC|YXX|
YXX|PAP,|PAP|YUL|YYC|YXX|
YXX|PTP,|PTP|YUL|YYC|YXX|
YXX|PUJ,|PUJ|ORD|YYC|YXX|
YXX|SNU,|SNU|YYZ|YYC|YXX|
YXX|VRA,|VRA|YYC|YXX|
YXX|YBC,|YBC|YUL|YYC|YXX|
YXX|YBG,|YBG|YUL|YYC|YXX|
YXX|YTZ,|YTZ|YUL|YYC|YXX|
YXX|YUY,|YUY|YUL|YYC|YXX|
YXX|YVO,|YVO|YUL|YYC|YXX|
YXX|ZBF,|ZBF|YUL|YYC|YXX|
YXX|ZRH,|ZRH|YUL|YYC|YXX|
YXX|ZSA,|ZSA|YUL|YYC|YXX|
YXX|AKL,|AKL|YVR|YYC|YXX|
YXX|HKG,|HKG|YVR|YYC|YXX|
YXX|HND,|HND|YVR|YYC|YXX|
YXX|HNL,|HNL|YVR|YYC|YXX|
YXX|MEX,|MEX|DEN|YYC|YXX|
YXX|OGG,|OGG|YVR|YYC|YXX|
YXX|PDX,|PDX|YYC|YXX|
YXX|PEK,|PEK|YVR|YYC|YXX|
YXX|PVG,|PVG|YVR|YYC|YXX|
YXX|PVR,|PVR|YYC|YXX|
YXX|SEA,|SEA|YVR|YYC|YXX|
YXX|SYD,|SYD|YVR|YYC|YXX|
YXX|YBL,|YBL|YVR|YYC|YXX|
YXX|YCD,|YCD|YYC|YXX|
YXX|YCG,|YCG|YYC|YXX|
YXX|YKA,|YKA|YYC|YXX|
YXX|YPR,|YPR|YVR|YYC|YXX|
YXX|YQZ,|YQZ|YVR|YYC|YXX|
YXX|YXC,|YXC|YYC|YXX|
YXX|YXJ,|YXJ|YYC|YXX|
YXX|YXS,|YXS|YYC|YXX|
YXX|YXT,|YXT|YVR|YYC|YXX|
YXX|YXY,|YXY|YVR|YYC|YXX|
YXX|YYD,|YYD|YVR|YYC|YXX|
YXX|YYF,|YYF|YVR|YYC|YXX|
YXX|YZP,|YZP|YVR|YYC|YXX|
YXX|YQT,|YQT|YWG|YYC|YXX|
YXX|SJD,|SJD|YYC|YXX|
YXX|YQF,|YQF|YYC|YXX|
YXX|YQL,|YQL|YYC|YXX|
YXX|YXH,|YXH|YYC|YXX|
YXX|YWK,|YWK|YZV|YUL|YYC|YXX|
YXX|ANU,|ANU|YYZ|YYC|YXX|
YXX|AUA,|AUA|ATL|ORD|YYC|YXX|
YXX|AUH,|AUH|FRA|YYC|YXX|
YXX|BCN,|BCN|YYZ|YYC|YXX|
YXX|BDA,|BDA|YYZ|YYC|YXX|
YXX|BGI,|BGI|YYZ|YYC|YXX|
YXX|BNA,|BNA|ORD|YYC|YXX|
YXX|BOG,|BOG|IAH|YYC|YXX|
YXX|BWI,|BWI|ORD|YYC|YXX|
YXX|CLE,|CLE|ORD|YYC|YXX|
YXX|CLT,|CLT|ORD|YYC|YXX|
YXX|CMH,|CMH|ORD|YYC|YXX|
YXX|CVG,|CVG|ORD|YYC|YXX|
YXX|DFW,|DFW|YYC|YXX|
YXX|DTW,|DTW|ORD|YYC|YXX|
YXX|DUB,|DUB|YYZ|YYC|YXX|
YXX|FCO,|FCO|YYZ|YYC|YXX|
YXX|GCM,|GCM|IAH|YYC|YXX|
YXX|GGT,|GGT|FLL|MCO|YYC|YXX|
YXX|GND,|GND|YYZ|YYC|YXX|
YXX|GRU,|GRU|ORD|YYC|YXX|
YXX|HAV,|HAV|YYZ|YYC|YXX|
YXX|IND,|IND|ORD|YYC|YXX|
YXX|JFK,|JFK|YYC|YXX|
YXX|KIN,|KIN|YYZ|YYC|YXX|
YXX|LIM,|LIM|IAH|YYC|YXX|
YXX|LIR,|LIR|IAH|YYC|YXX|
YXX|MCI,|MCI|DEN|YYC|YXX|
YXX|MDT,|MDT|YYZ|YYC|YXX|
YXX|MIA,|MIA|ORD|YYC|YXX|
YXX|MKE,|MKE|ORD|YYC|YXX|
YXX|MSP,|MSP|DEN|YYC|YXX|
YXX|NAS,|NAS|ORD|YYC|YXX|
YXX|PHL,|PHL|YYZ|YYC|YXX|
YXX|PHX,|PHX|YYC|YXX|
YXX|PIT,|PIT|ORD|YYC|YXX|
YXX|PLS,|PLS|YYZ|YYC|YXX|
YXX|POP,|POP|YYZ|YYC|YXX|
YXX|RDU,|RDU|ORD|YYC|YXX|
YXX|ROC,|ROC|YYZ|YYC|YXX|
YXX|RSW,|RSW|MCO|YYC|YXX|
YXX|SAN,|SAN|YYC|YXX|
YXX|SJO,|SJO|IAH|YYC|YXX|
YXX|STL,|STL|ORD|YYC|YXX|
YXX|SYR,|SYR|YYZ|YYC|YXX|
YXX|TLV,|TLV|IST|FRA|YYC|YXX|
YXX|TPA,|TPA|ORD|YYC|YXX|
YXX|UVF,|UVF|YYZ|YYC|YXX|
YXX|VIE,|VIE|YYZ|YYC|YXX|
YXX|YAM,|YAM|YYZ|YYC|YXX|
YXX|YGK,|YGK|YYZ|YYC|YXX|
YXX|YQG,|YQG|YYC|YXX|
YXX|YSB,|YSB|YYZ|YYC|YXX|
YXX|YTS,|YTS|YYZ|YYC|YXX|
YXX|YYB,|YYB|YYZ|YYC|YXX|
YXX|YZR,|YZR|YYZ|YYC|YXX|
YXX|CAN,|CAN|YVR|YYC|YXX|
YXX|URC,|URC|PEK|YVR|YYC|YXX|
YXX|CTU,|CTU|PEK|YVR|YYC|YXX|
YXX|HGH,|HGH|DLC|ICN|YVR|YYC|YXX|
YXX|XMN,|XMN|PEK|YVR|YYC|YXX|
YXX|CGO,|CGO|PEK|YVR|YYC|YXX|
