BRE|YQZ,|YQZ|YVR|MUC|IST|BRE|
BRE|YXC,|YXC|YYC|FRA|IST|BRE|
BRE|YXJ,|YXJ|YYC|FRA|IST|BRE|
BRE|YXS,|YXS|YYC|FRA|IST|BRE|
BRE|YXT,|YXT|YVR|MUC|IST|BRE|
BRE|YXY,|YXY|YVR|MUC|IST|BRE|
BRE|YYD,|YYD|YVR|MUC|IST|BRE|
BRE|YYF,|YYF|YVR|MUC|IST|BRE|
BRE|YZP,|YZP|YVR|MUC|IST|BRE|
BRE|YQT,|YQT|YYZ|IST|BRE|
BRE|SJD,|SJD|ORD|IST|BRE|
BRE|YQF,|YQF|YYC|FRA|IST|BRE|
BRE|YQL,|YQL|YYC|FRA|IST|BRE|
BRE|YXH,|YXH|YYC|FRA|IST|BRE|
BRE|YWK,|YWK|YYR|YYT|LHR|IST|BRE|
BRE|ANU,|ANU|EWR|BHX|IST|BRE|
BRE|AUA,|AUA|EWR|BHX|IST|BRE|
BRE|AUH,|AUH|IST|BRE|
BRE|BCN,|BCN|IST|BRE|
BRE|BDA,|BDA|EWR|BHX|IST|BRE|
BRE|BGI,|BGI|YYZ|IST|BRE|
BRE|BNA,|BNA|YYZ|IST|BRE|
BRE|BOG,|BOG|MIA|ZRH|IST|BRE|
BRE|BWI,|BWI|EWR|BHX|IST|BRE|
BRE|CLE,|CLE|YYZ|IST|BRE|
BRE|CLT,|CLT|EWR|BHX|IST|BRE|
BRE|CMH,|CMH|YYZ|IST|BRE|
BRE|CVG,|CVG|YYZ|IST|BRE|
BRE|DFW,|DFW|ORD|IST|BRE|
BRE|DTW,|DTW|FRA|IST|BRE|
BRE|DUB,|DUB|IST|BRE|
BRE|FCO,|FCO|IST|BRE|
BRE|GCM,|GCM|EWR|BHX|IST|BRE|
BRE|GGT,|GGT|FLL|MCO|FRA|IST|BRE|
BRE|GND,|GND|YYZ|IST|BRE|
BRE|GRU,|GRU|IST|BRE|
BRE|HAV,|HAV|YYZ|IST|BRE|
BRE|IND,|IND|YYZ|IST|BRE|
BRE|JFK,|JFK|IST|BRE|
BRE|KIN,|KIN|YYZ|IST|BRE|
BRE|LIM,|LIM|MIA|ZRH|IST|BRE|
BRE|LIR,|LIR|EWR|BHX|IST|BRE|
BRE|MCI,|MCI|ORD|IST|BRE|
BRE|MDT,|MDT|IAD|IST|BRE|
BRE|MIA,|MIA|ZRH|IST|BRE|
BRE|MKE,|MKE|YYZ|IST|BRE|
BRE|MSP,|MSP|YUL|FRA|IST|BRE|
BRE|NAS,|NAS|EWR|BHX|IST|BRE|
BRE|PHL,|PHL|IAD|IST|BRE|
BRE|PHX,|PHX|DEN|FRA|IST|BRE|
BRE|PIT,|PIT|YYZ|IST|BRE|
BRE|PLS,|PLS|EWR|BHX|IST|BRE|
BRE|POP,|POP|EWR|BHX|IST|BRE|
BRE|RDU,|RDU|EWR|BHX|IST|BRE|
BRE|ROC,|ROC|YYZ|IST|BRE|
BRE|RSW,|RSW|MCO|FRA|IST|BRE|
BRE|SAN,|SAN|LAX|IST|BRE|
BRE|SJO,|SJO|EWR|BHX|IST|BRE|
BRE|STL,|STL|ORD|IST|BRE|
BRE|SYR,|SYR|EWR|BHX|IST|BRE|
BRE|TLV,|TLV|IST|BRE|
