CMX|YYF,|YYF|YVR|ORD|CMX|
CMX|YZP,|YZP|YVR|ORD|CMX|
CMX|YQT,|YQT|YYZ|ORD|CMX|
CMX|SJD,|SJD|ORD|CMX|
CMX|YQF,|YQF|YYC|ORD|CMX|
CMX|YQL,|YQL|YYC|ORD|CMX|
CMX|YXH,|YXH|YYC|ORD|CMX|
CMX|YWK,|YWK|YZV|YQB|ORD|CMX|
CMX|ANU,|ANU|EWR|ORD|CMX|
CMX|AUA,|AUA|ATL|ORD|CMX|
CMX|AUH,|AUH|YYZ|ORD|CMX|
CMX|BCN,|BCN|YYZ|ORD|CMX|
CMX|BDA,|BDA|EWR|ORD|CMX|
CMX|BGI,|BGI|YYZ|ORD|CMX|
CMX|BNA,|BNA|ORD|CMX|
CMX|BOG,|BOG|MIA|ORD|CMX|
CMX|BWI,|BWI|ORD|CMX|
CMX|CLE,|CLE|ORD|CMX|
CMX|CLT,|CLT|ORD|CMX|
CMX|CMH,|CMH|ORD|CMX|
CMX|CVG,|CVG|ORD|CMX|
CMX|DFW,|DFW|ORD|CMX|
CMX|DTW,|DTW|ORD|CMX|
CMX|DUB,|DUB|ORD|CMX|
CMX|FCO,|FCO|YYZ|ORD|CMX|
CMX|GCM,|GCM|IAD|ORD|CMX|
CMX|GGT,|GGT|FLL|ORD|CMX|
CMX|GND,|GND|YYZ|ORD|CMX|
CMX|GRU,|GRU|ORD|CMX|
CMX|HAV,|HAV|YYZ|ORD|CMX|
CMX|IND,|IND|ORD|CMX|
CMX|JFK,|JFK|YYZ|ORD|CMX|
CMX|KIN,|KIN|YYZ|ORD|CMX|
CMX|LIM,|LIM|MIA|ORD|CMX|
CMX|LIR,|LIR|IAH|ORD|CMX|
CMX|MCI,|MCI|ORD|CMX|
CMX|MDT,|MDT|ORD|CMX|
CMX|MIA,|MIA|ORD|CMX|
CMX|MKE,|MKE|ORD|CMX|
CMX|MSP,|MSP|ORD|CMX|
CMX|NAS,|NAS|ORD|CMX|
CMX|PHL,|PHL|ORD|CMX|
CMX|PHX,|PHX|ORD|CMX|
CMX|PIT,|PIT|ORD|CMX|
CMX|PLS,|PLS|YYZ|ORD|CMX|
CMX|POP,|POP|YYZ|ORD|CMX|
CMX|RDU,|RDU|ORD|CMX|
CMX|ROC,|ROC|ORD|CMX|
CMX|RSW,|RSW|ORD|CMX|
CMX|SAN,|SAN|ORD|CMX|
CMX|SJO,|SJO|ORD|CMX|
CMX|STL,|STL|ORD|CMX|
CMX|SYR,|SYR|ORD|CMX|
CMX|TLV,|TLV|IST|ORD|CMX|
CMX|TPA,|TPA|ORD|CMX|
CMX|UVF,|UVF|EWR|ORD|CMX|
CMX|VIE,|VIE|ORD|CMX|
CMX|YAM,|YAM|YYZ|ORD|CMX|
CMX|YGK,|YGK|YYZ|ORD|CMX|
CMX|YQG,|YQG|YYZ|ORD|CMX|
CMX|YSB,|YSB|YYZ|ORD|CMX|
CMX|YTS,|YTS|YYZ|ORD|CMX|
CMX|YYB,|YYB|YYZ|ORD|CMX|
CMX|YZR,|YZR|YYZ|ORD|CMX|
CMX|CAN,|CAN|PEK|ORD|CMX|
CMX|URC,|URC|TSE|FRA|ORD|CMX|
CMX|CTU,|CTU|PEK|ORD|CMX|
CMX|HGH,|HGH|PEK|ORD|CMX|
CMX|XMN,|XMN|PEK|ORD|CMX|
CMX|CGO,|CGO|PEK|ORD|CMX|
CMX|CSX,|CSX|PEK|ORD|CMX|
CMX|SHE,|SHE|PEK|ORD|CMX|
CMX|SJW,|SJW|DLC|PEK|ORD|CMX|
CMX|WUH,|WUH|PEK|ORD|CMX|
CMX|SZX,|SZX|PEK|ORD|CMX|
CMX|CKG,|CKG|PEK|ORD|CMX|
CMX|KMG,|KMG|PEK|ORD|CMX|
CMX|FOC,|FOC|PEK|ORD|CMX|
CMX|NNG,|NNG|PEK|ORD|CMX|
CMX|SWA,|SWA|PEK|ORD|CMX|
