MDT|YYF,|YYF|YVR|ORD|MDT|
MDT|YZP,|YZP|YVR|ORD|MDT|
MDT|YQT,|YQT|YYZ|MDT|
MDT|SJD,|SJD|IAH|IAD|MDT|
MDT|YQF,|YQF|YYC|YYZ|MDT|
MDT|YQL,|YQL|YYC|YYZ|MDT|
MDT|YXH,|YXH|YYC|YYZ|MDT|
MDT|YWK,|YWK|YZV|YUL|IAD|MDT|
MDT|ANU,|ANU|EWR|IAD|MDT|
MDT|AUA,|AUA|IAD|MDT|
MDT|AUH,|AUH|FRA|IAD|MDT|
MDT|BCN,|BCN|EWR|IAD|MDT|
MDT|BDA,|BDA|EWR|IAD|MDT|
MDT|BGI,|BGI|YYZ|MDT|
MDT|BNA,|BNA|IAD|MDT|
MDT|BOG,|BOG|IAD|MDT|
MDT|BWI,|BWI|ORF|IAD|MDT|
MDT|CLE,|CLE|IAD|MDT|
MDT|CLT,|CLT|IAD|MDT|
MDT|CMH,|CMH|IAD|MDT|
MDT|CVG,|CVG|IAD|MDT|
MDT|DFW,|DFW|IAD|MDT|
MDT|DTW,|DTW|IAD|MDT|
MDT|DUB,|DUB|IAD|MDT|
MDT|FCO,|FCO|IAD|MDT|
MDT|GCM,|GCM|IAD|MDT|
MDT|GGT,|GGT|FLL|IAD|MDT|
MDT|GND,|GND|YYZ|MDT|
MDT|GRU,|GRU|IAD|MDT|
MDT|HAV,|HAV|YYZ|MDT|
MDT|IND,|IND|IAD|MDT|
MDT|JFK,|JFK|IAD|MDT|
MDT|KIN,|KIN|YYZ|MDT|
MDT|LIM,|LIM|MIA|IAD|MDT|
MDT|LIR,|LIR|EWR|IAD|MDT|
MDT|MCI,|MCI|ORD|MDT|
MDT|MIA,|MIA|IAD|MDT|
MDT|MKE,|MKE|ORD|MDT|
MDT|MSP,|MSP|ORD|MDT|
MDT|NAS,|NAS|ATL|IAD|MDT|
MDT|PHL,|PHL|IAD|MDT|
MDT|PHX,|PHX|ORD|MDT|
MDT|PIT,|PIT|IAD|MDT|
MDT|PLS,|PLS|EWR|IAD|MDT|
MDT|POP,|POP|EWR|IAD|MDT|
MDT|RDU,|RDU|IAD|MDT|
MDT|ROC,|ROC|IAD|MDT|
MDT|RSW,|RSW|MCO|IAD|MDT|
MDT|SAN,|SAN|ORD|MDT|
MDT|SJO,|SJO|IAD|MDT|
MDT|STL,|STL|IAD|MDT|
MDT|SYR,|SYR|IAD|MDT|
MDT|TLV,|TLV|EWR|IAD|MDT|
MDT|TPA,|TPA|IAD|MDT|
MDT|UVF,|UVF|EWR|IAD|MDT|
MDT|VIE,|VIE|IAD|MDT|
MDT|YAM,|YAM|YYZ|MDT|
MDT|YGK,|YGK|YYZ|MDT|
MDT|YQG,|YQG|YYZ|MDT|
MDT|YSB,|YSB|YYZ|MDT|
MDT|YTS,|YTS|YYZ|MDT|
MDT|YYB,|YYB|YYZ|MDT|
MDT|YZR,|YZR|YYZ|MDT|
MDT|CAN,|CAN|PEK|YYZ|MDT|
MDT|URC,|URC|TSE|FRA|IAD|MDT|
MDT|CTU,|CTU|PEK|YYZ|MDT|
MDT|HGH,|HGH|PEK|YYZ|MDT|
MDT|XMN,|XMN|PEK|YYZ|MDT|
