BKI|YUY,|YUY|YUL|YYZ|PEK|SZX|BKI|
BKI|YVO,|YVO|YUL|YYZ|PEK|SZX|BKI|
BKI|ZBF,|ZBF|YUL|YYZ|PEK|SZX|BKI|
BKI|ZRH,|ZRH|IST|URC|CKG|SZX|BKI|
BKI|ZSA,|ZSA|YUL|YYZ|PEK|SZX|BKI|
BKI|AKL,|AKL|CAN|MXZ|SZX|BKI|
BKI|HKG,|HKG|MXZ|SZX|BKI|
BKI|HND,|HND|HNL|NRT|ICN|PVG|SZX|BKI|
BKI|HNL,|HNL|NRT|ICN|PVG|SZX|BKI|
BKI|MEX,|MEX|SFO|PVG|SZX|BKI|
BKI|OGG,|OGG|HNL|NRT|ICN|PVG|SZX|BKI|
BKI|PDX,|PDX|SEA|ICN|PVG|SZX|BKI|
BKI|PEK,|PEK|SZX|BKI|
BKI|PVG,|PVG|SZX|BKI|
BKI|PVR,|PVR|LAX|PVG|SZX|BKI|
BKI|SEA,|SEA|ICN|PVG|SZX|BKI|
BKI|SYD,|SYD|CAN|MXZ|SZX|BKI|
BKI|YBL,|YBL|YVR|PVG|SZX|BKI|
BKI|YCD,|YCD|YVR|PVG|SZX|BKI|
BKI|YCG,|YCG|YVR|PVG|SZX|BKI|
BKI|YKA,|YKA|YVR|PVG|SZX|BKI|
BKI|YPR,|YPR|YVR|PVG|SZX|BKI|
BKI|YQZ,|YQZ|YVR|PVG|SZX|BKI|
BKI|YXC,|YXC|YVR|PVG|SZX|BKI|
BKI|YXJ,|YXJ|YVR|PVG|SZX|BKI|
BKI|YXS,|YXS|YVR|PVG|SZX|BKI|
BKI|YXT,|YXT|YVR|PVG|SZX|BKI|
BKI|YXY,|YXY|YVR|PVG|SZX|BKI|
BKI|YYD,|YYD|YVR|PVG|SZX|BKI|
BKI|YYF,|YYF|YVR|PVG|SZX|BKI|
BKI|YZP,|YZP|YVR|PVG|SZX|BKI|
BKI|YQT,|YQT|YWG|YVR|PVG|SZX|BKI|
BKI|SJD,|SJD|LAX|PVG|SZX|BKI|
BKI|YQF,|YQF|YYC|YVR|PVG|SZX|BKI|
BKI|YQL,|YQL|YYC|YVR|PVG|SZX|BKI|
BKI|YXH,|YXH|YYC|YVR|PVG|SZX|BKI|
BKI|YWK,|YWK|YZV|YQB|YYZ|PEK|SZX|BKI|
BKI|ANU,|ANU|EWR|PEK|SZX|BKI|
BKI|AUA,|AUA|EWR|PEK|SZX|BKI|
BKI|AUH,|AUH|IST|URC|CKG|SZX|BKI|
BKI|BCN,|BCN|IST|URC|CKG|SZX|BKI|
BKI|BDA,|BDA|EWR|PEK|SZX|BKI|
BKI|BGI,|BGI|YYZ|PEK|SZX|BKI|
BKI|BNA,|BNA|ORD|PEK|SZX|BKI|
BKI|BOG,|BOG|MIA|ORD|PEK|SZX|BKI|
BKI|BWI,|BWI|YYZ|PEK|SZX|BKI|
BKI|CLE,|CLE|YYZ|PEK|SZX|BKI|
BKI|CLT,|CLT|YYZ|PEK|SZX|BKI|
BKI|CMH,|CMH|ORD|PEK|SZX|BKI|
BKI|CVG,|CVG|ORD|PEK|SZX|BKI|
BKI|DFW,|DFW|YVR|PVG|SZX|BKI|
BKI|DTW,|DTW|PEK|SZX|BKI|
BKI|DUB,|DUB|IST|URC|CKG|SZX|BKI|
BKI|FCO,|FCO|IST|URC|CKG|SZX|BKI|
BKI|GCM,|GCM|YYZ|PEK|SZX|BKI|
BKI|GGT,|GGT|YYZ|PEK|SZX|BKI|
BKI|GND,|GND|YYZ|PEK|SZX|BKI|
BKI|GRU,|GRU|IST|URC|CKG|SZX|BKI|
BKI|HAV,|HAV|YYZ|PEK|SZX|BKI|
BKI|IND,|IND|ORD|PEK|SZX|BKI|
BKI|JFK,|JFK|PEK|SZX|BKI|
BKI|KIN,|KIN|YYZ|PEK|SZX|BKI|
BKI|LIM,|LIM|IAH|YVR|PVG|SZX|BKI|
BKI|LIR,|LIR|IAH|YVR|PVG|SZX|BKI|
BKI|MCI,|MCI|DEN|YVR|PVG|SZX|BKI|
BKI|MDT,|MDT|YYZ|PEK|SZX|BKI|
BKI|MIA,|MIA|ORD|PEK|SZX|BKI|
BKI|MKE,|MKE|ORD|PEK|SZX|BKI|
BKI|MSP,|MSP|ORD|PEK|SZX|BKI|
BKI|NAS,|NAS|YYZ|PEK|SZX|BKI|
BKI|PHL,|PHL|YYZ|PEK|SZX|BKI|
BKI|PHX,|PHX|SFO|PVG|SZX|BKI|
BKI|PIT,|PIT|YYZ|PEK|SZX|BKI|
BKI|PLS,|PLS|EWR|PEK|SZX|BKI|
BKI|POP,|POP|EWR|PEK|SZX|BKI|
BKI|RDU,|RDU|YYZ|PEK|SZX|BKI|
BKI|ROC,|ROC|YYZ|PEK|SZX|BKI|
BKI|RSW,|RSW|ORD|PEK|SZX|BKI|
BKI|SAN,|SAN|LAX|PVG|SZX|BKI|
BKI|SJO,|SJO|IAH|YVR|PVG|SZX|BKI|
BKI|STL,|STL|ORD|PEK|SZX|BKI|
BKI|SYR,|SYR|YYZ|PEK|SZX|BKI|
BKI|TLV,|TLV|SAW|TBS|URC|CKG|SZX|BKI|
BKI|TPA,|TPA|ORD|PEK|SZX|BKI|
BKI|UVF,|UVF|EWR|PEK|SZX|BKI|
BKI|VIE,|VIE|IST|URC|CKG|SZX|BKI|
BKI|YAM,|YAM|YYZ|PEK|SZX|BKI|
BKI|YGK,|YGK|YYZ|PEK|SZX|BKI|
BKI|YQG,|YQG|YYZ|PEK|SZX|BKI|
BKI|YSB,|YSB|YYZ|PEK|SZX|BKI|
BKI|YTS,|YTS|YYZ|PEK|SZX|BKI|
BKI|YYB,|YYB|YYZ|PEK|SZX|BKI|
BKI|YZR,|YZR|YYZ|PEK|SZX|BKI|
BKI|CAN,|CAN|MXZ|SZX|BKI|
BKI|URC,|URC|CKG|SZX|BKI|
BKI|CTU,|CTU|SZX|BKI|
BKI|HGH,|HGH|SZX|BKI|
BKI|XMN,|XMN|SZX|BKI|
BKI|CGO,|CGO|SZX|BKI|
BKI|CSX,|CSX|SZX|BKI|
BKI|SHE,|SHE|TAO|SZX|BKI|
BKI|SJW,|SJW|SZX|BKI|
BKI|WUH,|WUH|SZX|BKI|
BKI|SZX,|SZX|BKI|
BKI|CKG,|CKG|SZX|BKI|
BKI|KMG,|KMG|SZX|BKI|
BKI|FOC,|FOC|SZX|BKI|
BKI|NNG,|NNG|SZX|BKI|
BKI|SWA,|SWA|HKG|MXZ|SZX|BKI|
BKI|ACX,|ACX|CAN|MXZ|SZX|BKI|
BKI|AQG,|AQG|CAN|MXZ|SZX|BKI|
BKI|AVA,|AVA|CAN|MXZ|SZX|BKI|
BKI|BFJ,|BFJ|SZX|BKI|
BKI|BHY,|BHY|CAN|MXZ|SZX|BKI|
BKI|BNE,|BNE|CAN|MXZ|SZX|BKI|
BKI|CGD,|CGD|SZX|BKI|
BKI|CGK,|CGK|CAN|MXZ|SZX|BKI|
BKI|CGQ,|CGQ|TAO|SZX|BKI|
BKI|CIH,|CIH|CAN|MXZ|SZX|BKI|
BKI|CNX,|CNX|CAN|MXZ|SZX|BKI|
BKI|CZX,|CZX|SZX|BKI|
BKI|DAC,|DAC|CAN|MXZ|SZX|BKI|
BKI|DAD,|DAD|CAN|MXZ|SZX|BKI|
BKI|DEL,|DEL|CAN|MXZ|SZX|BKI|
BKI|DIG,|DIG|KMG|SZX|BKI|
BKI|DLC,|DLC|SZX|BKI|
BKI|DPS,|DPS|SZX|BKI|
BKI|DXB,|DXB|CAN|MXZ|SZX|BKI|
BKI|DYG,|DYG|SZX|BKI|
BKI|FUG,|FUG|CAN|MXZ|SZX|BKI|
BKI|FUK,|FUK|ICN|PVG|SZX|BKI|
BKI|HAK,|HAK|SZX|BKI|
BKI|HAN,|HAN|CAN|MXZ|SZX|BKI|
BKI|HDG,|HDG|CAN|MXZ|SZX|BKI|
BKI|HET,|HET|CSX|SZX|BKI|
BKI|HFE,|HFE|SZX|BKI|
BKI|HJJ,|HJJ|CSX|SZX|BKI|
BKI|HKT,|HKT|SZX|BKI|
BKI|HRB,|HRB|SZX|BKI|
BKI|HZH,|HZH|CAN|MXZ|SZX|BKI|
BKI|JIU,|JIU|CAN|MXZ|SZX|BKI|
BKI|JJN,|JJN|SZX|BKI|
BKI|JNG,|JNG|CAN|MXZ|SZX|BKI|
BKI|KHN,|KHN|SZX|BKI|
BKI|KIX,|KIX|CAN|MXZ|SZX|BKI|
BKI|KOW,|KOW|SZX|BKI|
BKI|KTM,|KTM|CAN|MXZ|SZX|BKI|
BKI|KUL,|KUL|BKK|NNG|SZX|BKI|
BKI|KWE,|KWE|SZX|BKI|
BKI|KWL,|KWL|SZX|BKI|
BKI|LHW,|LHW|CSX|SZX|BKI|
BKI|LYA,|LYA|KHN|SZX|BKI|
BKI|LYG,|LYG|HSN|SZX|BKI|
BKI|LZH,|LZH|CAN|MXZ|SZX|BKI|
BKI|MEL,|MEL|CAN|MXZ|SZX|BKI|
BKI|MIG,|MIG|CSX|SZX|BKI|
BKI|MLE,|MLE|CAN|MXZ|SZX|BKI|
BKI|MNL,|MNL|XMN|SZX|BKI|
BKI|MXZ,|MXZ|SZX|BKI|
BKI|NAO,|NAO|SZX|BKI|
BKI|NGB,|NGB|SZX|BKI|
BKI|NKG,|NKG|SZX|BKI|
BKI|NNY,|NNY|SZX|BKI|
BKI|PEN,|PEN|CAN|MXZ|SZX|BKI|
BKI|PER,|PER|CAN|MXZ|SZX|BKI|
BKI|PNH,|PNH|CAN|MXZ|SZX|BKI|
BKI|REP,|REP|CAN|MXZ|SZX|BKI|
BKI|RGN,|RGN|CAN|MXZ|SZX|BKI|
BKI|SGN,|SGN|HKG|MXZ|SZX|BKI|
BKI|SHA,|SHA|SZX|BKI|
BKI|SIN,|SIN|HKG|MXZ|SZX|BKI|
BKI|SVO,|SVO|URC|CKG|SZX|BKI|
BKI|SYX,|SYX|SZX|BKI|
BKI|TAO,|TAO|SZX|BKI|
BKI|TEN,|TEN|SZX|BKI|
BKI|TNA,|TNA|WUH|SZX|BKI|
BKI|TPE,|TPE|SZX|BKI|
BKI|TSN,|TSN|SZX|BKI|
BKI|TXN,|TXN|SZX|BKI|
BKI|TYN,|TYN|CSX|SZX|BKI|
BKI|WNZ,|WNZ|SZX|BKI|
BKI|WUX,|WUX|SZX|BKI|
BKI|XFN,|XFN|XMN|SZX|BKI|
BKI|XIY,|XIY|SZX|BKI|
BKI|XUZ,|XUZ|CAN|MXZ|SZX|BKI|
BKI|YIH,|YIH|XMN|SZX|BKI|
BKI|YIW,|YIW|XMN|SZX|BKI|
BKI|YNT,|YNT|CSX|SZX|BKI|
BKI|YNZ,|YNZ|XMN|SZX|BKI|
BKI|YTY,|YTY|CSX|SZX|BKI|
BKI|ZHA,|ZHA|CAN|MXZ|SZX|BKI|
BKI|ZYI,|ZYI|SZX|BKI|
BKI|BAV,|BAV|CSX|SZX|BKI|
BKI|CJU,|CJU|SZX|BKI|
BKI|DSN,|DSN|CGO|SZX|BKI|
BKI|HMI,|HMI|CGO|SZX|BKI|
BKI|INC,|INC|XIY|SZX|BKI|
BKI|KHH,|KHH|WUH|SZX|BKI|
BKI|UYN,|UYN|XIY|SZX|BKI|
BKI|XNN,|XNN|CKG|SZX|BKI|
BKI|ZUH,|ZUH|MXZ|SZX|BKI|
BKI|YNJ,|YNJ|PVG|SZX|BKI|
BKI|DAT,|DAT|TYN|CSX|SZX|BKI|
BKI|JHG,|JHG|KMG|SZX|BKI|
BKI|LJG,|LJG|KMG|SZX|BKI|
BKI|LXA,|LXA|CKG|SZX|BKI|
BKI|YCU,|YCU|CSX|SZX|BKI|
BKI|LZO,|LZO|SZX|BKI|
BKI|MDG,|MDG|DLC|SZX|BKI|
BKI|NGO,|NGO|PVG|SZX|BKI|
BKI|TOY,|TOY|DLC|SZX|BKI|
BKI|MFM,|MFM|XMN|SZX|BKI|
BKI|TGO,|TGO|HET|CSX|SZX|BKI|
BKI|XIL,|XIL|HET|CSX|SZX|BKI|
BKI|HEK,|HEK|HRB|SZX|BKI|
BKI|KIJ,|KIJ|HRB|SZX|BKI|
BKI|LDS,|LDS|HRB|SZX|BKI|
BKI|OHE,|OHE|HRB|SZX|BKI|
BKI|HSN,|HSN|SZX|BKI|
BKI|DLU,|DLU|KMG|SZX|BKI|
BKI|SYM,|SYM|KMG|SZX|BKI|
BKI|ZAT,|ZAT|KMG|SZX|BKI|
BKI|LUN,|LUN|NBO|BKK|NNG|SZX|BKI|
BKI|AOG,|AOG|PEK|SZX|BKI|
BKI|GMP,|GMP|PEK|SZX|BKI|
BKI|ISB,|ISB|URC|CKG|SZX|BKI|
BKI|TAS,|TAS|URC|CKG|SZX|BKI|
BKI|WUS,|WUS|PEK|SZX|BKI|
BKI|JMU,|JMU|PVG|SZX|BKI|
BKI|NDG,|NDG|PVG|SZX|BKI|
BKI|JXA,|JXA|SHE|TAO|SZX|BKI|
BKI|PUS,|PUS|SHE|TAO|SZX|BKI|
BKI|AKU,|AKU|URC|CKG|SZX|BKI|
BKI|ALA,|ALA|URC|CKG|SZX|BKI|
BKI|ASB,|ASB|URC|CKG|SZX|BKI|
BKI|DNH,|DNH|XIY|SZX|BKI|
BKI|DYU,|DYU|URC|CKG|SZX|BKI|
BKI|FRU,|FRU|URC|CKG|SZX|BKI|
BKI|GYD,|GYD|URC|CKG|SZX|BKI|
BKI|HTN,|HTN|URC|CKG|SZX|BKI|
BKI|IKA,|IKA|URC|CKG|SZX|BKI|
BKI|KCA,|KCA|URC|CKG|SZX|BKI|
BKI|KHG,|KHG|URC|CKG|SZX|BKI|
