HBE|EZE,|EZE|GRU|IST|HBE|
HBE|YYJ,|YYJ|YVR|MUC|IST|HBE|
HBE|YYY,|YYY|YUL|FRA|IST|HBE|
HBE|YQQ,|YQQ|YBL|YVR|MUC|IST|HBE|
HBE|YYR,|YYR|YYT|LHR|IST|HBE|
HBE|LHR,|LHR|IST|HBE|
HBE|SFO,|SFO|MUC|IST|HBE|
HBE|YQU,|YQU|YEG|LHR|IST|HBE|
HBE|YZF,|YZF|YEG|LHR|IST|HBE|
HBE|YGR,|YGR|YGP|YQB|YUL|FRA|IST|HBE|
HBE|YGP,|YGP|YQB|YUL|FRA|IST|HBE|
HBE|BOS,|BOS|FRA|IST|HBE|
HBE|YDF,|YDF|YYT|LHR|IST|HBE|
HBE|YFC,|YFC|YHZ|LHR|IST|HBE|
HBE|YQM,|YQM|YHZ|LHR|IST|HBE|
HBE|YQX,|YQX|YYT|LHR|IST|HBE|
HBE|YQY,|YQY|YHZ|LHR|IST|HBE|
HBE|YSJ,|YSJ|YHZ|LHR|IST|HBE|
HBE|YYG,|YYG|YHZ|LHR|IST|HBE|
HBE|LAX,|LAX|IST|HBE|
HBE|DCA,|DCA|EWR|BHX|IST|HBE|
HBE|LGA,|LGA|YHZ|LHR|IST|HBE|
HBE|YZV,|YZV|YWK|YYR|YYT|LHR|IST|HBE|
HBE|YWL,|YWL|YVR|MUC|IST|HBE|
HBE|AZS,|AZS|YUL|FRA|IST|HBE|
HBE|BDL,|BDL|YUL|FRA|IST|HBE|
HBE|CCC,|CCC|YUL|FRA|IST|HBE|
HBE|CDG,|CDG|IST|HBE|
HBE|CUN,|CUN|YHZ|LHR|IST|HBE|
HBE|CZM,|CZM|YUL|FRA|IST|HBE|
HBE|FDF,|FDF|YUL|FRA|IST|HBE|
HBE|FLL,|FLL|MCO|FRA|IST|HBE|
HBE|GVA,|GVA|IST|HBE|
HBE|HOG,|HOG|YUL|FRA|IST|HBE|
HBE|LAS,|LAS|DEN|FRA|IST|HBE|
HBE|MBJ,|MBJ|YHZ|LHR|IST|HBE|
HBE|MCO,|MCO|FRA|IST|HBE|
HBE|MUC,|MUC|IST|HBE|
HBE|PAP,|PAP|YUL|FRA|IST|HBE|
HBE|PTP,|PTP|YUL|FRA|IST|HBE|
HBE|PUJ,|PUJ|YHZ|LHR|IST|HBE|
HBE|SNU,|SNU|YUL|FRA|IST|HBE|
HBE|VRA,|VRA|YUL|FRA|IST|HBE|
HBE|YBC,|YBC|YUL|FRA|IST|HBE|
HBE|YBG,|YBG|YUL|FRA|IST|HBE|
HBE|YTZ,|YTZ|YUL|FRA|IST|HBE|
HBE|YUY,|YUY|YUL|FRA|IST|HBE|
HBE|YVO,|YVO|YUL|FRA|IST|HBE|
HBE|ZBF,|ZBF|YUL|FRA|IST|HBE|
HBE|ZRH,|ZRH|IST|HBE|
HBE|ZSA,|ZSA|YUL|FRA|IST|HBE|
HBE|AKL,|AKL|BKK|IST|HBE|
HBE|HKG,|HKG|IST|HBE|
HBE|HND,|HND|YVR|MUC|IST|HBE|
HBE|HNL,|HNL|YVR|MUC|IST|HBE|
HBE|MEX,|MEX|IAD|IST|HBE|
HBE|OGG,|OGG|YVR|MUC|IST|HBE|
HBE|PDX,|PDX|SEA|FRA|IST|HBE|
HBE|PEK,|PEK|IST|HBE|
HBE|PVG,|PVG|IST|HBE|
HBE|PVR,|PVR|ORD|IST|HBE|
HBE|SEA,|SEA|FRA|IST|HBE|
HBE|SYD,|SYD|BKK|IST|HBE|
HBE|YBL,|YBL|YVR|MUC|IST|HBE|
HBE|YCD,|YCD|YVR|MUC|IST|HBE|
HBE|YCG,|YCG|YYC|FRA|IST|HBE|
HBE|YKA,|YKA|YYC|FRA|IST|HBE|
HBE|YPR,|YPR|YVR|MUC|IST|HBE|
HBE|YQZ,|YQZ|YVR|MUC|IST|HBE|
HBE|YXC,|YXC|YYC|FRA|IST|HBE|
HBE|YXJ,|YXJ|YYC|FRA|IST|HBE|
HBE|YXS,|YXS|YYC|FRA|IST|HBE|
HBE|YXT,|YXT|YVR|MUC|IST|HBE|
HBE|YXY,|YXY|YVR|MUC|IST|HBE|
HBE|YYD,|YYD|YVR|MUC|IST|HBE|
HBE|YYF,|YYF|YVR|MUC|IST|HBE|
HBE|YZP,|YZP|YVR|MUC|IST|HBE|
HBE|YQT,|YQT|YYZ|IST|HBE|
HBE|SJD,|SJD|ORD|IST|HBE|
HBE|YQF,|YQF|YYC|FRA|IST|HBE|
HBE|YQL,|YQL|YYC|FRA|IST|HBE|
HBE|YXH,|YXH|YYC|FRA|IST|HBE|
HBE|YWK,|YWK|YYR|YYT|LHR|IST|HBE|
HBE|ANU,|ANU|EWR|BHX|IST|HBE|
HBE|AUA,|AUA|EWR|BHX|IST|HBE|
HBE|AUH,|AUH|IST|HBE|
HBE|BCN,|BCN|IST|HBE|
HBE|BDA,|BDA|EWR|BHX|IST|HBE|
HBE|BGI,|BGI|YYZ|IST|HBE|
HBE|BNA,|BNA|YYZ|IST|HBE|
HBE|BOG,|BOG|MIA|ZRH|IST|HBE|
HBE|BWI,|BWI|EWR|BHX|IST|HBE|
HBE|CLE,|CLE|YYZ|IST|HBE|
HBE|CLT,|CLT|EWR|BHX|IST|HBE|
HBE|CMH,|CMH|YYZ|IST|HBE|
HBE|CVG,|CVG|YYZ|IST|HBE|
HBE|DFW,|DFW|ORD|IST|HBE|
HBE|DTW,|DTW|FRA|IST|HBE|
HBE|DUB,|DUB|IST|HBE|
HBE|FCO,|FCO|IST|HBE|
HBE|GCM,|GCM|EWR|BHX|IST|HBE|
