PBI|YXJ,|YXJ|YYC|ORD|ATL|PBI|
PBI|YXS,|YXS|YYC|ORD|ATL|PBI|
PBI|YXT,|YXT|YVR|DEN|TPA|PBI|
PBI|YXY,|YXY|YVR|DEN|TPA|PBI|
PBI|YYD,|YYD|YVR|DEN|TPA|PBI|
PBI|YYF,|YYF|YVR|DEN|TPA|PBI|
PBI|YZP,|YZP|YVR|DEN|TPA|PBI|
PBI|YQT,|YQT|YYZ|CLE|PBI|
PBI|SJD,|SJD|IAH|PBI|
PBI|YQF,|YQF|YYC|ORD|ATL|PBI|
PBI|YQL,|YQL|YYC|ORD|ATL|PBI|
PBI|YXH,|YXH|YYC|ORD|ATL|PBI|
PBI|YWK,|YWK|YZV|YQB|EWR|PBI|
PBI|ANU,|ANU|EWR|PBI|
PBI|AUA,|AUA|ATL|PBI|
PBI|AUH,|AUH|FRA|EWR|PBI|
PBI|BCN,|BCN|EWR|PBI|
PBI|BDA,|BDA|EWR|PBI|
PBI|BGI,|BGI|YYZ|CLE|PBI|
PBI|BNA,|BNA|TPA|PBI|
PBI|BOG,|BOG|MIA|MSY|TPA|PBI|
PBI|BWI,|BWI|PBI|
PBI|CLE,|CLE|PBI|
PBI|CLT,|CLT|MCO|GNV|TPA|PBI|
PBI|CMH,|CMH|ATL|PBI|
PBI|CVG,|CVG|IAD|TPA|PBI|
PBI|DFW,|DFW|IAH|PBI|
PBI|DTW,|DTW|ATL|PBI|
PBI|DUB,|DUB|EWR|PBI|
PBI|FCO,|FCO|EWR|PBI|
PBI|GCM,|GCM|IAH|PBI|
PBI|GGT,|GGT|FLL|TPA|PBI|
PBI|GND,|GND|YYZ|CLE|PBI|
PBI|GRU,|GRU|IAD|TPA|PBI|
PBI|HAV,|HAV|YYZ|CLE|PBI|
PBI|IND,|IND|ATL|PBI|
PBI|JFK,|JFK|IAD|TPA|PBI|
PBI|KIN,|KIN|YYZ|CLE|PBI|
PBI|LIM,|LIM|MIA|MSY|TPA|PBI|
PBI|LIR,|LIR|IAH|PBI|
PBI|MCI,|MCI|TPA|PBI|
PBI|MDT,|MDT|IAD|TPA|PBI|
PBI|MIA,|MIA|MSY|TPA|PBI|
PBI|MKE,|MKE|ATL|PBI|
PBI|MSP,|MSP|ATL|PBI|
PBI|NAS,|NAS|ATL|PBI|
PBI|PHL,|PHL|TPA|PBI|
PBI|PHX,|PHX|TPA|PBI|
PBI|PIT,|PIT|TPA|PBI|
PBI|PLS,|PLS|EWR|PBI|
