LAN|YYF,|YYF|YVR|ORD|LAN|
LAN|YZP,|YZP|YVR|ORD|LAN|
LAN|YQT,|YQT|YYZ|ORD|LAN|
LAN|SJD,|SJD|ORD|LAN|
LAN|YQF,|YQF|YYC|ORD|LAN|
LAN|YQL,|YQL|YYC|ORD|LAN|
LAN|YXH,|YXH|YYC|ORD|LAN|
LAN|YWK,|YWK|YZV|YQB|ORD|LAN|
LAN|ANU,|ANU|EWR|ORD|LAN|
LAN|AUA,|AUA|ATL|ORD|LAN|
LAN|AUH,|AUH|YYZ|ORD|LAN|
LAN|BCN,|BCN|YYZ|ORD|LAN|
LAN|BDA,|BDA|EWR|ORD|LAN|
LAN|BGI,|BGI|YYZ|ORD|LAN|
LAN|BNA,|BNA|ORD|LAN|
LAN|BOG,|BOG|MIA|ORD|LAN|
LAN|BWI,|BWI|ORD|LAN|
LAN|CLE,|CLE|ORD|LAN|
LAN|CLT,|CLT|ORD|LAN|
LAN|CMH,|CMH|ORD|LAN|
LAN|CVG,|CVG|ORD|LAN|
LAN|DFW,|DFW|ORD|LAN|
LAN|DTW,|DTW|ORD|LAN|
LAN|DUB,|DUB|ORD|LAN|
LAN|FCO,|FCO|YYZ|ORD|LAN|
LAN|GCM,|GCM|IAD|ORD|LAN|
LAN|GGT,|GGT|FLL|ORD|LAN|
LAN|GND,|GND|YYZ|ORD|LAN|
LAN|GRU,|GRU|ORD|LAN|
LAN|HAV,|HAV|YYZ|ORD|LAN|
LAN|IND,|IND|ORD|LAN|
LAN|JFK,|JFK|YYZ|ORD|LAN|
LAN|KIN,|KIN|YYZ|ORD|LAN|
LAN|LIM,|LIM|MIA|ORD|LAN|
LAN|LIR,|LIR|IAH|ORD|LAN|
LAN|MCI,|MCI|ORD|LAN|
LAN|MDT,|MDT|ORD|LAN|
LAN|MIA,|MIA|ORD|LAN|
LAN|MKE,|MKE|ORD|LAN|
LAN|MSP,|MSP|ORD|LAN|
LAN|NAS,|NAS|ORD|LAN|
LAN|PHL,|PHL|ORD|LAN|
LAN|PHX,|PHX|ORD|LAN|
LAN|PIT,|PIT|ORD|LAN|
LAN|PLS,|PLS|YYZ|ORD|LAN|
LAN|POP,|POP|YYZ|ORD|LAN|
LAN|RDU,|RDU|ORD|LAN|
LAN|ROC,|ROC|ORD|LAN|
LAN|RSW,|RSW|ORD|LAN|
LAN|SAN,|SAN|ORD|LAN|
LAN|SJO,|SJO|ORD|LAN|
LAN|STL,|STL|ORD|LAN|
LAN|SYR,|SYR|ORD|LAN|
LAN|TLV,|TLV|IST|ORD|LAN|
LAN|TPA,|TPA|ORD|LAN|
LAN|UVF,|UVF|EWR|ORD|LAN|
LAN|VIE,|VIE|ORD|LAN|
LAN|YAM,|YAM|YYZ|ORD|LAN|
LAN|YGK,|YGK|YYZ|ORD|LAN|
LAN|YQG,|YQG|YYZ|ORD|LAN|
LAN|YSB,|YSB|YYZ|ORD|LAN|
LAN|YTS,|YTS|YYZ|ORD|LAN|
LAN|YYB,|YYB|YYZ|ORD|LAN|
LAN|YZR,|YZR|YYZ|ORD|LAN|
LAN|CAN,|CAN|PEK|ORD|LAN|
LAN|URC,|URC|TSE|FRA|ORD|LAN|
LAN|CTU,|CTU|PEK|ORD|LAN|
LAN|HGH,|HGH|PEK|ORD|LAN|
LAN|XMN,|XMN|PEK|ORD|LAN|
LAN|CGO,|CGO|PEK|ORD|LAN|
LAN|CSX,|CSX|PEK|ORD|LAN|
LAN|SHE,|SHE|PEK|ORD|LAN|
LAN|SJW,|SJW|DLC|PEK|ORD|LAN|
LAN|WUH,|WUH|PEK|ORD|LAN|
LAN|SZX,|SZX|PEK|ORD|LAN|
LAN|CKG,|CKG|PEK|ORD|LAN|
LAN|KMG,|KMG|PEK|ORD|LAN|
LAN|FOC,|FOC|PEK|ORD|LAN|
LAN|NNG,|NNG|PEK|ORD|LAN|
LAN|SWA,|SWA|PEK|ORD|LAN|
LAN|ACX,|ACX|CAN|PEK|ORD|LAN|
LAN|AQG,|AQG|CAN|PEK|ORD|LAN|
LAN|AVA,|AVA|CAN|PEK|ORD|LAN|
LAN|BFJ,|BFJ|CAN|PEK|ORD|LAN|
LAN|BHY,|BHY|CGO|PEK|ORD|LAN|
LAN|BNE,|BNE|CAN|PEK|ORD|LAN|
LAN|CGD,|CGD|PEK|ORD|LAN|
LAN|CGK,|CGK|CAN|PEK|ORD|LAN|
LAN|CGQ,|CGQ|PEK|ORD|LAN|
LAN|CIH,|CIH|PEK|ORD|LAN|
LAN|CNX,|CNX|CAN|PEK|ORD|LAN|
LAN|CZX,|CZX|SHE|PEK|ORD|LAN|
LAN|DAC,|DAC|IST|ORD|LAN|
LAN|DAD,|DAD|CAN|PEK|ORD|LAN|
LAN|DEL,|DEL|EWR|ORD|LAN|
LAN|DIG,|DIG|KMG|PEK|ORD|LAN|
LAN|DLC,|DLC|PEK|ORD|LAN|
LAN|DPS,|DPS|SZX|PEK|ORD|LAN|
LAN|DXB,|DXB|IST|ORD|LAN|
