SCL|YXS,|YXS|YYC|YYZ|SCL|
SCL|YXT,|YXT|YVR|YYZ|SCL|
SCL|YXY,|YXY|YVR|YYZ|SCL|
SCL|YYD,|YYD|YVR|YYZ|SCL|
SCL|YYF,|YYF|YVR|YYZ|SCL|
SCL|YZP,|YZP|YVR|YYZ|SCL|
SCL|YQT,|YQT|YYZ|SCL|
SCL|SJD,|SJD|IAH|EZE|SCL|
SCL|YQF,|YQF|YYC|YYZ|SCL|
SCL|YQL,|YQL|YYC|YYZ|SCL|
SCL|YXH,|YXH|YYC|YYZ|SCL|
SCL|YWK,|YWK|YZV|YQB|YYZ|SCL|
SCL|ANU,|ANU|YYZ|SCL|
SCL|AUA,|AUA|YYZ|SCL|
SCL|AUH,|AUH|IST|GRU|EZE|SCL|
SCL|BCN,|BCN|YYZ|SCL|
SCL|BDA,|BDA|YYZ|SCL|
SCL|BGI,|BGI|YYZ|SCL|
SCL|BNA,|BNA|YYZ|SCL|
SCL|BOG,|BOG|IAH|EZE|SCL|
SCL|BWI,|BWI|YYZ|SCL|
SCL|CLE,|CLE|YYZ|SCL|
SCL|CLT,|CLT|YYZ|SCL|
SCL|CMH,|CMH|YYZ|SCL|
SCL|CVG,|CVG|YYZ|SCL|
SCL|DFW,|DFW|IAH|EZE|SCL|
SCL|DTW,|DTW|YYZ|SCL|
SCL|DUB,|DUB|YYZ|SCL|
SCL|FCO,|FCO|IST|GRU|EZE|SCL|
SCL|GCM,|GCM|IAH|EZE|SCL|
SCL|GGT,|GGT|YYZ|SCL|
SCL|GND,|GND|YYZ|SCL|
SCL|GRU,|GRU|EZE|SCL|
SCL|HAV,|HAV|YYZ|SCL|
SCL|IND,|IND|YYZ|SCL|
SCL|JFK,|JFK|YYZ|SCL|
SCL|KIN,|KIN|YYZ|SCL|
SCL|LIM,|LIM|IAH|EZE|SCL|
SCL|LIR,|LIR|IAH|EZE|SCL|
SCL|MCI,|MCI|YYZ|SCL|
SCL|MDT,|MDT|YYZ|SCL|
SCL|MIA,|MIA|YYZ|SCL|
SCL|MKE,|MKE|YYZ|SCL|
SCL|MSP,|MSP|YYZ|SCL|
SCL|NAS,|NAS|YYZ|SCL|
SCL|PHL,|PHL|YYZ|SCL|
SCL|PHX,|PHX|IAH|EZE|SCL|
SCL|PIT,|PIT|YYZ|SCL|
SCL|PLS,|PLS|YYZ|SCL|
SCL|POP,|POP|YYZ|SCL|
SCL|RDU,|RDU|YYZ|SCL|
SCL|ROC,|ROC|YYZ|SCL|
SCL|RSW,|RSW|YYZ|SCL|
SCL|SAN,|SAN|IAH|EZE|SCL|
SCL|SJO,|SJO|IAH|EZE|SCL|
SCL|STL,|STL|YYZ|SCL|
SCL|SYR,|SYR|YYZ|SCL|
SCL|TLV,|TLV|IST|GRU|EZE|SCL|
SCL|TPA,|TPA|YYZ|SCL|
SCL|UVF,|UVF|YYZ|SCL|
SCL|VIE,|VIE|IST|GRU|EZE|SCL|
SCL|YAM,|YAM|YYZ|SCL|
SCL|YGK,|YGK|YYZ|SCL|
SCL|YQG,|YQG|YYZ|SCL|
SCL|YSB,|YSB|YYZ|SCL|
SCL|YTS,|YTS|YYZ|SCL|
SCL|YYB,|YYB|YYZ|SCL|
SCL|YZR,|YZR|YYZ|SCL|
SCL|CAN,|CAN|PEK|YYZ|SCL|
SCL|URC,|URC|IST|GRU|EZE|SCL|
SCL|CTU,|CTU|URC|IST|GRU|EZE|SCL|
SCL|HGH,|HGH|PEK|YYZ|SCL|
SCL|XMN,|XMN|PEK|YYZ|SCL|
SCL|CGO,|CGO|PEK|YYZ|SCL|
SCL|CSX,|CSX|PEK|YYZ|SCL|
SCL|SHE,|SHE|PEK|YYZ|SCL|
SCL|SJW,|SJW|DLC|PEK|YYZ|SCL|
SCL|WUH,|WUH|PEK|YYZ|SCL|
SCL|SZX,|SZX|PEK|YYZ|SCL|
SCL|CKG,|CKG|URC|IST|GRU|EZE|SCL|
SCL|KMG,|KMG|CTU|URC|IST|GRU|EZE|SCL|
SCL|FOC,|FOC|PEK|YYZ|SCL|
SCL|NNG,|NNG|KWE|URC|IST|GRU|EZE|SCL|
SCL|SWA,|SWA|PEK|YYZ|SCL|
SCL|ACX,|ACX|CAN|PEK|YYZ|SCL|
SCL|AQG,|AQG|CAN|PEK|YYZ|SCL|
SCL|AVA,|AVA|CAN|PEK|YYZ|SCL|
SCL|BFJ,|BFJ|CAN|PEK|YYZ|SCL|
SCL|BHY,|BHY|CGO|PEK|YYZ|SCL|
SCL|BNE,|BNE|CAN|PEK|YYZ|SCL|
SCL|CGD,|CGD|PEK|YYZ|SCL|
SCL|CGK,|CGK|SIN|IST|GRU|EZE|SCL|
SCL|CGQ,|CGQ|PEK|YYZ|SCL|
SCL|CIH,|CIH|PEK|YYZ|SCL|
SCL|CNX,|CNX|CAN|PEK|YYZ|SCL|
SCL|CZX,|CZX|SHE|PEK|YYZ|SCL|
SCL|DAC,|DAC|IST|GRU|EZE|SCL|
SCL|DAD,|DAD|CAN|PEK|YYZ|SCL|
SCL|DEL,|DEL|IST|GRU|EZE|SCL|
SCL|DIG,|DIG|KMG|CTU|URC|IST|GRU|EZE|SCL|
SCL|DLC,|DLC|PEK|YYZ|SCL|
SCL|DPS,|DPS|SZX|PEK|YYZ|SCL|
SCL|DXB,|DXB|IST|GRU|EZE|SCL|
SCL|DYG,|DYG|PEK|YYZ|SCL|
SCL|FUG,|FUG|CAN|PEK|YYZ|SCL|
SCL|FUK,|FUK|ICN|PEK|YYZ|SCL|
SCL|HAK,|HAK|PEK|YYZ|SCL|
SCL|HAN,|HAN|PEK|YYZ|SCL|
SCL|HDG,|HDG|CAN|PEK|YYZ|SCL|
SCL|HET,|HET|URC|IST|GRU|EZE|SCL|
SCL|HFE,|HFE|XIY|PEK|YYZ|SCL|
SCL|HJJ,|HJJ|CSX|PEK|YYZ|SCL|
SCL|HKT,|HKT|KWE|URC|IST|GRU|EZE|SCL|
SCL|HRB,|HRB|PEK|YYZ|SCL|
SCL|HZH,|HZH|CAN|PEK|YYZ|SCL|
SCL|JIU,|JIU|CAN|PEK|YYZ|SCL|
SCL|JJN,|JJN|PEK|YYZ|SCL|
SCL|JNG,|JNG|CAN|PEK|YYZ|SCL|
SCL|KHN,|KHN|DLC|PEK|YYZ|SCL|
SCL|KIX,|KIX|SFO|IAH|EZE|SCL|
SCL|KOW,|KOW|PEK|YYZ|SCL|
SCL|KTM,|KTM|IST|GRU|EZE|SCL|
SCL|KUL,|KUL|IST|GRU|EZE|SCL|
SCL|KWE,|KWE|URC|IST|GRU|EZE|SCL|
SCL|KWL,|KWL|PEK|YYZ|SCL|
SCL|LHW,|LHW|URC|IST|GRU|EZE|SCL|
