SAF|YXJ,|YXJ|YYC|DEN|SAF|
SAF|YXS,|YXS|YYC|DEN|SAF|
SAF|YXT,|YXT|YVR|DEN|SAF|
SAF|YXY,|YXY|YVR|DEN|SAF|
SAF|YYD,|YYD|YVR|DEN|SAF|
SAF|YYF,|YYF|YVR|DEN|SAF|
SAF|YZP,|YZP|YVR|DEN|SAF|
SAF|YQT,|YQT|YWG|DEN|SAF|
SAF|SJD,|SJD|DEN|SAF|
SAF|YQF,|YQF|YYC|DEN|SAF|
SAF|YQL,|YQL|YYC|DEN|SAF|
SAF|YXH,|YXH|YYC|DEN|SAF|
SAF|YWK,|YWK|YZV|YUL|DEN|SAF|
SAF|ANU,|ANU|EWR|DEN|SAF|
SAF|AUA,|AUA|ATL|DEN|SAF|
SAF|AUH,|AUH|FRA|DEN|SAF|
SAF|BCN,|BCN|YYZ|DEN|SAF|
SAF|BDA,|BDA|EWR|DEN|SAF|
SAF|BGI,|BGI|YYZ|DEN|SAF|
SAF|BNA,|BNA|DEN|SAF|
SAF|BOG,|BOG|IAH|DEN|SAF|
SAF|BWI,|BWI|DEN|SAF|
SAF|CLE,|CLE|DEN|SAF|
SAF|CLT,|CLT|MDW|DEN|SAF|
SAF|CMH,|CMH|DEN|SAF|
SAF|CVG,|CVG|DEN|SAF|
SAF|DFW,|DFW|DEN|SAF|
SAF|DTW,|DTW|DEN|SAF|
SAF|DUB,|DUB|ORD|DEN|SAF|
SAF|FCO,|FCO|YYZ|DEN|SAF|
SAF|GCM,|GCM|IAH|DEN|SAF|
SAF|GGT,|GGT|FLL|DEN|SAF|
SAF|GND,|GND|YYZ|DEN|SAF|
SAF|GRU,|GRU|IAH|DEN|SAF|
SAF|HAV,|HAV|YYZ|DEN|SAF|
SAF|IND,|IND|DEN|SAF|
SAF|JFK,|JFK|IAD|DEN|SAF|
SAF|KIN,|KIN|YYZ|DEN|SAF|
SAF|LIM,|LIM|IAH|DEN|SAF|
SAF|LIR,|LIR|IAH|DEN|SAF|
SAF|MCI,|MCI|DEN|SAF|
SAF|MDT,|MDT|ORD|DEN|SAF|
SAF|MIA,|MIA|DEN|SAF|
SAF|MKE,|MKE|DEN|SAF|
SAF|MSP,|MSP|DEN|SAF|
SAF|NAS,|NAS|ATL|DEN|SAF|
SAF|PHL,|PHL|DEN|SAF|
SAF|PHX,|PHX|DEN|SAF|
SAF|PIT,|PIT|DEN|SAF|
SAF|PLS,|PLS|YYZ|DEN|SAF|
SAF|POP,|POP|YYZ|DEN|SAF|
SAF|RDU,|RDU|DEN|SAF|
SAF|ROC,|ROC|ORD|DEN|SAF|
SAF|RSW,|RSW|DEN|SAF|
SAF|SAN,|SAN|DEN|SAF|
SAF|SJO,|SJO|IAH|DEN|SAF|
SAF|STL,|STL|DEN|SAF|
SAF|SYR,|SYR|ORD|DEN|SAF|
SAF|TLV,|TLV|IST|FRA|DEN|SAF|
SAF|TPA,|TPA|DEN|SAF|
SAF|UVF,|UVF|EWR|DEN|SAF|
SAF|VIE,|VIE|ORD|DEN|SAF|
SAF|YAM,|YAM|YYZ|DEN|SAF|
SAF|YGK,|YGK|YYZ|DEN|SAF|
SAF|YQG,|YQG|YYZ|DEN|SAF|
SAF|YSB,|YSB|YYZ|DEN|SAF|
SAF|YTS,|YTS|YYZ|DEN|SAF|
SAF|YYB,|YYB|YYZ|DEN|SAF|
SAF|YZR,|YZR|YYZ|DEN|SAF|
SAF|CAN,|CAN|YVR|DEN|SAF|
SAF|URC,|URC|PEK|YVR|DEN|SAF|
SAF|CTU,|CTU|PEK|YVR|DEN|SAF|
SAF|HGH,|HGH|DLC|ICN|YVR|DEN|SAF|
SAF|XMN,|XMN|PEK|YVR|DEN|SAF|
SAF|CGO,|CGO|PEK|YVR|DEN|SAF|
SAF|CSX,|CSX|ICN|YVR|DEN|SAF|
SAF|SHE,|SHE|ICN|YVR|DEN|SAF|
SAF|SJW,|SJW|DLC|ICN|YVR|DEN|SAF|
SAF|WUH,|WUH|ICN|YVR|DEN|SAF|
SAF|SZX,|SZX|PVG|YVR|DEN|SAF|
SAF|CKG,|CKG|PEK|YVR|DEN|SAF|
SAF|KMG,|KMG|PEK|YVR|DEN|SAF|
SAF|FOC,|FOC|PEK|YVR|DEN|SAF|
SAF|NNG,|NNG|PEK|YVR|DEN|SAF|
SAF|SWA,|SWA|PEK|YVR|DEN|SAF|
SAF|ACX,|ACX|CAN|YVR|DEN|SAF|
SAF|AQG,|AQG|CAN|YVR|DEN|SAF|
SAF|AVA,|AVA|CAN|YVR|DEN|SAF|
SAF|BFJ,|BFJ|CAN|YVR|DEN|SAF|
SAF|BHY,|BHY|CSX|ICN|YVR|DEN|SAF|
SAF|BNE,|BNE|CAN|YVR|DEN|SAF|
SAF|CGD,|CGD|PEK|YVR|DEN|SAF|
SAF|CGK,|CGK|CAN|YVR|DEN|SAF|
SAF|CGQ,|CGQ|ICN|YVR|DEN|SAF|
SAF|CIH,|CIH|PEK|YVR|DEN|SAF|
SAF|CNX,|CNX|CAN|YVR|DEN|SAF|
SAF|CZX,|CZX|SHE|ICN|YVR|DEN|SAF|
SAF|DAC,|DAC|CAN|YVR|DEN|SAF|
SAF|DAD,|DAD|CAN|YVR|DEN|SAF|
SAF|DEL,|DEL|EWR|DEN|SAF|
SAF|DIG,|DIG|KMG|PEK|YVR|DEN|SAF|
SAF|DLC,|DLC|ICN|YVR|DEN|SAF|
SAF|DPS,|DPS|SZX|PVG|YVR|DEN|SAF|
SAF|DXB,|DXB|IST|FRA|DEN|SAF|
SAF|DYG,|DYG|PEK|YVR|DEN|SAF|
SAF|FUG,|FUG|CAN|YVR|DEN|SAF|
SAF|FUK,|FUK|ICN|YVR|DEN|SAF|
SAF|HAK,|HAK|CAN|YVR|DEN|SAF|
SAF|HAN,|HAN|PEK|YVR|DEN|SAF|
SAF|HDG,|HDG|CAN|YVR|DEN|SAF|
SAF|HET,|HET|DLC|ICN|YVR|DEN|SAF|
SAF|HFE,|HFE|TYN|DLC|ICN|YVR|DEN|SAF|
SAF|HJJ,|HJJ|CSX|ICN|YVR|DEN|SAF|
SAF|HKT,|HKT|KWE|PEK|YVR|DEN|SAF|
SAF|HRB,|HRB|ICN|YVR|DEN|SAF|
SAF|HZH,|HZH|CAN|YVR|DEN|SAF|
SAF|JIU,|JIU|CAN|YVR|DEN|SAF|
SAF|JJN,|JJN|PEK|YVR|DEN|SAF|
SAF|JNG,|JNG|CAN|YVR|DEN|SAF|
SAF|KHN,|KHN|DLC|ICN|YVR|DEN|SAF|
SAF|KIX,|KIX|SFO|DEN|SAF|
SAF|KOW,|KOW|PEK|YVR|DEN|SAF|
SAF|KTM,|KTM|CAN|YVR|DEN|SAF|
SAF|KUL,|KUL|PVG|YVR|DEN|SAF|
SAF|KWE,|KWE|PEK|YVR|DEN|SAF|
SAF|KWL,|KWL|PEK|YVR|DEN|SAF|
SAF|LHW,|LHW|CGO|PEK|YVR|DEN|SAF|
SAF|LYA,|LYA|KHN|DLC|ICN|YVR|DEN|SAF|
SAF|LYG,|LYG|HSN|PEK|YVR|DEN|SAF|
SAF|LZH,|LZH|CAN|YVR|DEN|SAF|
SAF|MEL,|MEL|SYD|LAX|DEN|SAF|
SAF|MIG,|MIG|CSX|ICN|YVR|DEN|SAF|
SAF|MLE,|MLE|IST|FRA|DEN|SAF|
SAF|MNL,|MNL|XMN|PEK|YVR|DEN|SAF|
SAF|MXZ,|MXZ|CAN|YVR|DEN|SAF|
SAF|NAO,|NAO|PEK|YVR|DEN|SAF|
SAF|NGB,|NGB|DLC|ICN|YVR|DEN|SAF|
SAF|NKG,|NKG|DLC|ICN|YVR|DEN|SAF|
SAF|NNY,|NNY|CGO|PEK|YVR|DEN|SAF|
SAF|PEN,|PEN|CAN|YVR|DEN|SAF|
SAF|PER,|PER|CAN|YVR|DEN|SAF|
SAF|PNH,|PNH|CAN|YVR|DEN|SAF|
SAF|REP,|REP|ICN|YVR|DEN|SAF|
SAF|RGN,|RGN|CAN|YVR|DEN|SAF|
SAF|SGN,|SGN|HKG|YVR|DEN|SAF|
SAF|SHA,|SHA|PEK|YVR|DEN|SAF|
SAF|SIN,|SIN|HKG|YVR|DEN|SAF|
SAF|SVO,|SVO|URC|PEK|YVR|DEN|SAF|
SAF|SYX,|SYX|CAN|YVR|DEN|SAF|
SAF|TAO,|TAO|DLC|ICN|YVR|DEN|SAF|
SAF|TEN,|TEN|PEK|YVR|DEN|SAF|
SAF|TNA,|TNA|DLC|ICN|YVR|DEN|SAF|
SAF|TPE,|TPE|PVG|YVR|DEN|SAF|
SAF|TSN,|TSN|DLC|ICN|YVR|DEN|SAF|
SAF|TXN,|TXN|DLC|ICN|YVR|DEN|SAF|
SAF|TYN,|TYN|DLC|ICN|YVR|DEN|SAF|
SAF|WNZ,|WNZ|CGO|PEK|YVR|DEN|SAF|
SAF|WUX,|WUX|CAN|YVR|DEN|SAF|
SAF|XFN,|XFN|CAN|YVR|DEN|SAF|
SAF|XIY,|XIY|PEK|YVR|DEN|SAF|
SAF|XUZ,|XUZ|LYG|HSN|PEK|YVR|DEN|SAF|
SAF|YIH,|YIH|CKG|PEK|YVR|DEN|SAF|
SAF|YIW,|YIW|PEK|YVR|DEN|SAF|
SAF|YNT,|YNT|SHE|ICN|YVR|DEN|SAF|
SAF|YNZ,|YNZ|DLC|ICN|YVR|DEN|SAF|
SAF|YTY,|YTY|DLC|ICN|YVR|DEN|SAF|
SAF|ZHA,|ZHA|CAN|YVR|DEN|SAF|
SAF|ZYI,|ZYI|PEK|YVR|DEN|SAF|
SAF|BAV,|BAV|SJW|DLC|ICN|YVR|DEN|SAF|
SAF|CJU,|CJU|DLC|ICN|YVR|DEN|SAF|
