KBL|YQZ,|YQZ|YVR|MUC|IST|KBL|
KBL|YXC,|YXC|YYC|FRA|IST|KBL|
KBL|YXJ,|YXJ|YYC|FRA|IST|KBL|
KBL|YXS,|YXS|YYC|FRA|IST|KBL|
KBL|YXT,|YXT|YVR|MUC|IST|KBL|
KBL|YXY,|YXY|YVR|MUC|IST|KBL|
KBL|YYD,|YYD|YVR|MUC|IST|KBL|
KBL|YYF,|YYF|YVR|MUC|IST|KBL|
KBL|YZP,|YZP|YVR|MUC|IST|KBL|
KBL|YQT,|YQT|YYZ|IST|KBL|
KBL|SJD,|SJD|ORD|IST|KBL|
KBL|YQF,|YQF|YYC|FRA|IST|KBL|
KBL|YQL,|YQL|YYC|FRA|IST|KBL|
KBL|YXH,|YXH|YYC|FRA|IST|KBL|
KBL|YWK,|YWK|YYR|YYT|LHR|IST|KBL|
KBL|ANU,|ANU|EWR|BHX|IST|KBL|
KBL|AUA,|AUA|EWR|BHX|IST|KBL|
KBL|AUH,|AUH|IST|KBL|
KBL|BCN,|BCN|IST|KBL|
KBL|BDA,|BDA|EWR|BHX|IST|KBL|
KBL|BGI,|BGI|YYZ|IST|KBL|
KBL|BNA,|BNA|YYZ|IST|KBL|
KBL|BOG,|BOG|MIA|ZRH|IST|KBL|
KBL|BWI,|BWI|EWR|BHX|IST|KBL|
KBL|CLE,|CLE|YYZ|IST|KBL|
KBL|CLT,|CLT|EWR|BHX|IST|KBL|
KBL|CMH,|CMH|YYZ|IST|KBL|
KBL|CVG,|CVG|YYZ|IST|KBL|
KBL|DFW,|DFW|ORD|IST|KBL|
KBL|DTW,|DTW|FRA|IST|KBL|
KBL|DUB,|DUB|IST|KBL|
KBL|FCO,|FCO|IST|KBL|
KBL|GCM,|GCM|EWR|BHX|IST|KBL|
KBL|GGT,|GGT|FLL|MCO|FRA|IST|KBL|
KBL|GND,|GND|YYZ|IST|KBL|
KBL|GRU,|GRU|IST|KBL|
KBL|HAV,|HAV|YYZ|IST|KBL|
KBL|IND,|IND|YYZ|IST|KBL|
KBL|JFK,|JFK|IST|KBL|
KBL|KIN,|KIN|YYZ|IST|KBL|
KBL|LIM,|LIM|MIA|ZRH|IST|KBL|
KBL|LIR,|LIR|EWR|BHX|IST|KBL|
KBL|MCI,|MCI|ORD|IST|KBL|
KBL|MDT,|MDT|IAD|IST|KBL|
KBL|MIA,|MIA|ZRH|IST|KBL|
KBL|MKE,|MKE|YYZ|IST|KBL|
KBL|MSP,|MSP|YUL|FRA|IST|KBL|
KBL|NAS,|NAS|EWR|BHX|IST|KBL|
KBL|PHL,|PHL|IAD|IST|KBL|
KBL|PHX,|PHX|DEN|FRA|IST|KBL|
KBL|PIT,|PIT|YYZ|IST|KBL|
KBL|PLS,|PLS|EWR|BHX|IST|KBL|
KBL|POP,|POP|EWR|BHX|IST|KBL|
KBL|RDU,|RDU|EWR|BHX|IST|KBL|
KBL|ROC,|ROC|YYZ|IST|KBL|
KBL|RSW,|RSW|MCO|FRA|IST|KBL|
KBL|SAN,|SAN|LAX|IST|KBL|
KBL|SJO,|SJO|EWR|BHX|IST|KBL|
KBL|STL,|STL|ORD|IST|KBL|
KBL|SYR,|SYR|EWR|BHX|IST|KBL|
KBL|TLV,|TLV|IST|KBL|
KBL|TPA,|TPA|EWR|BHX|IST|KBL|
KBL|UVF,|UVF|EWR|BHX|IST|KBL|
KBL|VIE,|VIE|IST|KBL|
KBL|YAM,|YAM|YYZ|IST|KBL|
KBL|YGK,|YGK|YYZ|IST|KBL|
KBL|YQG,|YQG|YYZ|IST|KBL|
KBL|YSB,|YSB|YYZ|IST|KBL|
KBL|YTS,|YTS|YYZ|IST|KBL|
KBL|YYB,|YYB|YYZ|IST|KBL|
KBL|YZR,|YZR|YYZ|IST|KBL|
KBL|CAN,|CAN|IST|KBL|
KBL|URC,|URC|IST|KBL|
KBL|CTU,|CTU|URC|IST|KBL|
KBL|HGH,|HGH|URC|IST|KBL|
KBL|XMN,|XMN|CSX|URC|IST|KBL|
KBL|CGO,|CGO|URC|IST|KBL|
KBL|CSX,|CSX|URC|IST|KBL|
KBL|SHE,|SHE|PEK|IST|KBL|
KBL|SJW,|SJW|URC|IST|KBL|
KBL|WUH,|WUH|URC|IST|KBL|
KBL|SZX,|SZX|CKG|URC|IST|KBL|
KBL|CKG,|CKG|URC|IST|KBL|
KBL|KMG,|KMG|CTU|URC|IST|KBL|
KBL|FOC,|FOC|XIY|URC|IST|KBL|
KBL|NNG,|NNG|KWE|URC|IST|KBL|
KBL|SWA,|SWA|CAN|IST|KBL|
KBL|ACX,|ACX|CAN|IST|KBL|
KBL|AQG,|AQG|CAN|IST|KBL|
KBL|AVA,|AVA|CAN|IST|KBL|
KBL|BFJ,|BFJ|CAN|IST|KBL|
KBL|BHY,|BHY|CKG|URC|IST|KBL|
KBL|BNE,|BNE|BKK|IST|KBL|
KBL|CGD,|CGD|PEK|IST|KBL|
KBL|CGK,|CGK|SIN|IST|KBL|
KBL|CGQ,|CGQ|HET|URC|IST|KBL|
KBL|CIH,|CIH|PEK|IST|KBL|
KBL|CNX,|CNX|CAN|IST|KBL|
KBL|CZX,|CZX|TYN|URC|IST|KBL|
KBL|DAC,|DAC|IST|KBL|
KBL|DAD,|DAD|CAN|IST|KBL|
KBL|DEL,|DEL|IST|KBL|
KBL|DIG,|DIG|KMG|CTU|URC|IST|KBL|
KBL|DLC,|DLC|PEK|IST|KBL|
KBL|DPS,|DPS|CAN|IST|KBL|
KBL|DXB,|DXB|IST|KBL|
KBL|DYG,|DYG|CSX|URC|IST|KBL|
KBL|FUG,|FUG|CAN|IST|KBL|
KBL|FUK,|FUK|ICN|IST|KBL|
KBL|HAK,|HAK|CTU|URC|IST|KBL|
KBL|HAN,|HAN|CAN|IST|KBL|
KBL|HDG,|HDG|CAN|IST|KBL|
KBL|HET,|HET|URC|IST|KBL|
KBL|HFE,|HFE|XIY|URC|IST|KBL|
KBL|HJJ,|HJJ|CSX|URC|IST|KBL|
KBL|HKT,|HKT|KWE|URC|IST|KBL|
KBL|HRB,|HRB|PEK|IST|KBL|
KBL|HZH,|HZH|CAN|IST|KBL|
KBL|JIU,|JIU|CAN|IST|KBL|
KBL|JJN,|JJN|CSX|URC|IST|KBL|
KBL|JNG,|JNG|CAN|IST|KBL|
KBL|KHN,|KHN|XIY|URC|IST|KBL|
KBL|KIX,|KIX|IST|KBL|
KBL|KOW,|KOW|CAN|IST|KBL|
KBL|KTM,|KTM|IST|KBL|
KBL|KUL,|KUL|IST|KBL|
KBL|KWE,|KWE|URC|IST|KBL|
KBL|KWL,|KWL|CKG|URC|IST|KBL|
KBL|LHW,|LHW|URC|IST|KBL|
KBL|LYA,|LYA|KHN|XIY|URC|IST|KBL|
KBL|LYG,|LYG|XUZ|INC|URC|IST|KBL|
KBL|LZH,|LZH|CAN|IST|KBL|
KBL|MEL,|MEL|BKK|IST|KBL|
KBL|MIG,|MIG|CSX|URC|IST|KBL|
KBL|MLE,|MLE|IST|KBL|
KBL|MNL,|MNL|CAN|IST|KBL|
KBL|MXZ,|MXZ|CAN|IST|KBL|
KBL|NAO,|NAO|PEK|IST|KBL|
KBL|NGB,|NGB|WUH|URC|IST|KBL|
KBL|NKG,|NKG|URC|IST|KBL|
KBL|NNY,|NNY|CGO|URC|IST|KBL|
KBL|PEN,|PEN|CAN|IST|KBL|
KBL|PER,|PER|BKK|IST|KBL|
KBL|PNH,|PNH|CAN|IST|KBL|
KBL|REP,|REP|CAN|IST|KBL|
KBL|RGN,|RGN|CAN|IST|KBL|
KBL|SGN,|SGN|BKK|IST|KBL|
KBL|SHA,|SHA|URC|IST|KBL|
KBL|SIN,|SIN|IST|KBL|
KBL|SVO,|SVO|URC|IST|KBL|
KBL|SYX,|SYX|CKG|URC|IST|KBL|
KBL|TAO,|TAO|TYN|URC|IST|KBL|
KBL|TEN,|TEN|CAN|IST|KBL|
KBL|TNA,|TNA|URC|IST|KBL|
KBL|TPE,|TPE|URC|IST|KBL|
KBL|TSN,|TSN|HET|URC|IST|KBL|
KBL|TXN,|TXN|TYN|URC|IST|KBL|
KBL|TYN,|TYN|URC|IST|KBL|
KBL|WNZ,|WNZ|XIY|URC|IST|KBL|
KBL|WUX,|WUX|CAN|IST|KBL|
KBL|XFN,|XFN|CAN|IST|KBL|
KBL|XIY,|XIY|URC|IST|KBL|
KBL|XUZ,|XUZ|INC|URC|IST|KBL|
KBL|YIH,|YIH|CKG|URC|IST|KBL|
KBL|YIW,|YIW|URC|IST|KBL|
KBL|YNT,|YNT|SHE|PEK|IST|KBL|
KBL|YNZ,|YNZ|WUH|URC|IST|KBL|
KBL|YTY,|YTY|CGO|URC|IST|KBL|
KBL|ZHA,|ZHA|CAN|IST|KBL|
KBL|ZYI,|ZYI|CAN|IST|KBL|
KBL|BAV,|BAV|URC|IST|KBL|
KBL|CJU,|CJU|DLC|PEK|IST|KBL|
KBL|DSN,|DSN|CGO|URC|IST|KBL|
KBL|HMI,|HMI|URC|IST|KBL|
KBL|INC,|INC|URC|IST|KBL|
KBL|KHH,|KHH|WUH|URC|IST|KBL|
KBL|UYN,|UYN|XIY|URC|IST|KBL|
KBL|XNN,|XNN|URC|IST|KBL|
KBL|ZUH,|ZUH|KWE|URC|IST|KBL|
KBL|YNJ,|YNJ|PEK|IST|KBL|
KBL|DAT,|DAT|TYN|URC|IST|KBL|
KBL|JHG,|JHG|KMG|CTU|URC|IST|KBL|
KBL|LJG,|LJG|KMG|CTU|URC|IST|KBL|
KBL|LXA,|LXA|CKG|URC|IST|KBL|
KBL|YCU,|YCU|CKG|URC|IST|KBL|
KBL|LZO,|LZO|CSX|URC|IST|KBL|
KBL|MDG,|MDG|DLC|PEK|IST|KBL|
KBL|NGO,|NGO|ICN|IST|KBL|
KBL|TOY,|TOY|DLC|PEK|IST|KBL|
KBL|MFM,|MFM|XMN|CSX|URC|IST|KBL|
KBL|TGO,|TGO|HET|URC|IST|KBL|
KBL|XIL,|XIL|HET|URC|IST|KBL|
KBL|HEK,|HEK|HRB|PEK|IST|KBL|
KBL|KIJ,|KIJ|HRB|PEK|IST|KBL|
KBL|LDS,|LDS|HRB|PEK|IST|KBL|
KBL|OHE,|OHE|HRB|PEK|IST|KBL|
KBL|HSN,|HSN|LYG|XUZ|INC|URC|IST|KBL|
KBL|DLU,|DLU|KMG|CTU|URC|IST|KBL|
KBL|SYM,|SYM|KMG|CTU|URC|IST|KBL|
KBL|ZAT,|ZAT|KMG|CTU|URC|IST|KBL|
KBL|LUN,|LUN|NBO|IST|KBL|
KBL|AOG,|AOG|PEK|IST|KBL|
KBL|GMP,|GMP|PEK|IST|KBL|
KBL|ISB,|ISB|IST|KBL|
KBL|TAS,|TAS|IST|KBL|
KBL|WUS,|WUS|PEK|IST|KBL|
KBL|JMU,|JMU|PVG|IST|KBL|
KBL|NDG,|NDG|PVG|IST|KBL|
KBL|JXA,|JXA|SHE|PEK|IST|KBL|
KBL|PUS,|PUS|SHE|PEK|IST|KBL|
KBL|BKI,|BKI|SZX|CKG|URC|IST|KBL|
KBL|AKU,|AKU|URC|IST|KBL|
KBL|ALA,|ALA|IST|KBL|
KBL|ASB,|ASB|IST|KBL|
KBL|DNH,|DNH|URC|IST|KBL|
KBL|DYU,|DYU|IST|KBL|
KBL|FRU,|FRU|IST|KBL|
KBL|GYD,|GYD|IST|KBL|
KBL|HTN,|HTN|URC|IST|KBL|
KBL|IKA,|IKA|IST|KBL|
KBL|KCA,|KCA|URC|IST|KBL|
KBL|KHG,|KHG|URC|IST|KBL|
KBL|KRL,|KRL|URC|IST|KBL|
KBL|KRY,|KRY|URC|IST|KBL|
KBL|LBD,|LBD|URC|IST|KBL|
KBL|NLT,|NLT|URC|IST|KBL|
KBL|OSS,|OSS|IST|KBL|
KBL|OVB,|OVB|IST|KBL|
KBL|TBS,|TBS|IST|KBL|
KBL|TCG,|TCG|URC|IST|KBL|
KBL|TSE,|TSE|IST|KBL|
KBL|YIN,|YIN|URC|IST|KBL|
KBL|ENH,|ENH|WUH|URC|IST|KBL|
KBL|ENY,|ENY|XIY|URC|IST|KBL|
KBL|WXN,|WXN|XIY|URC|IST|KBL|
KBL|BLL,|BLL|IST|KBL|
KBL|ESB,|ESB|IST|KBL|
KBL|SAW,|SAW|ADB|IST|KBL|
KBL|HAM,|HAM|IST|KBL|
KBL|HRE,|HRE|ADD|IST|KBL|
KBL|JUB,|JUB|CAI|IST|KBL|
KBL|SSG,|SSG|DLA|IST|KBL|
KBL|BGW,|BGW|IST|KBL|
KBL|EBL,|EBL|IST|KBL|
KBL|VKO,|VKO|IST|KBL|
KBL|MCT,|MCT|IST|KBL|
KBL|AYT,|AYT|IST|KBL|
KBL|SCQ,|SCQ|BIO|IST|KBL|
KBL|AAL,|AAL|IST|KBL|
KBL|AOE,|AOE|BRU|IST|KBL|
KBL|JNB,|JNB|IST|KBL|
KBL|LBV,|LBV|DLA|IST|KBL|
KBL|ADA,|ADA|IST|KBL|
KBL|ADB,|ADB|IST|KBL|
KBL|ADF,|ADF|IST|KBL|
KBL|AJI,|AJI|IST|KBL|
KBL|BAL,|BAL|IST|KBL|
KBL|BJV,|BJV|IST|KBL|
KBL|CKZ,|CKZ|ESB|IST|KBL|
KBL|DIY,|DIY|IST|KBL|
KBL|ECN,|ECN|IST|KBL|
KBL|ERC,|ERC|IST|KBL|
KBL|ERZ,|ERZ|IST|KBL|
KBL|EZS,|EZS|IST|KBL|
KBL|GNY,|GNY|IST|KBL|
KBL|GZP,|GZP|ESB|IST|KBL|
KBL|GZT,|GZT|IST|KBL|
KBL|HTY,|HTY|IST|KBL|
KBL|KCM,|KCM|IST|KBL|
KBL|KSY,|KSY|IST|KBL|
KBL|MLX,|MLX|IST|KBL|
KBL|MQM,|MQM|IST|KBL|
KBL|MSR,|MSR|IST|KBL|
KBL|TEQ,|TEQ|ESB|IST|KBL|
KBL|TZX,|TZX|IST|KBL|
KBL|VAN,|VAN|IST|KBL|
KBL|ULN,|ULN|FRU|IST|KBL|
KBL|HIJ,|HIJ|ICN|IST|KBL|
KBL|VVO,|VVO|ICN|IST|KBL|
KBL|ACC,|ACC|IST|KBL|
KBL|AER,|AER|IST|KBL|
KBL|AGP,|AGP|IST|KBL|
KBL|ALG,|ALG|IST|KBL|
KBL|AMM,|AMM|IST|KBL|
KBL|AQJ,|AQJ|IST|KBL|
KBL|ARN,|ARN|IST|KBL|
KBL|ASR,|ASR|IST|KBL|
KBL|ATH,|ATH|IST|KBL|
KBL|BAH,|BAH|IST|KBL|
KBL|BEG,|BEG|IST|KBL|
KBL|BEN,|BEN|IST|KBL|
KBL|BEY,|BEY|IST|KBL|
KBL|BHX,|BHX|IST|KBL|
KBL|BIO,|BIO|IST|KBL|
KBL|BLQ,|BLQ|IST|KBL|
KBL|BOM,|BOM|IST|KBL|
KBL|BRE,|BRE|IST|KBL|
KBL|BSL,|BSL|IST|KBL|
KBL|BSR,|BSR|IST|KBL|
KBL|BUD,|BUD|IST|KBL|
KBL|BUS,|BUS|IST|KBL|
KBL|CAI,|CAI|IST|KBL|
KBL|CGN,|CGN|IST|KBL|
KBL|CMN,|CMN|IST|KBL|
KBL|CND,|CND|IST|KBL|
KBL|DAR,|DAR|IST|KBL|
KBL|DLM,|DLM|IST|KBL|
KBL|DMM,|DMM|IST|KBL|
KBL|DNK,|DNK|IST|KBL|
KBL|DNZ,|DNZ|IST|KBL|
KBL|DOK,|DOK|IST|KBL|
KBL|DUS,|DUS|IST|KBL|
KBL|EDI,|EDI|IST|KBL|
KBL|ELQ,|ELQ|IST|KBL|
KBL|FDH,|FDH|IST|KBL|
KBL|GOA,|GOA|IST|KBL|
KBL|GOT,|GOT|IST|KBL|
KBL|HAJ,|HAJ|IST|KBL|
KBL|HBE,|HBE|IST|KBL|
KBL|HEL,|HEL|IST|KBL|
