NAP|YZP,|YZP|YVR|FRA|NAP|
NAP|YQT,|YQT|YYZ|FRA|NAP|
NAP|SJD,|SJD|ORD|FRA|NAP|
NAP|YQF,|YQF|YYC|FRA|NAP|
NAP|YQL,|YQL|YYC|FRA|NAP|
NAP|YXH,|YXH|YYC|FRA|NAP|
NAP|YWK,|YWK|YZV|YUL|FRA|NAP|
NAP|ANU,|ANU|EWR|FRA|NAP|
NAP|AUA,|AUA|EWR|FRA|NAP|
NAP|AUH,|AUH|IST|NAP|
NAP|BCN,|BCN|IST|NAP|
NAP|BDA,|BDA|EWR|FRA|NAP|
NAP|BGI,|BGI|YYZ|FRA|NAP|
NAP|BNA,|BNA|YYZ|FRA|NAP|
NAP|BOG,|BOG|JFK|FRA|NAP|
NAP|BWI,|BWI|EWR|FRA|NAP|
NAP|CLE,|CLE|YYZ|FRA|NAP|
NAP|CLT,|CLT|EWR|FRA|NAP|
NAP|CMH,|CMH|YYZ|FRA|NAP|
NAP|CVG,|CVG|YYZ|FRA|NAP|
NAP|DFW,|DFW|FRA|NAP|
NAP|DTW,|DTW|FRA|NAP|
NAP|DUB,|DUB|IST|NAP|
NAP|FCO,|FCO|IST|NAP|
NAP|GCM,|GCM|EWR|FRA|NAP|
NAP|GGT,|GGT|FLL|MCO|FRA|NAP|
NAP|GND,|GND|YYZ|FRA|NAP|
NAP|GRU,|GRU|IST|NAP|
NAP|HAV,|HAV|YYZ|FRA|NAP|
NAP|IND,|IND|YYZ|FRA|NAP|
NAP|JFK,|JFK|FRA|NAP|
NAP|KIN,|KIN|YYZ|FRA|NAP|
NAP|LIM,|LIM|MIA|FRA|NAP|
NAP|LIR,|LIR|EWR|FRA|NAP|
NAP|MCI,|MCI|ORD|FRA|NAP|
NAP|MDT,|MDT|IAD|FRA|NAP|
NAP|MIA,|MIA|FRA|NAP|
NAP|MKE,|MKE|YYZ|FRA|NAP|
NAP|MSP,|MSP|YUL|FRA|NAP|
NAP|NAS,|NAS|EWR|FRA|NAP|
NAP|PHL,|PHL|IAD|FRA|NAP|
NAP|PHX,|PHX|DEN|FRA|NAP|
NAP|PIT,|PIT|YYZ|FRA|NAP|
NAP|PLS,|PLS|EWR|FRA|NAP|
NAP|POP,|POP|EWR|FRA|NAP|
NAP|RDU,|RDU|EWR|FRA|NAP|
NAP|ROC,|ROC|YYZ|FRA|NAP|
NAP|RSW,|RSW|MCO|FRA|NAP|
NAP|SAN,|SAN|DEN|FRA|NAP|
NAP|SJO,|SJO|EWR|FRA|NAP|
NAP|STL,|STL|DTW|FRA|NAP|
NAP|SYR,|SYR|EWR|FRA|NAP|
NAP|TLV,|TLV|IST|NAP|
NAP|TPA,|TPA|EWR|FRA|NAP|
NAP|UVF,|UVF|EWR|FRA|NAP|
NAP|VIE,|VIE|IST|NAP|
NAP|YAM,|YAM|YYZ|FRA|NAP|
NAP|YGK,|YGK|YYZ|FRA|NAP|
NAP|YQG,|YQG|YYZ|FRA|NAP|
