NNY|ZSA,|ZSA|YUL|YYZ|PEK|CGO|NNY|
NNY|AKL,|AKL|CAN|NNY|
NNY|HKG,|HKG|CAN|NNY|
NNY|HND,|HND|HNL|NRT|ICN|CGO|NNY|
NNY|HNL,|HNL|NRT|ICN|CGO|NNY|
NNY|MEX,|MEX|YVR|PEK|CGO|NNY|
NNY|OGG,|OGG|HNL|NRT|ICN|CGO|NNY|
NNY|PDX,|PDX|SEA|PEK|CGO|NNY|
NNY|PEK,|PEK|CGO|NNY|
NNY|PVG,|PVG|CGO|NNY|
NNY|PVR,|PVR|SFO|PEK|CGO|NNY|
NNY|SEA,|SEA|PEK|CGO|NNY|
NNY|SYD,|SYD|CAN|NNY|
NNY|YBL,|YBL|YVR|PEK|CGO|NNY|
NNY|YCD,|YCD|YVR|PEK|CGO|NNY|
NNY|YCG,|YCG|YVR|PEK|CGO|NNY|
NNY|YKA,|YKA|YVR|PEK|CGO|NNY|
NNY|YPR,|YPR|YVR|PEK|CGO|NNY|
NNY|YQZ,|YQZ|YVR|PEK|CGO|NNY|
NNY|YXC,|YXC|YVR|PEK|CGO|NNY|
NNY|YXJ,|YXJ|YVR|PEK|CGO|NNY|
NNY|YXS,|YXS|YVR|PEK|CGO|NNY|
NNY|YXT,|YXT|YVR|PEK|CGO|NNY|
NNY|YXY,|YXY|YVR|PEK|CGO|NNY|
NNY|YYD,|YYD|YVR|PEK|CGO|NNY|
NNY|YYF,|YYF|YVR|PEK|CGO|NNY|
NNY|YZP,|YZP|YVR|PEK|CGO|NNY|
NNY|YQT,|YQT|YWG|YVR|PEK|CGO|NNY|
NNY|SJD,|SJD|SFO|PEK|CGO|NNY|
NNY|YQF,|YQF|YYC|YVR|PEK|CGO|NNY|
NNY|YQL,|YQL|YYC|YVR|PEK|CGO|NNY|
NNY|YXH,|YXH|YYC|YVR|PEK|CGO|NNY|
NNY|YWK,|YWK|YZV|YQB|YYZ|PEK|CGO|NNY|
NNY|ANU,|ANU|EWR|PEK|CGO|NNY|
NNY|AUA,|AUA|EWR|PEK|CGO|NNY|
NNY|AUH,|AUH|IST|URC|CGO|NNY|
NNY|BCN,|BCN|IST|URC|CGO|NNY|
NNY|BDA,|BDA|EWR|PEK|CGO|NNY|
NNY|BGI,|BGI|YYZ|PEK|CGO|NNY|
NNY|BNA,|BNA|ORD|PEK|CGO|NNY|
NNY|BOG,|BOG|MIA|ORD|PEK|CGO|NNY|
NNY|BWI,|BWI|YYZ|PEK|CGO|NNY|
NNY|CLE,|CLE|YYZ|PEK|CGO|NNY|
NNY|CLT,|CLT|YYZ|PEK|CGO|NNY|
NNY|CMH,|CMH|ORD|PEK|CGO|NNY|
NNY|CVG,|CVG|ORD|PEK|CGO|NNY|
NNY|DFW,|DFW|YVR|PEK|CGO|NNY|
NNY|DTW,|DTW|PEK|CGO|NNY|
NNY|DUB,|DUB|IST|URC|CGO|NNY|
NNY|FCO,|FCO|IST|URC|CGO|NNY|
NNY|GCM,|GCM|YYZ|PEK|CGO|NNY|
NNY|GGT,|GGT|YYZ|PEK|CGO|NNY|
NNY|GND,|GND|YYZ|PEK|CGO|NNY|
NNY|GRU,|GRU|IST|URC|CGO|NNY|
NNY|HAV,|HAV|YYZ|PEK|CGO|NNY|
NNY|IND,|IND|ORD|PEK|CGO|NNY|
NNY|JFK,|JFK|PEK|CGO|NNY|
NNY|KIN,|KIN|YYZ|PEK|CGO|NNY|
NNY|LIM,|LIM|IAH|PEK|CGO|NNY|
NNY|LIR,|LIR|IAH|PEK|CGO|NNY|
NNY|MCI,|MCI|DEN|YVR|PEK|CGO|NNY|
NNY|MDT,|MDT|YYZ|PEK|CGO|NNY|
NNY|MIA,|MIA|ORD|PEK|CGO|NNY|
NNY|MKE,|MKE|ORD|PEK|CGO|NNY|
NNY|MSP,|MSP|ORD|PEK|CGO|NNY|
NNY|NAS,|NAS|YYZ|PEK|CGO|NNY|
NNY|PHL,|PHL|YYZ|PEK|CGO|NNY|
NNY|PHX,|PHX|SEA|PEK|CGO|NNY|
NNY|PIT,|PIT|YYZ|PEK|CGO|NNY|
NNY|PLS,|PLS|EWR|PEK|CGO|NNY|
NNY|POP,|POP|EWR|PEK|CGO|NNY|
NNY|RDU,|RDU|YYZ|PEK|CGO|NNY|
NNY|ROC,|ROC|YYZ|PEK|CGO|NNY|
NNY|RSW,|RSW|ORD|PEK|CGO|NNY|
NNY|SAN,|SAN|LAX|PEK|CGO|NNY|
NNY|SJO,|SJO|IAH|PEK|CGO|NNY|
NNY|STL,|STL|ORD|PEK|CGO|NNY|
NNY|SYR,|SYR|YYZ|PEK|CGO|NNY|
NNY|TLV,|TLV|SAW|TBS|URC|CGO|NNY|
NNY|TPA,|TPA|ORD|PEK|CGO|NNY|
NNY|UVF,|UVF|EWR|PEK|CGO|NNY|
NNY|VIE,|VIE|IST|URC|CGO|NNY|
NNY|YAM,|YAM|YYZ|PEK|CGO|NNY|
NNY|YGK,|YGK|YYZ|PEK|CGO|NNY|
NNY|YQG,|YQG|YYZ|PEK|CGO|NNY|
NNY|YSB,|YSB|YYZ|PEK|CGO|NNY|
NNY|YTS,|YTS|YYZ|PEK|CGO|NNY|
NNY|YYB,|YYB|YYZ|PEK|CGO|NNY|
NNY|YZR,|YZR|YYZ|PEK|CGO|NNY|
