PHL|YZP,|YZP|YVR|YYZ|PHL|
PHL|YQT,|YQT|YYZ|PHL|
PHL|SJD,|SJD|IAH|PHL|
PHL|YQF,|YQF|YYC|YYZ|PHL|
PHL|YQL,|YQL|YYC|YYZ|PHL|
PHL|YXH,|YXH|YYC|YYZ|PHL|
PHL|YWK,|YWK|YZV|YUL|IAD|PHL|
PHL|ANU,|ANU|EWR|IAD|PHL|
PHL|AUA,|AUA|IAD|PHL|
PHL|AUH,|AUH|FRA|IAD|PHL|
PHL|BCN,|BCN|EWR|IAD|PHL|
PHL|BDA,|BDA|EWR|IAD|PHL|
PHL|BGI,|BGI|YYZ|PHL|
PHL|BNA,|BNA|PHL|
PHL|BOG,|BOG|IAD|PHL|
PHL|BWI,|BWI|ORF|IAD|PHL|
PHL|CLE,|CLE|IAD|PHL|
PHL|CLT,|CLT|IAD|PHL|
PHL|CMH,|CMH|IAD|PHL|
PHL|CVG,|CVG|IAD|PHL|
PHL|DFW,|DFW|IAD|PHL|
PHL|DTW,|DTW|IAD|PHL|
PHL|DUB,|DUB|IAD|PHL|
PHL|FCO,|FCO|IAD|PHL|
PHL|GCM,|GCM|IAD|PHL|
PHL|GGT,|GGT|FLL|PHL|
PHL|GND,|GND|YYZ|PHL|
PHL|GRU,|GRU|IAD|PHL|
PHL|HAV,|HAV|YYZ|PHL|
PHL|IND,|IND|IAD|PHL|
PHL|JFK,|JFK|IAD|PHL|
PHL|KIN,|KIN|YYZ|PHL|
PHL|LIM,|LIM|MIA|IAD|PHL|
PHL|LIR,|LIR|EWR|IAD|PHL|
PHL|MCI,|MCI|STL|PHL|
PHL|MDT,|MDT|IAD|PHL|
PHL|MIA,|MIA|IAD|PHL|
PHL|MKE,|MKE|ORD|PHL|
PHL|MSP,|MSP|ORD|PHL|
PHL|NAS,|NAS|ATL|PHL|
PHL|PHX,|PHX|STL|PHL|
PHL|PIT,|PIT|IAD|PHL|
PHL|PLS,|PLS|EWR|IAD|PHL|
PHL|POP,|POP|EWR|IAD|PHL|
PHL|RDU,|RDU|IAD|PHL|
PHL|ROC,|ROC|IAD|PHL|
PHL|RSW,|RSW|PHL|
PHL|SAN,|SAN|STL|PHL|
PHL|SJO,|SJO|IAD|PHL|
PHL|STL,|STL|PHL|
