FNA|HND,|HND|YVR|YUL|BRU|ROB|FNA|
FNA|HNL,|HNL|SFO|YUL|BRU|ROB|FNA|
FNA|MEX,|MEX|IAD|BRU|ROB|FNA|
FNA|OGG,|OGG|SFO|YUL|BRU|ROB|FNA|
FNA|PDX,|PDX|YYC|YUL|BRU|ROB|FNA|
FNA|PEK,|PEK|IST|BRU|ROB|FNA|
FNA|PVG,|PVG|IST|BRU|ROB|FNA|
FNA|PVR,|PVR|IAH|YUL|BRU|ROB|FNA|
FNA|SEA,|SEA|YYZ|BRU|ROB|FNA|
FNA|SYD,|SYD|BKK|IST|BRU|ROB|FNA|
FNA|YBL,|YBL|YVR|YUL|BRU|ROB|FNA|
FNA|YCD,|YCD|YVR|YUL|BRU|ROB|FNA|
FNA|YCG,|YCG|YYC|YUL|BRU|ROB|FNA|
FNA|YKA,|YKA|YYC|YUL|BRU|ROB|FNA|
FNA|YPR,|YPR|YVR|YUL|BRU|ROB|FNA|
FNA|YQZ,|YQZ|YVR|YUL|BRU|ROB|FNA|
FNA|YXC,|YXC|YYC|YUL|BRU|ROB|FNA|
FNA|YXJ,|YXJ|YYC|YUL|BRU|ROB|FNA|
FNA|YXS,|YXS|YYC|YUL|BRU|ROB|FNA|
FNA|YXT,|YXT|YVR|YUL|BRU|ROB|FNA|
FNA|YXY,|YXY|YVR|YUL|BRU|ROB|FNA|
FNA|YYD,|YYD|YVR|YUL|BRU|ROB|FNA|
FNA|YYF,|YYF|YVR|YUL|BRU|ROB|FNA|
FNA|YZP,|YZP|YVR|YUL|BRU|ROB|FNA|
FNA|YQT,|YQT|YYZ|BRU|ROB|FNA|
FNA|SJD,|SJD|ORD|BRU|ROB|FNA|
FNA|YQF,|YQF|YYC|YUL|BRU|ROB|FNA|
FNA|YQL,|YQL|YYC|YUL|BRU|ROB|FNA|
FNA|YXH,|YXH|YYC|YUL|BRU|ROB|FNA|
FNA|YWK,|YWK|YZV|YUL|BRU|ROB|FNA|
FNA|ANU,|ANU|EWR|BRU|ROB|FNA|
FNA|AUA,|AUA|EWR|BRU|ROB|FNA|
FNA|AUH,|AUH|IST|BRU|ROB|FNA|
FNA|BCN,|BCN|IST|BRU|ROB|FNA|
FNA|BDA,|BDA|EWR|BRU|ROB|FNA|
FNA|BGI,|BGI|YYZ|BRU|ROB|FNA|
FNA|BNA,|BNA|YYZ|BRU|ROB|FNA|
FNA|BOG,|BOG|JFK|BRU|ROB|FNA|
FNA|BWI,|BWI|EWR|BRU|ROB|FNA|
FNA|CLE,|CLE|YYZ|BRU|ROB|FNA|
FNA|CLT,|CLT|EWR|BRU|ROB|FNA|
FNA|CMH,|CMH|YYZ|BRU|ROB|FNA|
FNA|CVG,|CVG|YYZ|BRU|ROB|FNA|
FNA|DFW,|DFW|ORD|BRU|ROB|FNA|
FNA|DTW,|DTW|YYZ|BRU|ROB|FNA|
FNA|DUB,|DUB|IST|BRU|ROB|FNA|
FNA|FCO,|FCO|IST|BRU|ROB|FNA|
FNA|GCM,|GCM|EWR|BRU|ROB|FNA|
FNA|GGT,|GGT|FLL|EWR|BRU|ROB|FNA|
FNA|GND,|GND|YYZ|BRU|ROB|FNA|
FNA|GRU,|GRU|IST|BRU|ROB|FNA|
FNA|HAV,|HAV|YYZ|BRU|ROB|FNA|
FNA|IND,|IND|YYZ|BRU|ROB|FNA|
FNA|JFK,|JFK|BRU|ROB|FNA|
FNA|KIN,|KIN|YYZ|BRU|ROB|FNA|
FNA|LIM,|LIM|EWR|BRU|ROB|FNA|
FNA|LIR,|LIR|EWR|BRU|ROB|FNA|
FNA|MCI,|MCI|ORD|BRU|ROB|FNA|
FNA|MDT,|MDT|IAD|BRU|ROB|FNA|
FNA|MIA,|MIA|EWR|BRU|ROB|FNA|
FNA|MKE,|MKE|YYZ|BRU|ROB|FNA|
FNA|MSP,|MSP|YUL|BRU|ROB|FNA|
FNA|NAS,|NAS|EWR|BRU|ROB|FNA|
FNA|PHL,|PHL|IAD|BRU|ROB|FNA|
FNA|PHX,|PHX|ORD|BRU|ROB|FNA|
FNA|PIT,|PIT|YYZ|BRU|ROB|FNA|
FNA|PLS,|PLS|EWR|BRU|ROB|FNA|
FNA|POP,|POP|EWR|BRU|ROB|FNA|
FNA|RDU,|RDU|EWR|BRU|ROB|FNA|
FNA|ROC,|ROC|YYZ|BRU|ROB|FNA|
FNA|RSW,|RSW|EWR|BRU|ROB|FNA|
FNA|SAN,|SAN|ORD|BRU|ROB|FNA|
FNA|SJO,|SJO|EWR|BRU|ROB|FNA|
FNA|STL,|STL|ORD|BRU|ROB|FNA|
FNA|SYR,|SYR|EWR|BRU|ROB|FNA|
FNA|TLV,|TLV|IST|BRU|ROB|FNA|
FNA|TPA,|TPA|EWR|BRU|ROB|FNA|
FNA|UVF,|UVF|EWR|BRU|ROB|FNA|
FNA|VIE,|VIE|IST|BRU|ROB|FNA|
FNA|YAM,|YAM|YYZ|BRU|ROB|FNA|
FNA|YGK,|YGK|YYZ|BRU|ROB|FNA|
FNA|YQG,|YQG|YYZ|BRU|ROB|FNA|
FNA|YSB,|YSB|YYZ|BRU|ROB|FNA|
FNA|YTS,|YTS|YYZ|BRU|ROB|FNA|
FNA|YYB,|YYB|YYZ|BRU|ROB|FNA|
FNA|YZR,|YZR|YYZ|BRU|ROB|FNA|
FNA|CAN,|CAN|IST|BRU|ROB|FNA|
FNA|URC,|URC|IST|BRU|ROB|FNA|
FNA|CTU,|CTU|URC|IST|BRU|ROB|FNA|
FNA|HGH,|HGH|URC|IST|BRU|ROB|FNA|
FNA|XMN,|XMN|CSX|URC|IST|BRU|ROB|FNA|
FNA|CGO,|CGO|URC|IST|BRU|ROB|FNA|
FNA|CSX,|CSX|URC|IST|BRU|ROB|FNA|
FNA|SHE,|SHE|PEK|IST|BRU|ROB|FNA|
FNA|SJW,|SJW|URC|IST|BRU|ROB|FNA|
FNA|WUH,|WUH|URC|IST|BRU|ROB|FNA|
FNA|SZX,|SZX|CKG|URC|IST|BRU|ROB|FNA|
FNA|CKG,|CKG|URC|IST|BRU|ROB|FNA|
FNA|KMG,|KMG|CTU|URC|IST|BRU|ROB|FNA|
