MLI|YYF,|YYF|YVR|DEN|MLI|
MLI|YZP,|YZP|YVR|DEN|MLI|
MLI|YQT,|YQT|YYZ|ORD|MLI|
MLI|SJD,|SJD|DEN|MLI|
MLI|YQF,|YQF|YYC|ORD|MLI|
MLI|YQL,|YQL|YYC|ORD|MLI|
MLI|YXH,|YXH|YYC|ORD|MLI|
MLI|YWK,|YWK|YZV|YQB|ORD|MLI|
MLI|ANU,|ANU|EWR|ORD|MLI|
MLI|AUA,|AUA|ATL|ORD|MLI|
MLI|AUH,|AUH|YYZ|ORD|MLI|
MLI|BCN,|BCN|YYZ|ORD|MLI|
MLI|BDA,|BDA|EWR|ORD|MLI|
MLI|BGI,|BGI|YYZ|ORD|MLI|
MLI|BNA,|BNA|ORD|MLI|
MLI|BOG,|BOG|MIA|ORD|MLI|
MLI|BWI,|BWI|ORD|MLI|
MLI|CLE,|CLE|ORD|MLI|
MLI|CLT,|CLT|ORD|MLI|
MLI|CMH,|CMH|ORD|MLI|
MLI|CVG,|CVG|ORD|MLI|
MLI|DFW,|DFW|ORD|MLI|
MLI|DTW,|DTW|ORD|MLI|
MLI|DUB,|DUB|ORD|MLI|
MLI|FCO,|FCO|YYZ|ORD|MLI|
MLI|GCM,|GCM|IAD|ORD|MLI|
MLI|GGT,|GGT|FLL|ORD|MLI|
MLI|GND,|GND|YYZ|ORD|MLI|
MLI|GRU,|GRU|ORD|MLI|
MLI|HAV,|HAV|YYZ|ORD|MLI|
MLI|IND,|IND|ORD|MLI|
MLI|JFK,|JFK|YYZ|ORD|MLI|
MLI|KIN,|KIN|YYZ|ORD|MLI|
MLI|LIM,|LIM|MIA|ORD|MLI|
MLI|LIR,|LIR|IAH|ORD|MLI|
MLI|MCI,|MCI|ORD|MLI|
MLI|MDT,|MDT|ORD|MLI|
MLI|MIA,|MIA|ORD|MLI|
MLI|MKE,|MKE|ORD|MLI|
MLI|MSP,|MSP|ORD|MLI|
MLI|NAS,|NAS|ORD|MLI|
MLI|PHL,|PHL|ORD|MLI|
MLI|PHX,|PHX|DEN|MLI|
MLI|PIT,|PIT|ORD|MLI|
MLI|PLS,|PLS|YYZ|ORD|MLI|
MLI|POP,|POP|YYZ|ORD|MLI|
MLI|RDU,|RDU|ORD|MLI|
MLI|ROC,|ROC|ORD|MLI|
MLI|RSW,|RSW|ORD|MLI|
MLI|SAN,|SAN|DEN|MLI|
MLI|SJO,|SJO|ORD|MLI|
MLI|STL,|STL|ORD|MLI|
MLI|SYR,|SYR|ORD|MLI|
MLI|TLV,|TLV|IST|ORD|MLI|
MLI|TPA,|TPA|ORD|MLI|
MLI|UVF,|UVF|EWR|ORD|MLI|
MLI|VIE,|VIE|ORD|MLI|
MLI|YAM,|YAM|YYZ|ORD|MLI|
MLI|YGK,|YGK|YYZ|ORD|MLI|
MLI|YQG,|YQG|YYZ|ORD|MLI|
MLI|YSB,|YSB|YYZ|ORD|MLI|
MLI|YTS,|YTS|YYZ|ORD|MLI|
MLI|YYB,|YYB|YYZ|ORD|MLI|
MLI|YZR,|YZR|YYZ|ORD|MLI|
MLI|CAN,|CAN|PEK|ORD|MLI|
MLI|URC,|URC|TSE|FRA|ORD|MLI|
MLI|CTU,|CTU|PEK|ORD|MLI|
MLI|HGH,|HGH|PEK|ORD|MLI|
MLI|XMN,|XMN|PEK|ORD|MLI|
MLI|CGO,|CGO|PEK|ORD|MLI|
MLI|CSX,|CSX|PEK|ORD|MLI|
MLI|SHE,|SHE|PEK|ORD|MLI|
MLI|SJW,|SJW|DLC|PEK|ORD|MLI|
MLI|WUH,|WUH|PEK|ORD|MLI|
MLI|SZX,|SZX|PEK|ORD|MLI|
MLI|CKG,|CKG|PEK|ORD|MLI|
MLI|KMG,|KMG|PEK|ORD|MLI|
MLI|FOC,|FOC|PEK|ORD|MLI|
MLI|NNG,|NNG|PEK|ORD|MLI|
MLI|SWA,|SWA|PEK|ORD|MLI|
MLI|ACX,|ACX|CAN|PEK|ORD|MLI|
MLI|AQG,|AQG|CAN|PEK|ORD|MLI|
MLI|AVA,|AVA|CAN|PEK|ORD|MLI|
MLI|BFJ,|BFJ|CAN|PEK|ORD|MLI|
MLI|BHY,|BHY|CGO|PEK|ORD|MLI|
MLI|BNE,|BNE|CAN|PEK|ORD|MLI|
MLI|CGD,|CGD|PEK|ORD|MLI|
MLI|CGK,|CGK|CAN|PEK|ORD|MLI|
MLI|CGQ,|CGQ|PEK|ORD|MLI|
MLI|CIH,|CIH|PEK|ORD|MLI|
MLI|CNX,|CNX|CAN|PEK|ORD|MLI|
MLI|CZX,|CZX|SHE|PEK|ORD|MLI|
MLI|DAC,|DAC|IST|ORD|MLI|
MLI|DAD,|DAD|CAN|PEK|ORD|MLI|
MLI|DEL,|DEL|EWR|ORD|MLI|
MLI|DIG,|DIG|KMG|PEK|ORD|MLI|
MLI|DLC,|DLC|PEK|ORD|MLI|
MLI|DPS,|DPS|SZX|PEK|ORD|MLI|
MLI|DXB,|DXB|IST|ORD|MLI|
MLI|DYG,|DYG|PEK|ORD|MLI|
MLI|FUG,|FUG|CAN|PEK|ORD|MLI|
MLI|FUK,|FUK|ICN|YVR|DEN|MLI|
MLI|HAK,|HAK|PEK|ORD|MLI|
MLI|HAN,|HAN|PEK|ORD|MLI|
MLI|HDG,|HDG|CAN|PEK|ORD|MLI|
MLI|HET,|HET|DLC|PEK|ORD|MLI|
MLI|HFE,|HFE|XIY|PEK|ORD|MLI|
MLI|HJJ,|HJJ|CSX|PEK|ORD|MLI|
MLI|HKT,|HKT|KWE|PEK|ORD|MLI|
MLI|HRB,|HRB|PEK|ORD|MLI|
MLI|HZH,|HZH|CAN|PEK|ORD|MLI|
MLI|JIU,|JIU|CAN|PEK|ORD|MLI|
MLI|JJN,|JJN|PEK|ORD|MLI|
MLI|JNG,|JNG|CAN|PEK|ORD|MLI|
MLI|KHN,|KHN|DLC|PEK|ORD|MLI|
MLI|KIX,|KIX|SFO|DEN|MLI|
MLI|KOW,|KOW|PEK|ORD|MLI|
MLI|KTM,|KTM|IST|ORD|MLI|
MLI|KUL,|KUL|CAN|PEK|ORD|MLI|
MLI|KWE,|KWE|PEK|ORD|MLI|
MLI|KWL,|KWL|PEK|ORD|MLI|
MLI|LHW,|LHW|CGO|PEK|ORD|MLI|
MLI|LYA,|LYA|KHN|DLC|PEK|ORD|MLI|
MLI|LYG,|LYG|HSN|PEK|ORD|MLI|
MLI|LZH,|LZH|CAN|PEK|ORD|MLI|
MLI|MEL,|MEL|SYD|LAX|DEN|MLI|
MLI|MIG,|MIG|CSX|PEK|ORD|MLI|
MLI|MLE,|MLE|IST|ORD|MLI|
MLI|MNL,|MNL|XMN|PEK|ORD|MLI|
MLI|MXZ,|MXZ|CAN|PEK|ORD|MLI|
MLI|NAO,|NAO|PEK|ORD|MLI|
MLI|NGB,|NGB|PEK|ORD|MLI|
MLI|NKG,|NKG|DLC|PEK|ORD|MLI|
MLI|NNY,|NNY|CGO|PEK|ORD|MLI|
MLI|PEN,|PEN|CAN|PEK|ORD|MLI|
MLI|PER,|PER|CAN|PEK|ORD|MLI|
MLI|PNH,|PNH|CAN|PEK|ORD|MLI|
MLI|REP,|REP|CAN|PEK|ORD|MLI|
MLI|RGN,|RGN|CAN|PEK|ORD|MLI|
MLI|SGN,|SGN|CAN|PEK|ORD|MLI|
MLI|SHA,|SHA|PEK|ORD|MLI|
MLI|SIN,|SIN|HKG|ORD|MLI|
MLI|SVO,|SVO|URC|TSE|FRA|ORD|MLI|
MLI|SYX,|SYX|PEK|ORD|MLI|
MLI|TAO,|TAO|DLC|PEK|ORD|MLI|
