GND|YXH,|YXH|YYC|YYZ|GND|
GND|YWK,|YWK|YZV|YQB|YYZ|GND|
GND|ANU,|ANU|YYZ|GND|
GND|AUA,|AUA|YYZ|GND|
GND|AUH,|AUH|YYZ|GND|
GND|BCN,|BCN|YYZ|GND|
GND|BDA,|BDA|YYZ|GND|
GND|BGI,|BGI|YYZ|GND|
GND|BNA,|BNA|YYZ|GND|
GND|BOG,|BOG|YYZ|GND|
GND|BWI,|BWI|YYZ|GND|
GND|CLE,|CLE|YYZ|GND|
GND|CLT,|CLT|YYZ|GND|
GND|CMH,|CMH|YYZ|GND|
GND|CVG,|CVG|YYZ|GND|
GND|DFW,|DFW|YYZ|GND|
GND|DTW,|DTW|YYZ|GND|
GND|DUB,|DUB|YYZ|GND|
GND|FCO,|FCO|YYZ|GND|
GND|GCM,|GCM|YYZ|GND|
GND|GGT,|GGT|YYZ|GND|
GND|GRU,|GRU|YYZ|GND|
GND|HAV,|HAV|YYZ|GND|
GND|IND,|IND|YYZ|GND|
GND|JFK,|JFK|YYZ|GND|
GND|KIN,|KIN|YYZ|GND|
GND|LIM,|LIM|YYZ|GND|
GND|LIR,|LIR|YYZ|GND|
GND|MCI,|MCI|YYZ|GND|
GND|MDT,|MDT|YYZ|GND|
GND|MIA,|MIA|YYZ|GND|
GND|MKE,|MKE|YYZ|GND|
GND|MSP,|MSP|YYZ|GND|
GND|NAS,|NAS|YYZ|GND|
GND|PHL,|PHL|YYZ|GND|
GND|PHX,|PHX|YYZ|GND|
GND|PIT,|PIT|YYZ|GND|
GND|PLS,|PLS|YYZ|GND|
GND|POP,|POP|YYZ|GND|
GND|RDU,|RDU|YYZ|GND|
GND|ROC,|ROC|YYZ|GND|
GND|RSW,|RSW|YYZ|GND|
GND|SAN,|SAN|YYZ|GND|
GND|SJO,|SJO|YYZ|GND|
GND|STL,|STL|YYZ|GND|
GND|SYR,|SYR|YYZ|GND|
GND|TLV,|TLV|YYZ|GND|
GND|TPA,|TPA|YYZ|GND|
GND|UVF,|UVF|YYZ|GND|
GND|VIE,|VIE|YYZ|GND|
GND|YAM,|YAM|YYZ|GND|
GND|YGK,|YGK|YYZ|GND|
GND|YQG,|YQG|YYZ|GND|
GND|YSB,|YSB|YYZ|GND|
GND|YTS,|YTS|YYZ|GND|
GND|YYB,|YYB|YYZ|GND|
GND|YZR,|YZR|YYZ|GND|
GND|CAN,|CAN|PEK|YYZ|GND|
