TAS|IAD,|IAD|IST|TAS|
TAS|IAH,|IAH|IST|TAS|
TAS|ORD,|ORD|IST|TAS|
TAS|SOF,|SOF|IST|TAS|
TAS|YQB,|YQB|YUL|FRA|IST|TAS|
TAS|YXU,|YXU|YYZ|IST|TAS|
TAS|EZE,|EZE|GRU|IST|TAS|
TAS|YYJ,|YYJ|YVR|PEK|TAS|
TAS|YYY,|YYY|YUL|FRA|IST|TAS|
TAS|YQQ,|YQQ|YBL|YVR|PEK|TAS|
TAS|YYR,|YYR|YYT|LHR|IST|TAS|
TAS|LHR,|LHR|IST|TAS|
TAS|SFO,|SFO|PEK|TAS|
TAS|YQU,|YQU|YEG|LHR|IST|TAS|
TAS|YZF,|YZF|YEG|LHR|IST|TAS|
TAS|YGR,|YGR|YGP|YQB|YUL|FRA|IST|TAS|
TAS|YGP,|YGP|YQB|YUL|FRA|IST|TAS|
TAS|BOS,|BOS|FRA|IST|TAS|
TAS|YDF,|YDF|YYT|LHR|IST|TAS|
TAS|YFC,|YFC|YHZ|LHR|IST|TAS|
TAS|YQM,|YQM|YHZ|LHR|IST|TAS|
TAS|YQX,|YQX|YYT|LHR|IST|TAS|
TAS|YQY,|YQY|YHZ|LHR|IST|TAS|
TAS|YSJ,|YSJ|YHZ|LHR|IST|TAS|
TAS|YYG,|YYG|YHZ|LHR|IST|TAS|
TAS|LAX,|LAX|PEK|TAS|
TAS|DCA,|DCA|EWR|BHX|IST|TAS|
TAS|LGA,|LGA|YHZ|LHR|IST|TAS|
TAS|YZV,|YZV|YWK|YYR|YYT|LHR|IST|TAS|
TAS|YWL,|YWL|YVR|PEK|TAS|
TAS|AZS,|AZS|YUL|FRA|IST|TAS|
TAS|BDL,|BDL|YUL|FRA|IST|TAS|
TAS|CCC,|CCC|YUL|FRA|IST|TAS|
TAS|CDG,|CDG|IST|TAS|
TAS|CUN,|CUN|YHZ|LHR|IST|TAS|
TAS|CZM,|CZM|YUL|FRA|IST|TAS|
TAS|FDF,|FDF|YUL|FRA|IST|TAS|
TAS|FLL,|FLL|MCO|FRA|IST|TAS|
TAS|GVA,|GVA|IST|TAS|
TAS|HOG,|HOG|YUL|FRA|IST|TAS|
TAS|LAS,|LAS|SEA|PEK|TAS|
TAS|MBJ,|MBJ|YHZ|LHR|IST|TAS|
TAS|MCO,|MCO|FRA|IST|TAS|
TAS|MUC,|MUC|IST|TAS|
TAS|PAP,|PAP|YUL|FRA|IST|TAS|
TAS|PTP,|PTP|YUL|FRA|IST|TAS|
TAS|PUJ,|PUJ|YHZ|LHR|IST|TAS|
TAS|SNU,|SNU|YUL|FRA|IST|TAS|
TAS|VRA,|VRA|YUL|FRA|IST|TAS|
TAS|YBC,|YBC|YUL|FRA|IST|TAS|
TAS|YBG,|YBG|YUL|FRA|IST|TAS|
TAS|YTZ,|YTZ|YUL|FRA|IST|TAS|
TAS|YUY,|YUY|YUL|FRA|IST|TAS|
TAS|YVO,|YVO|YUL|FRA|IST|TAS|
TAS|ZBF,|ZBF|YUL|FRA|IST|TAS|
TAS|ZRH,|ZRH|IST|TAS|
TAS|ZSA,|ZSA|YUL|FRA|IST|TAS|
TAS|AKL,|AKL|CAN|URC|TAS|
TAS|HKG,|HKG|CAN|URC|TAS|
TAS|HND,|HND|HNL|PEK|TAS|
TAS|HNL,|HNL|PEK|TAS|
TAS|MEX,|MEX|IAD|IST|TAS|
TAS|OGG,|OGG|HNL|PEK|TAS|
TAS|PDX,|PDX|SEA|PEK|TAS|
TAS|PEK,|PEK|TAS|
TAS|PVG,|PVG|URC|TAS|
TAS|PVR,|PVR|ORD|IST|TAS|
TAS|SEA,|SEA|PEK|TAS|
TAS|SYD,|SYD|CAN|URC|TAS|
TAS|YBL,|YBL|YVR|PEK|TAS|
TAS|YCD,|YCD|YVR|PEK|TAS|
TAS|YCG,|YCG|YVR|PEK|TAS|
TAS|YKA,|YKA|YVR|PEK|TAS|
TAS|YPR,|YPR|YVR|PEK|TAS|
TAS|YQZ,|YQZ|YVR|PEK|TAS|
TAS|YXC,|YXC|YYC|FRA|IST|TAS|
TAS|YXJ,|YXJ|YVR|PEK|TAS|
TAS|YXS,|YXS|YVR|PEK|TAS|
TAS|YXT,|YXT|YVR|PEK|TAS|
TAS|YXY,|YXY|YVR|PEK|TAS|
TAS|YYD,|YYD|YVR|PEK|TAS|
TAS|YYF,|YYF|YVR|PEK|TAS|
TAS|YZP,|YZP|YVR|PEK|TAS|
TAS|YQT,|YQT|YYZ|IST|TAS|
TAS|SJD,|SJD|ORD|IST|TAS|
TAS|YQF,|YQF|YYC|FRA|IST|TAS|
TAS|YQL,|YQL|YYC|FRA|IST|TAS|
TAS|YXH,|YXH|YYC|FRA|IST|TAS|
TAS|YWK,|YWK|YYR|YYT|LHR|IST|TAS|
TAS|ANU,|ANU|EWR|BHX|IST|TAS|
TAS|AUA,|AUA|EWR|BHX|IST|TAS|
TAS|AUH,|AUH|IST|TAS|
TAS|BCN,|BCN|IST|TAS|
TAS|BDA,|BDA|EWR|BHX|IST|TAS|
TAS|BGI,|BGI|YYZ|IST|TAS|
TAS|BNA,|BNA|YYZ|IST|TAS|
TAS|BOG,|BOG|MIA|ZRH|IST|TAS|
TAS|BWI,|BWI|EWR|BHX|IST|TAS|
TAS|CLE,|CLE|YYZ|IST|TAS|
TAS|CLT,|CLT|EWR|BHX|IST|TAS|
TAS|CMH,|CMH|YYZ|IST|TAS|
TAS|CVG,|CVG|YYZ|IST|TAS|
TAS|DFW,|DFW|ORD|IST|TAS|
TAS|DTW,|DTW|FRA|IST|TAS|
TAS|DUB,|DUB|IST|TAS|
TAS|FCO,|FCO|IST|TAS|
TAS|GCM,|GCM|EWR|BHX|IST|TAS|
TAS|GGT,|GGT|FLL|MCO|FRA|IST|TAS|
TAS|GND,|GND|YYZ|IST|TAS|
TAS|GRU,|GRU|IST|TAS|
TAS|HAV,|HAV|YYZ|IST|TAS|
TAS|IND,|IND|YYZ|IST|TAS|
TAS|JFK,|JFK|IST|TAS|
TAS|KIN,|KIN|YYZ|IST|TAS|
TAS|LIM,|LIM|MIA|ZRH|IST|TAS|
TAS|LIR,|LIR|EWR|BHX|IST|TAS|
TAS|MCI,|MCI|ORD|IST|TAS|
TAS|MDT,|MDT|IAD|IST|TAS|
TAS|MIA,|MIA|ZRH|IST|TAS|
TAS|MKE,|MKE|YYZ|IST|TAS|
TAS|MSP,|MSP|YUL|FRA|IST|TAS|
TAS|NAS,|NAS|EWR|BHX|IST|TAS|
TAS|PHL,|PHL|IAD|IST|TAS|
