SHD|KWL,|KWL|PEK|IAD|SHD|
SHD|LHW,|LHW|CGO|PEK|IAD|SHD|
SHD|LYA,|LYA|KHN|DLC|PEK|IAD|SHD|
SHD|LYG,|LYG|HSN|PEK|IAD|SHD|
SHD|LZH,|LZH|CAN|PEK|IAD|SHD|
SHD|MEL,|MEL|SYD|LAX|IAD|SHD|
SHD|MIG,|MIG|CSX|PEK|IAD|SHD|
SHD|MLE,|MLE|IST|IAD|SHD|
SHD|MNL,|MNL|XMN|PEK|IAD|SHD|
SHD|MXZ,|MXZ|CAN|PEK|IAD|SHD|
SHD|NAO,|NAO|PEK|IAD|SHD|
SHD|NGB,|NGB|PEK|IAD|SHD|
SHD|NKG,|NKG|DLC|PEK|IAD|SHD|
SHD|NNY,|NNY|CGO|PEK|IAD|SHD|
SHD|PEN,|PEN|CAN|PEK|IAD|SHD|
SHD|PER,|PER|CAN|PEK|IAD|SHD|
SHD|PNH,|PNH|CAN|PEK|IAD|SHD|
SHD|REP,|REP|CAN|PEK|IAD|SHD|
SHD|RGN,|RGN|CAN|PEK|IAD|SHD|
SHD|SGN,|SGN|CAN|PEK|IAD|SHD|
SHD|SHA,|SHA|PEK|IAD|SHD|
SHD|SIN,|SIN|CAN|PEK|IAD|SHD|
SHD|SVO,|SVO|URC|TSE|FRA|IAD|SHD|
SHD|SYX,|SYX|PEK|IAD|SHD|
SHD|TAO,|TAO|DLC|PEK|IAD|SHD|
SHD|TEN,|TEN|PEK|IAD|SHD|
SHD|TNA,|TNA|DLC|PEK|IAD|SHD|
SHD|TPE,|TPE|PVG|YYZ|IAD|SHD|
SHD|TSN,|TSN|DLC|PEK|IAD|SHD|
SHD|TXN,|TXN|DLC|PEK|IAD|SHD|
SHD|TYN,|TYN|DAT|CIH|PEK|IAD|SHD|
SHD|WNZ,|WNZ|CGO|PEK|IAD|SHD|
SHD|WUX,|WUX|CAN|PEK|IAD|SHD|
SHD|XFN,|XFN|XMN|PEK|IAD|SHD|
SHD|XIY,|XIY|PEK|IAD|SHD|
SHD|XUZ,|XUZ|LYG|HSN|PEK|IAD|SHD|
SHD|YIH,|YIH|CKG|PEK|IAD|SHD|
SHD|YIW,|YIW|PEK|IAD|SHD|
SHD|YNT,|YNT|SHE|PEK|IAD|SHD|
SHD|YNZ,|YNZ|DLC|PEK|IAD|SHD|
SHD|YTY,|YTY|DLC|PEK|IAD|SHD|
SHD|ZHA,|ZHA|CAN|PEK|IAD|SHD|
SHD|ZYI,|ZYI|PEK|IAD|SHD|
SHD|BAV,|BAV|CGO|PEK|IAD|SHD|
SHD|CJU,|CJU|DLC|PEK|IAD|SHD|
SHD|DSN,|DSN|CGO|PEK|IAD|SHD|
SHD|HMI,|HMI|URC|TSE|FRA|IAD|SHD|
SHD|INC,|INC|PEK|IAD|SHD|
SHD|KHH,|KHH|CGO|PEK|IAD|SHD|
SHD|UYN,|UYN|CGO|PEK|IAD|SHD|
SHD|XNN,|XNN|PEK|IAD|SHD|
SHD|ZUH,|ZUH|PEK|IAD|SHD|
SHD|YNJ,|YNJ|ICN|JFK|IAD|SHD|
SHD|DAT,|DAT|CIH|PEK|IAD|SHD|
SHD|JHG,|JHG|CKG|PEK|IAD|SHD|
SHD|LJG,|LJG|CKG|PEK|IAD|SHD|
SHD|LXA,|LXA|XIY|PEK|IAD|SHD|
SHD|YCU,|YCU|CSX|PEK|IAD|SHD|
SHD|LZO,|LZO|CSX|PEK|IAD|SHD|
SHD|MDG,|MDG|ICN|JFK|IAD|SHD|
SHD|NGO,|NGO|ICN|JFK|IAD|SHD|
SHD|TOY,|TOY|DLC|PEK|IAD|SHD|
SHD|MFM,|MFM|XMN|PEK|IAD|SHD|
SHD|TGO,|TGO|HET|DLC|PEK|IAD|SHD|
SHD|XIL,|XIL|HET|DLC|PEK|IAD|SHD|
SHD|HEK,|HEK|HRB|PEK|IAD|SHD|
SHD|KIJ,|KIJ|HRB|PEK|IAD|SHD|
SHD|LDS,|LDS|HRB|PEK|IAD|SHD|
SHD|OHE,|OHE|HRB|PEK|IAD|SHD|
SHD|HSN,|HSN|PEK|IAD|SHD|
SHD|DLU,|DLU|KMG|PEK|IAD|SHD|
SHD|SYM,|SYM|KMG|PEK|IAD|SHD|
SHD|ZAT,|ZAT|KMG|PEK|IAD|SHD|
SHD|LUN,|LUN|NBO|ZRH|IAD|SHD|
SHD|AOG,|AOG|PEK|IAD|SHD|
SHD|GMP,|GMP|PEK|IAD|SHD|
SHD|ISB,|ISB|IST|IAD|SHD|
SHD|TAS,|TAS|IST|IAD|SHD|
SHD|WUS,|WUS|PEK|IAD|SHD|
SHD|JMU,|JMU|PVG|YYZ|IAD|SHD|
SHD|NDG,|NDG|PVG|YYZ|IAD|SHD|
SHD|JXA,|JXA|SHE|PEK|IAD|SHD|
SHD|PUS,|PUS|SHE|PEK|IAD|SHD|
SHD|BKI,|BKI|SZX|PEK|IAD|SHD|
SHD|AKU,|AKU|URC|TSE|FRA|IAD|SHD|
SHD|ALA,|ALA|TSE|FRA|IAD|SHD|
SHD|ASB,|ASB|GYD|FRA|IAD|SHD|
SHD|DNH,|DNH|URC|TSE|FRA|IAD|SHD|
SHD|DYU,|DYU|IST|IAD|SHD|
SHD|FRU,|FRU|IST|IAD|SHD|
SHD|GYD,|GYD|FRA|IAD|SHD|
SHD|HTN,|HTN|URC|TSE|FRA|IAD|SHD|
SHD|IKA,|IKA|SAW|FRA|IAD|SHD|
SHD|KCA,|KCA|URC|TSE|FRA|IAD|SHD|
