SAP|YYD,|YYD|YVR|IAH|SAP|
SAP|YYF,|YYF|YVR|IAH|SAP|
SAP|YZP,|YZP|YVR|IAH|SAP|
SAP|YQT,|YQT|YYZ|MIA|SAP|
SAP|SJD,|SJD|IAH|SAP|
SAP|YQF,|YQF|YYC|IAH|SAP|
SAP|YQL,|YQL|YYC|IAH|SAP|
SAP|YXH,|YXH|YYC|IAH|SAP|
SAP|YWK,|YWK|YZV|YQB|EWR|SAP|
SAP|ANU,|ANU|EWR|SAP|
SAP|AUA,|AUA|ATL|IAH|SAP|
SAP|AUH,|AUH|IST|ZRH|MIA|SAP|
SAP|BCN,|BCN|EWR|SAP|
SAP|BDA,|BDA|EWR|SAP|
SAP|BGI,|BGI|YYZ|MIA|SAP|
SAP|BNA,|BNA|IAH|SAP|
SAP|BOG,|BOG|MIA|SAP|
SAP|BWI,|BWI|EWR|SAP|
SAP|CLE,|CLE|IAD|MIA|SAP|
SAP|CLT,|CLT|IAH|SAP|
SAP|CMH,|CMH|IAD|MIA|SAP|
SAP|CVG,|CVG|IAH|SAP|
SAP|DFW,|DFW|IAH|SAP|
SAP|DTW,|DTW|IAD|MIA|SAP|
SAP|DUB,|DUB|EWR|SAP|
SAP|FCO,|FCO|EWR|SAP|
SAP|GCM,|GCM|IAH|SAP|
SAP|GGT,|GGT|FLL|IAH|SAP|
SAP|GND,|GND|YYZ|MIA|SAP|
SAP|GRU,|GRU|IAH|SAP|
SAP|HAV,|HAV|YYZ|MIA|SAP|
SAP|IND,|IND|IAH|SAP|
SAP|JFK,|JFK|IAD|MIA|SAP|
SAP|KIN,|KIN|YYZ|MIA|SAP|
SAP|LIM,|LIM|MIA|SAP|
SAP|LIR,|LIR|IAH|SAP|
SAP|MCI,|MCI|IAH|SAP|
SAP|MDT,|MDT|IAD|MIA|SAP|
SAP|MIA,|MIA|SAP|
SAP|MKE,|MKE|IAH|SAP|
SAP|MSP,|MSP|IAH|SAP|
SAP|NAS,|NAS|IAH|SAP|
SAP|PHL,|PHL|IAD|MIA|SAP|
SAP|PHX,|PHX|IAH|SAP|
SAP|PIT,|PIT|IAD|MIA|SAP|
SAP|PLS,|PLS|EWR|SAP|
SAP|POP,|POP|EWR|SAP|
SAP|RDU,|RDU|IAD|MIA|SAP|
SAP|ROC,|ROC|IAD|MIA|SAP|
SAP|RSW,|RSW|IAH|SAP|
SAP|SAN,|SAN|IAH|SAP|
SAP|SJO,|SJO|IAH|SAP|
SAP|STL,|STL|IAH|SAP|
SAP|SYR,|SYR|IAD|MIA|SAP|
SAP|TLV,|TLV|IST|ZRH|MIA|SAP|
SAP|TPA,|TPA|IAH|SAP|
SAP|UVF,|UVF|EWR|SAP|
SAP|VIE,|VIE|IAD|MIA|SAP|
SAP|YAM,|YAM|YYZ|MIA|SAP|
SAP|YGK,|YGK|YYZ|MIA|SAP|
SAP|YQG,|YQG|YYZ|MIA|SAP|
SAP|YSB,|YSB|YYZ|MIA|SAP|
SAP|YTS,|YTS|YYZ|MIA|SAP|
SAP|YYB,|YYB|YYZ|MIA|SAP|
SAP|YZR,|YZR|YYZ|MIA|SAP|
SAP|CAN,|CAN|YVR|IAH|SAP|
SAP|URC,|URC|TSE|FRA|MIA|SAP|
SAP|CTU,|CTU|PEK|IAH|SAP|
SAP|HGH,|HGH|PEK|IAH|SAP|
SAP|XMN,|XMN|PEK|IAH|SAP|
SAP|CGO,|CGO|PEK|IAH|SAP|
SAP|CSX,|CSX|PEK|IAH|SAP|
SAP|SHE,|SHE|ICN|YVR|IAH|SAP|
SAP|SJW,|SJW|DLC|ICN|YVR|IAH|SAP|
SAP|WUH,|WUH|PEK|IAH|SAP|
SAP|SZX,|SZX|PVG|YVR|IAH|SAP|
SAP|CKG,|CKG|PEK|IAH|SAP|
SAP|KMG,|KMG|PEK|IAH|SAP|
SAP|FOC,|FOC|PEK|IAH|SAP|
SAP|NNG,|NNG|PEK|IAH|SAP|
SAP|SWA,|SWA|PEK|IAH|SAP|
SAP|ACX,|ACX|CAN|YVR|IAH|SAP|
SAP|AQG,|AQG|CAN|YVR|IAH|SAP|
SAP|AVA,|AVA|CAN|YVR|IAH|SAP|
SAP|BFJ,|BFJ|CAN|YVR|IAH|SAP|
SAP|BHY,|BHY|CGO|PEK|IAH|SAP|
SAP|BNE,|BNE|CAN|YVR|IAH|SAP|
SAP|CGD,|CGD|PEK|IAH|SAP|
SAP|CGK,|CGK|CAN|YVR|IAH|SAP|
SAP|CGQ,|CGQ|ICN|YVR|IAH|SAP|
SAP|CIH,|CIH|PEK|IAH|SAP|
SAP|CNX,|CNX|CAN|YVR|IAH|SAP|
SAP|CZX,|CZX|SHE|ICN|YVR|IAH|SAP|
SAP|DAC,|DAC|IST|ZRH|MIA|SAP|
SAP|DAD,|DAD|CAN|YVR|IAH|SAP|
SAP|DEL,|DEL|EWR|SAP|
SAP|DIG,|DIG|KMG|PEK|IAH|SAP|
SAP|DLC,|DLC|ICN|YVR|IAH|SAP|
SAP|DPS,|DPS|SZX|PVG|YVR|IAH|SAP|
SAP|DXB,|DXB|IST|ZRH|MIA|SAP|
SAP|DYG,|DYG|PEK|IAH|SAP|
SAP|FUG,|FUG|CAN|YVR|IAH|SAP|
SAP|FUK,|FUK|ICN|YVR|IAH|SAP|
SAP|HAK,|HAK|CAN|YVR|IAH|SAP|
SAP|HAN,|HAN|PEK|IAH|SAP|
SAP|HDG,|HDG|CAN|YVR|IAH|SAP|
SAP|HET,|HET|DLC|ICN|YVR|IAH|SAP|
SAP|HFE,|HFE|XIY|PEK|IAH|SAP|
SAP|HJJ,|HJJ|CSX|PEK|IAH|SAP|
SAP|HKT,|HKT|KWE|PEK|IAH|SAP|
SAP|HRB,|HRB|ICN|YVR|IAH|SAP|
SAP|HZH,|HZH|CAN|YVR|IAH|SAP|
SAP|JIU,|JIU|CAN|YVR|IAH|SAP|
SAP|JJN,|JJN|PEK|IAH|SAP|
SAP|JNG,|JNG|CAN|YVR|IAH|SAP|
SAP|KHN,|KHN|DLC|ICN|YVR|IAH|SAP|
SAP|KIX,|KIX|SFO|IAH|SAP|
SAP|KOW,|KOW|PEK|IAH|SAP|
SAP|KTM,|KTM|IST|ZRH|MIA|SAP|
SAP|KUL,|KUL|PVG|YVR|IAH|SAP|
SAP|KWE,|KWE|PEK|IAH|SAP|
SAP|KWL,|KWL|PEK|IAH|SAP|
SAP|LHW,|LHW|CGO|PEK|IAH|SAP|
SAP|LYA,|LYA|KHN|DLC|ICN|YVR|IAH|SAP|
SAP|LYG,|LYG|HSN|PEK|IAH|SAP|
SAP|LZH,|LZH|CAN|YVR|IAH|SAP|
SAP|MEL,|MEL|SYD|LAX|IAH|SAP|
SAP|MIG,|MIG|CSX|PEK|IAH|SAP|
SAP|MLE,|MLE|IST|ZRH|MIA|SAP|
SAP|MNL,|MNL|XMN|PEK|IAH|SAP|
SAP|MXZ,|MXZ|CAN|YVR|IAH|SAP|
SAP|NAO,|NAO|PEK|IAH|SAP|
SAP|NGB,|NGB|PEK|IAH|SAP|
SAP|NKG,|NKG|DLC|ICN|YVR|IAH|SAP|
SAP|NNY,|NNY|CGO|PEK|IAH|SAP|
SAP|PEN,|PEN|CAN|YVR|IAH|SAP|
SAP|PER,|PER|CAN|YVR|IAH|SAP|
SAP|PNH,|PNH|CAN|YVR|IAH|SAP|
SAP|REP,|REP|ICN|YVR|IAH|SAP|
SAP|RGN,|RGN|CAN|YVR|IAH|SAP|
SAP|SGN,|SGN|HKG|YVR|IAH|SAP|
SAP|SHA,|SHA|PEK|IAH|SAP|
SAP|SIN,|SIN|HKG|YVR|IAH|SAP|
SAP|SVO,|SVO|URC|TSE|FRA|MIA|SAP|
SAP|SYX,|SYX|CAN|YVR|IAH|SAP|
SAP|TAO,|TAO|DLC|ICN|YVR|IAH|SAP|
SAP|TEN,|TEN|PEK|IAH|SAP|
SAP|TNA,|TNA|DLC|ICN|YVR|IAH|SAP|
SAP|TPE,|TPE|PVG|YVR|IAH|SAP|
SAP|TSN,|TSN|DLC|ICN|YVR|IAH|SAP|
SAP|TXN,|TXN|DLC|ICN|YVR|IAH|SAP|
SAP|TYN,|TYN|DLC|ICN|YVR|IAH|SAP|
SAP|WNZ,|WNZ|CGO|PEK|IAH|SAP|
SAP|WUX,|WUX|CAN|YVR|IAH|SAP|
SAP|XFN,|XFN|XMN|PEK|IAH|SAP|
SAP|XIY,|XIY|PEK|IAH|SAP|
SAP|XUZ,|XUZ|LYG|HSN|PEK|IAH|SAP|
SAP|YIH,|YIH|CKG|PEK|IAH|SAP|
SAP|YIW,|YIW|PEK|IAH|SAP|
SAP|YNT,|YNT|SHE|ICN|YVR|IAH|SAP|
SAP|YNZ,|YNZ|DLC|ICN|YVR|IAH|SAP|
SAP|YTY,|YTY|DLC|ICN|YVR|IAH|SAP|
SAP|ZHA,|ZHA|CAN|YVR|IAH|SAP|
SAP|ZYI,|ZYI|PEK|IAH|SAP|
SAP|BAV,|BAV|SJW|DLC|ICN|YVR|IAH|SAP|
SAP|CJU,|CJU|DLC|ICN|YVR|IAH|SAP|
SAP|DSN,|DSN|CGO|PEK|IAH|SAP|
SAP|HMI,|HMI|URC|TSE|FRA|MIA|SAP|
SAP|INC,|INC|PEK|IAH|SAP|
SAP|KHH,|KHH|CGO|PEK|IAH|SAP|
SAP|UYN,|UYN|CGO|PEK|IAH|SAP|
SAP|XNN,|XNN|PEK|IAH|SAP|
SAP|ZUH,|ZUH|PVG|YVR|IAH|SAP|
SAP|YNJ,|YNJ|ICN|YVR|IAH|SAP|
SAP|DAT,|DAT|CIH|PEK|IAH|SAP|
SAP|JHG,|JHG|CKG|PEK|IAH|SAP|
SAP|LJG,|LJG|CKG|PEK|IAH|SAP|
SAP|LXA,|LXA|XIY|PEK|IAH|SAP|
SAP|YCU,|YCU|CSX|PEK|IAH|SAP|
SAP|LZO,|LZO|CSX|PEK|IAH|SAP|
SAP|MDG,|MDG|ICN|YVR|IAH|SAP|
SAP|NGO,|NGO|ICN|YVR|IAH|SAP|
SAP|TOY,|TOY|DLC|ICN|YVR|IAH|SAP|
SAP|MFM,|MFM|XMN|PEK|IAH|SAP|
SAP|TGO,|TGO|HET|DLC|ICN|YVR|IAH|SAP|
SAP|XIL,|XIL|HET|DLC|ICN|YVR|IAH|SAP|
SAP|HEK,|HEK|HRB|ICN|YVR|IAH|SAP|
SAP|KIJ,|KIJ|HRB|ICN|YVR|IAH|SAP|
SAP|LDS,|LDS|HRB|ICN|YVR|IAH|SAP|
SAP|OHE,|OHE|HRB|ICN|YVR|IAH|SAP|
SAP|HSN,|HSN|PEK|IAH|SAP|
SAP|DLU,|DLU|KMG|PEK|IAH|SAP|
SAP|SYM,|SYM|KMG|PEK|IAH|SAP|
SAP|ZAT,|ZAT|KMG|PEK|IAH|SAP|
SAP|LUN,|LUN|NBO|ZRH|MIA|SAP|
SAP|AOG,|AOG|PEK|IAH|SAP|
SAP|GMP,|GMP|PEK|IAH|SAP|
SAP|ISB,|ISB|IST|ZRH|MIA|SAP|
SAP|TAS,|TAS|IST|ZRH|MIA|SAP|
SAP|WUS,|WUS|PEK|IAH|SAP|
SAP|JMU,|JMU|PVG|YVR|IAH|SAP|
SAP|NDG,|NDG|PVG|YVR|IAH|SAP|
SAP|JXA,|JXA|SHE|ICN|YVR|IAH|SAP|
SAP|PUS,|PUS|SHE|ICN|YVR|IAH|SAP|
SAP|BKI,|BKI|SZX|PVG|YVR|IAH|SAP|
SAP|AKU,|AKU|URC|TSE|FRA|MIA|SAP|
SAP|ALA,|ALA|TSE|FRA|MIA|SAP|
SAP|ASB,|ASB|GYD|FRA|MIA|SAP|
SAP|DNH,|DNH|URC|TSE|FRA|MIA|SAP|
SAP|DYU,|DYU|IST|ZRH|MIA|SAP|
SAP|FRU,|FRU|IST|ZRH|MIA|SAP|
SAP|GYD,|GYD|FRA|MIA|SAP|
SAP|HTN,|HTN|URC|TSE|FRA|MIA|SAP|
SAP|IKA,|IKA|IST|ZRH|MIA|SAP|
SAP|KCA,|KCA|URC|TSE|FRA|MIA|SAP|
SAP|KHG,|KHG|URC|TSE|FRA|MIA|SAP|
SAP|KRL,|KRL|URC|TSE|FRA|MIA|SAP|
SAP|KRY,|KRY|URC|TSE|FRA|MIA|SAP|
SAP|LBD,|LBD|URC|TSE|FRA|MIA|SAP|
SAP|NLT,|NLT|URC|TSE|FRA|MIA|SAP|
SAP|OSS,|OSS|IST|ZRH|MIA|SAP|
SAP|OVB,|OVB|IST|ZRH|MIA|SAP|
SAP|TBS,|TBS|IST|ZRH|MIA|SAP|
SAP|TCG,|TCG|URC|TSE|FRA|MIA|SAP|
SAP|TSE,|TSE|FRA|MIA|SAP|
SAP|YIN,|YIN|URC|TSE|FRA|MIA|SAP|
SAP|ENH,|ENH|WUH|PEK|IAH|SAP|
SAP|ENY,|ENY|XIY|PEK|IAH|SAP|
SAP|WXN,|WXN|XIY|PEK|IAH|SAP|
SAP|BLL,|BLL|IST|ZRH|MIA|SAP|
SAP|ESB,|ESB|FRA|MIA|SAP|
SAP|SAW,|SAW|FRA|MIA|SAP|
