RIC|YZP,|YZP|YVR|ORD|RIC|
RIC|YQT,|YQT|YYZ|IAD|RIC|
RIC|SJD,|SJD|IAH|RIC|
RIC|YQF,|YQF|YYC|ORD|RIC|
RIC|YQL,|YQL|YYC|ORD|RIC|
RIC|YXH,|YXH|YYC|ORD|RIC|
RIC|YWK,|YWK|YZV|YQB|EWR|RIC|
RIC|ANU,|ANU|EWR|RIC|
RIC|AUA,|AUA|IAD|RIC|
RIC|AUH,|AUH|FRA|EWR|RIC|
RIC|BCN,|BCN|EWR|RIC|
RIC|BDA,|BDA|EWR|RIC|
RIC|BGI,|BGI|YYZ|IAD|RIC|
RIC|BNA,|BNA|IAD|RIC|
RIC|BOG,|BOG|IAD|RIC|
RIC|BWI,|BWI|ORF|IAD|RIC|
RIC|CLE,|CLE|RIC|
RIC|CLT,|CLT|IAD|RIC|
RIC|CMH,|CMH|IAD|RIC|
RIC|CVG,|CVG|IAD|RIC|
RIC|DFW,|DFW|IAD|RIC|
RIC|DTW,|DTW|IAD|RIC|
RIC|DUB,|DUB|EWR|RIC|
RIC|FCO,|FCO|EWR|RIC|
RIC|GCM,|GCM|IAD|RIC|
RIC|GGT,|GGT|FLL|MCO|RIC|
RIC|GND,|GND|YYZ|IAD|RIC|
RIC|GRU,|GRU|IAD|RIC|
RIC|HAV,|HAV|YYZ|IAD|RIC|
RIC|IND,|IND|IAD|RIC|
RIC|JFK,|JFK|IAD|RIC|
RIC|KIN,|KIN|YYZ|IAD|RIC|
RIC|LIM,|LIM|MIA|IAD|RIC|
RIC|LIR,|LIR|EWR|RIC|
RIC|MCI,|MCI|IAD|RIC|
RIC|MDT,|MDT|IAD|RIC|
RIC|MIA,|MIA|IAD|RIC|
RIC|MKE,|MKE|CLE|RIC|
RIC|MSP,|MSP|ORD|RIC|
RIC|NAS,|NAS|ATL|RIC|
RIC|PHL,|PHL|IAD|RIC|
RIC|PHX,|PHX|IAD|RIC|
RIC|PIT,|PIT|IAD|RIC|
RIC|PLS,|PLS|EWR|RIC|
RIC|POP,|POP|EWR|RIC|
RIC|RDU,|RDU|IAD|RIC|
RIC|ROC,|ROC|IAD|RIC|
RIC|RSW,|RSW|MCO|RIC|
RIC|SAN,|SAN|IAD|RIC|
RIC|SJO,|SJO|IAD|RIC|
RIC|STL,|STL|IAD|RIC|
RIC|SYR,|SYR|IAD|RIC|
RIC|TLV,|TLV|EWR|RIC|
RIC|TPA,|TPA|ATL|RIC|
RIC|UVF,|UVF|EWR|RIC|
RIC|VIE,|VIE|IAD|RIC|
RIC|YAM,|YAM|YYZ|IAD|RIC|
RIC|YGK,|YGK|YYZ|IAD|RIC|
RIC|YQG,|YQG|YYZ|IAD|RIC|
RIC|YSB,|YSB|YYZ|IAD|RIC|
RIC|YTS,|YTS|YYZ|IAD|RIC|
RIC|YYB,|YYB|YYZ|IAD|RIC|
RIC|YZR,|YZR|YYZ|IAD|RIC|
RIC|CAN,|CAN|PEK|IAD|RIC|
RIC|URC,|URC|TSE|FRA|EWR|RIC|
RIC|CTU,|CTU|PEK|IAD|RIC|
RIC|HGH,|HGH|PEK|IAD|RIC|
RIC|XMN,|XMN|PEK|IAD|RIC|
RIC|CGO,|CGO|PEK|IAD|RIC|
RIC|CSX,|CSX|PEK|IAD|RIC|
RIC|SHE,|SHE|PEK|IAD|RIC|
RIC|SJW,|SJW|DLC|PEK|IAD|RIC|
RIC|WUH,|WUH|PEK|IAD|RIC|
RIC|SZX,|SZX|PEK|IAD|RIC|
RIC|CKG,|CKG|PEK|IAD|RIC|
RIC|KMG,|KMG|PEK|IAD|RIC|
RIC|FOC,|FOC|PEK|IAD|RIC|
RIC|NNG,|NNG|PEK|IAD|RIC|
RIC|SWA,|SWA|PEK|IAD|RIC|
RIC|ACX,|ACX|CAN|PEK|IAD|RIC|
RIC|AQG,|AQG|CAN|PEK|IAD|RIC|
RIC|AVA,|AVA|CAN|PEK|IAD|RIC|
RIC|BFJ,|BFJ|CAN|PEK|IAD|RIC|
RIC|BHY,|BHY|CGO|PEK|IAD|RIC|
RIC|BNE,|BNE|CAN|PEK|IAD|RIC|
RIC|CGD,|CGD|PEK|IAD|RIC|
RIC|CGK,|CGK|CAN|PEK|IAD|RIC|
RIC|CGQ,|CGQ|PEK|IAD|RIC|
RIC|CIH,|CIH|PEK|IAD|RIC|
RIC|CNX,|CNX|CAN|PEK|IAD|RIC|
RIC|CZX,|CZX|SHE|PEK|IAD|RIC|
RIC|DAC,|DAC|IST|BHX|EWR|RIC|
RIC|DAD,|DAD|CAN|PEK|IAD|RIC|
RIC|DEL,|DEL|EWR|RIC|
RIC|DIG,|DIG|KMG|PEK|IAD|RIC|
RIC|DLC,|DLC|PEK|IAD|RIC|
RIC|DPS,|DPS|SZX|PEK|IAD|RIC|
RIC|DXB,|DXB|IAD|RIC|
RIC|DYG,|DYG|PEK|IAD|RIC|
RIC|FUG,|FUG|CAN|PEK|IAD|RIC|
RIC|FUK,|FUK|ICN|JFK|IAD|RIC|
RIC|HAK,|HAK|PEK|IAD|RIC|
RIC|HAN,|HAN|PEK|IAD|RIC|
RIC|HDG,|HDG|CAN|PEK|IAD|RIC|
RIC|HET,|HET|DLC|PEK|IAD|RIC|
RIC|HFE,|HFE|XIY|PEK|IAD|RIC|
RIC|HJJ,|HJJ|CSX|PEK|IAD|RIC|
RIC|HKT,|HKT|KWE|PEK|IAD|RIC|
RIC|HRB,|HRB|PEK|IAD|RIC|
RIC|HZH,|HZH|CAN|PEK|IAD|RIC|
RIC|JIU,|JIU|CAN|PEK|IAD|RIC|
RIC|JJN,|JJN|PEK|IAD|RIC|
RIC|JNG,|JNG|CAN|PEK|IAD|RIC|
RIC|KHN,|KHN|DLC|PEK|IAD|RIC|
RIC|KIX,|KIX|SFO|ORD|RIC|
RIC|KOW,|KOW|PEK|IAD|RIC|
RIC|KTM,|KTM|IST|BHX|EWR|RIC|
RIC|KUL,|KUL|CAN|PEK|IAD|RIC|
RIC|KWE,|KWE|PEK|IAD|RIC|
RIC|KWL,|KWL|PEK|IAD|RIC|
RIC|LHW,|LHW|CGO|PEK|IAD|RIC|
RIC|LYA,|LYA|KHN|DLC|PEK|IAD|RIC|
RIC|LYG,|LYG|HSN|PEK|IAD|RIC|
RIC|LZH,|LZH|CAN|PEK|IAD|RIC|
RIC|MEL,|MEL|SYD|LAX|ORD|RIC|
RIC|MIG,|MIG|CSX|PEK|IAD|RIC|
RIC|MLE,|MLE|IST|BHX|EWR|RIC|
RIC|MNL,|MNL|XMN|PEK|IAD|RIC|
RIC|MXZ,|MXZ|CAN|PEK|IAD|RIC|
RIC|NAO,|NAO|PEK|IAD|RIC|
RIC|NGB,|NGB|PEK|IAD|RIC|
RIC|NKG,|NKG|DLC|PEK|IAD|RIC|
RIC|NNY,|NNY|CGO|PEK|IAD|RIC|
RIC|PEN,|PEN|CAN|PEK|IAD|RIC|
RIC|PER,|PER|CAN|PEK|IAD|RIC|
RIC|PNH,|PNH|CAN|PEK|IAD|RIC|
RIC|REP,|REP|CAN|PEK|IAD|RIC|
RIC|RGN,|RGN|CAN|PEK|IAD|RIC|
RIC|SGN,|SGN|CAN|PEK|IAD|RIC|
RIC|SHA,|SHA|PEK|IAD|RIC|
RIC|SIN,|SIN|CAN|PEK|IAD|RIC|
RIC|SVO,|SVO|URC|TSE|FRA|EWR|RIC|
RIC|SYX,|SYX|PEK|IAD|RIC|
RIC|TAO,|TAO|DLC|PEK|IAD|RIC|
RIC|TEN,|TEN|PEK|IAD|RIC|
RIC|TNA,|TNA|DLC|PEK|IAD|RIC|
RIC|TPE,|TPE|PVG|YYZ|IAD|RIC|
RIC|TSN,|TSN|DLC|PEK|IAD|RIC|
RIC|TXN,|TXN|DLC|PEK|IAD|RIC|
RIC|TYN,|TYN|DAT|CIH|PEK|IAD|RIC|
RIC|WNZ,|WNZ|CGO|PEK|IAD|RIC|
RIC|WUX,|WUX|CAN|PEK|IAD|RIC|
RIC|XFN,|XFN|XMN|PEK|IAD|RIC|
RIC|XIY,|XIY|PEK|IAD|RIC|
RIC|XUZ,|XUZ|LYG|HSN|PEK|IAD|RIC|
RIC|YIH,|YIH|CKG|PEK|IAD|RIC|
RIC|YIW,|YIW|PEK|IAD|RIC|
RIC|YNT,|YNT|SHE|PEK|IAD|RIC|
RIC|YNZ,|YNZ|DLC|PEK|IAD|RIC|
RIC|YTY,|YTY|DLC|PEK|IAD|RIC|
RIC|ZHA,|ZHA|CAN|PEK|IAD|RIC|
RIC|ZYI,|ZYI|PEK|IAD|RIC|
RIC|BAV,|BAV|CGO|PEK|IAD|RIC|
RIC|CJU,|CJU|DLC|PEK|IAD|RIC|
RIC|DSN,|DSN|CGO|PEK|IAD|RIC|
RIC|HMI,|HMI|URC|TSE|FRA|EWR|RIC|
RIC|INC,|INC|PEK|IAD|RIC|
RIC|KHH,|KHH|CGO|PEK|IAD|RIC|
RIC|UYN,|UYN|CGO|PEK|IAD|RIC|
RIC|XNN,|XNN|PEK|IAD|RIC|
RIC|ZUH,|ZUH|PEK|IAD|RIC|
RIC|YNJ,|YNJ|ICN|JFK|IAD|RIC|
RIC|DAT,|DAT|CIH|PEK|IAD|RIC|
RIC|JHG,|JHG|CKG|PEK|IAD|RIC|
RIC|LJG,|LJG|CKG|PEK|IAD|RIC|
RIC|LXA,|LXA|XIY|PEK|IAD|RIC|
RIC|YCU,|YCU|CSX|PEK|IAD|RIC|
RIC|LZO,|LZO|CSX|PEK|IAD|RIC|
RIC|MDG,|MDG|ICN|JFK|IAD|RIC|
RIC|NGO,|NGO|ICN|JFK|IAD|RIC|
RIC|TOY,|TOY|DLC|PEK|IAD|RIC|
RIC|MFM,|MFM|XMN|PEK|IAD|RIC|
RIC|TGO,|TGO|HET|DLC|PEK|IAD|RIC|
RIC|XIL,|XIL|HET|DLC|PEK|IAD|RIC|
RIC|HEK,|HEK|HRB|PEK|IAD|RIC|
RIC|KIJ,|KIJ|HRB|PEK|IAD|RIC|
RIC|LDS,|LDS|HRB|PEK|IAD|RIC|
RIC|OHE,|OHE|HRB|PEK|IAD|RIC|
RIC|HSN,|HSN|PEK|IAD|RIC|
RIC|DLU,|DLU|KMG|PEK|IAD|RIC|
RIC|SYM,|SYM|KMG|PEK|IAD|RIC|
RIC|ZAT,|ZAT|KMG|PEK|IAD|RIC|
RIC|LUN,|LUN|NBO|ZRH|EWR|RIC|
RIC|AOG,|AOG|PEK|IAD|RIC|
RIC|GMP,|GMP|PEK|IAD|RIC|
RIC|ISB,|ISB|IST|BHX|EWR|RIC|
RIC|TAS,|TAS|IST|BHX|EWR|RIC|
RIC|WUS,|WUS|PEK|IAD|RIC|
RIC|JMU,|JMU|PVG|YYZ|IAD|RIC|
RIC|NDG,|NDG|PVG|YYZ|IAD|RIC|
RIC|JXA,|JXA|SHE|PEK|IAD|RIC|
RIC|PUS,|PUS|SHE|PEK|IAD|RIC|
RIC|BKI,|BKI|SZX|PEK|IAD|RIC|
RIC|AKU,|AKU|URC|TSE|FRA|EWR|RIC|
RIC|ALA,|ALA|TSE|FRA|EWR|RIC|
RIC|ASB,|ASB|GYD|FRA|EWR|RIC|
RIC|DNH,|DNH|URC|TSE|FRA|EWR|RIC|
RIC|DYU,|DYU|IST|BHX|EWR|RIC|
RIC|FRU,|FRU|IST|BHX|EWR|RIC|
RIC|GYD,|GYD|FRA|EWR|RIC|
RIC|HTN,|HTN|URC|TSE|FRA|EWR|RIC|
RIC|IKA,|IKA|SAW|FRA|EWR|RIC|
RIC|KCA,|KCA|URC|TSE|FRA|EWR|RIC|
RIC|KHG,|KHG|URC|TSE|FRA|EWR|RIC|
RIC|KRL,|KRL|URC|TSE|FRA|EWR|RIC|
RIC|KRY,|KRY|URC|TSE|FRA|EWR|RIC|
RIC|LBD,|LBD|URC|TSE|FRA|EWR|RIC|
RIC|NLT,|NLT|URC|TSE|FRA|EWR|RIC|
RIC|OSS,|OSS|IST|BHX|EWR|RIC|
RIC|OVB,|OVB|IST|BHX|EWR|RIC|
RIC|TBS,|TBS|SAW|FRA|EWR|RIC|
RIC|TCG,|TCG|URC|TSE|FRA|EWR|RIC|
RIC|TSE,|TSE|FRA|EWR|RIC|
RIC|YIN,|YIN|URC|TSE|FRA|EWR|RIC|
RIC|ENH,|ENH|WUH|PEK|IAD|RIC|
RIC|ENY,|ENY|XIY|PEK|IAD|RIC|
RIC|WXN,|WXN|XIY|PEK|IAD|RIC|
RIC|BLL,|BLL|IST|BHX|EWR|RIC|
RIC|ESB,|ESB|FRA|EWR|RIC|
RIC|SAW,|SAW|FRA|EWR|RIC|
RIC|HAM,|HAM|EWR|RIC|
RIC|HRE,|HRE|ADD|JED|FRA|EWR|RIC|
RIC|JUB,|JUB|CAI|JFK|IAD|RIC|
RIC|SSG,|SSG|DLA|BRU|EWR|RIC|
RIC|BGW,|BGW|ESB|FRA|EWR|RIC|
RIC|EBL,|EBL|IST|BHX|EWR|RIC|
RIC|VKO,|VKO|IST|BHX|EWR|RIC|
RIC|MCT,|MCT|IST|BHX|EWR|RIC|
RIC|AYT,|AYT|IST|BHX|EWR|RIC|
RIC|SCQ,|SCQ|BIO|IST|BHX|EWR|RIC|
RIC|AAL,|AAL|IST|BHX|EWR|RIC|
RIC|AOE,|AOE|BRU|EWR|RIC|
RIC|JNB,|JNB|DKR|IAD|RIC|
RIC|LBV,|LBV|DLA|BRU|EWR|RIC|
RIC|ADA,|ADA|SAW|FRA|EWR|RIC|
RIC|ADB,|ADB|HAM|EWR|RIC|
RIC|ADF,|ADF|ESB|FRA|EWR|RIC|
RIC|AJI,|AJI|ESB|FRA|EWR|RIC|
RIC|BAL,|BAL|ESB|FRA|EWR|RIC|
RIC|BJV,|BJV|IST|BHX|EWR|RIC|
RIC|CKZ,|CKZ|ESB|FRA|EWR|RIC|
RIC|DIY,|DIY|ESB|FRA|EWR|RIC|
RIC|ECN,|ECN|IST|BHX|EWR|RIC|
RIC|ERC,|ERC|ESB|FRA|EWR|RIC|
RIC|ERZ,|ERZ|ESB|FRA|EWR|RIC|
RIC|EZS,|EZS|ESB|FRA|EWR|RIC|
RIC|GNY,|GNY|ESB|FRA|EWR|RIC|
RIC|GZP,|GZP|ESB|FRA|EWR|RIC|
RIC|GZT,|GZT|ESB|FRA|EWR|RIC|
RIC|HTY,|HTY|SAW|FRA|EWR|RIC|
RIC|KCM,|KCM|ESB|FRA|EWR|RIC|
RIC|KSY,|KSY|ESB|FRA|EWR|RIC|
RIC|MLX,|MLX|ESB|FRA|EWR|RIC|
RIC|MQM,|MQM|ESB|FRA|EWR|RIC|
RIC|MSR,|MSR|ESB|FRA|EWR|RIC|
RIC|TEQ,|TEQ|ESB|FRA|EWR|RIC|
RIC|TZX,|TZX|ESB|FRA|EWR|RIC|
RIC|VAN,|VAN|ESB|FRA|EWR|RIC|
RIC|ULN,|ULN|FRU|IST|BHX|EWR|RIC|
RIC|HIJ,|HIJ|ICN|JFK|IAD|RIC|
RIC|VVO,|VVO|ICN|JFK|IAD|RIC|
RIC|ACC,|ACC|IST|BHX|EWR|RIC|
RIC|AER,|AER|IST|BHX|EWR|RIC|
RIC|AGP,|AGP|IST|BHX|EWR|RIC|
RIC|ALG,|ALG|IST|BHX|EWR|RIC|
RIC|AMM,|AMM|IST|BHX|EWR|RIC|
RIC|AQJ,|AQJ|IST|BHX|EWR|RIC|
RIC|ARN,|ARN|EWR|RIC|
RIC|ASR,|ASR|SAW|FRA|EWR|RIC|
RIC|ATH,|ATH|IST|BHX|EWR|RIC|
RIC|BAH,|BAH|IST|BHX|EWR|RIC|
RIC|BEG,|BEG|IST|BHX|EWR|RIC|
RIC|BEN,|BEN|IST|BHX|EWR|RIC|
RIC|BEY,|BEY|IST|BHX|EWR|RIC|
RIC|BHX,|BHX|EWR|RIC|
RIC|BIO,|BIO|IST|BHX|EWR|RIC|
RIC|BLQ,|BLQ|IST|BHX|EWR|RIC|
RIC|BOM,|BOM|EWR|RIC|
RIC|BRE,|BRE|IST|BHX|EWR|RIC|
RIC|BSL,|BSL|IST|BHX|EWR|RIC|
RIC|BSR,|BSR|IST|BHX|EWR|RIC|
RIC|BUD,|BUD|IST|BHX|EWR|RIC|
RIC|BUS,|BUS|IST|BHX|EWR|RIC|
RIC|CAI,|CAI|JFK|IAD|RIC|
RIC|CGN,|CGN|IST|BHX|EWR|RIC|
RIC|CMN,|CMN|IST|BHX|EWR|RIC|
RIC|CND,|CND|IST|BHX|EWR|RIC|
RIC|DAR,|DAR|NBO|ZRH|EWR|RIC|
RIC|DLM,|DLM|IST|BHX|EWR|RIC|
RIC|DMM,|DMM|IST|BHX|EWR|RIC|
