ENH|ZSA,|ZSA|YUL|YYZ|PEK|WUH|ENH|
ENH|AKL,|AKL|CAN|WUH|ENH|
ENH|HKG,|HKG|WUH|ENH|
ENH|HND,|HND|HNL|NRT|ICN|WUH|ENH|
ENH|HNL,|HNL|NRT|ICN|WUH|ENH|
ENH|MEX,|MEX|SFO|ICN|WUH|ENH|
ENH|OGG,|OGG|HNL|NRT|ICN|WUH|ENH|
ENH|PDX,|PDX|SEA|ICN|WUH|ENH|
ENH|PEK,|PEK|WUH|ENH|
ENH|PVG,|PVG|WUH|ENH|
ENH|PVR,|PVR|LAX|ICN|WUH|ENH|
ENH|SEA,|SEA|ICN|WUH|ENH|
ENH|SYD,|SYD|CAN|WUH|ENH|
ENH|YBL,|YBL|YVR|ICN|WUH|ENH|
ENH|YCD,|YCD|YVR|ICN|WUH|ENH|
ENH|YCG,|YCG|YVR|ICN|WUH|ENH|
ENH|YKA,|YKA|YVR|ICN|WUH|ENH|
ENH|YPR,|YPR|YVR|ICN|WUH|ENH|
ENH|YQZ,|YQZ|YVR|ICN|WUH|ENH|
ENH|YXC,|YXC|YVR|ICN|WUH|ENH|
ENH|YXJ,|YXJ|YVR|ICN|WUH|ENH|
ENH|YXS,|YXS|YVR|ICN|WUH|ENH|
ENH|YXT,|YXT|YVR|ICN|WUH|ENH|
ENH|YXY,|YXY|YVR|ICN|WUH|ENH|
ENH|YYD,|YYD|YVR|ICN|WUH|ENH|
ENH|YYF,|YYF|YVR|ICN|WUH|ENH|
ENH|YZP,|YZP|YVR|ICN|WUH|ENH|
ENH|YQT,|YQT|YWG|YVR|ICN|WUH|ENH|
ENH|SJD,|SJD|LAX|ICN|WUH|ENH|
ENH|YQF,|YQF|YYC|YVR|ICN|WUH|ENH|
ENH|YQL,|YQL|YYC|YVR|ICN|WUH|ENH|
ENH|YXH,|YXH|YYC|YVR|ICN|WUH|ENH|
ENH|YWK,|YWK|YZV|YQB|YYZ|PEK|WUH|ENH|
ENH|ANU,|ANU|EWR|PEK|WUH|ENH|
ENH|AUA,|AUA|EWR|PEK|WUH|ENH|
ENH|AUH,|AUH|IST|URC|WUH|ENH|
ENH|BCN,|BCN|IST|URC|WUH|ENH|
ENH|BDA,|BDA|EWR|PEK|WUH|ENH|
ENH|BGI,|BGI|YYZ|PEK|WUH|ENH|
ENH|BNA,|BNA|ORD|PEK|WUH|ENH|
ENH|BOG,|BOG|MIA|ORD|PEK|WUH|ENH|
ENH|BWI,|BWI|YYZ|PEK|WUH|ENH|
ENH|CLE,|CLE|YYZ|PEK|WUH|ENH|
ENH|CLT,|CLT|YYZ|PEK|WUH|ENH|
ENH|CMH,|CMH|ORD|PEK|WUH|ENH|
ENH|CVG,|CVG|ORD|PEK|WUH|ENH|
