DLM|YQZ,|YQZ|YVR|MUC|IST|DLM|
DLM|YXC,|YXC|YYC|FRA|IST|DLM|
DLM|YXJ,|YXJ|YYC|FRA|IST|DLM|
DLM|YXS,|YXS|YYC|FRA|IST|DLM|
DLM|YXT,|YXT|YVR|MUC|IST|DLM|
DLM|YXY,|YXY|YVR|MUC|IST|DLM|
DLM|YYD,|YYD|YVR|MUC|IST|DLM|
DLM|YYF,|YYF|YVR|MUC|IST|DLM|
DLM|YZP,|YZP|YVR|MUC|IST|DLM|
DLM|YQT,|YQT|YYZ|IST|DLM|
DLM|SJD,|SJD|ORD|IST|DLM|
DLM|YQF,|YQF|YYC|FRA|IST|DLM|
DLM|YQL,|YQL|YYC|FRA|IST|DLM|
DLM|YXH,|YXH|YYC|FRA|IST|DLM|
DLM|YWK,|YWK|YYR|YYT|LHR|IST|DLM|
DLM|ANU,|ANU|EWR|BHX|IST|DLM|
DLM|AUA,|AUA|EWR|BHX|IST|DLM|
DLM|AUH,|AUH|IST|DLM|
DLM|BCN,|BCN|IST|DLM|
DLM|BDA,|BDA|EWR|BHX|IST|DLM|
DLM|BGI,|BGI|YYZ|IST|DLM|
DLM|BNA,|BNA|YYZ|IST|DLM|
DLM|BOG,|BOG|MIA|ZRH|IST|DLM|
DLM|BWI,|BWI|EWR|BHX|IST|DLM|
DLM|CLE,|CLE|YYZ|IST|DLM|
DLM|CLT,|CLT|EWR|BHX|IST|DLM|
DLM|CMH,|CMH|YYZ|IST|DLM|
DLM|CVG,|CVG|YYZ|IST|DLM|
DLM|DFW,|DFW|ORD|IST|DLM|
DLM|DTW,|DTW|FRA|IST|DLM|
DLM|DUB,|DUB|IST|DLM|
DLM|FCO,|FCO|IST|DLM|
DLM|GCM,|GCM|EWR|BHX|IST|DLM|
DLM|GGT,|GGT|FLL|MCO|FRA|IST|DLM|
DLM|GND,|GND|YYZ|IST|DLM|
DLM|GRU,|GRU|IST|DLM|
DLM|HAV,|HAV|YYZ|IST|DLM|
DLM|IND,|IND|YYZ|IST|DLM|
DLM|JFK,|JFK|IST|DLM|
DLM|KIN,|KIN|YYZ|IST|DLM|
DLM|LIM,|LIM|MIA|ZRH|IST|DLM|
DLM|LIR,|LIR|EWR|BHX|IST|DLM|
DLM|MCI,|MCI|ORD|IST|DLM|
DLM|MDT,|MDT|IAD|IST|DLM|
DLM|MIA,|MIA|ZRH|IST|DLM|
DLM|MKE,|MKE|YYZ|IST|DLM|
DLM|MSP,|MSP|YUL|FRA|IST|DLM|
DLM|NAS,|NAS|EWR|BHX|IST|DLM|
DLM|PHL,|PHL|IAD|IST|DLM|
DLM|PHX,|PHX|DEN|FRA|IST|DLM|
DLM|PIT,|PIT|YYZ|IST|DLM|
DLM|PLS,|PLS|EWR|BHX|IST|DLM|
DLM|POP,|POP|EWR|BHX|IST|DLM|
DLM|RDU,|RDU|EWR|BHX|IST|DLM|
DLM|ROC,|ROC|YYZ|IST|DLM|
DLM|RSW,|RSW|MCO|FRA|IST|DLM|
DLM|SAN,|SAN|LAX|IST|DLM|
DLM|SJO,|SJO|EWR|BHX|IST|DLM|
DLM|STL,|STL|ORD|IST|DLM|
DLM|SYR,|SYR|EWR|BHX|IST|DLM|
DLM|TLV,|TLV|IST|DLM|
DLM|TPA,|TPA|EWR|BHX|IST|DLM|
DLM|UVF,|UVF|EWR|BHX|IST|DLM|
DLM|VIE,|VIE|IST|DLM|
DLM|YAM,|YAM|YYZ|IST|DLM|
DLM|YGK,|YGK|YYZ|IST|DLM|
DLM|YQG,|YQG|YYZ|IST|DLM|
DLM|YSB,|YSB|YYZ|IST|DLM|
DLM|YTS,|YTS|YYZ|IST|DLM|
DLM|YYB,|YYB|YYZ|IST|DLM|
DLM|YZR,|YZR|YYZ|IST|DLM|
DLM|CAN,|CAN|IST|DLM|
DLM|URC,|URC|IST|DLM|
DLM|CTU,|CTU|URC|IST|DLM|
DLM|HGH,|HGH|URC|IST|DLM|
DLM|XMN,|XMN|CSX|URC|IST|DLM|
DLM|CGO,|CGO|URC|IST|DLM|
DLM|CSX,|CSX|URC|IST|DLM|
DLM|SHE,|SHE|PEK|IST|DLM|
DLM|SJW,|SJW|URC|IST|DLM|
DLM|WUH,|WUH|URC|IST|DLM|
DLM|SZX,|SZX|CKG|URC|IST|DLM|
DLM|CKG,|CKG|URC|IST|DLM|
DLM|KMG,|KMG|CTU|URC|IST|DLM|
DLM|FOC,|FOC|XIY|URC|IST|DLM|
DLM|NNG,|NNG|KWE|URC|IST|DLM|
DLM|SWA,|SWA|CAN|IST|DLM|
DLM|ACX,|ACX|CAN|IST|DLM|
DLM|AQG,|AQG|CAN|IST|DLM|
DLM|AVA,|AVA|CAN|IST|DLM|
DLM|BFJ,|BFJ|CAN|IST|DLM|
DLM|BHY,|BHY|CKG|URC|IST|DLM|
DLM|BNE,|BNE|BKK|IST|DLM|
DLM|CGD,|CGD|PEK|IST|DLM|
DLM|CGK,|CGK|SIN|IST|DLM|
DLM|CGQ,|CGQ|HET|URC|IST|DLM|
DLM|CIH,|CIH|PEK|IST|DLM|
DLM|CNX,|CNX|CAN|IST|DLM|
DLM|CZX,|CZX|TYN|URC|IST|DLM|
DLM|DAC,|DAC|IST|DLM|
DLM|DAD,|DAD|CAN|IST|DLM|
DLM|DEL,|DEL|IST|DLM|
DLM|DIG,|DIG|KMG|CTU|URC|IST|DLM|
DLM|DLC,|DLC|PEK|IST|DLM|
DLM|DPS,|DPS|CAN|IST|DLM|
DLM|DXB,|DXB|IST|DLM|
DLM|DYG,|DYG|CSX|URC|IST|DLM|
DLM|FUG,|FUG|CAN|IST|DLM|
DLM|FUK,|FUK|ICN|IST|DLM|
DLM|HAK,|HAK|CTU|URC|IST|DLM|
DLM|HAN,|HAN|CAN|IST|DLM|
DLM|HDG,|HDG|CAN|IST|DLM|
DLM|HET,|HET|URC|IST|DLM|
DLM|HFE,|HFE|XIY|URC|IST|DLM|
DLM|HJJ,|HJJ|CSX|URC|IST|DLM|
DLM|HKT,|HKT|KWE|URC|IST|DLM|
DLM|HRB,|HRB|PEK|IST|DLM|
DLM|HZH,|HZH|CAN|IST|DLM|
DLM|JIU,|JIU|CAN|IST|DLM|
DLM|JJN,|JJN|CSX|URC|IST|DLM|
DLM|JNG,|JNG|CAN|IST|DLM|
DLM|KHN,|KHN|XIY|URC|IST|DLM|
DLM|KIX,|KIX|IST|DLM|
DLM|KOW,|KOW|CAN|IST|DLM|
DLM|KTM,|KTM|IST|DLM|
DLM|KUL,|KUL|IST|DLM|
DLM|KWE,|KWE|URC|IST|DLM|
DLM|KWL,|KWL|CKG|URC|IST|DLM|
DLM|LHW,|LHW|URC|IST|DLM|
DLM|LYA,|LYA|KHN|XIY|URC|IST|DLM|
DLM|LYG,|LYG|XUZ|INC|URC|IST|DLM|
DLM|LZH,|LZH|CAN|IST|DLM|
DLM|MEL,|MEL|BKK|IST|DLM|
DLM|MIG,|MIG|CSX|URC|IST|DLM|
DLM|MLE,|MLE|IST|DLM|
DLM|MNL,|MNL|CAN|IST|DLM|
DLM|MXZ,|MXZ|CAN|IST|DLM|
DLM|NAO,|NAO|PEK|IST|DLM|
DLM|NGB,|NGB|WUH|URC|IST|DLM|
DLM|NKG,|NKG|URC|IST|DLM|
DLM|NNY,|NNY|CGO|URC|IST|DLM|
DLM|PEN,|PEN|CAN|IST|DLM|
DLM|PER,|PER|BKK|IST|DLM|
DLM|PNH,|PNH|CAN|IST|DLM|
DLM|REP,|REP|CAN|IST|DLM|
DLM|RGN,|RGN|CAN|IST|DLM|
DLM|SGN,|SGN|BKK|IST|DLM|
DLM|SHA,|SHA|URC|IST|DLM|
DLM|SIN,|SIN|IST|DLM|
DLM|SVO,|SVO|URC|IST|DLM|
DLM|SYX,|SYX|CKG|URC|IST|DLM|
DLM|TAO,|TAO|TYN|URC|IST|DLM|
DLM|TEN,|TEN|CAN|IST|DLM|
DLM|TNA,|TNA|URC|IST|DLM|
DLM|TPE,|TPE|URC|IST|DLM|
DLM|TSN,|TSN|HET|URC|IST|DLM|
DLM|TXN,|TXN|TYN|URC|IST|DLM|
DLM|TYN,|TYN|URC|IST|DLM|
DLM|WNZ,|WNZ|XIY|URC|IST|DLM|
DLM|WUX,|WUX|CAN|IST|DLM|
DLM|XFN,|XFN|CAN|IST|DLM|
DLM|XIY,|XIY|URC|IST|DLM|
DLM|XUZ,|XUZ|INC|URC|IST|DLM|
DLM|YIH,|YIH|CKG|URC|IST|DLM|
DLM|YIW,|YIW|URC|IST|DLM|
DLM|YNT,|YNT|SHE|PEK|IST|DLM|
DLM|YNZ,|YNZ|WUH|URC|IST|DLM|
DLM|YTY,|YTY|CGO|URC|IST|DLM|
DLM|ZHA,|ZHA|CAN|IST|DLM|
DLM|ZYI,|ZYI|CAN|IST|DLM|
DLM|BAV,|BAV|URC|IST|DLM|
DLM|CJU,|CJU|DLC|PEK|IST|DLM|
DLM|DSN,|DSN|CGO|URC|IST|DLM|
DLM|HMI,|HMI|URC|IST|DLM|
DLM|INC,|INC|URC|IST|DLM|
DLM|KHH,|KHH|WUH|URC|IST|DLM|
DLM|UYN,|UYN|XIY|URC|IST|DLM|
DLM|XNN,|XNN|URC|IST|DLM|
DLM|ZUH,|ZUH|KWE|URC|IST|DLM|
DLM|YNJ,|YNJ|PEK|IST|DLM|
DLM|DAT,|DAT|TYN|URC|IST|DLM|
DLM|JHG,|JHG|KMG|CTU|URC|IST|DLM|
DLM|LJG,|LJG|KMG|CTU|URC|IST|DLM|
DLM|LXA,|LXA|CKG|URC|IST|DLM|
DLM|YCU,|YCU|CKG|URC|IST|DLM|
DLM|LZO,|LZO|CSX|URC|IST|DLM|
DLM|MDG,|MDG|DLC|PEK|IST|DLM|
DLM|NGO,|NGO|ICN|IST|DLM|
DLM|TOY,|TOY|DLC|PEK|IST|DLM|
DLM|MFM,|MFM|XMN|CSX|URC|IST|DLM|
DLM|TGO,|TGO|HET|URC|IST|DLM|
DLM|XIL,|XIL|HET|URC|IST|DLM|
DLM|HEK,|HEK|HRB|PEK|IST|DLM|
DLM|KIJ,|KIJ|HRB|PEK|IST|DLM|
DLM|LDS,|LDS|HRB|PEK|IST|DLM|
DLM|OHE,|OHE|HRB|PEK|IST|DLM|
DLM|HSN,|HSN|LYG|XUZ|INC|URC|IST|DLM|
DLM|DLU,|DLU|KMG|CTU|URC|IST|DLM|
DLM|SYM,|SYM|KMG|CTU|URC|IST|DLM|
DLM|ZAT,|ZAT|KMG|CTU|URC|IST|DLM|
DLM|LUN,|LUN|NBO|IST|DLM|
DLM|AOG,|AOG|PEK|IST|DLM|
DLM|GMP,|GMP|PEK|IST|DLM|
DLM|ISB,|ISB|IST|DLM|
DLM|TAS,|TAS|IST|DLM|
DLM|WUS,|WUS|PEK|IST|DLM|
DLM|JMU,|JMU|PVG|IST|DLM|
DLM|NDG,|NDG|PVG|IST|DLM|
DLM|JXA,|JXA|SHE|PEK|IST|DLM|
DLM|PUS,|PUS|SHE|PEK|IST|DLM|
DLM|BKI,|BKI|SZX|CKG|URC|IST|DLM|
DLM|AKU,|AKU|URC|IST|DLM|
DLM|ALA,|ALA|IST|DLM|
DLM|ASB,|ASB|IST|DLM|
DLM|DNH,|DNH|URC|IST|DLM|
DLM|DYU,|DYU|IST|DLM|
DLM|FRU,|FRU|IST|DLM|
DLM|GYD,|GYD|IST|DLM|
DLM|HTN,|HTN|URC|IST|DLM|
DLM|IKA,|IKA|IST|DLM|
DLM|KCA,|KCA|URC|IST|DLM|
DLM|KHG,|KHG|URC|IST|DLM|
DLM|KRL,|KRL|URC|IST|DLM|
DLM|KRY,|KRY|URC|IST|DLM|
DLM|LBD,|LBD|URC|IST|DLM|
DLM|NLT,|NLT|URC|IST|DLM|
DLM|OSS,|OSS|IST|DLM|
DLM|OVB,|OVB|IST|DLM|
DLM|TBS,|TBS|IST|DLM|
DLM|TCG,|TCG|URC|IST|DLM|
DLM|TSE,|TSE|IST|DLM|
DLM|YIN,|YIN|URC|IST|DLM|
DLM|ENH,|ENH|WUH|URC|IST|DLM|
DLM|ENY,|ENY|XIY|URC|IST|DLM|
DLM|WXN,|WXN|XIY|URC|IST|DLM|
DLM|BLL,|BLL|IST|DLM|
DLM|ESB,|ESB|IST|DLM|
DLM|SAW,|SAW|ADB|IST|DLM|
DLM|HAM,|HAM|IST|DLM|
DLM|HRE,|HRE|ADD|IST|DLM|
DLM|JUB,|JUB|CAI|IST|DLM|
DLM|SSG,|SSG|DLA|IST|DLM|
DLM|BGW,|BGW|IST|DLM|
DLM|EBL,|EBL|IST|DLM|
DLM|VKO,|VKO|IST|DLM|
DLM|MCT,|MCT|IST|DLM|
DLM|AYT,|AYT|IST|DLM|
DLM|SCQ,|SCQ|BIO|IST|DLM|
DLM|AAL,|AAL|IST|DLM|
DLM|AOE,|AOE|BRU|IST|DLM|
DLM|JNB,|JNB|IST|DLM|
DLM|LBV,|LBV|DLA|IST|DLM|
DLM|ADA,|ADA|IST|DLM|
DLM|ADB,|ADB|IST|DLM|
DLM|ADF,|ADF|IST|DLM|
DLM|AJI,|AJI|IST|DLM|
DLM|BAL,|BAL|IST|DLM|
DLM|BJV,|BJV|IST|DLM|
DLM|CKZ,|CKZ|ESB|IST|DLM|
DLM|DIY,|DIY|IST|DLM|
DLM|ECN,|ECN|IST|DLM|
DLM|ERC,|ERC|IST|DLM|
DLM|ERZ,|ERZ|IST|DLM|
DLM|EZS,|EZS|IST|DLM|
DLM|GNY,|GNY|IST|DLM|
DLM|GZP,|GZP|ESB|IST|DLM|
DLM|GZT,|GZT|IST|DLM|
DLM|HTY,|HTY|IST|DLM|
DLM|KCM,|KCM|IST|DLM|
DLM|KSY,|KSY|IST|DLM|
DLM|MLX,|MLX|IST|DLM|
DLM|MQM,|MQM|IST|DLM|
DLM|MSR,|MSR|IST|DLM|
DLM|TEQ,|TEQ|ESB|IST|DLM|
DLM|TZX,|TZX|IST|DLM|
DLM|VAN,|VAN|IST|DLM|
DLM|ULN,|ULN|FRU|IST|DLM|
DLM|HIJ,|HIJ|ICN|IST|DLM|
DLM|VVO,|VVO|ICN|IST|DLM|
DLM|ACC,|ACC|IST|DLM|
DLM|AER,|AER|IST|DLM|
DLM|AGP,|AGP|IST|DLM|
DLM|ALG,|ALG|IST|DLM|
DLM|AMM,|AMM|IST|DLM|
DLM|AQJ,|AQJ|IST|DLM|
DLM|ARN,|ARN|IST|DLM|
DLM|ASR,|ASR|IST|DLM|
DLM|ATH,|ATH|IST|DLM|
DLM|BAH,|BAH|IST|DLM|
DLM|BEG,|BEG|IST|DLM|
DLM|BEN,|BEN|IST|DLM|
DLM|BEY,|BEY|IST|DLM|
DLM|BHX,|BHX|IST|DLM|
DLM|BIO,|BIO|IST|DLM|
DLM|BLQ,|BLQ|IST|DLM|
DLM|BOM,|BOM|IST|DLM|
DLM|BRE,|BRE|IST|DLM|
DLM|BSL,|BSL|IST|DLM|
DLM|BSR,|BSR|IST|DLM|
DLM|BUD,|BUD|IST|DLM|
DLM|BUS,|BUS|IST|DLM|
DLM|CAI,|CAI|IST|DLM|
DLM|CGN,|CGN|IST|DLM|
DLM|CMN,|CMN|IST|DLM|
DLM|CND,|CND|IST|DLM|
DLM|DAR,|DAR|IST|DLM|
DLM|DMM,|DMM|IST|DLM|
DLM|DNK,|DNK|IST|DLM|
DLM|DNZ,|DNZ|IST|DLM|
DLM|DOK,|DOK|IST|DLM|
DLM|DUS,|DUS|IST|DLM|
DLM|EDI,|EDI|IST|DLM|
DLM|ELQ,|ELQ|IST|DLM|
DLM|FDH,|FDH|IST|DLM|
