MFE|YXJ,|YXJ|YYC|IAH|MFE|
MFE|YXS,|YXS|YYC|IAH|MFE|
MFE|YXT,|YXT|YVR|IAH|MFE|
MFE|YXY,|YXY|YVR|IAH|MFE|
MFE|YYD,|YYD|YVR|IAH|MFE|
MFE|YYF,|YYF|YVR|IAH|MFE|
MFE|YZP,|YZP|YVR|IAH|MFE|
MFE|YQT,|YQT|YYZ|IAH|MFE|
MFE|SJD,|SJD|IAH|MFE|
MFE|YQF,|YQF|YYC|IAH|MFE|
MFE|YQL,|YQL|YYC|IAH|MFE|
MFE|YXH,|YXH|YYC|IAH|MFE|
MFE|YWK,|YWK|YZV|YUL|IAH|MFE|
MFE|ANU,|ANU|EWR|IAH|MFE|
MFE|AUA,|AUA|ATL|IAH|MFE|
MFE|AUH,|AUH|YYZ|IAH|MFE|
MFE|BCN,|BCN|EWR|IAH|MFE|
MFE|BDA,|BDA|EWR|IAH|MFE|
MFE|BGI,|BGI|YYZ|IAH|MFE|
MFE|BNA,|BNA|IAH|MFE|
MFE|BOG,|BOG|IAH|MFE|
MFE|BWI,|BWI|IAH|MFE|
MFE|CLE,|CLE|IAH|MFE|
MFE|CLT,|CLT|IAH|MFE|
MFE|CMH,|CMH|IAH|MFE|
MFE|CVG,|CVG|IAH|MFE|
MFE|DFW,|DFW|IAH|MFE|
MFE|DTW,|DTW|IAH|MFE|
MFE|DUB,|DUB|YYZ|IAH|MFE|
MFE|FCO,|FCO|EWR|IAH|MFE|
MFE|GCM,|GCM|IAH|MFE|
MFE|GGT,|GGT|FLL|IAH|MFE|
MFE|GND,|GND|YYZ|IAH|MFE|
MFE|GRU,|GRU|IAH|MFE|
MFE|HAV,|HAV|YYZ|IAH|MFE|
MFE|IND,|IND|IAH|MFE|
MFE|JFK,|JFK|IAD|IAH|MFE|
MFE|KIN,|KIN|YYZ|IAH|MFE|
MFE|LIM,|LIM|IAH|MFE|
MFE|LIR,|LIR|IAH|MFE|
MFE|MCI,|MCI|IAH|MFE|
MFE|MDT,|MDT|IAD|IAH|MFE|
MFE|MIA,|MIA|IAH|MFE|
MFE|MKE,|MKE|IAH|MFE|
MFE|MSP,|MSP|IAH|MFE|
MFE|NAS,|NAS|IAH|MFE|
MFE|PHL,|PHL|IAH|MFE|
MFE|PHX,|PHX|IAH|MFE|
MFE|PIT,|PIT|IAH|MFE|
MFE|PLS,|PLS|EWR|IAH|MFE|
MFE|POP,|POP|EWR|IAH|MFE|
MFE|RDU,|RDU|IAH|MFE|
MFE|ROC,|ROC|CLE|IAH|MFE|
MFE|RSW,|RSW|IAH|MFE|
MFE|SAN,|SAN|IAH|MFE|
MFE|SJO,|SJO|IAH|MFE|
MFE|STL,|STL|IAH|MFE|
MFE|SYR,|SYR|CLE|IAH|MFE|
MFE|TLV,|TLV|YYZ|IAH|MFE|
MFE|TPA,|TPA|IAH|MFE|
MFE|UVF,|UVF|EWR|IAH|MFE|
MFE|VIE,|VIE|YYZ|IAH|MFE|
MFE|YAM,|YAM|YYZ|IAH|MFE|
MFE|YGK,|YGK|YYZ|IAH|MFE|
MFE|YQG,|YQG|YYZ|IAH|MFE|
MFE|YSB,|YSB|YYZ|IAH|MFE|
MFE|YTS,|YTS|YYZ|IAH|MFE|
MFE|YYB,|YYB|YYZ|IAH|MFE|
MFE|YZR,|YZR|YYZ|IAH|MFE|
MFE|CAN,|CAN|YVR|IAH|MFE|
MFE|URC,|URC|PEK|IAH|MFE|
MFE|CTU,|CTU|PEK|IAH|MFE|
MFE|HGH,|HGH|PEK|IAH|MFE|
MFE|XMN,|XMN|PEK|IAH|MFE|
MFE|CGO,|CGO|PEK|IAH|MFE|
MFE|CSX,|CSX|PEK|IAH|MFE|
MFE|SHE,|SHE|ICN|YVR|IAH|MFE|
MFE|SJW,|SJW|DLC|ICN|YVR|IAH|MFE|
MFE|WUH,|WUH|PEK|IAH|MFE|
MFE|SZX,|SZX|PVG|YVR|IAH|MFE|
MFE|CKG,|CKG|PEK|IAH|MFE|
MFE|KMG,|KMG|PEK|IAH|MFE|
MFE|FOC,|FOC|PEK|IAH|MFE|
MFE|NNG,|NNG|PEK|IAH|MFE|
MFE|SWA,|SWA|PEK|IAH|MFE|
MFE|ACX,|ACX|CAN|YVR|IAH|MFE|
MFE|AQG,|AQG|CAN|YVR|IAH|MFE|
MFE|AVA,|AVA|CAN|YVR|IAH|MFE|
MFE|BFJ,|BFJ|CAN|YVR|IAH|MFE|
MFE|BHY,|BHY|CGO|PEK|IAH|MFE|
MFE|BNE,|BNE|CAN|YVR|IAH|MFE|
MFE|CGD,|CGD|PEK|IAH|MFE|
MFE|CGK,|CGK|CAN|YVR|IAH|MFE|
MFE|CGQ,|CGQ|ICN|YVR|IAH|MFE|
MFE|CIH,|CIH|PEK|IAH|MFE|
MFE|CNX,|CNX|CAN|YVR|IAH|MFE|
MFE|CZX,|CZX|SHE|ICN|YVR|IAH|MFE|
MFE|DAC,|DAC|CAN|YVR|IAH|MFE|
MFE|DAD,|DAD|CAN|YVR|IAH|MFE|
MFE|DEL,|DEL|EWR|IAH|MFE|
MFE|DIG,|DIG|KMG|PEK|IAH|MFE|
MFE|DLC,|DLC|ICN|YVR|IAH|MFE|
MFE|DPS,|DPS|SZX|PVG|YVR|IAH|MFE|
