TLS|YQZ,|YQZ|YVR|MUC|IST|TLS|
TLS|YXC,|YXC|YYC|FRA|IST|TLS|
TLS|YXJ,|YXJ|YYC|FRA|IST|TLS|
TLS|YXS,|YXS|YYC|FRA|IST|TLS|
TLS|YXT,|YXT|YVR|MUC|IST|TLS|
TLS|YXY,|YXY|YVR|MUC|IST|TLS|
TLS|YYD,|YYD|YVR|MUC|IST|TLS|
TLS|YYF,|YYF|YVR|MUC|IST|TLS|
TLS|YZP,|YZP|YVR|MUC|IST|TLS|
TLS|YQT,|YQT|YYZ|IST|TLS|
TLS|SJD,|SJD|ORD|IST|TLS|
TLS|YQF,|YQF|YYC|FRA|IST|TLS|
TLS|YQL,|YQL|YYC|FRA|IST|TLS|
TLS|YXH,|YXH|YYC|FRA|IST|TLS|
TLS|YWK,|YWK|YYR|YYT|LHR|IST|TLS|
TLS|ANU,|ANU|EWR|BHX|IST|TLS|
TLS|AUA,|AUA|EWR|BHX|IST|TLS|
TLS|AUH,|AUH|IST|TLS|
TLS|BCN,|BCN|IST|TLS|
TLS|BDA,|BDA|EWR|BHX|IST|TLS|
TLS|BGI,|BGI|YYZ|IST|TLS|
TLS|BNA,|BNA|YYZ|IST|TLS|
TLS|BOG,|BOG|MIA|ZRH|IST|TLS|
TLS|BWI,|BWI|EWR|BHX|IST|TLS|
TLS|CLE,|CLE|YYZ|IST|TLS|
TLS|CLT,|CLT|EWR|BHX|IST|TLS|
TLS|CMH,|CMH|YYZ|IST|TLS|
TLS|CVG,|CVG|YYZ|IST|TLS|
TLS|DFW,|DFW|ORD|IST|TLS|
TLS|DTW,|DTW|FRA|IST|TLS|
TLS|DUB,|DUB|IST|TLS|
TLS|FCO,|FCO|IST|TLS|
TLS|GCM,|GCM|EWR|BHX|IST|TLS|
TLS|GGT,|GGT|FLL|MCO|FRA|IST|TLS|
TLS|GND,|GND|YYZ|IST|TLS|
TLS|GRU,|GRU|IST|TLS|
TLS|HAV,|HAV|YYZ|IST|TLS|
TLS|IND,|IND|YYZ|IST|TLS|
TLS|JFK,|JFK|IST|TLS|
TLS|KIN,|KIN|YYZ|IST|TLS|
TLS|LIM,|LIM|MIA|ZRH|IST|TLS|
TLS|LIR,|LIR|EWR|BHX|IST|TLS|
TLS|MCI,|MCI|ORD|IST|TLS|
TLS|MDT,|MDT|IAD|IST|TLS|
TLS|MIA,|MIA|ZRH|IST|TLS|
TLS|MKE,|MKE|YYZ|IST|TLS|
TLS|MSP,|MSP|YUL|FRA|IST|TLS|
TLS|NAS,|NAS|EWR|BHX|IST|TLS|
TLS|PHL,|PHL|IAD|IST|TLS|
TLS|PHX,|PHX|DEN|FRA|IST|TLS|
TLS|PIT,|PIT|YYZ|IST|TLS|
TLS|PLS,|PLS|EWR|BHX|IST|TLS|
TLS|POP,|POP|EWR|BHX|IST|TLS|
TLS|RDU,|RDU|EWR|BHX|IST|TLS|
TLS|ROC,|ROC|YYZ|IST|TLS|
TLS|RSW,|RSW|MCO|FRA|IST|TLS|
TLS|SAN,|SAN|LAX|IST|TLS|
TLS|SJO,|SJO|EWR|BHX|IST|TLS|
TLS|STL,|STL|ORD|IST|TLS|
TLS|SYR,|SYR|EWR|BHX|IST|TLS|
TLS|TLV,|TLV|IST|TLS|
TLS|TPA,|TPA|EWR|BHX|IST|TLS|
TLS|UVF,|UVF|EWR|BHX|IST|TLS|
TLS|VIE,|VIE|IST|TLS|
TLS|YAM,|YAM|YYZ|IST|TLS|
TLS|YGK,|YGK|YYZ|IST|TLS|
TLS|YQG,|YQG|YYZ|IST|TLS|
TLS|YSB,|YSB|YYZ|IST|TLS|
TLS|YTS,|YTS|YYZ|IST|TLS|
TLS|YYB,|YYB|YYZ|IST|TLS|
TLS|YZR,|YZR|YYZ|IST|TLS|
TLS|CAN,|CAN|IST|TLS|
TLS|URC,|URC|IST|TLS|
TLS|CTU,|CTU|URC|IST|TLS|
TLS|HGH,|HGH|URC|IST|TLS|
TLS|XMN,|XMN|CSX|URC|IST|TLS|
TLS|CGO,|CGO|URC|IST|TLS|
TLS|CSX,|CSX|URC|IST|TLS|
TLS|SHE,|SHE|PEK|IST|TLS|
TLS|SJW,|SJW|URC|IST|TLS|
TLS|WUH,|WUH|URC|IST|TLS|
TLS|SZX,|SZX|CKG|URC|IST|TLS|
TLS|CKG,|CKG|URC|IST|TLS|
TLS|KMG,|KMG|CTU|URC|IST|TLS|
TLS|FOC,|FOC|XIY|URC|IST|TLS|
TLS|NNG,|NNG|KWE|URC|IST|TLS|
TLS|SWA,|SWA|CAN|IST|TLS|
TLS|ACX,|ACX|CAN|IST|TLS|
TLS|AQG,|AQG|CAN|IST|TLS|
TLS|AVA,|AVA|CAN|IST|TLS|
TLS|BFJ,|BFJ|CAN|IST|TLS|
TLS|BHY,|BHY|CKG|URC|IST|TLS|
TLS|BNE,|BNE|BKK|IST|TLS|
TLS|CGD,|CGD|PEK|IST|TLS|
TLS|CGK,|CGK|SIN|IST|TLS|
TLS|CGQ,|CGQ|HET|URC|IST|TLS|
TLS|CIH,|CIH|PEK|IST|TLS|
TLS|CNX,|CNX|CAN|IST|TLS|
TLS|CZX,|CZX|TYN|URC|IST|TLS|
TLS|DAC,|DAC|IST|TLS|
TLS|DAD,|DAD|CAN|IST|TLS|
TLS|DEL,|DEL|IST|TLS|
TLS|DIG,|DIG|KMG|CTU|URC|IST|TLS|
TLS|DLC,|DLC|PEK|IST|TLS|
TLS|DPS,|DPS|CAN|IST|TLS|
TLS|DXB,|DXB|IST|TLS|
TLS|DYG,|DYG|CSX|URC|IST|TLS|
TLS|FUG,|FUG|CAN|IST|TLS|
TLS|FUK,|FUK|ICN|IST|TLS|
TLS|HAK,|HAK|CTU|URC|IST|TLS|
TLS|HAN,|HAN|CAN|IST|TLS|
TLS|HDG,|HDG|CAN|IST|TLS|
TLS|HET,|HET|URC|IST|TLS|
TLS|HFE,|HFE|XIY|URC|IST|TLS|
