CMH|YZP,|YZP|YVR|ORD|CMH|
CMH|YQT,|YQT|YYZ|CMH|
CMH|SJD,|SJD|IAH|CMH|
CMH|YQF,|YQF|YYC|ORD|CMH|
CMH|YQL,|YQL|YYC|ORD|CMH|
CMH|YXH,|YXH|YYC|ORD|CMH|
CMH|YWK,|YWK|YZV|YQB|YYZ|CMH|
CMH|ANU,|ANU|EWR|CMH|
CMH|AUA,|AUA|ATL|CMH|
CMH|AUH,|AUH|YYZ|CMH|
CMH|BCN,|BCN|YYZ|CMH|
CMH|BDA,|BDA|EWR|CMH|
CMH|BGI,|BGI|YYZ|CMH|
CMH|BNA,|BNA|CMH|
CMH|BOG,|BOG|IAD|CMH|
CMH|BWI,|BWI|CMH|
CMH|CLE,|CLE|CMH|
CMH|CLT,|CLT|CLE|CMH|
CMH|CVG,|CVG|ORD|CMH|
CMH|DFW,|DFW|ORD|CMH|
CMH|DTW,|DTW|MDW|CMH|
CMH|DUB,|DUB|YYZ|CMH|
CMH|FCO,|FCO|YYZ|CMH|
CMH|GCM,|GCM|IAD|CMH|
CMH|GGT,|GGT|FLL|CMH|
CMH|GND,|GND|YYZ|CMH|
CMH|GRU,|GRU|IAD|CMH|
CMH|HAV,|HAV|YYZ|CMH|
CMH|IND,|IND|CLE|CMH|
CMH|JFK,|JFK|IAD|CMH|
CMH|KIN,|KIN|YYZ|CMH|
CMH|LIM,|LIM|MIA|IAD|CMH|
CMH|LIR,|LIR|IAH|CMH|
CMH|MCI,|MCI|STL|CMH|
CMH|MDT,|MDT|IAD|CMH|
CMH|MIA,|MIA|IAD|CMH|
CMH|MKE,|MKE|ORD|CMH|
CMH|MSP,|MSP|ORD|CMH|
CMH|NAS,|NAS|ATL|CMH|
CMH|PHL,|PHL|IAD|CMH|
CMH|PHX,|PHX|CMH|
CMH|PIT,|PIT|IAD|CMH|
CMH|PLS,|PLS|EWR|CMH|
CMH|POP,|POP|EWR|CMH|
CMH|RDU,|RDU|IAD|CMH|
CMH|ROC,|ROC|CLE|CMH|
CMH|RSW,|RSW|CMH|
CMH|SAN,|SAN|STL|CMH|
CMH|SJO,|SJO|IAD|CMH|
CMH|STL,|STL|CMH|
CMH|SYR,|SYR|CLE|CMH|
CMH|TLV,|TLV|YYZ|CMH|
CMH|TPA,|TPA|CMH|
CMH|UVF,|UVF|EWR|CMH|
CMH|VIE,|VIE|YYZ|CMH|
CMH|YAM,|YAM|YYZ|CMH|
CMH|YGK,|YGK|YYZ|CMH|
CMH|YQG,|YQG|YYZ|CMH|
CMH|YSB,|YSB|YYZ|CMH|
CMH|YTS,|YTS|YYZ|CMH|
CMH|YYB,|YYB|YYZ|CMH|
CMH|YZR,|YZR|YYZ|CMH|
CMH|CAN,|CAN|PEK|ORD|CMH|
CMH|URC,|URC|TSE|FRA|YYZ|CMH|
CMH|CTU,|CTU|PEK|ORD|CMH|
CMH|HGH,|HGH|PEK|ORD|CMH|
CMH|XMN,|XMN|PEK|ORD|CMH|
CMH|CGO,|CGO|PEK|ORD|CMH|
CMH|CSX,|CSX|PEK|ORD|CMH|
CMH|SHE,|SHE|PEK|ORD|CMH|
CMH|SJW,|SJW|DLC|PEK|ORD|CMH|
CMH|WUH,|WUH|PEK|ORD|CMH|
CMH|SZX,|SZX|PEK|ORD|CMH|
CMH|CKG,|CKG|PEK|ORD|CMH|
CMH|KMG,|KMG|PEK|ORD|CMH|
CMH|FOC,|FOC|PEK|ORD|CMH|
CMH|NNG,|NNG|PEK|ORD|CMH|
CMH|SWA,|SWA|PEK|ORD|CMH|
CMH|ACX,|ACX|CAN|PEK|ORD|CMH|
CMH|AQG,|AQG|CAN|PEK|ORD|CMH|
CMH|AVA,|AVA|CAN|PEK|ORD|CMH|
CMH|BFJ,|BFJ|CAN|PEK|ORD|CMH|
CMH|BHY,|BHY|CGO|PEK|ORD|CMH|
CMH|BNE,|BNE|CAN|PEK|ORD|CMH|
CMH|CGD,|CGD|PEK|ORD|CMH|
CMH|CGK,|CGK|CAN|PEK|ORD|CMH|
CMH|CGQ,|CGQ|PEK|ORD|CMH|
CMH|CIH,|CIH|PEK|ORD|CMH|
CMH|CNX,|CNX|CAN|PEK|ORD|CMH|
CMH|CZX,|CZX|SHE|PEK|ORD|CMH|
CMH|DAC,|DAC|IST|YYZ|CMH|
CMH|DAD,|DAD|CAN|PEK|ORD|CMH|
CMH|DEL,|DEL|EWR|CMH|
CMH|DIG,|DIG|KMG|PEK|ORD|CMH|
CMH|DLC,|DLC|PEK|ORD|CMH|
CMH|DPS,|DPS|SZX|PEK|ORD|CMH|
CMH|DXB,|DXB|IST|YYZ|CMH|
CMH|DYG,|DYG|PEK|ORD|CMH|
CMH|FUG,|FUG|CAN|PEK|ORD|CMH|
CMH|FUK,|FUK|ICN|YVR|ORD|CMH|
CMH|HAK,|HAK|PEK|ORD|CMH|
CMH|HAN,|HAN|PEK|ORD|CMH|
CMH|HDG,|HDG|CAN|PEK|ORD|CMH|
CMH|HET,|HET|DLC|PEK|ORD|CMH|
CMH|HFE,|HFE|XIY|PEK|ORD|CMH|
CMH|HJJ,|HJJ|CSX|PEK|ORD|CMH|
CMH|HKT,|HKT|KWE|PEK|ORD|CMH|
CMH|HRB,|HRB|PEK|ORD|CMH|
CMH|HZH,|HZH|CAN|PEK|ORD|CMH|
CMH|JIU,|JIU|CAN|PEK|ORD|CMH|
CMH|JJN,|JJN|PEK|ORD|CMH|
CMH|JNG,|JNG|CAN|PEK|ORD|CMH|
CMH|KHN,|KHN|DLC|PEK|ORD|CMH|
CMH|KIX,|KIX|SFO|DEN|CMH|
CMH|KOW,|KOW|PEK|ORD|CMH|
CMH|KTM,|KTM|IST|YYZ|CMH|
CMH|KUL,|KUL|CAN|PEK|ORD|CMH|
CMH|KWE,|KWE|PEK|ORD|CMH|
CMH|KWL,|KWL|PEK|ORD|CMH|
CMH|LHW,|LHW|CGO|PEK|ORD|CMH|
CMH|LYA,|LYA|KHN|DLC|PEK|ORD|CMH|
CMH|LYG,|LYG|HSN|PEK|ORD|CMH|
CMH|LZH,|LZH|CAN|PEK|ORD|CMH|
CMH|MEL,|MEL|SYD|LAX|STL|CMH|
CMH|MIG,|MIG|CSX|PEK|ORD|CMH|
CMH|MLE,|MLE|IST|YYZ|CMH|
CMH|MNL,|MNL|XMN|PEK|ORD|CMH|
CMH|MXZ,|MXZ|CAN|PEK|ORD|CMH|
CMH|NAO,|NAO|PEK|ORD|CMH|
CMH|NGB,|NGB|PEK|ORD|CMH|
CMH|NKG,|NKG|DLC|PEK|ORD|CMH|
CMH|NNY,|NNY|CGO|PEK|ORD|CMH|
CMH|PEN,|PEN|CAN|PEK|ORD|CMH|
CMH|PER,|PER|CAN|PEK|ORD|CMH|
CMH|PNH,|PNH|CAN|PEK|ORD|CMH|
CMH|REP,|REP|CAN|PEK|ORD|CMH|
CMH|RGN,|RGN|CAN|PEK|ORD|CMH|
CMH|SGN,|SGN|CAN|PEK|ORD|CMH|
CMH|SHA,|SHA|PEK|ORD|CMH|
CMH|SIN,|SIN|HKG|ORD|CMH|
CMH|SVO,|SVO|URC|TSE|FRA|YYZ|CMH|
CMH|SYX,|SYX|PEK|ORD|CMH|
CMH|TAO,|TAO|DLC|PEK|ORD|CMH|
CMH|TEN,|TEN|PEK|ORD|CMH|
CMH|TNA,|TNA|DLC|PEK|ORD|CMH|
CMH|TPE,|TPE|PVG|ORD|CMH|
CMH|TSN,|TSN|DLC|PEK|ORD|CMH|
CMH|TXN,|TXN|DLC|PEK|ORD|CMH|
CMH|TYN,|TYN|DAT|CIH|PEK|ORD|CMH|
CMH|WNZ,|WNZ|CGO|PEK|ORD|CMH|
CMH|WUX,|WUX|CAN|PEK|ORD|CMH|
CMH|XFN,|XFN|XMN|PEK|ORD|CMH|
CMH|XIY,|XIY|PEK|ORD|CMH|
CMH|XUZ,|XUZ|LYG|HSN|PEK|ORD|CMH|
CMH|YIH,|YIH|CKG|PEK|ORD|CMH|
CMH|YIW,|YIW|PEK|ORD|CMH|
CMH|YNT,|YNT|SHE|PEK|ORD|CMH|
CMH|YNZ,|YNZ|DLC|PEK|ORD|CMH|
CMH|YTY,|YTY|DLC|PEK|ORD|CMH|
CMH|ZHA,|ZHA|CAN|PEK|ORD|CMH|
CMH|ZYI,|ZYI|PEK|ORD|CMH|
CMH|BAV,|BAV|CGO|PEK|ORD|CMH|
CMH|CJU,|CJU|DLC|PEK|ORD|CMH|
CMH|DSN,|DSN|CGO|PEK|ORD|CMH|
CMH|HMI,|HMI|URC|TSE|FRA|YYZ|CMH|
CMH|INC,|INC|PEK|ORD|CMH|
CMH|KHH,|KHH|CGO|PEK|ORD|CMH|
CMH|UYN,|UYN|CGO|PEK|ORD|CMH|
CMH|XNN,|XNN|PEK|ORD|CMH|
CMH|ZUH,|ZUH|PEK|ORD|CMH|
CMH|YNJ,|YNJ|PEK|ORD|CMH|
CMH|DAT,|DAT|CIH|PEK|ORD|CMH|
CMH|JHG,|JHG|CKG|PEK|ORD|CMH|
CMH|LJG,|LJG|CKG|PEK|ORD|CMH|
CMH|LXA,|LXA|XIY|PEK|ORD|CMH|
CMH|YCU,|YCU|CSX|PEK|ORD|CMH|
CMH|LZO,|LZO|CSX|PEK|ORD|CMH|
CMH|MDG,|MDG|ICN|YVR|ORD|CMH|
CMH|NGO,|NGO|ICN|YVR|ORD|CMH|
CMH|TOY,|TOY|DLC|PEK|ORD|CMH|
CMH|MFM,|MFM|XMN|PEK|ORD|CMH|
CMH|TGO,|TGO|HET|DLC|PEK|ORD|CMH|
CMH|XIL,|XIL|HET|DLC|PEK|ORD|CMH|
