GRU|YWK,|YWK|YZV|YQB|EWR|GRU|
GRU|ANU,|ANU|EWR|GRU|
GRU|AUA,|AUA|IAD|GRU|
GRU|AUH,|AUH|IST|GRU|
GRU|BCN,|BCN|IST|GRU|
GRU|BDA,|BDA|EWR|GRU|
GRU|BGI,|BGI|YYZ|GRU|
GRU|BNA,|BNA|IAD|GRU|
GRU|BOG,|BOG|IAD|GRU|
GRU|BWI,|BWI|EWR|GRU|
GRU|CLE,|CLE|IAD|GRU|
GRU|CLT,|CLT|IAD|GRU|
GRU|CMH,|CMH|IAD|GRU|
GRU|CVG,|CVG|IAD|GRU|
GRU|DFW,|DFW|IAH|GRU|
GRU|DTW,|DTW|IAD|GRU|
GRU|DUB,|DUB|EWR|GRU|
GRU|FCO,|FCO|IST|GRU|
GRU|GCM,|GCM|IAH|GRU|
GRU|GGT,|GGT|FLL|IAD|GRU|
GRU|GND,|GND|YYZ|GRU|
GRU|HAV,|HAV|YYZ|GRU|
GRU|IND,|IND|IAD|GRU|
GRU|JFK,|JFK|IAD|GRU|
GRU|KIN,|KIN|YYZ|GRU|
GRU|LIM,|LIM|IAH|GRU|
GRU|LIR,|LIR|IAH|GRU|
GRU|MCI,|MCI|IAH|GRU|
GRU|MDT,|MDT|IAD|GRU|
GRU|MIA,|MIA|IAD|GRU|
GRU|MKE,|MKE|ORD|GRU|
GRU|MSP,|MSP|ORD|GRU|
GRU|NAS,|NAS|EWR|GRU|
GRU|PHL,|PHL|IAD|GRU|
GRU|PHX,|PHX|IAH|GRU|
GRU|PIT,|PIT|IAD|GRU|
GRU|PLS,|PLS|EWR|GRU|
GRU|POP,|POP|EWR|GRU|
GRU|RDU,|RDU|IAD|GRU|
GRU|ROC,|ROC|EWR|GRU|
GRU|RSW,|RSW|MCO|IAD|GRU|
GRU|SAN,|SAN|IAH|GRU|
GRU|SJO,|SJO|IAH|GRU|
GRU|STL,|STL|IAD|GRU|
GRU|SYR,|SYR|EWR|GRU|
GRU|TLV,|TLV|IST|GRU|
GRU|TPA,|TPA|IAD|GRU|
GRU|UVF,|UVF|EWR|GRU|
GRU|VIE,|VIE|IST|GRU|
GRU|YAM,|YAM|YYZ|GRU|
GRU|YGK,|YGK|YYZ|GRU|
GRU|YQG,|YQG|YYZ|GRU|
GRU|YSB,|YSB|YYZ|GRU|
GRU|YTS,|YTS|YYZ|GRU|
