YBL|AKL,|AKL|YVR|YQQ|YBL|
YBL|HKG,|HKG|YVR|YQQ|YBL|
YBL|HND,|HND|YVR|YQQ|YBL|
YBL|HNL,|HNL|YVR|YQQ|YBL|
YBL|MEX,|MEX|YVR|YQQ|YBL|
YBL|OGG,|OGG|YVR|YQQ|YBL|
YBL|PDX,|PDX|YVR|YQQ|YBL|
YBL|PEK,|PEK|YVR|YQQ|YBL|
YBL|PVG,|PVG|YVR|YQQ|YBL|
YBL|PVR,|PVR|YVR|YQQ|YBL|
YBL|SEA,|SEA|YVR|YQQ|YBL|
YBL|SYD,|SYD|YVR|YQQ|YBL|
YBL|YCD,|YCD|YVR|YQQ|YBL|
YBL|YCG,|YCG|YVR|YQQ|YBL|
YBL|YKA,|YKA|YVR|YQQ|YBL|
YBL|YPR,|YPR|YVR|YQQ|YBL|
YBL|YQZ,|YQZ|YVR|YQQ|YBL|
YBL|YXC,|YXC|YVR|YQQ|YBL|
YBL|YXJ,|YXJ|YVR|YQQ|YBL|
YBL|YXS,|YXS|YVR|YQQ|YBL|
YBL|YXT,|YXT|YVR|YQQ|YBL|
YBL|YXY,|YXY|YVR|YQQ|YBL|
YBL|YYD,|YYD|YVR|YQQ|YBL|
YBL|YYF,|YYF|YVR|YQQ|YBL|
YBL|YZP,|YZP|YVR|YQQ|YBL|
YBL|YQT,|YQT|YWG|YYC|YQQ|YBL|
YBL|SJD,|SJD|YVR|YQQ|YBL|
YBL|YQF,|YQF|YYC|YQQ|YBL|
YBL|YQL,|YQL|YYC|YQQ|YBL|
YBL|YXH,|YXH|YYC|YQQ|YBL|
YBL|YWK,|YWK|YZV|YUL|YYC|YQQ|YBL|
YBL|ANU,|ANU|YYZ|YYC|YQQ|YBL|
YBL|AUA,|AUA|ATL|DEN|YVR|YQQ|YBL|
YBL|AUH,|AUH|FRA|YVR|YQQ|YBL|
YBL|BCN,|BCN|YYZ|YYC|YQQ|YBL|
YBL|BDA,|BDA|YYZ|YYC|YQQ|YBL|
YBL|BGI,|BGI|YYZ|YYC|YQQ|YBL|
YBL|BNA,|BNA|DEN|YVR|YQQ|YBL|
YBL|BOG,|BOG|IAH|YVR|YQQ|YBL|
YBL|BWI,|BWI|ORD|YVR|YQQ|YBL|
YBL|CLE,|CLE|ORD|YVR|YQQ|YBL|
YBL|CLT,|CLT|ORD|YVR|YQQ|YBL|
YBL|CMH,|CMH|ORD|YVR|YQQ|YBL|
YBL|CVG,|CVG|ORD|YVR|YQQ|YBL|
YBL|DFW,|DFW|YVR|YQQ|YBL|
YBL|DTW,|DTW|ORD|YVR|YQQ|YBL|
YBL|DUB,|DUB|YYZ|YYC|YQQ|YBL|
YBL|FCO,|FCO|YYZ|YYC|YQQ|YBL|
YBL|GCM,|GCM|IAH|YVR|YQQ|YBL|
YBL|GGT,|GGT|FLL|DEN|YVR|YQQ|YBL|
YBL|GND,|GND|YYZ|YYC|YQQ|YBL|
YBL|GRU,|GRU|IAH|YVR|YQQ|YBL|
YBL|HAV,|HAV|YYZ|YYC|YQQ|YBL|
YBL|IND,|IND|ORD|YVR|YQQ|YBL|
YBL|JFK,|JFK|YYC|YQQ|YBL|
YBL|KIN,|KIN|YYZ|YYC|YQQ|YBL|
YBL|LIM,|LIM|IAH|YVR|YQQ|YBL|
YBL|LIR,|LIR|IAH|YVR|YQQ|YBL|
YBL|MCI,|MCI|DEN|YVR|YQQ|YBL|
YBL|MDT,|MDT|ORD|YVR|YQQ|YBL|
YBL|MIA,|MIA|DEN|YVR|YQQ|YBL|
YBL|MKE,|MKE|SEA|YVR|YQQ|YBL|
YBL|MSP,|MSP|DEN|YVR|YQQ|YBL|
YBL|NAS,|NAS|ATL|DEN|YVR|YQQ|YBL|
YBL|PHL,|PHL|YYZ|YYC|YQQ|YBL|
YBL|PHX,|PHX|SEA|YVR|YQQ|YBL|
YBL|PIT,|PIT|ORD|YVR|YQQ|YBL|
YBL|PLS,|PLS|YYZ|YYC|YQQ|YBL|
YBL|POP,|POP|YYZ|YYC|YQQ|YBL|
YBL|RDU,|RDU|ORD|YVR|YQQ|YBL|
YBL|ROC,|ROC|YYZ|YYC|YQQ|YBL|
YBL|RSW,|RSW|DEN|YVR|YQQ|YBL|
YBL|SAN,|SAN|RNO|SEA|YVR|YQQ|YBL|
YBL|SJO,|SJO|IAH|YVR|YQQ|YBL|
YBL|STL,|STL|DEN|YVR|YQQ|YBL|
YBL|SYR,|SYR|YYZ|YYC|YQQ|YBL|
YBL|TLV,|TLV|IST|MUC|YVR|YQQ|YBL|
YBL|TPA,|TPA|DEN|YVR|YQQ|YBL|
YBL|UVF,|UVF|YYZ|YYC|YQQ|YBL|
YBL|VIE,|VIE|YYZ|YYC|YQQ|YBL|
YBL|YAM,|YAM|YYZ|YYC|YQQ|YBL|
YBL|YGK,|YGK|YYZ|YYC|YQQ|YBL|
YBL|YQG,|YQG|YYC|YQQ|YBL|
YBL|YSB,|YSB|YYZ|YYC|YQQ|YBL|
YBL|YTS,|YTS|YYZ|YYC|YQQ|YBL|
YBL|YYB,|YYB|YYZ|YYC|YQQ|YBL|
YBL|YZR,|YZR|YYZ|YYC|YQQ|YBL|
YBL|CAN,|CAN|YVR|YQQ|YBL|
YBL|URC,|URC|PEK|YVR|YQQ|YBL|
YBL|CTU,|CTU|PEK|YVR|YQQ|YBL|
YBL|HGH,|HGH|DLC|ICN|YVR|YQQ|YBL|
YBL|XMN,|XMN|PEK|YVR|YQQ|YBL|
YBL|CGO,|CGO|PEK|YVR|YQQ|YBL|
YBL|CSX,|CSX|ICN|YVR|YQQ|YBL|
YBL|SHE,|SHE|ICN|YVR|YQQ|YBL|
YBL|SJW,|SJW|DLC|ICN|YVR|YQQ|YBL|
YBL|WUH,|WUH|ICN|YVR|YQQ|YBL|
YBL|SZX,|SZX|PVG|YVR|YQQ|YBL|
YBL|CKG,|CKG|PEK|YVR|YQQ|YBL|
YBL|KMG,|KMG|PEK|YVR|YQQ|YBL|
YBL|FOC,|FOC|PEK|YVR|YQQ|YBL|
YBL|NNG,|NNG|PEK|YVR|YQQ|YBL|
YBL|SWA,|SWA|PEK|YVR|YQQ|YBL|
YBL|ACX,|ACX|CAN|YVR|YQQ|YBL|
YBL|AQG,|AQG|CAN|YVR|YQQ|YBL|
YBL|AVA,|AVA|CAN|YVR|YQQ|YBL|
YBL|BFJ,|BFJ|CAN|YVR|YQQ|YBL|
YBL|BHY,|BHY|CSX|ICN|YVR|YQQ|YBL|
YBL|BNE,|BNE|CAN|YVR|YQQ|YBL|
