PHC|PVR,|PVR|IAH|LOS|PHC|
PHC|SEA,|SEA|FRA|LOS|PHC|
PHC|SYD,|SYD|BKK|IST|LOS|PHC|
PHC|YBL,|YBL|YVR|FRA|LOS|PHC|
PHC|YCD,|YCD|YVR|FRA|LOS|PHC|
PHC|YCG,|YCG|YYC|FRA|LOS|PHC|
PHC|YKA,|YKA|YYC|FRA|LOS|PHC|
PHC|YPR,|YPR|YVR|FRA|LOS|PHC|
PHC|YQZ,|YQZ|YVR|FRA|LOS|PHC|
PHC|YXC,|YXC|YYC|FRA|LOS|PHC|
PHC|YXJ,|YXJ|YYC|FRA|LOS|PHC|
PHC|YXS,|YXS|YYC|FRA|LOS|PHC|
PHC|YXT,|YXT|YVR|FRA|LOS|PHC|
PHC|YXY,|YXY|YVR|FRA|LOS|PHC|
PHC|YYD,|YYD|YVR|FRA|LOS|PHC|
PHC|YYF,|YYF|YVR|FRA|LOS|PHC|
PHC|YZP,|YZP|YVR|FRA|LOS|PHC|
PHC|YQT,|YQT|YYZ|FRA|LOS|PHC|
PHC|SJD,|SJD|IAH|LOS|PHC|
PHC|YQF,|YQF|YYC|FRA|LOS|PHC|
PHC|YQL,|YQL|YYC|FRA|LOS|PHC|
PHC|YXH,|YXH|YYC|FRA|LOS|PHC|
PHC|YWK,|YWK|YZV|YUL|FRA|LOS|PHC|
PHC|ANU,|ANU|EWR|FRA|LOS|PHC|
PHC|AUA,|AUA|EWR|FRA|LOS|PHC|
PHC|AUH,|AUH|IST|LOS|PHC|
PHC|BCN,|BCN|IST|LOS|PHC|
PHC|BDA,|BDA|EWR|FRA|LOS|PHC|
PHC|BGI,|BGI|YYZ|FRA|LOS|PHC|
PHC|BNA,|BNA|IAH|LOS|PHC|
PHC|BOG,|BOG|IAH|LOS|PHC|
PHC|BWI,|BWI|EWR|FRA|LOS|PHC|
PHC|CLE,|CLE|YYZ|FRA|LOS|PHC|
PHC|CLT,|CLT|EWR|FRA|LOS|PHC|
PHC|CMH,|CMH|YYZ|FRA|LOS|PHC|
PHC|CVG,|CVG|YYZ|FRA|LOS|PHC|
PHC|DFW,|DFW|IAH|LOS|PHC|
PHC|DTW,|DTW|FRA|LOS|PHC|
PHC|DUB,|DUB|IST|LOS|PHC|
PHC|FCO,|FCO|IST|LOS|PHC|
PHC|GCM,|GCM|IAH|LOS|PHC|
PHC|GGT,|GGT|FLL|IAH|LOS|PHC|
PHC|GND,|GND|YYZ|FRA|LOS|PHC|
PHC|GRU,|GRU|IST|LOS|PHC|
PHC|HAV,|HAV|YYZ|FRA|LOS|PHC|
PHC|IND,|IND|IAH|LOS|PHC|
PHC|JFK,|JFK|FRA|LOS|PHC|
PHC|KIN,|KIN|YYZ|FRA|LOS|PHC|
PHC|LIM,|LIM|IAH|LOS|PHC|
PHC|LIR,|LIR|IAH|LOS|PHC|
PHC|MCI,|MCI|IAH|LOS|PHC|
PHC|MDT,|MDT|IAD|FRA|LOS|PHC|
PHC|MIA,|MIA|IAH|LOS|PHC|
PHC|MKE,|MKE|YYZ|FRA|LOS|PHC|
PHC|MSP,|MSP|IAH|LOS|PHC|
PHC|NAS,|NAS|IAH|LOS|PHC|
PHC|PHL,|PHL|IAD|FRA|LOS|PHC|
PHC|PHX,|PHX|IAH|LOS|PHC|
PHC|PIT,|PIT|YYZ|FRA|LOS|PHC|
PHC|PLS,|PLS|EWR|FRA|LOS|PHC|
PHC|POP,|POP|EWR|FRA|LOS|PHC|
PHC|RDU,|RDU|EWR|FRA|LOS|PHC|
PHC|ROC,|ROC|YYZ|FRA|LOS|PHC|
PHC|RSW,|RSW|IAH|LOS|PHC|
PHC|SAN,|SAN|IAH|LOS|PHC|
PHC|SJO,|SJO|IAH|LOS|PHC|
PHC|STL,|STL|IAH|LOS|PHC|
PHC|SYR,|SYR|EWR|FRA|LOS|PHC|
PHC|TLV,|TLV|IST|LOS|PHC|
PHC|TPA,|TPA|IAH|LOS|PHC|
PHC|UVF,|UVF|EWR|FRA|LOS|PHC|
PHC|VIE,|VIE|IST|LOS|PHC|
PHC|YAM,|YAM|YYZ|FRA|LOS|PHC|
PHC|YGK,|YGK|YYZ|FRA|LOS|PHC|
PHC|YQG,|YQG|YYZ|FRA|LOS|PHC|
PHC|YSB,|YSB|YYZ|FRA|LOS|PHC|
PHC|YTS,|YTS|YYZ|FRA|LOS|PHC|
PHC|YYB,|YYB|YYZ|FRA|LOS|PHC|
PHC|YZR,|YZR|YYZ|FRA|LOS|PHC|
PHC|CAN,|CAN|IST|LOS|PHC|
PHC|URC,|URC|IST|LOS|PHC|
PHC|CTU,|CTU|URC|IST|LOS|PHC|
PHC|HGH,|HGH|URC|IST|LOS|PHC|
PHC|XMN,|XMN|CSX|URC|IST|LOS|PHC|
PHC|CGO,|CGO|URC|IST|LOS|PHC|
PHC|CSX,|CSX|URC|IST|LOS|PHC|
PHC|SHE,|SHE|PEK|IST|LOS|PHC|
PHC|SJW,|SJW|URC|IST|LOS|PHC|
PHC|WUH,|WUH|URC|IST|LOS|PHC|
PHC|SZX,|SZX|CKG|URC|IST|LOS|PHC|
PHC|CKG,|CKG|URC|IST|LOS|PHC|
PHC|KMG,|KMG|CTU|URC|IST|LOS|PHC|
PHC|FOC,|FOC|XIY|URC|IST|LOS|PHC|
PHC|NNG,|NNG|KWE|URC|IST|LOS|PHC|
PHC|SWA,|SWA|CAN|IST|LOS|PHC|
PHC|ACX,|ACX|CAN|IST|LOS|PHC|
PHC|AQG,|AQG|CAN|IST|LOS|PHC|
PHC|AVA,|AVA|CAN|IST|LOS|PHC|
PHC|BFJ,|BFJ|CAN|IST|LOS|PHC|
PHC|BHY,|BHY|CKG|URC|IST|LOS|PHC|
PHC|BNE,|BNE|BKK|IST|LOS|PHC|
PHC|CGD,|CGD|PEK|IST|LOS|PHC|
PHC|CGK,|CGK|SIN|IST|LOS|PHC|
PHC|CGQ,|CGQ|HET|URC|IST|LOS|PHC|
PHC|CIH,|CIH|PEK|IST|LOS|PHC|
PHC|CNX,|CNX|CAN|IST|LOS|PHC|
PHC|CZX,|CZX|TYN|URC|IST|LOS|PHC|
PHC|DAC,|DAC|IST|LOS|PHC|
PHC|DAD,|DAD|CAN|IST|LOS|PHC|
PHC|DEL,|DEL|IST|LOS|PHC|
PHC|DIG,|DIG|KMG|CTU|URC|IST|LOS|PHC|
PHC|DLC,|DLC|PEK|IST|LOS|PHC|
PHC|DPS,|DPS|CAN|IST|LOS|PHC|
PHC|DXB,|DXB|IST|LOS|PHC|
PHC|DYG,|DYG|CSX|URC|IST|LOS|PHC|
PHC|FUG,|FUG|CAN|IST|LOS|PHC|
PHC|FUK,|FUK|ICN|IST|LOS|PHC|
PHC|HAK,|HAK|CTU|URC|IST|LOS|PHC|
PHC|HAN,|HAN|CAN|IST|LOS|PHC|
PHC|HDG,|HDG|CAN|IST|LOS|PHC|
PHC|HET,|HET|URC|IST|LOS|PHC|
PHC|HFE,|HFE|XIY|URC|IST|LOS|PHC|
PHC|HJJ,|HJJ|CSX|URC|IST|LOS|PHC|
PHC|HKT,|HKT|KWE|URC|IST|LOS|PHC|
PHC|HRB,|HRB|PEK|IST|LOS|PHC|
PHC|HZH,|HZH|CAN|IST|LOS|PHC|
PHC|JIU,|JIU|CAN|IST|LOS|PHC|
PHC|JJN,|JJN|CSX|URC|IST|LOS|PHC|
PHC|JNG,|JNG|CAN|IST|LOS|PHC|
PHC|KHN,|KHN|XIY|URC|IST|LOS|PHC|
PHC|KIX,|KIX|IST|LOS|PHC|
PHC|KOW,|KOW|CAN|IST|LOS|PHC|
PHC|KTM,|KTM|IST|LOS|PHC|
PHC|KUL,|KUL|IST|LOS|PHC|
PHC|KWE,|KWE|URC|IST|LOS|PHC|
PHC|KWL,|KWL|CKG|URC|IST|LOS|PHC|
PHC|LHW,|LHW|URC|IST|LOS|PHC|
PHC|LYA,|LYA|KHN|XIY|URC|IST|LOS|PHC|
PHC|LYG,|LYG|XUZ|INC|URC|IST|LOS|PHC|
PHC|LZH,|LZH|CAN|IST|LOS|PHC|
PHC|MEL,|MEL|BKK|IST|LOS|PHC|
PHC|MIG,|MIG|CSX|URC|IST|LOS|PHC|
PHC|MLE,|MLE|IST|LOS|PHC|
PHC|MNL,|MNL|CAN|IST|LOS|PHC|
PHC|MXZ,|MXZ|CAN|IST|LOS|PHC|
PHC|NAO,|NAO|PEK|IST|LOS|PHC|
PHC|NGB,|NGB|WUH|URC|IST|LOS|PHC|
PHC|NKG,|NKG|URC|IST|LOS|PHC|
PHC|NNY,|NNY|CGO|URC|IST|LOS|PHC|
PHC|PEN,|PEN|CAN|IST|LOS|PHC|
PHC|PER,|PER|BKK|IST|LOS|PHC|
PHC|PNH,|PNH|CAN|IST|LOS|PHC|
PHC|REP,|REP|CAN|IST|LOS|PHC|
PHC|RGN,|RGN|CAN|IST|LOS|PHC|
PHC|SGN,|SGN|BKK|IST|LOS|PHC|
PHC|SHA,|SHA|URC|IST|LOS|PHC|
PHC|SIN,|SIN|IST|LOS|PHC|
PHC|SVO,|SVO|URC|IST|LOS|PHC|
PHC|SYX,|SYX|CKG|URC|IST|LOS|PHC|
PHC|TAO,|TAO|TYN|URC|IST|LOS|PHC|
PHC|TEN,|TEN|CAN|IST|LOS|PHC|
PHC|TNA,|TNA|URC|IST|LOS|PHC|
PHC|TPE,|TPE|URC|IST|LOS|PHC|
PHC|TSN,|TSN|HET|URC|IST|LOS|PHC|
PHC|TXN,|TXN|TYN|URC|IST|LOS|PHC|
PHC|TYN,|TYN|URC|IST|LOS|PHC|
PHC|WNZ,|WNZ|XIY|URC|IST|LOS|PHC|
PHC|WUX,|WUX|CAN|IST|LOS|PHC|
PHC|XFN,|XFN|CAN|IST|LOS|PHC|
PHC|XIY,|XIY|URC|IST|LOS|PHC|
PHC|XUZ,|XUZ|INC|URC|IST|LOS|PHC|
PHC|YIH,|YIH|CKG|URC|IST|LOS|PHC|
PHC|YIW,|YIW|URC|IST|LOS|PHC|
PHC|YNT,|YNT|SHE|PEK|IST|LOS|PHC|
PHC|YNZ,|YNZ|WUH|URC|IST|LOS|PHC|
PHC|YTY,|YTY|CGO|URC|IST|LOS|PHC|
PHC|ZHA,|ZHA|CAN|IST|LOS|PHC|
PHC|ZYI,|ZYI|CAN|IST|LOS|PHC|
PHC|BAV,|BAV|URC|IST|LOS|PHC|
