MEX|YWK,|YWK|YZV|YQB|YYZ|MEX|
MEX|ANU,|ANU|EWR|MEX|
MEX|AUA,|AUA|ATL|IAH|MEX|
MEX|AUH,|AUH|YYZ|MEX|
MEX|BCN,|BCN|EWR|MEX|
MEX|BDA,|BDA|EWR|MEX|
MEX|BGI,|BGI|YYZ|MEX|
MEX|BNA,|BNA|IAH|MEX|
MEX|BOG,|BOG|IAH|MEX|
MEX|BWI,|BWI|IAH|MEX|
MEX|CLE,|CLE|IAH|MEX|
MEX|CLT,|CLT|IAH|MEX|
MEX|CMH,|CMH|IAH|MEX|
MEX|CVG,|CVG|IAH|MEX|
MEX|DFW,|DFW|IAH|MEX|
MEX|DTW,|DTW|IAH|MEX|
MEX|DUB,|DUB|IAD|MEX|
MEX|FCO,|FCO|EWR|MEX|
MEX|GCM,|GCM|IAH|MEX|
MEX|GGT,|GGT|FLL|IAH|MEX|
MEX|GND,|GND|YYZ|MEX|
MEX|GRU,|GRU|IAH|MEX|
MEX|HAV,|HAV|YYZ|MEX|
MEX|IND,|IND|IAH|MEX|
MEX|JFK,|JFK|IAD|MEX|
MEX|KIN,|KIN|YYZ|MEX|
MEX|LIM,|LIM|IAH|MEX|
MEX|LIR,|LIR|IAH|MEX|
MEX|MCI,|MCI|IAH|MEX|
MEX|MDT,|MDT|IAD|MEX|
MEX|MIA,|MIA|IAH|MEX|
MEX|MKE,|MKE|IAH|MEX|
MEX|MSP,|MSP|IAH|MEX|
MEX|NAS,|NAS|IAH|MEX|
MEX|PHL,|PHL|IAD|MEX|
MEX|PHX,|PHX|IAH|MEX|
MEX|PIT,|PIT|IAH|MEX|
MEX|PLS,|PLS|EWR|MEX|
MEX|POP,|POP|EWR|MEX|
MEX|RDU,|RDU|IAH|MEX|
MEX|ROC,|ROC|CLE|IAH|MEX|
MEX|RSW,|RSW|IAH|MEX|
MEX|SAN,|SAN|LAX|MEX|
MEX|SJO,|SJO|IAH|MEX|
MEX|STL,|STL|IAH|MEX|
MEX|SYR,|SYR|IAD|MEX|
MEX|TLV,|TLV|EWR|MEX|
MEX|TPA,|TPA|IAH|MEX|
MEX|UVF,|UVF|EWR|MEX|
MEX|VIE,|VIE|IAD|MEX|
MEX|YAM,|YAM|YYZ|MEX|
MEX|YGK,|YGK|YYZ|MEX|
MEX|YQG,|YQG|YYZ|MEX|
MEX|YSB,|YSB|YYZ|MEX|
MEX|YTS,|YTS|YYZ|MEX|
MEX|YYB,|YYB|YYZ|MEX|
MEX|YZR,|YZR|YYZ|MEX|
MEX|CAN,|CAN|PVG|SFO|MEX|
MEX|URC,|URC|PEK|YVR|MEX|
MEX|CTU,|CTU|PEK|YVR|MEX|
MEX|HGH,|HGH|DLC|ICN|SFO|MEX|
MEX|XMN,|XMN|PEK|YVR|MEX|
MEX|CGO,|CGO|PEK|YVR|MEX|
MEX|CSX,|CSX|ICN|SFO|MEX|
MEX|SHE,|SHE|ICN|SFO|MEX|
MEX|SJW,|SJW|DLC|ICN|SFO|MEX|
MEX|WUH,|WUH|ICN|SFO|MEX|
MEX|SZX,|SZX|PVG|SFO|MEX|
MEX|CKG,|CKG|PEK|YVR|MEX|
MEX|KMG,|KMG|PEK|YVR|MEX|
MEX|FOC,|FOC|HGH|DLC|ICN|SFO|MEX|
MEX|NNG,|NNG|CSX|ICN|SFO|MEX|
MEX|SWA,|SWA|PEK|YVR|MEX|
MEX|ACX,|ACX|CAN|PVG|SFO|MEX|
MEX|AQG,|AQG|CAN|PVG|SFO|MEX|
MEX|AVA,|AVA|CAN|PVG|SFO|MEX|
MEX|BFJ,|BFJ|CAN|PVG|SFO|MEX|
MEX|BHY,|BHY|CSX|ICN|SFO|MEX|
MEX|BNE,|BNE|CAN|PVG|SFO|MEX|
MEX|CGD,|CGD|PEK|YVR|MEX|
MEX|CGK,|CGK|CAN|PVG|SFO|MEX|
MEX|CGQ,|CGQ|NRT|LAX|MEX|
MEX|CIH,|CIH|PEK|YVR|MEX|
MEX|CNX,|CNX|CAN|PVG|SFO|MEX|
MEX|CZX,|CZX|SHE|ICN|SFO|MEX|
MEX|DAC,|DAC|CAN|PVG|SFO|MEX|
MEX|DAD,|DAD|CAN|PVG|SFO|MEX|
MEX|DEL,|DEL|EWR|MEX|
MEX|DIG,|DIG|KMG|PEK|YVR|MEX|
MEX|DLC,|DLC|ICN|SFO|MEX|
MEX|DPS,|DPS|SZX|PVG|SFO|MEX|
MEX|DXB,|DXB|IAD|MEX|
MEX|DYG,|DYG|PEK|YVR|MEX|
MEX|FUG,|FUG|CAN|PVG|SFO|MEX|
MEX|FUK,|FUK|ICN|SFO|MEX|
MEX|HAK,|HAK|PVG|SFO|MEX|
MEX|HAN,|HAN|PEK|YVR|MEX|
MEX|HDG,|HDG|CAN|PVG|SFO|MEX|
MEX|HET,|HET|DLC|ICN|SFO|MEX|
MEX|HFE,|HFE|TYN|DLC|ICN|SFO|MEX|
MEX|HJJ,|HJJ|CSX|ICN|SFO|MEX|
MEX|HKT,|HKT|KWE|PEK|YVR|MEX|
MEX|HRB,|HRB|ICN|SFO|MEX|
MEX|HZH,|HZH|CAN|PVG|SFO|MEX|
