SVX|YQZ,|YQZ|YVR|MUC|IST|SVX|
SVX|YXC,|YXC|YYC|FRA|IST|SVX|
SVX|YXJ,|YXJ|YYC|FRA|IST|SVX|
SVX|YXS,|YXS|YYC|FRA|IST|SVX|
SVX|YXT,|YXT|YVR|MUC|IST|SVX|
SVX|YXY,|YXY|YVR|MUC|IST|SVX|
SVX|YYD,|YYD|YVR|MUC|IST|SVX|
SVX|YYF,|YYF|YVR|MUC|IST|SVX|
SVX|YZP,|YZP|YVR|MUC|IST|SVX|
SVX|YQT,|YQT|YYZ|IST|SVX|
SVX|SJD,|SJD|ORD|IST|SVX|
SVX|YQF,|YQF|YYC|FRA|IST|SVX|
SVX|YQL,|YQL|YYC|FRA|IST|SVX|
SVX|YXH,|YXH|YYC|FRA|IST|SVX|
SVX|YWK,|YWK|YYR|YYT|LHR|IST|SVX|
SVX|ANU,|ANU|EWR|BHX|IST|SVX|
SVX|AUA,|AUA|EWR|BHX|IST|SVX|
SVX|AUH,|AUH|IST|SVX|
SVX|BCN,|BCN|IST|SVX|
SVX|BDA,|BDA|EWR|BHX|IST|SVX|
SVX|BGI,|BGI|YYZ|IST|SVX|
SVX|BNA,|BNA|YYZ|IST|SVX|
SVX|BOG,|BOG|MIA|ZRH|IST|SVX|
SVX|BWI,|BWI|EWR|BHX|IST|SVX|
SVX|CLE,|CLE|YYZ|IST|SVX|
SVX|CLT,|CLT|EWR|BHX|IST|SVX|
SVX|CMH,|CMH|YYZ|IST|SVX|
SVX|CVG,|CVG|YYZ|IST|SVX|
SVX|DFW,|DFW|ORD|IST|SVX|
SVX|DTW,|DTW|FRA|IST|SVX|
SVX|DUB,|DUB|IST|SVX|
SVX|FCO,|FCO|IST|SVX|
SVX|GCM,|GCM|EWR|BHX|IST|SVX|
SVX|GGT,|GGT|FLL|MCO|FRA|IST|SVX|
SVX|GND,|GND|YYZ|IST|SVX|
SVX|GRU,|GRU|IST|SVX|
SVX|HAV,|HAV|YYZ|IST|SVX|
SVX|IND,|IND|YYZ|IST|SVX|
SVX|JFK,|JFK|IST|SVX|
SVX|KIN,|KIN|YYZ|IST|SVX|
SVX|LIM,|LIM|MIA|ZRH|IST|SVX|
SVX|LIR,|LIR|EWR|BHX|IST|SVX|
SVX|MCI,|MCI|ORD|IST|SVX|
