DMM|YQZ,|YQZ|YVR|MUC|IST|DMM|
DMM|YXC,|YXC|YYC|FRA|IST|DMM|
DMM|YXJ,|YXJ|YYC|FRA|IST|DMM|
DMM|YXS,|YXS|YYC|FRA|IST|DMM|
DMM|YXT,|YXT|YVR|MUC|IST|DMM|
DMM|YXY,|YXY|YVR|MUC|IST|DMM|
DMM|YYD,|YYD|YVR|MUC|IST|DMM|
DMM|YYF,|YYF|YVR|MUC|IST|DMM|
DMM|YZP,|YZP|YVR|MUC|IST|DMM|
DMM|YQT,|YQT|YYZ|IST|DMM|
DMM|SJD,|SJD|ORD|IST|DMM|
DMM|YQF,|YQF|YYC|FRA|IST|DMM|
DMM|YQL,|YQL|YYC|FRA|IST|DMM|
DMM|YXH,|YXH|YYC|FRA|IST|DMM|
DMM|YWK,|YWK|YYR|YYT|LHR|IST|DMM|
DMM|ANU,|ANU|EWR|BHX|IST|DMM|
DMM|AUA,|AUA|EWR|BHX|IST|DMM|
DMM|AUH,|AUH|IST|DMM|
DMM|BCN,|BCN|IST|DMM|
DMM|BDA,|BDA|EWR|BHX|IST|DMM|
DMM|BGI,|BGI|YYZ|IST|DMM|
DMM|BNA,|BNA|YYZ|IST|DMM|
DMM|BOG,|BOG|MIA|ZRH|IST|DMM|
DMM|BWI,|BWI|EWR|BHX|IST|DMM|
DMM|CLE,|CLE|YYZ|IST|DMM|
DMM|CLT,|CLT|EWR|BHX|IST|DMM|
DMM|CMH,|CMH|YYZ|IST|DMM|
DMM|CVG,|CVG|YYZ|IST|DMM|
DMM|DFW,|DFW|ORD|IST|DMM|
DMM|DTW,|DTW|FRA|IST|DMM|
DMM|DUB,|DUB|IST|DMM|
DMM|FCO,|FCO|IST|DMM|
DMM|GCM,|GCM|EWR|BHX|IST|DMM|
DMM|GGT,|GGT|FLL|MCO|FRA|IST|DMM|
DMM|GND,|GND|YYZ|IST|DMM|
DMM|GRU,|GRU|IST|DMM|
DMM|HAV,|HAV|YYZ|IST|DMM|
DMM|IND,|IND|YYZ|IST|DMM|
DMM|JFK,|JFK|IST|DMM|
DMM|KIN,|KIN|YYZ|IST|DMM|
DMM|LIM,|LIM|MIA|ZRH|IST|DMM|
DMM|LIR,|LIR|EWR|BHX|IST|DMM|
DMM|MCI,|MCI|ORD|IST|DMM|
DMM|MDT,|MDT|IAD|IST|DMM|
DMM|MIA,|MIA|ZRH|IST|DMM|
DMM|MKE,|MKE|YYZ|IST|DMM|
DMM|MSP,|MSP|YUL|FRA|IST|DMM|
DMM|NAS,|NAS|EWR|BHX|IST|DMM|
DMM|PHL,|PHL|IAD|IST|DMM|
DMM|PHX,|PHX|DEN|FRA|IST|DMM|
DMM|PIT,|PIT|YYZ|IST|DMM|
DMM|PLS,|PLS|EWR|BHX|IST|DMM|
DMM|POP,|POP|EWR|BHX|IST|DMM|
DMM|RDU,|RDU|EWR|BHX|IST|DMM|
DMM|ROC,|ROC|YYZ|IST|DMM|
DMM|RSW,|RSW|MCO|FRA|IST|DMM|
DMM|SAN,|SAN|LAX|IST|DMM|
DMM|SJO,|SJO|EWR|BHX|IST|DMM|
DMM|STL,|STL|ORD|IST|DMM|
DMM|SYR,|SYR|EWR|BHX|IST|DMM|
DMM|TLV,|TLV|IST|DMM|
DMM|TPA,|TPA|EWR|BHX|IST|DMM|
DMM|UVF,|UVF|EWR|BHX|IST|DMM|
DMM|VIE,|VIE|IST|DMM|
DMM|YAM,|YAM|YYZ|IST|DMM|
DMM|YGK,|YGK|YYZ|IST|DMM|
DMM|YQG,|YQG|YYZ|IST|DMM|
DMM|YSB,|YSB|YYZ|IST|DMM|
DMM|YTS,|YTS|YYZ|IST|DMM|
DMM|YYB,|YYB|YYZ|IST|DMM|
DMM|YZR,|YZR|YYZ|IST|DMM|
DMM|CAN,|CAN|IST|DMM|
DMM|URC,|URC|IST|DMM|
DMM|CTU,|CTU|URC|IST|DMM|
DMM|HGH,|HGH|URC|IST|DMM|
DMM|XMN,|XMN|CSX|URC|IST|DMM|
DMM|CGO,|CGO|URC|IST|DMM|
DMM|CSX,|CSX|URC|IST|DMM|
DMM|SHE,|SHE|PEK|IST|DMM|
DMM|SJW,|SJW|URC|IST|DMM|
DMM|WUH,|WUH|URC|IST|DMM|
DMM|SZX,|SZX|CKG|URC|IST|DMM|
DMM|CKG,|CKG|URC|IST|DMM|
DMM|KMG,|KMG|CTU|URC|IST|DMM|
DMM|FOC,|FOC|XIY|URC|IST|DMM|
DMM|NNG,|NNG|KWE|URC|IST|DMM|
DMM|SWA,|SWA|CAN|IST|DMM|
DMM|ACX,|ACX|CAN|IST|DMM|
DMM|AQG,|AQG|CAN|IST|DMM|
DMM|AVA,|AVA|CAN|IST|DMM|
DMM|BFJ,|BFJ|CAN|IST|DMM|
DMM|BHY,|BHY|CKG|URC|IST|DMM|
