MGA|YXJ,|YXJ|YYC|IAH|MGA|
MGA|YXS,|YXS|YYC|IAH|MGA|
MGA|YXT,|YXT|YVR|IAH|MGA|
MGA|YXY,|YXY|YVR|IAH|MGA|
MGA|YYD,|YYD|YVR|IAH|MGA|
MGA|YYF,|YYF|YVR|IAH|MGA|
MGA|YZP,|YZP|YVR|IAH|MGA|
MGA|YQT,|YQT|YYZ|IAH|MGA|
MGA|SJD,|SJD|IAH|MGA|
MGA|YQF,|YQF|YYC|IAH|MGA|
MGA|YQL,|YQL|YYC|IAH|MGA|
MGA|YXH,|YXH|YYC|IAH|MGA|
MGA|YWK,|YWK|YZV|YUL|IAH|MGA|
MGA|ANU,|ANU|EWR|IAH|MGA|
MGA|AUA,|AUA|ATL|IAH|MGA|
MGA|AUH,|AUH|YYZ|IAH|MGA|
MGA|BCN,|BCN|EWR|IAH|MGA|
MGA|BDA,|BDA|EWR|IAH|MGA|
MGA|BGI,|BGI|YYZ|IAH|MGA|
MGA|BNA,|BNA|IAH|MGA|
MGA|BOG,|BOG|IAH|MGA|
MGA|BWI,|BWI|IAH|MGA|
MGA|CLE,|CLE|IAH|MGA|
MGA|CLT,|CLT|IAH|MGA|
MGA|CMH,|CMH|IAH|MGA|
MGA|CVG,|CVG|IAH|MGA|
MGA|DFW,|DFW|IAH|MGA|
MGA|DTW,|DTW|IAH|MGA|
MGA|DUB,|DUB|YYZ|IAH|MGA|
MGA|FCO,|FCO|EWR|IAH|MGA|
MGA|GCM,|GCM|IAH|MGA|
MGA|GGT,|GGT|FLL|IAH|MGA|
MGA|GND,|GND|YYZ|IAH|MGA|
MGA|GRU,|GRU|IAH|MGA|
MGA|HAV,|HAV|YYZ|IAH|MGA|
MGA|IND,|IND|IAH|MGA|
MGA|JFK,|JFK|IAD|IAH|MGA|
MGA|KIN,|KIN|YYZ|IAH|MGA|
MGA|LIM,|LIM|IAH|MGA|
MGA|LIR,|LIR|IAH|MGA|
MGA|MCI,|MCI|IAH|MGA|
MGA|MDT,|MDT|IAD|IAH|MGA|
MGA|MIA,|MIA|IAH|MGA|
MGA|MKE,|MKE|IAH|MGA|
MGA|MSP,|MSP|IAH|MGA|
MGA|NAS,|NAS|IAH|MGA|
MGA|PHL,|PHL|IAH|MGA|
MGA|PHX,|PHX|IAH|MGA|
MGA|PIT,|PIT|IAH|MGA|
MGA|PLS,|PLS|EWR|IAH|MGA|
MGA|POP,|POP|EWR|IAH|MGA|
MGA|RDU,|RDU|IAH|MGA|
MGA|ROC,|ROC|CLE|IAH|MGA|
MGA|RSW,|RSW|IAH|MGA|
MGA|SAN,|SAN|IAH|MGA|
MGA|SJO,|SJO|IAH|MGA|
MGA|STL,|STL|IAH|MGA|
MGA|SYR,|SYR|CLE|IAH|MGA|
MGA|TLV,|TLV|YYZ|IAH|MGA|
MGA|TPA,|TPA|IAH|MGA|
MGA|UVF,|UVF|EWR|IAH|MGA|
MGA|VIE,|VIE|YYZ|IAH|MGA|
MGA|YAM,|YAM|YYZ|IAH|MGA|
MGA|YGK,|YGK|YYZ|IAH|MGA|
MGA|YQG,|YQG|YYZ|IAH|MGA|
MGA|YSB,|YSB|YYZ|IAH|MGA|
MGA|YTS,|YTS|YYZ|IAH|MGA|
MGA|YYB,|YYB|YYZ|IAH|MGA|
MGA|YZR,|YZR|YYZ|IAH|MGA|
MGA|CAN,|CAN|YVR|IAH|MGA|
MGA|URC,|URC|PEK|IAH|MGA|
MGA|CTU,|CTU|PEK|IAH|MGA|
MGA|HGH,|HGH|PEK|IAH|MGA|
MGA|XMN,|XMN|PEK|IAH|MGA|
MGA|CGO,|CGO|PEK|IAH|MGA|
MGA|CSX,|CSX|PEK|IAH|MGA|
MGA|SHE,|SHE|ICN|YVR|IAH|MGA|
MGA|SJW,|SJW|DLC|ICN|YVR|IAH|MGA|
MGA|WUH,|WUH|PEK|IAH|MGA|
MGA|SZX,|SZX|PVG|YVR|IAH|MGA|
MGA|CKG,|CKG|PEK|IAH|MGA|
MGA|KMG,|KMG|PEK|IAH|MGA|
MGA|FOC,|FOC|PEK|IAH|MGA|
MGA|NNG,|NNG|PEK|IAH|MGA|
MGA|SWA,|SWA|PEK|IAH|MGA|
MGA|ACX,|ACX|CAN|YVR|IAH|MGA|
MGA|AQG,|AQG|CAN|YVR|IAH|MGA|
MGA|AVA,|AVA|CAN|YVR|IAH|MGA|
MGA|BFJ,|BFJ|CAN|YVR|IAH|MGA|
MGA|BHY,|BHY|CGO|PEK|IAH|MGA|
MGA|BNE,|BNE|CAN|YVR|IAH|MGA|
MGA|CGD,|CGD|PEK|IAH|MGA|
MGA|CGK,|CGK|CAN|YVR|IAH|MGA|
MGA|CGQ,|CGQ|ICN|YVR|IAH|MGA|
MGA|CIH,|CIH|PEK|IAH|MGA|
MGA|CNX,|CNX|CAN|YVR|IAH|MGA|
MGA|CZX,|CZX|SHE|ICN|YVR|IAH|MGA|
MGA|DAC,|DAC|CAN|YVR|IAH|MGA|
MGA|DAD,|DAD|CAN|YVR|IAH|MGA|
MGA|DEL,|DEL|EWR|IAH|MGA|
MGA|DIG,|DIG|KMG|PEK|IAH|MGA|
MGA|DLC,|DLC|ICN|YVR|IAH|MGA|
MGA|DPS,|DPS|SZX|PVG|YVR|IAH|MGA|
MGA|DXB,|DXB|IST|IAH|MGA|
MGA|DYG,|DYG|PEK|IAH|MGA|
MGA|FUG,|FUG|CAN|YVR|IAH|MGA|
MGA|FUK,|FUK|ICN|YVR|IAH|MGA|
MGA|HAK,|HAK|CAN|YVR|IAH|MGA|
MGA|HAN,|HAN|PEK|IAH|MGA|
MGA|HDG,|HDG|CAN|YVR|IAH|MGA|
MGA|HET,|HET|DLC|ICN|YVR|IAH|MGA|
MGA|HFE,|HFE|XIY|PEK|IAH|MGA|
MGA|HJJ,|HJJ|CSX|PEK|IAH|MGA|
MGA|HKT,|HKT|KWE|PEK|IAH|MGA|
MGA|HRB,|HRB|ICN|YVR|IAH|MGA|
