KBP|JJN,|JJN|CSX|URC|IST|KBP|
KBP|JNG,|JNG|CAN|IST|KBP|
KBP|KHN,|KHN|XIY|URC|IST|KBP|
KBP|KIX,|KIX|IST|KBP|
KBP|KOW,|KOW|CAN|IST|KBP|
KBP|KTM,|KTM|IST|KBP|
KBP|KUL,|KUL|IST|KBP|
KBP|KWE,|KWE|URC|IST|KBP|
KBP|KWL,|KWL|CKG|URC|IST|KBP|
KBP|LHW,|LHW|URC|IST|KBP|
KBP|LYA,|LYA|KHN|XIY|URC|IST|KBP|
KBP|LYG,|LYG|XUZ|INC|URC|IST|KBP|
KBP|LZH,|LZH|CAN|IST|KBP|
KBP|MEL,|MEL|BKK|IST|KBP|
KBP|MIG,|MIG|CSX|URC|IST|KBP|
KBP|MLE,|MLE|IST|KBP|
KBP|MNL,|MNL|CAN|IST|KBP|
KBP|MXZ,|MXZ|CAN|IST|KBP|
KBP|NAO,|NAO|PEK|IST|KBP|
KBP|NGB,|NGB|WUH|URC|IST|KBP|
KBP|NKG,|NKG|URC|IST|KBP|
KBP|NNY,|NNY|CGO|URC|IST|KBP|
KBP|PEN,|PEN|CAN|IST|KBP|
KBP|PER,|PER|BKK|IST|KBP|
KBP|PNH,|PNH|CAN|IST|KBP|
KBP|REP,|REP|CAN|IST|KBP|
KBP|RGN,|RGN|CAN|IST|KBP|
KBP|SGN,|SGN|BKK|IST|KBP|
KBP|SHA,|SHA|URC|IST|KBP|
KBP|SIN,|SIN|IST|KBP|
KBP|SVO,|SVO|URC|IST|KBP|
KBP|SYX,|SYX|CKG|URC|IST|KBP|
KBP|TAO,|TAO|TYN|URC|IST|KBP|
KBP|TEN,|TEN|CAN|IST|KBP|
KBP|TNA,|TNA|URC|IST|KBP|
KBP|TPE,|TPE|URC|IST|KBP|
KBP|TSN,|TSN|HET|URC|IST|KBP|
KBP|TXN,|TXN|TYN|URC|IST|KBP|
KBP|TYN,|TYN|URC|IST|KBP|
KBP|WNZ,|WNZ|XIY|URC|IST|KBP|
KBP|WUX,|WUX|CAN|IST|KBP|
KBP|XFN,|XFN|CAN|IST|KBP|
KBP|XIY,|XIY|URC|IST|KBP|
KBP|XUZ,|XUZ|INC|URC|IST|KBP|
KBP|YIH,|YIH|CKG|URC|IST|KBP|
KBP|YIW,|YIW|URC|IST|KBP|
KBP|YNT,|YNT|SHE|PEK|IST|KBP|
KBP|YNZ,|YNZ|WUH|URC|IST|KBP|
KBP|YTY,|YTY|CGO|URC|IST|KBP|
KBP|ZHA,|ZHA|CAN|IST|KBP|
KBP|ZYI,|ZYI|CAN|IST|KBP|
KBP|BAV,|BAV|URC|IST|KBP|
KBP|CJU,|CJU|DLC|PEK|IST|KBP|
KBP|DSN,|DSN|CGO|URC|IST|KBP|
KBP|HMI,|HMI|URC|IST|KBP|
KBP|INC,|INC|URC|IST|KBP|
KBP|KHH,|KHH|WUH|URC|IST|KBP|
KBP|UYN,|UYN|XIY|URC|IST|KBP|
KBP|XNN,|XNN|URC|IST|KBP|
KBP|ZUH,|ZUH|KWE|URC|IST|KBP|
KBP|YNJ,|YNJ|PEK|IST|KBP|
KBP|DAT,|DAT|TYN|URC|IST|KBP|
KBP|JHG,|JHG|KMG|CTU|URC|IST|KBP|
KBP|LJG,|LJG|KMG|CTU|URC|IST|KBP|
KBP|LXA,|LXA|CKG|URC|IST|KBP|
KBP|YCU,|YCU|CKG|URC|IST|KBP|
KBP|LZO,|LZO|CSX|URC|IST|KBP|
KBP|MDG,|MDG|DLC|PEK|IST|KBP|
KBP|NGO,|NGO|ICN|IST|KBP|
KBP|TOY,|TOY|DLC|PEK|IST|KBP|
KBP|MFM,|MFM|XMN|CSX|URC|IST|KBP|
KBP|TGO,|TGO|HET|URC|IST|KBP|
KBP|XIL,|XIL|HET|URC|IST|KBP|
KBP|HEK,|HEK|HRB|PEK|IST|KBP|
KBP|KIJ,|KIJ|HRB|PEK|IST|KBP|
KBP|LDS,|LDS|HRB|PEK|IST|KBP|
KBP|OHE,|OHE|HRB|PEK|IST|KBP|
KBP|HSN,|HSN|LYG|XUZ|INC|URC|IST|KBP|
KBP|DLU,|DLU|KMG|CTU|URC|IST|KBP|
KBP|SYM,|SYM|KMG|CTU|URC|IST|KBP|
KBP|ZAT,|ZAT|KMG|CTU|URC|IST|KBP|
KBP|LUN,|LUN|NBO|IST|KBP|
KBP|AOG,|AOG|PEK|IST|KBP|
KBP|GMP,|GMP|PEK|IST|KBP|
KBP|ISB,|ISB|IST|KBP|
KBP|TAS,|TAS|IST|KBP|
KBP|WUS,|WUS|PEK|IST|KBP|
KBP|JMU,|JMU|PVG|IST|KBP|
KBP|NDG,|NDG|PVG|IST|KBP|
KBP|JXA,|JXA|SHE|PEK|IST|KBP|
KBP|PUS,|PUS|SHE|PEK|IST|KBP|
KBP|BKI,|BKI|SZX|CKG|URC|IST|KBP|
KBP|AKU,|AKU|URC|IST|KBP|
KBP|ALA,|ALA|IST|KBP|
KBP|ASB,|ASB|IST|KBP|
KBP|DNH,|DNH|URC|IST|KBP|
KBP|DYU,|DYU|IST|KBP|
KBP|FRU,|FRU|IST|KBP|
KBP|GYD,|GYD|IST|KBP|
KBP|HTN,|HTN|URC|IST|KBP|
KBP|IKA,|IKA|SAW|KBP|
KBP|KCA,|KCA|URC|IST|KBP|
KBP|KHG,|KHG|URC|IST|KBP|
KBP|KRL,|KRL|URC|IST|KBP|
KBP|KRY,|KRY|URC|IST|KBP|
KBP|LBD,|LBD|URC|IST|KBP|
KBP|NLT,|NLT|URC|IST|KBP|
KBP|OSS,|OSS|IST|KBP|
KBP|OVB,|OVB|IST|KBP|
KBP|TBS,|TBS|SAW|KBP|
KBP|TCG,|TCG|URC|IST|KBP|
KBP|TSE,|TSE|IST|KBP|
KBP|YIN,|YIN|URC|IST|KBP|
KBP|ENH,|ENH|WUH|URC|IST|KBP|
KBP|ENY,|ENY|XIY|URC|IST|KBP|
KBP|WXN,|WXN|XIY|URC|IST|KBP|
KBP|BLL,|BLL|IST|KBP|
KBP|ESB,|ESB|SAW|KBP|
KBP|SAW,|SAW|KBP|
KBP|HAM,|HAM|IST|KBP|
KBP|HRE,|HRE|ADD|IST|KBP|
KBP|JUB,|JUB|CAI|IST|KBP|
KBP|SSG,|SSG|DLA|IST|KBP|
KBP|BGW,|BGW|ESB|SAW|KBP|
KBP|EBL,|EBL|IST|KBP|
KBP|VKO,|VKO|IST|KBP|
KBP|MCT,|MCT|IST|KBP|
KBP|AYT,|AYT|SAW|KBP|
KBP|SCQ,|SCQ|BIO|IST|KBP|
KBP|AAL,|AAL|IST|KBP|
KBP|AOE,|AOE|BRU|IST|KBP|
KBP|JNB,|JNB|IST|KBP|
KBP|LBV,|LBV|DLA|IST|KBP|
KBP|ADA,|ADA|SAW|KBP|
KBP|ADB,|ADB|IST|KBP|
KBP|ADF,|ADF|ESB|SAW|KBP|
KBP|AJI,|AJI|ESB|SAW|KBP|
KBP|BAL,|BAL|ESB|SAW|KBP|
KBP|BJV,|BJV|IST|KBP|
KBP|CKZ,|CKZ|ESB|SAW|KBP|
KBP|DIY,|DIY|SAW|KBP|
KBP|ECN,|ECN|SAW|KBP|
KBP|ERC,|ERC|ESB|SAW|KBP|
KBP|ERZ,|ERZ|SAW|KBP|
KBP|EZS,|EZS|SAW|KBP|
KBP|GNY,|GNY|ESB|SAW|KBP|
KBP|GZP,|GZP|ESB|SAW|KBP|
KBP|GZT,|GZT|SAW|KBP|
KBP|HTY,|HTY|SAW|KBP|
KBP|KCM,|KCM|ESB|SAW|KBP|
KBP|KSY,|KSY|SAW|KBP|
