YQL|YXS,|YXS|YYC|YQL|
YQL|YXT,|YXT|YVR|YYC|YQL|
YQL|YXY,|YXY|YVR|YYC|YQL|
YQL|YYD,|YYD|YVR|YYC|YQL|
YQL|YYF,|YYF|YVR|YYC|YQL|
YQL|YZP,|YZP|YVR|YYC|YQL|
YQL|YQT,|YQT|YWG|YYC|YQL|
YQL|SJD,|SJD|YYC|YQL|
YQL|YQF,|YQF|YYC|YQL|
YQL|YXH,|YXH|YYC|YQL|
YQL|YWK,|YWK|YZV|YUL|YYC|YQL|
YQL|ANU,|ANU|YYZ|YYC|YQL|
YQL|AUA,|AUA|ATL|ORD|YYC|YQL|
YQL|AUH,|AUH|FRA|YYC|YQL|
YQL|BCN,|BCN|YYZ|YYC|YQL|
YQL|BDA,|BDA|YYZ|YYC|YQL|
YQL|BGI,|BGI|YYZ|YYC|YQL|
YQL|BNA,|BNA|ORD|YYC|YQL|
YQL|BOG,|BOG|IAH|YYC|YQL|
YQL|BWI,|BWI|ORD|YYC|YQL|
YQL|CLE,|CLE|ORD|YYC|YQL|
YQL|CLT,|CLT|ORD|YYC|YQL|
YQL|CMH,|CMH|ORD|YYC|YQL|
YQL|CVG,|CVG|ORD|YYC|YQL|
YQL|DFW,|DFW|YYC|YQL|
YQL|DTW,|DTW|ORD|YYC|YQL|
YQL|DUB,|DUB|YYZ|YYC|YQL|
YQL|FCO,|FCO|YYZ|YYC|YQL|
YQL|GCM,|GCM|IAH|YYC|YQL|
YQL|GGT,|GGT|FLL|MCO|YYC|YQL|
YQL|GND,|GND|YYZ|YYC|YQL|
YQL|GRU,|GRU|ORD|YYC|YQL|
YQL|HAV,|HAV|YYZ|YYC|YQL|
YQL|IND,|IND|ORD|YYC|YQL|
YQL|JFK,|JFK|YYC|YQL|
YQL|KIN,|KIN|YYZ|YYC|YQL|
YQL|LIM,|LIM|IAH|YYC|YQL|
YQL|LIR,|LIR|IAH|YYC|YQL|
YQL|MCI,|MCI|DEN|YYC|YQL|
YQL|MDT,|MDT|YYZ|YYC|YQL|
YQL|MIA,|MIA|ORD|YYC|YQL|
YQL|MKE,|MKE|ORD|YYC|YQL|
YQL|MSP,|MSP|DEN|YYC|YQL|
YQL|NAS,|NAS|ORD|YYC|YQL|
